date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,4,3,0,0,0,0
2020-03-31,4,0,0,0,0,0
2020-04-01,4,0,0,0,0,0
2020-04-02,5,1,0,0,0,0
2020-04-03,5,0,0,0,0,0
2020-04-04,7,2,0,0,0,0
2020-04-05,7,0,0,0,0,0
2020-04-06,13,6,0,0,0,0
2020-04-07,13,0,0,0,0,0
2020-04-08,13,0,0,0,0,0
2020-04-09,13,0,0,0,2,2
2020-04-10,20,7,0,0,2,0
2020-04-11,20,0,0,0,2,0
2020-04-12,20,0,0,0,5,3
2020-04-13,20,0,0,0,5,0
2020-04-14,27,7,0,0,6,1
2020-04-15,27,0,0,0,12,6
2020-04-16,43,16,1,1,15,3
2020-04-17,79,36,2,1,15,0
2020-04-18,84,5,2,0,15,0
2020-04-19,91,7,2,0,15,0
2020-04-20,100,9,2,0,16,1
2020-04-21,108,8,2,0,21,5
2020-04-22,113,5,3,1,26,5
2020-04-23,114,1,3,0,32,6
2020-04-24,117,3,3,0,32,0
2020-04-25,119,2,3,0,32,0
2020-04-26,134,15,3,0,32,0
2020-04-27,142,8,3,0,32,0
2020-04-28,150,8,3,0,32,0
2020-04-29,154,4,3,0,37,5
2020-04-30,163,9,3,0,48,11
2020-05-01,165,2,3,0,48,0
2020-05-02,168,3,5,2,49,1
2020-05-03,178,10,6,1,76,27
2020-05-04,185,7,6,0,98,22
2020-05-05,190,5,7,1,107,9
2020-05-06,202,12,7,0,107,0
2020-05-07,206,4,7,0,114,7
2020-05-08,212,6,7,0,114,0
2020-05-09,220,8,7,0,140,26
2020-05-10,224,4,7,0,173,33
2020-05-11,241,17,7,0,173,0
2020-05-12,252,11,7,0,184,11
2020-05-13,271,19,8,1,187,3
2020-05-14,276,5,8,0,207,20
2020-05-15,307,31,8,0,214,7
2020-05-16,347,40,8,0,222,8
2020-05-17,398,51,8,0,222,0
2020-05-18,430,32,8,0,240,18
2020-05-19,461,31,8,0,249,9
2020-05-20,525,64,8,0,263,14
2020-05-21,561,36,8,0,274,11
2020-05-22,591,30,8,0,290,16
2020-05-23,622,31,9,1,290,0
2020-05-24,671,49,9,0,295,5
2020-05-25,696,25,9,0,295,0
2020-05-26,721,25,9,0,300,5
2020-05-27,759,38,9,0,307,7
2020-05-28,783,24,9,0,322,15
2020-05-29,794,11,9,0,332,10
2020-05-30,813,19,9,0,354,22
2020-05-31,854,41,9,0,371,17
2020-06-01,874,20,9,0,394,23
2020-06-02,890,16,9,0,413,19
2020-06-03,904,14,9,0,465,52
2020-06-04,937,33,9,0,487,22
2020-06-05,962,25,9,0,519,32
2020-06-06,995,33,10,1,540,21
2020-06-07,1025,30,10,0,577,37
2020-06-08,1069,44,10,0,606,29
2020-06-09,1115,46,10,0,618,12
2020-06-10,1158,43,12,2,651,33
2020-06-11,1213,55,12,0,674,23
2020-06-12,1251,38,12,0,708,34
2020-06-13,1278,27,12,0,752,44
2020-06-14,1311,33,12,0,771,19
2020-06-15,1340,29,12,0,796,25
2020-06-16,1389,49,12,0,817,21
2020-06-17,1415,26,12,0,858,41
2020-06-18,1446,31,12,0,896,38
2020-06-19,1484,38,12,0,917,21
2020-06-20,1511,27,12,0,946,29
2020-06-21,1541,30,12,0,987,41
2020-06-22,1569,28,12,0,1002,15
2020-06-23,1607,38,12,0,1028,26
2020-06-24,1647,40,12,0,1096,68
2020-06-25,1682,35,12,0,1119,23
2020-06-26,1712,30,12,0,1149,30
2020-06-27,1746,34,12,0,1182,33
2020-06-28,1795,49,12,0,1239,57
2020-06-29,1847,52,12,0,1291,52
2020-06-30,1898,51,14,2,1302,11
2020-07-01,1935,37,14,0,1340,38
2020-07-02,1981,46,14,0,1363,23
2020-07-03,2039,58,14,0,1414,51
2020-07-04,2068,29,14,0,1439,25
2020-07-05,2094,26,14,0,1471,32
2020-07-06,2121,27,14,0,1502,31
2020-07-07,2145,24,14,0,1546,44
2020-07-08,2167,22,14,0,1601,55
2020-07-09,2187,20,14,0,1626,25
2020-07-10,2205,18,14,0,1671,45
2020-07-11,2224,19,14,0,1701,30
2020-07-12,2242,18,14,0,1734,33
2020-07-13,2258,16,14,0,1740,6
2020-07-14,2275,17,14,0,1785,45
2020-07-15,2291,16,14,0,1843,58
2020-07-16,2308,17,16,2,1868,25
2020-07-17,2326,18,16,0,1882,14
2020-07-18,2344,18,16,0,1891,9
2020-07-19,2364,20,16,0,1901,10
2020-07-20,2384,20,16,0,1910,9
2020-07-21,2411,27,16,0,1930,20
2020-07-22,2436,25,17,1,1944,14
2020-07-23,2470,34,18,1,1974,30
2020-07-24,2496,26,18,0,1978,4
2020-07-25,2530,34,18,0,2008,30
2020-07-26,2568,38,20,2,2023,15
2020-07-27,2604,36,20,0,2032,9
2020-07-28,2642,38,20,0,2043,11
2020-07-29,2679,37,20,0,2070,27
2020-07-30,2714,35,20,0,2081,11
2020-07-31,2747,33,20,0,2112,31
2020-08-01,2775,28,20,0,2130,18
2020-08-02,2803,28,20,0,2137,7
2020-08-03,2830,27,20,0,2155,18
2020-08-04,2855,25,21,1,2164,9
2020-08-05,2880,25,21,0,2180,16
2020-08-06,2906,26,21,0,2207,27
2020-08-07,2930,24,21,0,2254,47
2020-08-08,2955,25,21,0,2288,34
2020-08-09,2975,20,21,0,2288,0
2020-08-10,2995,20,21,0,2319,31
2020-08-11,3016,21,21,0,2378,59
2020-08-12,3035,19,22,1,2443,65
2020-08-13,3055,20,22,0,2479,36
2020-08-14,3076,21,22,0,2502,23
2020-08-15,3095,19,23,1,2538,36
2020-08-16,3113,18,23,0,2538,0
2020-08-17,3129,16,23,0,2583,45
2020-08-18,3144,15,24,1,2605,22
2020-08-19,3161,17,24,0,2629,24
2020-08-20,3179,18,24,0,2654,25
2020-08-21,3195,16,25,1,2673,19
2020-08-22,3214,19,25,0,2694,21
2020-08-23,3234,20,25,0,2718,24
2020-08-24,3254,20,25,0,2741,23
2020-08-25,3273,19,26,1,2762,21
2020-08-26,3291,18,26,0,2786,24
2020-08-27,3308,17,26,0,2803,17
2020-08-28,3327,19,27,1,2822,19
2020-08-29,3346,19,27,0,2846,24
2020-08-30,3364,18,27,0,2846,0
2020-08-31,3386,22,27,0,2884,38
2020-09-01,3400,14,27,0,2906,22
2020-09-02,3420,20,27,0,2913,7
2020-09-03,3440,20,27,0,2913,0
2020-09-04,3461,21,28,1,2947,34
2020-09-05,3480,19,29,1,2964,17
2020-09-06,3500,20,29,0,2983,19
2020-09-07,3522,22,30,1,3004,21
2020-09-08,3546,24,30,0,3022,18
2020-09-09,3567,21,30,0,3042,20
2020-09-10,3587,20,30,0,3064,22
2020-09-11,3609,22,30,0,3083,19
2020-09-12,3630,21,30,0,3101,18
2020-09-13,3650,20,30,0,3125,24
2020-09-14,3669,19,30,0,3141,16
2020-09-15,3689,20,30,0,3161,20
2020-09-16,3710,21,30,0,3184,23
2020-09-17,3730,20,30,0,3210,26
2020-09-18,3753,23,31,1,3229,19
2020-09-19,3775,22,31,0,3253,24
2020-09-20,3799,24,31,0,3270,17
2020-09-21,3824,25,31,0,3285,15
2020-09-22,3847,23,31,0,3308,23
2020-09-23,3873,26,31,0,3330,22
2020-09-24,3897,24,31,0,3356,26
2020-09-25,3925,28,31,0,3379,23
2020-09-26,3956,31,31,0,3405,26
2020-09-27,3989,33,31,0,3424,19
2020-09-28,4019,30,31,0,3440,16
2020-09-29,4051,32,33,2,3460,20
2020-09-30,4080,29,33,0,3491,31
2020-10-01,4114,34,33,0,3512,21
2020-10-02,4149,35,33,0,3530,18
2020-10-03,4186,37,35,2,3555,25
2020-10-04,4227,41,35,0,3578,23
2020-10-05,4266,39,35,0,3602,24
2020-10-06,4308,42,35,0,3628,26
2020-10-07,4348,40,36,1,3651,23
2020-10-08,4392,44,36,0,3679,28
2020-10-09,4434,42,36,0,3710,31
2020-10-10,4475,41,38,2,3741,31
2020-10-11,4513,38,38,0,3765,24
2020-10-12,4556,43,38,0,3798,33
2020-10-13,4601,45,38,0,3827,29
2020-10-14,4648,47,38,0,3861,34
