date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0
2020-04-17,1,1,0,0,0,0
2020-04-18,2,1,0,0,0,0
2020-04-19,2,0,0,0,0,0
2020-04-20,4,2,0,0,0,0
2020-04-21,8,4,0,0,0,0
2020-04-22,8,0,0,0,0,0
2020-04-23,9,1,0,0,0,0
2020-04-24,9,0,0,0,0,0
2020-04-25,14,5,0,0,0,0
2020-04-26,15,1,0,0,0,0
2020-04-27,27,12,0,0,0,0
2020-04-28,27,0,0,0,0,0
2020-04-29,30,3,0,0,0,0
2020-04-30,32,2,0,0,0,0
2020-05-01,33,1,0,0,0,0
2020-05-02,35,2,0,0,1,1
2020-05-03,36,1,0,0,1,0
2020-05-04,36,0,0,0,2,1
2020-05-05,37,1,0,0,2,0
2020-05-06,38,1,0,0,3,1
2020-05-07,40,2,0,0,5,2
2020-05-08,41,1,0,0,5,0
2020-05-09,51,10,0,0,12,7
2020-05-10,52,1,0,0,17,5
2020-05-11,54,2,0,0,18,1
2020-05-12,56,2,0,0,25,7
2020-05-13,60,4,0,0,26,1
2020-05-14,63,3,0,0,30,4
2020-05-15,65,2,0,0,30,0
2020-05-16,69,4,0,0,33,3
2020-05-17,75,6,0,0,34,1
2020-05-18,78,3,0,0,34,0
2020-05-19,81,3,0,0,36,2
2020-05-20,82,1,0,0,37,1
2020-05-21,88,6,0,0,37,0
2020-05-22,92,4,0,0,41,4
2020-05-23,92,0,0,0,46,5
2020-05-24,95,3,0,0,47,1
2020-05-25,102,7,0,0,49,2
2020-05-26,104,2,0,0,52,3
2020-05-27,105,1,0,0,53,1
2020-05-28,109,4,0,0,59,6
2020-05-29,110,1,0,0,61,2
2020-05-30,116,6,0,0,71,10
2020-05-31,122,6,0,0,71,0
2020-06-01,132,10,0,0,74,3
2020-06-02,133,1,0,0,80,6
2020-06-03,138,5,0,0,84,4
2020-06-04,154,16,0,0,88,4
2020-06-05,156,2,0,0,91,3
2020-06-06,163,7,0,0,95,4
2020-06-07,172,9,0,0,100,5
2020-06-08,180,8,0,0,101,1
2020-06-09,190,10,0,0,104,3
2020-06-10,204,14,0,0,109,5
2020-06-11,212,8,0,0,111,2
2020-06-12,220,8,0,0,124,13
2020-06-13,243,23,0,0,126,2
2020-06-14,256,13,0,0,128,2
2020-06-15,275,19,0,0,135,7
2020-06-16,279,4,0,0,144,9
2020-06-17,300,21,0,0,145,1
2020-06-18,334,34,0,0,151,6
2020-06-19,336,2,0,0,162,11
2020-06-20,396,60,0,0,171,9
2020-06-21,421,25,0,0,178,7
2020-06-22,436,15,0,0,184,6
2020-06-23,466,30,0,0,190,6
2020-06-24,483,17,0,0,207,17
2020-06-25,511,28,0,0,215,8
2020-06-26,522,11,0,0,230,15
2020-06-27,561,39,0,0,247,17
2020-06-28,597,36,0,0,256,9
2020-06-29,617,20,0,0,279,23
2020-06-30,650,33,0,0,285,6
2020-07-01,681,31,1,1,306,21
2020-07-02,745,64,1,0,314,8
2020-07-03,777,32,1,0,328,14
2020-07-04,808,31,1,0,347,19
2020-07-05,849,41,1,0,367,20
2020-07-06,869,20,1,0,397,30
2020-07-07,891,22,1,0,417,20
2020-07-08,936,45,1,0,449,32
2020-07-09,962,26,1,0,462,13
2020-07-10,993,31,1,0,496,34
2020-07-11,1036,43,1,0,515,19
2020-07-12,1053,17,1,0,548,33
2020-07-13,1099,46,1,0,567,19
2020-07-14,1111,12,1,0,613,46
2020-07-15,1139,28,1,0,650,37
2020-07-16,1154,15,1,0,672,22
2020-07-17,1197,43,1,0,706,34
2020-07-18,1217,20,1,0,741,35
2020-07-19,1239,22,1,0,764,23
2020-07-20,1276,37,1,0,774,10
2020-07-21,1304,28,1,0,805,31
2020-07-22,1331,27,1,0,854,49
2020-07-23,1351,20,1,0,884,30
2020-07-24,1387,36,1,0,916,32
2020-07-25,1419,32,1,0,937,21
2020-07-26,1437,18,1,0,968,31
2020-07-27,1462,25,1,0,985,17
2020-07-28,1476,14,1,0,1009,24
2020-07-29,1498,22,2,1,1049,40
2020-07-30,1529,31,3,1,1079,30
2020-07-31,1551,22,5,2,1127,48
2020-08-01,1579,28,7,2,1159,32
2020-08-02,1606,27,7,0,1171,12
2020-08-03,1631,25,7,0,1191,20
2020-08-04,1636,5,7,0,1224,33
2020-08-05,1643,7,7,0,1272,48
2020-08-06,1661,18,7,0,1297,25
2020-08-07,1672,11,7,0,1329,32
2020-08-08,1693,21,7,0,1368,39
2020-08-09,1709,16,7,0,1379,11
2020-08-10,1724,15,7,0,1400,21
2020-08-11,1731,7,7,0,1434,34
2020-08-12,1739,8,7,0,1460,26
2020-08-13,1750,11,7,0,1498,38
2020-08-14,1775,25,7,0,1527,29
2020-08-15,1799,24,7,0,1542,15
2020-08-16,1818,19,7,0,1561,19
2020-08-17,1833,15,7,0,1570,9
2020-08-18,1870,37,7,0,1602,32
2020-08-19,1884,14,7,0,1615,13
2020-08-20,1903,19,7,0,1651,36
2020-08-21,1926,23,7,0,1662,11
2020-08-22,1959,33,7,0,1673,11
2020-08-23,1992,33,7,0,1683,10
2020-08-24,2014,22,8,1,1698,15
2020-08-25,2020,6,8,0,1716,18
2020-08-26,2041,21,8,0,1736,20
2020-08-27,2075,34,8,0,1757,21
2020-08-28,2086,11,8,0,1787,30
2020-08-29,2108,22,8,0,1803,16
2020-08-30,2125,17,8,0,1811,8
2020-08-31,2142,17,8,0,1840,29
2020-09-01,2162,20,8,0,1869,29
2020-09-02,2181,19,8,0,1888,19
2020-09-03,2209,28,8,0,1917,29
2020-09-04,2228,19,8,0,1933,16
2020-09-05,2252,24,8,0,1945,12
2020-09-06,2288,36,8,0,1963,18
2020-09-07,2319,31,8,0,1979,16
2020-09-08,2323,4,8,0,1998,19
2020-09-09,2364,41,8,0,2032,34
2020-09-10,2391,27,8,0,2048,16
2020-09-11,2422,31,10,2,2059,11
2020-09-12,2477,55,11,1,2080,21
2020-09-13,2514,37,11,0,2096,16
2020-09-14,2563,49,11,0,2101,5
2020-09-15,2584,21,12,1,2128,27
2020-09-16,2640,56,12,0,2159,31
2020-09-17,2681,41,12,0,2176,17
2020-09-18,2746,65,12,0,2214,38
2020-09-19,2798,52,12,0,2235,21
2020-09-20,2868,70,12,0,2251,16
2020-09-21,2946,78,12,0,2272,21
2020-09-22,2978,32,12,0,2298,26
2020-09-23,3048,70,12,0,2335,37
2020-09-24,3113,65,12,0,2372,37
2020-09-25,3177,64,12,0,2386,14
2020-09-26,3242,65,12,0,2422,36
2020-09-27,3320,78,12,0,2454,32
2020-09-28,3427,107,12,0,2489,35
2020-09-29,3478,51,12,0,2535,46
2020-09-30,3532,54,12,0,2595,60
2020-10-01,3598,66,12,0,2683,88
2020-10-02,3682,84,12,0,2735,52
2020-10-03,3769,87,12,0,2791,56
2020-10-04,3854,85,12,0,2828,37
2020-10-05,3940,86,12,0,2884,56
2020-10-06,4007,67,12,0,2952,68
2020-10-07,4095,88,12,0,3011,59
2020-10-08,4193,98,12,0,3098,87
2020-10-09,4296,103,12,0,3160,62
2020-10-10,4407,111,12,0,3228,68
2020-10-11,4514,107,12,0,3274,46
2020-10-12,4595,81,12,0,3293,19
2020-10-13,4638,43,12,0,3363,70
2020-10-14,4772,134,12,0,3433,70
