date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0
2020-03-31,2,1,0,0,0,0
2020-04-01,3,1,0,0,0,0
2020-04-02,4,1,0,0,0,0
2020-04-03,4,0,0,0,0,0
2020-04-04,7,3,0,0,0,0
2020-04-05,7,0,0,0,0,0
2020-04-06,12,5,0,0,0,0
2020-04-07,12,0,0,0,0,0
2020-04-08,18,6,0,0,0,0
2020-04-09,21,3,0,0,0,0
2020-04-10,21,0,0,0,0,0
2020-04-11,29,8,0,0,2,2
2020-04-12,29,0,0,0,3,1
2020-04-13,31,2,0,0,3,0
2020-04-14,36,5,0,0,3,0
2020-04-15,39,3,0,0,3,0
2020-04-16,48,9,0,0,3,0
2020-04-17,53,5,0,0,4,1
2020-04-18,63,10,0,0,4,0
2020-04-19,72,9,0,0,4,0
2020-04-20,84,12,0,0,4,0
2020-04-21,127,43,0,0,9,5
2020-04-22,136,9,0,0,9,0
2020-04-23,144,8,0,0,13,4
2020-04-24,152,8,0,0,15,2
2020-04-25,215,63,1,1,18,3
2020-04-26,283,68,1,0,22,4
2020-04-27,310,27,1,0,29,7
2020-04-28,324,14,1,0,34,5
2020-04-29,348,24,1,0,45,11
2020-04-30,382,34,1,0,45,0
2020-05-01,423,41,1,0,55,10
2020-05-02,451,28,1,0,69,14
2020-05-03,498,47,1,0,76,7
2020-05-04,534,36,2,1,82,6
2020-05-05,555,21,3,1,109,27
2020-05-06,588,33,3,0,110,1
2020-05-07,605,17,3,0,132,22
2020-05-08,621,16,3,0,164,32
2020-05-09,641,20,3,0,173,9
2020-05-10,669,28,3,0,204,31
2020-05-11,707,38,3,0,224,20
2020-05-12,727,20,3,0,290,66
2020-05-13,770,43,3,0,343,53
2020-05-14,809,39,3,0,378,35
2020-05-15,847,38,3,0,422,44
2020-05-16,885,38,3,0,449,27
2020-05-17,925,40,3,0,465,16
2020-05-18,970,45,3,0,480,15
2020-05-19,1014,44,4,1,529,49
2020-05-20,1054,40,6,2,555,26
2020-05-21,1111,57,7,1,581,26
2020-05-22,1185,74,7,0,599,18
2020-05-23,1254,69,7,0,620,21
2020-05-24,1325,71,7,0,636,16
2020-05-25,1406,81,7,0,636,0
2020-05-26,1485,79,9,2,670,34
2020-05-27,1554,69,10,1,692,22
2020-05-28,1633,79,10,0,719,27
2020-05-29,1708,75,12,2,732,13
2020-05-30,1779,71,12,0,767,35
2020-05-31,1848,69,12,0,787,20
2020-06-01,1915,67,12,0,805,18
2020-06-02,1985,70,12,0,833,28
2020-06-03,2066,81,12,0,866,33
2020-06-04,2135,69,12,0,899,33
2020-06-05,2192,57,13,1,966,67
2020-06-06,2255,63,14,1,1061,95
2020-06-07,2319,64,14,0,1096,35
2020-06-08,2390,71,14,0,1107,11
2020-06-09,2458,68,15,1,1197,90
2020-06-10,2524,66,16,1,1314,117
2020-06-11,2593,69,19,3,1407,93
2020-06-12,2659,66,19,0,1569,162
2020-06-13,2726,67,19,0,1607,38
2020-06-14,2795,69,19,0,1667,60
2020-06-15,2867,72,19,0,1715,48
2020-06-16,2939,72,21,2,1892,177
2020-06-17,3010,71,22,1,1992,100
2020-06-18,3078,68,24,2,2102,110
2020-06-19,3153,75,24,0,2210,108
2020-06-20,3226,73,25,1,2292,82
2020-06-21,3298,72,27,2,2309,17
2020-06-22,3371,73,27,0,2359,50
2020-06-23,3445,74,29,2,2470,111
2020-06-24,3522,77,29,0,2540,70
2020-06-25,3600,78,29,0,2594,54
2020-06-26,3676,76,30,1,2677,83
2020-06-27,3753,77,31,1,2697,20
2020-06-28,3831,78,31,0,2727,30
2020-06-29,3909,78,31,0,2766,39
2020-06-30,3985,76,33,2,2889,123
2020-07-01,4059,74,36,3,2972,83
2020-07-02,4134,75,38,2,2991,19
2020-07-03,4207,73,40,2,3077,86
2020-07-04,4299,92,42,2,3180,103
2020-07-05,4414,115,44,2,3228,48
2020-07-06,4538,124,45,1,3264,36
2020-07-07,4709,171,47,2,3383,119
2020-07-08,4897,188,49,2,3496,113
2020-07-09,5121,224,49,0,3577,81
2020-07-10,5361,240,49,0,3691,114
2020-07-11,5589,228,50,1,3800,109
2020-07-12,5821,232,51,1,3834,34
2020-07-13,6056,235,51,0,3868,34
2020-07-14,6294,238,52,1,4026,158
2020-07-15,6540,246,54,2,4142,116
2020-07-16,6755,215,54,0,4318,176
2020-07-17,6983,228,55,1,4460,142
2020-07-18,7184,201,56,1,4607,147
2020-07-19,7382,198,56,0,4712,105
2020-07-20,7573,191,57,1,4815,103
2020-07-21,7758,185,57,0,5041,226
2020-07-22,7941,183,57,0,5339,298
2020-07-23,8107,166,59,2,5673,334
2020-07-24,8253,146,59,0,5926,253
2020-07-25,8391,138,60,1,6320,394
2020-07-26,8531,140,64,4,6424,104
2020-07-27,8665,134,64,0,6524,100
2020-07-28,8786,121,64,0,6779,255
2020-07-29,8893,107,66,2,6950,171
2020-07-30,8998,105,66,0,7176,226
2020-07-31,9109,111,66,0,7193,17
2020-08-01,9217,108,68,2,7232,39
2020-08-02,9326,109,68,0,7316,84
2020-08-03,9433,107,68,0,7362,46
2020-08-04,9528,95,78,10,7489,127
2020-08-05,9622,94,78,0,7630,141
2020-08-06,9714,92,80,2,7791,161
2020-08-07,9809,95,85,5,7952,161
2020-08-08,9907,98,89,4,8100,148
2020-08-09,9999,92,91,2,8140,40
2020-08-10,10094,95,91,0,8200,60
2020-08-11,10185,91,95,4,8362,162
2020-08-12,10273,88,96,1,8532,170
2020-08-13,10360,87,96,0,8637,105
2020-08-14,10445,85,96,0,8764,127
2020-08-15,10534,89,96,0,8890,126
2020-08-16,10623,89,98,2,8924,34
2020-08-17,10711,88,99,1,8959,35
2020-08-18,10802,91,107,8,9143,184
2020-08-19,10887,85,107,0,9257,114
2020-08-20,10968,81,108,1,9366,109
2020-08-21,11042,74,110,2,9532,166
2020-08-22,11115,73,110,0,9669,137
2020-08-23,11186,71,110,0,9700,31
2020-08-24,11251,65,110,0,9741,41
2020-08-25,11317,66,111,1,9914,173
2020-08-26,11387,70,112,1,10024,110
2020-08-27,11456,69,112,0,10103,79
2020-08-28,11523,67,114,2,10240,137
2020-08-29,11591,68,116,2,10325,85
2020-08-30,11655,64,117,1,10374,49
2020-08-31,11720,65,119,2,10419,45
2020-09-01,11781,61,119,0,10509,90
2020-09-02,11844,63,119,0,10588,79
2020-09-03,11908,64,120,1,10671,83
2020-09-04,11970,62,122,2,10734,63
2020-09-05,12033,63,123,1,10820,86
2020-09-06,12094,61,127,4,10843,23
2020-09-07,12156,62,127,0,10865,22
2020-09-08,12216,60,131,4,10954,89
2020-09-09,12280,64,136,5,10979,25
2020-09-10,12342,62,139,3,11038,59
2020-09-11,12405,63,139,0,11123,85
2020-09-12,12466,61,141,2,11209,86
2020-09-13,12528,62,143,2,11239,30
2020-09-14,12588,60,143,0,11250,11
2020-09-15,12651,63,152,9,11328,78
2020-09-16,12716,65,154,2,11390,62
2020-09-17,12780,64,159,5,11459,69
2020-09-18,12846,66,161,2,11523,64
2020-09-19,12914,68,164,3,11648,125
2020-09-20,12987,73,169,5,11679,31
2020-09-21,13060,73,173,4,11703,24
2020-09-22,13138,78,175,2,11816,113
2020-09-23,13217,79,179,4,11973,157
2020-09-24,13298,81,184,5,12095,122
2020-09-25,13378,80,187,3,12150,55
2020-09-26,13459,81,189,2,12257,107
2020-09-27,13546,87,193,4,12285,28
2020-09-28,13635,89,195,2,12317,32
2020-09-29,13728,93,201,6,12423,106
2020-09-30,13823,95,206,5,12497,74
2020-10-01,13921,98,209,3,12567,70
2020-10-02,14022,101,211,2,12641,74
2020-10-03,14125,103,217,6,12750,109
2020-10-04,14230,105,219,2,12780,30
2020-10-05,14334,104,221,2,12820,40
2020-10-06,14448,114,227,6,13068,248
2020-10-07,14577,129,235,8,13179,111
2020-10-08,14711,134,240,5,13255,76
2020-10-09,14853,142,248,8,13384,129
2020-10-10,15007,154,250,2,13554,170
2020-10-11,15169,162,253,3,13626,72
2020-10-12,15338,169,254,1,13743,117
2020-10-13,15508,170,258,4,13983,240
2020-10-14,15680,172,261,3,14231,248
