date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,2,1,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,2,0,0,0,0,0
2020-03-25,3,1,0,0,0,0
2020-03-26,3,0,0,0,0,0
2020-03-27,3,0,0,0,0,0
2020-03-28,3,0,0,0,0,0
2020-03-29,3,0,0,0,0,0
2020-03-30,7,4,0,0,0,0
2020-03-31,7,0,0,0,0,0
2020-04-01,7,0,0,0,0,0
2020-04-02,7,0,0,0,0,0
2020-04-03,8,1,0,0,0,0
2020-04-04,8,0,0,0,0,0
2020-04-05,8,0,0,0,3,3
2020-04-06,14,6,0,0,3,0
2020-04-07,14,0,0,0,3,0
2020-04-08,14,0,0,0,3,0
2020-04-09,24,10,0,0,4,1
2020-04-10,24,0,0,0,4,0
2020-04-11,24,0,0,0,5,1
2020-04-12,24,0,0,0,5,0
2020-04-13,31,7,0,0,5,0
2020-04-14,32,1,0,0,5,0
2020-04-15,32,0,0,0,10,5
2020-04-16,33,1,0,0,10,0
2020-04-17,34,1,0,0,11,1
2020-04-18,39,5,0,0,11,0
2020-04-19,107,68,0,0,11,0
2020-04-20,114,7,1,1,11,0
2020-04-21,118,4,1,0,15,4
2020-04-22,120,2,1,0,18,3
2020-04-23,123,3,1,0,18,0
2020-04-24,137,14,1,0,18,0
2020-04-25,147,10,1,0,18,0
2020-04-26,167,20,1,0,22,4
2020-04-27,175,8,1,0,22,0
2020-04-28,181,6,1,0,29,7
2020-04-29,185,4,1,0,45,16
2020-04-30,198,13,1,0,46,1
2020-05-01,213,15,1,0,51,5
2020-05-02,238,25,1,0,69,18
2020-05-03,260,22,1,0,69,0
2020-05-04,299,39,1,0,81,12
2020-05-05,305,6,1,0,112,31
2020-05-06,329,24,1,0,115,3
2020-05-07,354,25,1,0,126,11
2020-05-08,372,18,1,0,137,11
2020-05-09,400,28,1,0,149,12
2020-05-10,425,25,3,2,156,7
2020-05-11,457,32,3,0,163,7
2020-05-12,494,37,3,0,164,1
2020-05-13,513,19,3,0,201,37
2020-05-14,554,41,3,0,212,11
2020-05-15,586,32,3,0,229,17
2020-05-16,638,52,3,0,256,27
2020-05-17,688,50,3,0,262,6
2020-05-18,720,32,3,0,264,2
2020-05-19,792,72,4,1,299,35
2020-05-20,817,25,4,0,315,16
2020-05-21,858,41,4,0,349,34
2020-05-22,888,30,4,0,383,34
2020-05-23,925,37,4,0,407,24
2020-05-24,1020,95,4,0,426,19
2020-05-25,1146,126,4,0,427,1
2020-05-26,1315,169,4,0,448,21
2020-05-27,1410,95,5,1,474,26
2020-05-28,1537,127,5,0,515,41
2020-05-29,1638,101,5,0,543,28
2020-05-30,1796,158,5,0,587,44
2020-05-31,1933,137,5,0,587,0
2020-06-01,2068,135,5,0,606,19
2020-06-02,2124,56,7,2,659,53
2020-06-03,2363,239,7,0,698,39
2020-06-04,2496,133,8,1,737,39
2020-06-05,2621,125,9,1,779,42
2020-06-06,2746,125,9,0,844,65
2020-06-07,2868,122,9,0,853,9
2020-06-08,2989,121,10,1,858,5
2020-06-09,3085,96,10,0,897,39
2020-06-10,3217,132,13,3,944,47
2020-06-11,3362,145,15,2,985,41
2020-06-12,3474,112,16,1,1028,43
2020-06-13,3587,113,16,0,1043,15
2020-06-14,3696,109,19,3,1054,11
2020-06-15,3803,107,19,0,1068,14
2020-06-16,3912,109,19,0,1188,120
2020-06-17,4035,123,19,0,1296,108
2020-06-18,4156,121,25,6,1393,97
2020-06-19,4274,118,27,2,1512,119
2020-06-20,4395,121,27,0,1660,148
2020-06-21,4524,129,30,3,1745,85
2020-06-22,4631,107,32,2,1792,47
2020-06-23,4755,124,33,1,1996,204
2020-06-24,4875,120,35,2,2178,182
2020-06-25,4992,117,37,2,2295,117
2020-06-26,5107,115,39,2,2383,88
2020-06-27,5225,118,50,11,2463,80
2020-06-28,5339,114,53,3,2520,57
2020-06-29,5454,115,54,1,2549,29
2020-06-30,5556,102,58,4,2688,139
2020-07-01,5674,118,61,3,2915,227
2020-07-02,5790,116,61,0,2989,74
2020-07-03,5909,119,64,3,3127,138
2020-07-04,6026,117,67,3,3218,91
2020-07-05,6196,170,68,1,3288,70
2020-07-06,6300,104,68,0,3300,12
2020-07-07,6419,119,72,4,3393,93
2020-07-08,6534,115,81,9,3518,125
2020-07-09,6647,113,83,2,3685,167
2020-07-10,6759,112,86,3,3800,115
2020-07-11,6873,114,96,10,4297,497
2020-07-12,6988,115,104,8,4536,239
2020-07-13,7122,134,105,1,4544,8
2020-07-14,7251,129,108,3,4585,41
2020-07-15,7370,119,113,5,4699,114
2020-07-16,7492,122,116,3,4938,239
2020-07-17,7608,116,129,13,5192,254
2020-07-18,7712,104,129,0,5452,260
2020-07-19,7819,107,129,0,5492,40
2020-07-20,7908,89,129,0,5522,30
2020-07-21,7989,81,132,3,5683,161
2020-07-22,8081,92,133,1,6077,394
2020-07-23,8157,76,133,0,6312,235
2020-07-24,8225,68,148,15,6559,247
2020-07-25,8291,66,152,4,6699,140
2020-07-26,8365,74,152,0,6747,48
2020-07-27,8434,69,152,0,6761,14
2020-07-28,8497,63,166,14,6973,212
2020-07-29,8565,68,169,3,7083,110
2020-07-30,8641,76,169,0,7229,146
2020-07-31,8710,69,182,13,7622,393
2020-08-01,8767,57,185,3,7900,278
2020-08-02,8842,75,185,0,7955,55
2020-08-03,8901,59,185,0,7966,11
2020-08-04,8969,68,198,13,8226,260
2020-08-05,9040,71,203,5,8384,158
2020-08-06,9101,61,203,0,8415,31
2020-08-07,9165,64,207,4,8453,38
2020-08-08,9235,70,219,12,8491,38
2020-08-09,9303,68,219,0,8491,0
2020-08-10,9366,63,219,0,8501,10
2020-08-11,9414,48,220,1,8516,15
2020-08-12,9479,65,220,0,8533,17
2020-08-13,9547,68,227,7,8565,32
2020-08-14,9630,83,234,7,8591,26
2020-08-15,9697,67,241,7,8614,23
2020-08-16,9768,71,241,0,8614,0
2020-08-17,9838,70,241,0,8614,0
2020-08-18,9921,83,241,0,8645,31
2020-08-19,9988,67,241,0,8671,26
2020-08-20,10059,71,241,0,8707,36
2020-08-21,10136,77,241,0,8754,47
2020-08-22,10225,89,243,2,8810,56
2020-08-23,10306,81,245,2,8810,0
2020-08-24,10358,52,245,0,8810,0
2020-08-25,10382,24,245,0,8845,35
2020-08-26,10442,60,245,0,8875,30
2020-08-27,10515,73,248,3,8916,41
2020-08-28,10602,87,249,1,8968,52
2020-08-29,10702,100,251,2,9017,49
2020-08-30,10783,81,251,0,9017,0
2020-08-31,10825,42,251,0,9017,0
2020-09-01,10888,63,252,1,9072,55
2020-09-02,10937,49,252,0,9120,48
2020-09-03,10985,48,252,0,9163,43
2020-09-04,11059,74,252,0,9209,46
2020-09-05,11131,72,254,2,9222,13
2020-09-06,11191,60,255,1,9222,0
2020-09-07,11269,78,255,0,9222,0
2020-09-08,11337,68,255,0,9279,57
2020-09-09,11406,69,255,0,9340,61
2020-09-10,11491,85,256,1,9493,153
2020-09-11,11574,83,256,0,9538,45
2020-09-12,11657,83,256,0,9585,47
2020-09-13,11753,96,256,0,9585,0
2020-09-14,11844,91,256,0,9585,0
2020-09-15,11932,88,256,0,9625,40
2020-09-16,12007,75,257,1,9674,49
2020-09-17,12090,83,257,0,9718,44
2020-09-18,12193,103,257,0,9759,41
2020-09-19,12290,97,257,0,9799,40
2020-09-20,12384,94,257,0,9800,1
2020-09-21,12481,97,257,0,9800,0
2020-09-22,12562,81,258,1,9842,42
2020-09-23,12653,91,258,0,9888,46
2020-09-24,12755,102,258,0,9933,45
2020-09-25,12853,98,258,0,9981,48
2020-09-26,12963,110,258,0,10024,43
2020-09-27,13078,115,258,0,10024,0
2020-09-28,13193,115,258,0,10024,0
2020-09-29,13317,124,260,2,10071,47
2020-09-30,13448,131,260,0,10116,45
2020-10-01,13589,141,260,0,10164,48
2020-10-02,13736,147,260,0,10210,46
2020-10-03,13896,160,261,1,10257,47
2020-10-04,14072,176,261,0,10257,0
2020-10-05,14251,179,262,1,10260,3
2020-10-06,14438,187,262,0,10308,48
2020-10-07,14617,179,263,1,10357,49
2020-10-08,14799,182,263,0,10404,47
2020-10-09,14982,183,265,2,10453,49
2020-10-10,15181,199,266,1,10500,47
2020-10-11,15427,246,266,0,10503,3
2020-10-12,15669,242,266,0,10508,5
2020-10-13,15867,198,268,2,10558,50
2020-10-14,16062,195,271,3,10605,47
