date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,1,1,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,2,1,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,3,1,0,0,0,0
2020-03-29,3,0,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,5,2,0,0,0,0
2020-04-02,5,0,0,0,0,0
2020-04-03,7,2,0,0,0,0
2020-04-04,19,12,0,0,0,0
2020-04-05,19,0,0,0,0,0
2020-04-06,24,5,0,0,0,0
2020-04-07,56,32,0,0,0,0
2020-04-08,57,1,0,0,0,0
2020-04-09,97,40,0,0,3,3
2020-04-10,97,0,0,0,3,0
2020-04-11,123,26,0,0,3,0
2020-04-12,141,18,0,0,3,0
2020-04-13,142,1,0,0,3,0
2020-04-14,142,0,0,0,7,4
2020-04-15,164,22,0,0,12,5
2020-04-16,201,37,0,0,23,11
2020-04-17,228,27,1,1,23,0
2020-04-18,256,28,1,0,29,6
2020-04-19,279,23,1,0,30,1
2020-04-20,321,42,1,0,30,0
2020-04-21,350,29,1,0,58,28
2020-04-22,399,49,1,0,62,4
2020-04-23,459,60,2,1,68,6
2020-04-24,494,35,2,0,82,14
2020-04-25,521,27,2,0,84,2
2020-04-26,599,78,3,1,90,6
2020-04-27,642,43,4,1,102,12
2020-04-28,668,26,4,0,102,0
2020-04-29,783,115,4,0,163,61
2020-04-30,901,118,8,4,222,59
2020-05-01,989,88,9,1,240,18
2020-05-02,1062,73,9,0,261,21
2020-05-03,1148,86,9,0,276,15
2020-05-04,1250,102,12,3,294,18
2020-05-05,1287,37,12,0,313,19
2020-05-06,1367,80,12,0,369,56
2020-05-07,1442,75,12,0,379,10
2020-05-08,1514,72,17,5,417,38
2020-05-09,1537,23,17,0,450,33
2020-05-10,1605,68,17,0,500,50
2020-05-11,1678,73,22,5,536,36
2020-05-12,1753,75,29,7,592,56
2020-05-13,1826,73,30,1,670,78
2020-05-14,1908,82,30,0,748,78
2020-05-15,1995,87,30,0,834,86
2020-05-16,2080,85,30,0,909,75
2020-05-17,2178,98,30,0,1001,92
2020-05-18,2293,115,30,0,1017,16
2020-05-19,2405,112,30,0,1042,25
2020-05-20,2515,110,31,1,1129,87
2020-05-21,2632,117,31,0,1211,82
2020-05-22,2737,105,31,0,1289,78
2020-05-23,2840,103,31,0,1416,127
2020-05-24,2951,111,31,0,1474,58
2020-05-25,3057,106,31,0,1581,107
2020-05-26,3156,99,31,0,1681,100
2020-05-27,3254,98,31,0,1784,103
2020-05-28,3363,109,31,0,1893,109
2020-05-29,3473,110,31,0,2006,113
2020-05-30,3578,105,31,0,2109,103
2020-05-31,3685,107,31,0,2217,108
2020-06-01,3787,102,31,0,2321,104
2020-06-02,3885,98,31,0,2422,101
2020-06-03,3982,97,31,0,2522,100
2020-06-04,4078,96,31,0,2623,101
2020-06-05,4174,96,31,0,2720,97
2020-06-06,4269,95,31,0,2818,98
2020-06-07,4364,95,31,0,2917,99
2020-06-08,4458,94,31,0,3021,104
2020-06-09,4551,93,31,0,3120,99
2020-06-10,4641,90,31,0,3217,97
2020-06-11,4732,91,32,1,3316,99
2020-06-12,4825,93,32,0,3431,115
2020-06-13,4920,95,32,0,3519,88
2020-06-14,5011,91,32,0,3609,90
2020-06-15,5098,87,32,0,3688,79
2020-06-16,5183,85,32,0,3761,73
2020-06-17,5270,87,32,0,3839,78
2020-06-18,5345,75,32,0,3904,65
2020-06-19,5421,76,32,0,3969,65
2020-06-20,5498,77,32,0,4034,65
2020-06-21,5579,81,32,0,4065,31
2020-06-22,5655,76,34,2,4138,73
2020-06-23,5729,74,34,0,4170,32
2020-06-24,5801,72,34,0,4216,46
2020-06-25,5870,69,34,0,4272,56
2020-06-26,5941,71,34,0,4292,20
2020-06-27,6011,70,34,0,4357,65
2020-06-28,6079,68,34,0,4405,48
2020-06-29,6147,68,34,0,4415,10
2020-06-30,6212,65,34,0,4427,12
2020-07-01,6271,59,34,0,4489,62
2020-07-02,6325,54,34,0,4541,52
2020-07-03,6378,53,34,0,4564,23
2020-07-04,6429,51,34,0,4639,75
2020-07-05,6479,50,34,0,4716,77
2020-07-06,6522,43,34,0,4729,13
2020-07-07,6563,41,34,0,4740,11
2020-07-08,6603,40,35,1,4809,69
2020-07-09,6643,40,35,0,4886,77
2020-07-10,6679,36,35,0,4965,79
2020-07-11,6725,46,35,0,5037,72
2020-07-12,6770,45,35,0,5126,89
2020-07-13,6817,47,35,0,5131,5
2020-07-14,6862,45,35,0,5157,26
2020-07-15,6906,44,35,0,5210,53
2020-07-16,6947,41,35,0,5269,59
2020-07-17,6978,31,35,0,5314,45
2020-07-18,7008,30,35,0,5367,53
2020-07-19,7038,30,35,0,5416,49
2020-07-20,7068,30,35,0,5450,34
2020-07-21,7091,23,35,0,5491,41
2020-07-22,7116,25,35,0,5560,69
2020-07-23,7141,25,35,0,5651,91
2020-07-24,7164,23,35,0,5685,34
2020-07-25,7194,30,35,0,5721,36
2020-07-26,7221,27,35,0,5754,33
2020-07-27,7245,24,35,0,5774,20
2020-07-28,7272,27,35,0,5790,16
2020-07-29,7305,33,35,0,5823,33
2020-07-30,7340,35,35,0,5863,40
2020-07-31,7370,30,35,0,5919,56
2020-08-01,7400,30,35,0,5999,80
2020-08-02,7430,30,35,0,6074,75
2020-08-03,7460,30,35,0,6121,47
2020-08-04,7490,30,35,0,6124,3
2020-08-05,7522,32,35,0,6162,38
2020-08-06,7546,24,35,0,6190,28
2020-08-07,7565,19,35,0,6217,27
2020-08-08,7590,25,35,0,6241,24
2020-08-09,7622,32,35,0,6265,24
2020-08-10,7650,28,35,0,6270,5
2020-08-11,7677,27,35,0,6270,0
2020-08-12,7707,30,35,0,6293,23
2020-08-13,7739,32,35,0,6310,17
2020-08-14,7773,34,35,0,6330,20
2020-08-15,7805,32,35,0,6347,17
2020-08-16,7830,25,35,0,6366,19
2020-08-17,7852,22,35,0,6372,6
2020-08-18,7869,17,35,0,6373,1
2020-08-19,7889,20,35,0,6406,33
2020-08-20,7904,15,35,0,6434,28
2020-08-21,7934,30,35,0,6456,22
2020-08-22,7963,29,35,0,6477,21
2020-08-23,7993,30,35,0,6558,81
2020-08-24,8022,29,35,0,6614,56
2020-08-25,8047,25,35,0,6614,0
2020-08-26,8073,26,35,0,6643,29
2020-08-27,8097,24,35,0,6666,23
2020-08-28,8125,28,35,0,6689,23
2020-08-29,8159,34,35,0,6708,19
2020-08-30,8194,35,35,0,6731,23
2020-08-31,8227,33,35,0,6734,3
2020-09-01,8252,25,35,0,6735,1
2020-09-02,8278,26,35,0,6768,33
2020-09-03,8305,27,35,0,6784,16
2020-09-04,8337,32,35,0,6806,22
2020-09-05,8370,33,35,0,6828,22
2020-09-06,8405,35,35,0,6865,37
2020-09-07,8437,32,35,0,6904,39
2020-09-08,8465,28,35,0,6923,19
2020-09-09,8497,32,35,0,6954,31
2020-09-10,8533,36,35,0,6992,38
2020-09-11,8571,38,35,0,7027,35
2020-09-12,8606,35,35,0,7046,19
2020-09-13,8645,39,35,0,7066,20
2020-09-14,8687,42,35,0,7080,14
2020-09-15,8733,46,35,0,7090,10
2020-09-16,8782,49,35,0,7113,23
2020-09-17,8830,48,35,0,7166,53
2020-09-18,8878,48,37,2,7233,67
2020-09-19,8927,49,37,0,7288,55
2020-09-20,8978,51,37,0,7334,46
2020-09-21,9030,52,37,0,7347,13
2020-09-22,9078,48,37,0,7353,6
2020-09-23,9117,39,37,0,7387,34
2020-09-24,9155,38,37,0,7408,21
2020-09-25,9197,42,37,0,7434,26
2020-09-26,9239,42,37,0,7454,20
2020-09-27,9291,52,37,0,7507,53
2020-09-28,9333,42,37,0,7551,44
2020-09-29,9373,40,38,1,7575,24
2020-09-30,9421,48,38,0,7624,49
2020-10-01,9475,54,38,0,7680,56
2020-10-02,9534,59,38,0,7724,44
2020-10-03,9601,67,38,0,7749,25
2020-10-04,9673,72,38,0,7799,50
2020-10-05,9747,74,38,0,7838,39
2020-10-06,9829,82,38,0,7860,22
2020-10-07,9913,84,40,2,7913,53
2020-10-08,10000,87,40,0,7971,58
2020-10-09,10092,92,40,0,8041,70
2020-10-10,10183,91,41,1,8112,71
2020-10-11,10275,92,41,0,8197,85
2020-10-12,10360,85,41,0,8240,43
2020-10-13,10446,86,41,0,8264,24
2020-10-14,10536,90,41,0,8289,25
