date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,2,2,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,8,6,0,0,0,0
2020-03-29,8,0,0,0,0,0
2020-03-30,13,5,0,0,0,0
2020-03-31,19,6,0,0,0,0
2020-04-01,25,6,0,0,0,0
2020-04-02,30,5,0,0,0,0
2020-04-03,31,1,0,0,0,0
2020-04-04,35,4,0,0,0,0
2020-04-05,35,0,0,0,0,0
2020-04-06,43,8,0,0,0,0
2020-04-07,43,0,1,1,0,0
2020-04-08,50,7,1,0,0,0
2020-04-09,54,4,1,0,9,9
2020-04-10,60,6,1,0,12,3
2020-04-11,61,1,1,0,14,2
2020-04-12,73,12,1,0,15,1
2020-04-13,77,4,1,0,17,2
2020-04-14,86,9,1,0,17,0
2020-04-15,92,6,2,1,23,6
2020-04-16,100,8,2,0,24,1
2020-04-17,103,3,2,0,24,0
2020-04-18,112,9,2,0,26,2
2020-04-19,115,3,2,0,37,11
2020-04-20,115,0,2,0,37,0
2020-04-21,125,10,2,0,38,1
2020-04-22,153,28,2,0,49,11
2020-04-23,163,10,2,0,55,6
2020-04-24,167,4,2,0,62,7
2020-04-25,180,13,2,0,62,0
2020-04-26,186,6,2,0,69,7
2020-04-27,209,23,2,0,69,0
2020-04-28,227,18,2,0,70,1
2020-04-29,245,18,2,0,83,13
2020-04-30,271,26,3,1,88,5
2020-05-01,297,26,4,1,94,6
2020-05-02,325,28,4,0,96,2
2020-05-03,355,30,4,0,102,6
2020-05-04,373,18,4,0,105,3
2020-05-05,407,34,4,0,125,20
2020-05-06,450,43,4,0,133,8
2020-05-07,499,49,4,0,144,11
2020-05-08,518,19,4,0,162,18
2020-05-09,548,30,5,1,171,9
2020-05-10,570,22,5,0,177,6
2020-05-11,620,50,5,0,188,11
2020-05-12,659,39,5,0,200,12
2020-05-13,687,28,5,0,237,37
2020-05-14,736,49,5,0,256,19
2020-05-15,824,88,6,1,277,21
2020-05-16,865,41,6,0,302,25
2020-05-17,892,27,6,0,321,19
2020-05-18,948,56,6,0,360,39
2020-05-19,973,25,6,0,384,24
2020-05-20,1015,42,6,0,403,19
2020-05-21,1042,27,6,0,436,33
2020-05-22,1090,48,6,0,474,38
2020-05-23,1124,34,6,0,514,40
2020-05-24,1143,19,7,1,558,44
2020-05-25,1209,66,7,0,569,11
2020-05-26,1254,45,7,0,598,29
2020-05-27,1313,59,8,1,635,37
2020-05-28,1364,51,8,0,681,46
2020-05-29,1411,47,10,2,713,32
2020-05-30,1438,27,10,0,756,43
2020-05-31,1467,29,10,0,796,40
2020-06-01,1513,46,10,0,818,22
2020-06-02,1563,50,10,0,874,56
2020-06-03,1587,24,10,0,917,43
2020-06-04,1633,46,10,0,975,58
2020-06-05,1681,48,10,0,999,24
2020-06-06,1733,52,11,1,1026,27
2020-06-07,1785,52,11,0,1058,32
2020-06-08,1833,48,11,0,1067,9
2020-06-09,1877,44,11,0,1113,46
2020-06-10,1956,79,11,0,1147,34
2020-06-11,2020,64,11,0,1176,29
2020-06-12,2110,90,11,0,1235,59
2020-06-13,2153,43,11,0,1290,55
2020-06-14,2203,50,11,0,1319,29
2020-06-15,2252,49,11,0,1356,37
2020-06-16,2303,51,11,0,1414,58
2020-06-17,2341,38,11,0,1445,31
2020-06-18,2392,51,12,1,1456,11
2020-06-19,2446,54,12,0,1567,111
2020-06-20,2501,55,14,2,1610,43
2020-06-21,2549,48,16,2,1649,39
2020-06-22,2591,42,16,0,1677,28
2020-06-23,2634,43,16,0,1762,85
2020-06-24,2682,48,16,0,1815,53
2020-06-25,2731,49,17,1,1826,11
2020-06-26,2775,44,17,0,1864,38
2020-06-27,2831,56,17,0,1906,42
2020-06-28,2857,26,18,1,1929,23
2020-06-29,2886,29,19,1,1965,36
2020-06-30,2924,38,19,0,2001,36
2020-07-01,2957,33,19,0,2028,27
2020-07-02,2991,34,19,0,2059,31
2020-07-03,3034,43,21,2,2112,53
2020-07-04,3071,37,21,0,2163,51
2020-07-05,3100,29,21,0,2197,34
2020-07-06,3141,41,22,1,2224,27
2020-07-07,3175,34,22,0,2289,65
2020-07-08,3219,44,22,0,2335,46
2020-07-09,3257,38,24,2,2371,36
2020-07-10,3298,41,24,0,2425,54
2020-07-11,3341,43,25,1,2473,48
2020-07-12,3378,37,25,0,2513,40
2020-07-13,3414,36,25,0,2542,29
2020-07-14,3449,35,26,1,2619,77
2020-07-15,3481,32,27,1,2676,57
2020-07-16,3522,41,29,2,2720,44
2020-07-17,3566,44,32,3,2753,33
2020-07-18,3608,42,32,0,2781,28
2020-07-19,3651,43,32,0,2804,23
2020-07-20,3692,41,32,0,2820,16
2020-07-21,3729,37,35,3,2860,40
2020-07-22,3767,38,36,1,2904,44
2020-07-23,3786,19,36,0,2952,48
2020-07-24,3824,38,37,1,2994,42
2020-07-25,3864,40,37,0,3026,32
2020-07-26,3902,38,37,0,3055,29
2020-07-27,3934,32,37,0,3088,33
2020-07-28,3969,35,39,2,3142,54
2020-07-29,4007,38,39,0,3200,58
2020-07-30,4046,39,39,0,3278,78
2020-07-31,4081,35,40,1,3315,37
2020-08-01,4123,42,40,0,3363,48
2020-08-02,4159,36,40,0,3378,15
2020-08-03,4199,40,40,0,3400,22
2020-08-04,4238,39,40,0,3466,66
2020-08-05,4263,25,42,2,3499,33
2020-08-06,4287,24,42,0,3531,32
2020-08-07,4316,29,42,0,3585,54
2020-08-08,4345,29,42,0,3639,54
2020-08-09,4379,34,42,0,3647,8
2020-08-10,4409,30,42,0,3659,12
2020-08-11,4444,35,42,0,3719,60
2020-08-12,4475,31,42,0,3808,89
2020-08-13,4507,32,42,0,3881,73
2020-08-14,4537,30,42,0,3935,54
2020-08-15,4566,29,42,0,3973,38
2020-08-16,4600,34,42,0,3991,18
2020-08-17,4630,30,42,0,4002,11
2020-08-18,4663,33,42,0,4050,48
2020-08-19,4699,36,42,0,4098,48
2020-08-20,4731,32,43,1,4135,37
2020-08-21,4769,38,43,0,4175,40
2020-08-22,4804,35,43,0,4208,33
2020-08-23,4860,56,44,1,4224,16
2020-08-24,4906,46,45,1,4241,17
2020-08-25,4954,48,46,1,4290,49
2020-08-26,5001,47,46,0,4323,33
2020-08-27,5042,41,46,0,4355,32
2020-08-28,5087,45,46,0,4372,17
2020-08-29,5136,49,46,0,4402,30
2020-08-30,5190,54,47,1,4426,24
2020-08-31,5243,53,47,0,4426,0
2020-09-01,5291,48,50,3,4456,30
2020-09-02,5331,40,53,3,4502,46
2020-09-03,5380,49,54,1,4546,44
2020-09-04,5427,47,55,1,4571,25
2020-09-05,5481,54,55,0,4597,26
2020-09-06,5531,50,55,0,4624,27
2020-09-07,5582,51,55,0,4642,18
2020-09-08,5632,50,55,0,4694,52
2020-09-09,5666,34,60,5,4742,48
2020-09-10,5705,39,60,0,4795,53
2020-09-11,5748,43,60,0,4847,52
2020-09-12,5796,48,60,0,4892,45
2020-09-13,5844,48,61,1,4932,40
2020-09-14,5889,45,61,0,4961,29
2020-09-15,5937,48,61,0,5039,78
2020-09-16,5984,47,62,1,5109,70
2020-09-17,6028,44,62,0,5154,45
2020-09-18,6088,60,62,0,5182,28
2020-09-19,6152,64,62,0,5223,41
2020-09-20,6219,67,63,1,5239,16
2020-09-21,6286,67,63,0,5246,7
2020-09-22,6352,66,65,2,5307,61
2020-09-23,6417,65,65,0,5375,68
2020-09-24,6483,66,65,0,5516,141
2020-09-25,6551,68,65,0,5541,25
2020-09-26,6619,68,68,3,5614,73
2020-09-27,6687,68,68,0,5654,40
2020-09-28,6753,66,68,0,5682,28
2020-09-29,6821,68,68,0,5758,76
2020-09-30,6888,67,71,3,5843,85
2020-10-01,6963,75,71,0,5948,105
2020-10-02,7042,79,71,0,5999,51
2020-10-03,7126,84,72,1,6060,61
2020-10-04,7215,89,72,0,6097,37
2020-10-05,7313,98,75,3,6137,40
2020-10-06,7408,95,75,0,6215,78
2020-10-07,7503,95,77,2,6285,70
2020-10-08,7598,95,77,0,6379,94
2020-10-09,7694,96,81,4,6477,98
2020-10-10,7792,98,81,0,6561,84
2020-10-11,7889,97,81,0,6583,22
2020-10-12,7987,98,82,1,6612,29
2020-10-13,8085,98,89,7,6734,122
2020-10-14,8195,110,92,3,6797,63
