date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,1,1,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,3,2,0,0,0,0
2020-03-28,5,2,0,0,0,0
2020-03-29,9,4,0,0,0,0
2020-03-30,9,0,0,0,0,0
2020-03-31,9,0,0,0,0,0
2020-04-01,10,1,0,0,0,0
2020-04-02,10,0,1,1,0,0
2020-04-03,12,2,1,0,0,0
2020-04-04,15,3,1,0,0,0
2020-04-05,15,0,1,0,0,0
2020-04-06,16,1,1,0,0,0
2020-04-07,17,1,1,0,12,12
2020-04-08,22,5,1,0,15,3
2020-04-09,22,0,1,0,15,0
2020-04-10,22,0,1,0,15,0
2020-04-11,30,8,1,0,15,0
2020-04-12,47,17,3,2,15,0
2020-04-13,49,2,5,2,15,0
2020-04-14,64,15,5,0,15,0
2020-04-15,105,41,5,0,15,0
2020-04-16,108,3,5,0,15,0
2020-04-17,115,7,5,0,15,0
2020-04-18,175,60,5,0,15,0
2020-04-19,219,44,5,0,19,4
2020-04-20,264,45,5,0,19,0
2020-04-21,303,39,5,0,19,0
2020-04-22,323,20,6,1,19,0
2020-04-23,347,24,6,0,19,0
2020-04-24,365,18,6,0,23,4
2020-04-25,387,22,6,0,23,0
2020-04-26,409,22,6,0,23,0
2020-04-27,429,20,6,0,23,0
2020-04-28,447,18,7,1,79,56
2020-04-29,465,18,7,0,79,0
2020-04-30,485,20,7,0,127,48
2020-05-01,504,19,7,0,231,104
2020-05-02,525,21,8,1,276,45
2020-05-03,553,28,8,0,286,10
2020-05-04,583,30,8,0,286,0
2020-05-05,615,32,8,0,306,20
2020-05-06,645,30,8,0,316,10
2020-05-07,674,29,8,0,369,53
2020-05-08,705,31,8,0,369,0
2020-05-09,733,28,8,0,404,35
2020-05-10,759,26,8,0,422,18
2020-05-11,787,28,8,0,445,23
2020-05-12,813,26,9,1,445,0
2020-05-13,841,28,9,0,474,29
2020-05-14,865,24,9,0,502,28
2020-05-15,891,26,9,0,529,27
2020-05-16,918,27,9,0,569,40
2020-05-17,943,25,9,0,580,11
2020-05-18,966,23,10,1,582,2
2020-05-19,986,20,11,1,612,30
2020-05-20,1005,19,11,0,620,8
2020-05-21,1026,21,11,0,635,15
2020-05-22,1046,20,11,0,643,8
2020-05-23,1066,20,12,1,659,16
2020-05-24,1090,24,12,0,660,1
2020-05-25,1112,22,13,1,660,0
2020-05-26,1133,21,13,0,690,30
2020-05-27,1152,19,13,0,698,8
2020-05-28,1174,22,13,0,745,47
2020-05-29,1192,18,13,0,787,42
2020-05-30,1209,17,13,0,825,38
2020-05-31,1227,18,13,0,828,3
2020-06-01,1247,20,13,0,836,8
2020-06-02,1264,17,13,0,847,11
2020-06-03,1278,14,14,1,894,47
2020-06-04,1291,13,14,0,973,79
2020-06-05,1306,15,14,0,982,9
2020-06-06,1326,20,14,0,988,6
2020-06-07,1345,19,14,0,990,2
2020-06-08,1365,20,15,1,993,3
2020-06-09,1384,19,16,1,1024,31
2020-06-10,1400,16,16,0,1073,49
2020-06-11,1420,20,16,0,1119,46
2020-06-12,1441,21,17,1,1121,2
2020-06-13,1464,23,17,0,1123,2
2020-06-14,1481,17,17,0,1128,5
2020-06-15,1496,15,17,0,1128,0
2020-06-16,1513,17,17,0,1137,9
2020-06-17,1529,16,19,2,1145,8
2020-06-18,1543,14,19,0,1147,2
2020-06-19,1560,17,19,0,1147,0
2020-06-20,1579,19,20,1,1153,6
2020-06-21,1600,21,20,0,1153,0
2020-06-22,1619,19,20,0,1153,0
2020-06-23,1634,15,20,0,1174,21
2020-06-24,1645,11,20,0,1175,1
2020-06-25,1654,9,21,1,1176,1
2020-06-26,1664,10,21,0,1177,1
2020-06-27,1677,13,21,0,1180,3
2020-06-28,1694,17,22,1,1180,0
2020-06-29,1708,14,22,0,1180,0
2020-06-30,1713,5,22,0,1193,13
2020-07-01,1723,10,23,1,1195,2
2020-07-02,1736,13,23,0,1198,3
2020-07-03,1748,12,23,0,1199,1
2020-07-04,1757,9,24,1,1209,10
2020-07-05,1772,15,24,0,1212,3
2020-07-06,1786,14,24,0,1214,2
2020-07-07,1795,9,25,1,1220,6
2020-07-08,1801,6,25,0,1225,5
2020-07-09,1809,8,26,1,1237,12
2020-07-10,1814,5,26,0,1238,1
2020-07-11,1821,7,26,0,1240,2
2020-07-12,1832,11,27,1,1240,0
2020-07-13,1842,10,27,0,1245,5
2020-07-14,1851,9,28,1,1271,26
2020-07-15,1863,12,28,0,1275,4
2020-07-16,1878,15,28,0,1294,19
2020-07-17,1895,17,29,1,1298,4
2020-07-18,1908,13,29,0,1300,2
2020-07-19,1919,11,29,0,1300,0
2020-07-20,1927,8,30,1,1307,7
2020-07-21,1937,10,30,0,1312,5
2020-07-22,1949,12,30,0,1318,6
2020-07-23,1958,9,30,0,1321,3
2020-07-24,1971,13,31,1,1326,5
2020-07-25,1985,14,31,0,1328,2
2020-07-26,2000,15,31,0,1328,0
2020-07-27,2010,10,31,0,1335,7
2020-07-28,2018,8,31,0,1343,8
2020-07-29,2030,12,32,1,1348,5
2020-07-30,2046,16,32,0,1357,9
2020-07-31,2060,14,32,0,1363,6
2020-08-01,2072,12,32,0,1369,6
2020-08-02,2082,10,33,1,1387,18
2020-08-03,2093,11,33,0,1390,3
2020-08-04,2102,9,33,0,1393,3
2020-08-05,2114,12,33,0,1397,4
2020-08-06,2122,8,33,0,1400,3
2020-08-07,2132,10,33,0,1408,8
2020-08-08,2140,8,34,1,1418,10
2020-08-09,2147,7,34,0,1420,2
2020-08-10,2152,5,34,0,1423,3
2020-08-11,2158,6,35,1,1431,8
2020-08-12,2165,7,35,0,1435,4
2020-08-13,2170,5,35,0,1435,0
2020-08-14,2177,7,35,0,1458,23
2020-08-15,2183,6,37,2,1462,4
2020-08-16,2190,7,37,0,1462,0
2020-08-17,2194,4,37,0,1462,0
2020-08-18,2200,6,37,0,1487,25
2020-08-19,2205,5,37,0,1498,11
2020-08-20,2209,4,37,0,1505,7
2020-08-21,2215,6,38,1,1507,2
2020-08-22,2222,7,38,0,1511,4
2020-08-23,2228,6,38,0,1526,15
2020-08-24,2233,5,38,0,1526,0
2020-08-25,2240,7,38,0,1551,25
2020-08-26,2245,5,38,0,1559,8
2020-08-27,2249,4,38,0,1565,6
2020-08-28,2253,4,38,0,1568,3
2020-08-29,2258,5,38,0,1578,10
2020-08-30,2265,7,38,0,1591,13
2020-08-31,2270,5,38,0,1596,5
2020-09-01,2274,4,38,0,1607,11
2020-09-02,2280,6,38,0,1628,21
2020-09-03,2286,6,38,0,1628,0
2020-09-04,2290,4,39,1,1651,23
2020-09-05,2296,6,39,0,1661,10
2020-09-06,2303,7,39,0,1668,7
2020-09-07,2307,4,40,1,1668,0
2020-09-08,2314,7,40,0,1685,17
2020-09-09,2322,8,40,0,1703,18
2020-09-10,2327,5,40,0,1739,36
2020-09-11,2333,6,40,0,1739,0
2020-09-12,2337,4,40,0,1753,14
2020-09-13,2341,4,40,0,1757,4
2020-09-14,2347,6,40,0,1762,5
2020-09-15,2352,5,40,0,1782,20
2020-09-16,2356,4,40,0,1785,3
2020-09-17,2361,5,40,0,1785,0
2020-09-18,2368,7,40,0,1786,1
2020-09-19,2374,6,40,0,1811,25
2020-09-20,2378,4,40,0,1817,6
2020-09-21,2384,6,40,0,1822,5
2020-09-22,2388,4,40,0,1830,8
2020-09-23,2393,5,40,0,1830,0
2020-09-24,2397,4,40,0,1836,6
2020-09-25,2404,7,40,0,1842,6
2020-09-26,2409,5,40,0,1842,0
2020-09-27,2413,4,40,0,1846,4
2020-09-28,2419,6,40,0,1848,2
2020-09-29,2424,5,40,0,1871,23
2020-09-30,2428,4,40,0,1877,6
2020-10-01,2434,6,40,0,1883,6
2020-10-02,2441,7,40,0,1889,6
2020-10-03,2447,6,40,0,1908,19
2020-10-04,2451,4,40,0,1908,0
2020-10-05,2458,7,41,1,1913,5
2020-10-06,2463,5,41,0,1948,35
2020-10-07,2469,6,41,0,1958,10
2020-10-08,2473,4,41,0,1966,8
2020-10-09,2479,6,41,0,1966,0
2020-10-10,2484,5,42,1,2031,65
2020-10-11,2491,7,42,0,2033,2
2020-10-12,2498,7,42,0,2035,2
2020-10-13,2503,5,42,0,2039,4
2020-10-14,2507,4,42,0,2041,2
