date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,1,1,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,2,1,0,0,0,0
2020-03-26,5,3,0,0,0,0
2020-03-27,5,0,0,0,0,0
2020-03-28,9,4,0,0,0,0
2020-03-29,12,3,0,0,0,0
2020-03-30,14,2,0,0,0,0
2020-03-31,14,0,0,0,0,0
2020-04-01,21,7,0,0,0,0
2020-04-02,21,0,0,0,2,2
2020-04-03,23,2,0,0,2,0
2020-04-04,26,3,0,0,2,0
2020-04-05,27,1,0,0,2,0
2020-04-06,31,4,0,0,2,0
2020-04-07,32,1,0,0,4,2
2020-04-08,32,0,0,0,4,0
2020-04-09,34,2,0,0,6,2
2020-04-10,34,0,0,0,10,4
2020-04-11,40,6,0,0,10,0
2020-04-12,40,0,0,0,11,1
2020-04-13,43,3,0,0,12,1
2020-04-14,48,5,0,0,12,0
2020-04-15,51,3,0,0,13,1
2020-04-16,53,2,0,0,22,9
2020-04-17,57,4,0,0,26,4
2020-04-18,61,4,0,0,29,3
2020-04-19,68,7,0,0,33,4
2020-04-20,78,10,0,0,35,2
2020-04-21,92,14,0,0,35,0
2020-04-22,102,10,0,0,38,3
2020-04-23,111,9,0,0,38,0
2020-04-24,168,57,0,0,43,5
2020-04-25,240,72,0,0,45,2
2020-04-26,302,62,0,0,47,2
2020-04-27,360,58,0,0,47,0
2020-04-28,408,48,0,0,47,0
2020-04-29,427,19,1,1,49,2
2020-04-30,494,67,1,0,54,5
2020-05-01,538,44,1,0,57,3
2020-05-02,568,30,2,1,66,9
2020-05-03,631,63,2,0,69,3
2020-05-04,682,51,3,1,74,5
2020-05-05,768,86,3,0,96,22
2020-05-06,812,44,3,0,111,15
2020-05-07,839,27,3,0,124,13
2020-05-08,881,42,3,0,148,24
2020-05-09,951,70,3,0,188,40
2020-05-10,1041,90,4,1,249,61
2020-05-11,1118,77,4,0,263,14
2020-05-12,1212,94,4,0,301,38
2020-05-13,1263,51,4,0,311,10
2020-05-14,1307,44,5,1,360,49
2020-05-15,1407,100,6,1,438,78
2020-05-16,1476,69,6,0,496,58
2020-05-17,1574,98,6,0,543,47
2020-05-18,1659,85,6,0,564,21
2020-05-19,1755,96,9,3,593,29
2020-05-20,1829,74,10,1,644,51
2020-05-21,1913,84,11,1,694,50
2020-05-22,1993,80,11,0,725,31
2020-05-23,2073,80,11,0,754,29
2020-05-24,2135,62,12,1,819,65
2020-05-25,2180,45,12,0,907,88
2020-05-26,2216,36,13,1,924,17
2020-05-27,2286,70,13,0,988,64
2020-05-28,2368,82,14,1,1057,69
2020-05-29,2509,141,15,1,1106,49
2020-05-30,2659,150,16,1,1180,74
2020-05-31,2795,136,16,0,1258,78
2020-06-01,2929,134,18,2,1323,65
2020-06-02,3042,113,19,1,1336,13
2020-06-03,3150,108,20,1,1394,58
2020-06-04,3263,113,21,1,1479,85
2020-06-05,3371,108,23,2,1540,61
2020-06-06,3499,128,26,3,1651,111
2020-06-07,3614,115,28,2,1721,70
2020-06-08,3737,123,31,3,1801,80
2020-06-09,3880,143,33,2,1867,66
2020-06-10,4015,135,37,4,1967,100
2020-06-11,4130,115,37,0,2099,132
2020-06-12,4221,91,37,0,2187,88
2020-06-13,4341,120,40,3,2309,122
2020-06-14,4482,141,43,3,2399,90
2020-06-15,4651,169,47,4,2434,35
2020-06-16,4822,171,47,0,2463,29
2020-06-17,4958,136,47,0,2560,97
2020-06-18,5125,167,51,4,2600,40
2020-06-19,5291,166,60,9,2640,40
2020-06-20,5467,176,61,1,2888,248
2020-06-21,5649,182,61,0,2928,40
2020-06-22,5825,176,62,1,2955,27
2020-06-23,6083,258,70,8,3015,60
2020-06-24,6268,185,70,0,3343,328
2020-06-25,6442,174,70,0,3500,157
2020-06-26,6602,160,88,18,3500,0
2020-06-27,6760,158,88,0,3560,60
2020-06-28,6912,152,88,0,3615,55
2020-06-29,7058,146,88,0,3675,60
2020-06-30,7202,144,88,0,3700,25
2020-07-01,7339,137,88,0,3770,70
2020-07-02,7473,134,88,0,3830,60
2020-07-03,7602,129,88,0,3900,70
2020-07-04,7730,128,88,0,3985,85
2020-07-05,7861,131,88,0,4122,137
2020-07-06,7989,128,88,0,4150,28
2020-07-07,8127,138,88,0,4281,131
2020-07-08,8262,135,88,0,4380,99
2020-07-09,8391,129,88,0,4652,272
2020-07-10,8520,129,88,0,4747,95
2020-07-11,8649,129,88,0,4877,130
2020-07-12,8768,119,88,0,4938,61
2020-07-13,8900,132,88,0,5039,101
2020-07-14,9032,132,88,0,5112,73
2020-07-15,9164,132,88,0,5212,100
2020-07-16,9289,125,88,0,5282,70
2020-07-17,9420,131,88,0,5282,0
2020-07-18,9552,132,88,0,5369,87
2020-07-19,9682,130,88,0,5404,35
2020-07-20,9816,134,88,0,5440,36
2020-07-21,9946,130,88,0,5622,182
2020-07-22,10078,132,89,1,5774,152
2020-07-23,10208,130,89,0,5890,116
2020-07-24,10329,121,89,0,5997,107
2020-07-25,10453,124,90,1,6130,133
2020-07-26,10584,131,90,0,6157,27
2020-07-27,10712,128,90,0,6160,3
2020-07-28,10836,124,91,1,6257,97
2020-07-29,10961,125,92,1,6318,61
2020-07-30,11080,119,92,0,6435,117
2020-07-31,11197,117,93,1,6686,251
2020-08-01,11307,110,94,1,6833,147
2020-08-02,11416,109,94,0,6891,58
2020-08-03,11523,107,94,0,6894,3
2020-08-04,11628,105,94,0,7064,170
2020-08-05,11731,103,95,1,7206,142
2020-08-06,11823,92,95,0,7347,141
2020-08-07,11912,89,95,0,7467,120
2020-08-08,11999,87,95,0,7586,119
2020-08-09,12093,94,95,0,7615,29
2020-08-10,12176,83,95,0,7693,78
2020-08-11,12261,85,96,1,7701,8
2020-08-12,12349,88,98,2,7829,128
2020-08-13,12433,84,98,0,7931,102
2020-08-14,12513,80,99,1,8036,105
2020-08-15,12589,76,99,0,8134,98
2020-08-16,12668,79,99,0,8238,104
2020-08-17,12737,69,99,0,8241,3
2020-08-18,12804,67,101,2,8368,127
2020-08-19,12875,71,101,0,8480,112
2020-08-20,12946,71,101,0,8617,137
2020-08-21,13019,73,102,1,8682,65
2020-08-22,13090,71,103,1,8817,135
2020-08-23,13160,70,103,0,8916,99
2020-08-24,13219,59,103,0,8917,1
2020-08-25,13289,70,103,0,9001,84
2020-08-26,13351,62,103,0,9110,109
2020-08-27,13420,69,104,1,9203,93
2020-08-28,13488,68,104,0,9286,83
2020-08-29,13558,70,104,0,9374,88
2020-08-30,13620,62,104,0,9383,9
2020-08-31,13682,62,104,0,9389,6
2020-09-01,13753,71,104,0,9462,73
2020-09-02,13826,73,105,1,9553,91
2020-09-03,13877,51,108,3,9616,63
2020-09-04,13934,57,108,0,9707,91
2020-09-05,14000,66,108,0,9793,86
2020-09-06,14063,63,108,0,9816,23
2020-09-07,14122,59,108,0,9817,1
2020-09-08,14187,65,108,0,9848,31
2020-09-09,14249,62,109,1,10042,194
2020-09-10,14318,69,109,0,10157,115
2020-09-11,14384,66,111,2,10324,167
2020-09-12,14453,69,111,0,10469,145
2020-09-13,14514,61,111,0,10506,37
2020-09-14,14581,67,111,0,10513,7
2020-09-15,14652,71,111,0,10611,98
2020-09-16,14724,72,114,3,10709,98
2020-09-17,14796,72,119,5,10778,69
2020-09-18,14857,61,119,0,10840,62
2020-09-19,14928,71,122,3,10969,129
2020-09-20,14997,69,122,0,10982,13
2020-09-21,15065,68,122,0,10987,5
2020-09-22,15142,77,122,0,11065,78
2020-09-23,15220,78,122,0,11161,96
2020-09-24,15295,75,122,0,11259,98
2020-09-25,15367,72,127,5,11357,98
2020-09-26,15424,57,130,3,11388,31
2020-09-27,15489,65,130,0,11441,53
2020-09-28,15551,62,130,0,11441,0
2020-09-29,15619,68,130,0,11573,132
2020-09-30,15692,73,130,0,11623,50
2020-10-01,15768,76,130,0,11699,76
2020-10-02,15847,79,135,5,11776,77
2020-10-03,15926,79,135,0,11834,58
2020-10-04,16007,81,135,0,11885,51
2020-10-05,16093,86,138,3,11927,42
2020-10-06,16182,89,138,0,12000,73
2020-10-07,16274,92,139,1,12047,47
2020-10-08,16368,94,139,0,12106,59
2020-10-09,16460,92,142,3,12195,89
2020-10-10,16553,93,142,0,12322,127
2020-10-11,16649,96,142,0,12340,18
2020-10-12,16743,94,142,0,12375,35
2020-10-13,16832,89,142,0,12446,71
2020-10-14,16924,92,145,3,12541,95
