date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,1,1,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,7,6,0,0,0,0
2020-03-26,7,0,0,0,0,0
2020-03-27,14,7,0,0,0,0
2020-03-28,15,1,0,0,0,0
2020-03-29,15,0,0,0,0,0
2020-03-30,15,0,0,0,0,0
2020-03-31,16,1,0,0,0,0
2020-04-01,16,0,0,0,0,0
2020-04-02,16,0,0,0,1,1
2020-04-03,18,2,0,0,1,0
2020-04-04,18,0,0,0,3,2
2020-04-05,20,2,0,0,3,0
2020-04-06,21,1,0,0,6,3
2020-04-07,22,1,0,0,6,0
2020-04-08,23,1,0,0,6,0
2020-04-09,26,3,0,0,7,1
2020-04-10,29,3,0,0,7,0
2020-04-11,29,0,0,0,7,0
2020-04-12,31,2,0,0,12,5
2020-04-13,32,1,0,0,12,0
2020-04-14,32,0,0,0,12,0
2020-04-15,34,2,0,0,12,0
2020-04-16,37,3,0,0,14,2
2020-04-17,40,3,0,0,14,0
2020-04-18,43,3,0,0,21,7
2020-04-19,45,2,0,0,22,1
2020-04-20,45,0,0,0,22,0
2020-04-21,46,1,0,0,22,0
2020-04-22,46,0,0,0,23,1
2020-04-23,51,5,0,0,23,0
2020-04-24,53,2,0,0,29,6
2020-04-25,57,4,0,0,29,0
2020-04-26,67,10,0,0,29,0
2020-04-27,69,2,0,0,29,0
2020-04-28,70,1,0,0,29,0
2020-04-29,79,9,0,0,34,5
2020-04-30,89,10,0,0,35,1
2020-05-01,92,3,0,0,35,0
2020-05-02,100,8,0,0,38,3
2020-05-03,104,4,0,0,38,0
2020-05-04,105,1,0,0,39,1
2020-05-05,111,6,0,0,39,0
2020-05-06,128,17,0,0,40,1
2020-05-07,160,32,1,1,44,4
2020-05-08,168,8,1,0,44,0
2020-05-09,177,9,2,1,57,13
2020-05-10,189,12,2,0,64,7
2020-05-11,193,4,2,0,64,0
2020-05-12,202,9,2,0,64,0
2020-05-13,209,7,2,0,81,17
2020-05-14,239,30,2,0,86,5
2020-05-15,245,6,2,0,89,3
2020-05-16,258,13,2,0,103,14
2020-05-17,272,14,2,0,106,3
2020-05-18,281,9,2,0,106,0
2020-05-19,294,13,2,0,113,7
2020-05-20,298,4,2,0,122,9
2020-05-21,299,1,2,0,126,4
2020-05-22,314,15,3,1,130,4
2020-05-23,324,10,3,0,152,22
2020-05-24,326,2,3,0,153,1
2020-05-25,340,14,3,0,153,0
2020-05-26,346,6,3,0,164,11
2020-05-27,349,3,3,0,181,17
2020-05-28,355,6,3,0,196,15
2020-05-29,361,6,3,0,217,21
2020-05-30,369,8,3,0,229,12
2020-05-31,375,6,3,0,229,0
2020-06-01,385,10,3,0,229,0
2020-06-02,387,2,3,0,247,18
2020-06-03,392,5,4,1,259,12
2020-06-04,399,7,5,1,285,26
2020-06-05,405,6,5,0,298,13
2020-06-06,413,8,5,0,308,10
2020-06-07,424,11,5,0,314,6
2020-06-08,438,14,5,0,317,3
2020-06-09,446,8,5,0,330,13
2020-06-10,457,11,5,0,338,8
2020-06-11,458,1,7,2,350,12
2020-06-12,483,25,7,0,357,7
2020-06-13,490,7,7,0,361,4
2020-06-14,512,22,7,0,362,1
2020-06-15,539,27,7,0,363,1
2020-06-16,546,7,7,0,367,4
2020-06-17,561,15,7,0,381,14
2020-06-18,575,14,7,0,391,10
2020-06-19,575,0,7,0,392,1
2020-06-20,590,15,7,0,403,11
2020-06-21,595,5,7,0,403,0
2020-06-22,608,13,7,0,403,0
2020-06-23,613,5,7,0,416,13
2020-06-24,623,10,7,0,432,16
2020-06-25,631,8,8,1,437,5
2020-06-26,638,7,8,0,457,20
2020-06-27,644,6,8,0,476,19
2020-06-28,646,2,9,1,477,1
2020-06-29,681,35,10,1,478,1
2020-06-30,685,4,10,0,500,22
2020-07-01,691,6,11,1,517,17
2020-07-02,698,7,11,0,517,0
2020-07-03,706,8,11,0,553,36
2020-07-04,712,6,11,0,565,12
2020-07-05,723,11,11,0,568,3
2020-07-06,761,38,11,0,568,0
2020-07-07,761,0,11,0,581,13
2020-07-08,789,28,12,1,596,15
2020-07-09,804,15,12,0,624,28
2020-07-10,815,11,12,0,636,12
2020-07-11,831,16,12,0,645,9
2020-07-12,855,24,12,0,645,0
2020-07-13,871,16,12,0,645,0
2020-07-14,878,7,12,0,658,13
2020-07-15,889,11,12,0,664,6
2020-07-16,900,11,12,0,675,11
2020-07-17,917,17,12,0,684,9
2020-07-18,931,14,13,1,721,37
2020-07-19,943,12,13,0,721,0
2020-07-20,969,26,13,0,721,0
2020-07-21,983,14,13,0,749,28
2020-07-22,994,11,13,0,762,13
2020-07-23,1012,18,13,0,792,30
2020-07-24,1038,26,14,1,797,5
2020-07-25,1056,18,14,0,827,30
2020-07-26,1077,21,14,0,827,0
2020-07-27,1104,27,14,0,827,0
2020-07-28,1116,12,15,1,843,16
2020-07-29,1139,23,15,0,861,18
2020-07-30,1163,24,15,0,897,36
2020-07-31,1176,13,15,0,912,15
2020-08-01,1204,28,15,0,919,7
2020-08-02,1241,37,15,0,923,4
2020-08-03,1269,28,15,0,932,9
2020-08-04,1305,36,15,0,945,13
2020-08-05,1323,18,15,0,964,19
2020-08-06,1347,24,16,1,991,27
2020-08-07,1386,39,16,0,1010,19
2020-08-08,1410,24,16,0,1041,31
2020-08-09,1437,27,17,1,1053,12
2020-08-10,1469,32,17,0,1054,1
2020-08-11,1517,48,17,0,1063,9
2020-08-12,1557,40,18,1,1077,14
2020-08-13,1595,38,19,1,1139,62
2020-08-14,1637,42,19,0,1167,28
2020-08-15,1664,27,20,1,1192,25
2020-08-16,1715,51,20,0,1195,3
2020-08-17,1760,45,21,1,1199,4
2020-08-18,1784,24,23,2,1245,46
2020-08-19,1820,36,24,1,1282,37
2020-08-20,1833,13,26,2,1305,23
2020-08-21,1855,22,26,0,1347,42
2020-08-22,1910,55,27,1,1372,25
2020-08-23,1957,47,27,0,1378,6
2020-08-24,2009,52,27,0,1378,0
2020-08-25,2064,55,27,0,1423,45
2020-08-26,2097,33,27,0,1502,79
2020-08-27,2131,34,28,1,1557,55
2020-08-28,2187,56,30,2,1585,28
2020-08-29,2271,84,30,0,1626,41
2020-08-30,2347,76,30,0,1648,22
2020-08-31,2399,52,30,0,1654,6
2020-09-01,2453,54,31,1,1698,44
2020-09-02,2511,58,31,0,1720,22
2020-09-03,2542,31,31,0,1744,24
2020-09-04,2582,40,32,1,1801,57
2020-09-05,2625,43,33,1,1821,20
2020-09-06,2706,81,33,0,1842,21
2020-09-07,2778,72,34,1,1853,11
2020-09-08,2845,67,34,0,1872,19
2020-09-09,2891,46,35,1,1947,75
2020-09-10,2943,52,36,1,1967,20
2020-09-11,3010,67,36,0,2010,43
2020-09-12,3080,70,38,2,2074,64
2020-09-13,3149,69,41,3,2080,6
2020-09-14,3226,77,42,1,2085,5
2020-09-15,3301,75,42,0,2141,56
2020-09-16,3341,40,43,1,2172,31
2020-09-17,3416,75,44,1,2226,54
2020-09-18,3494,78,46,2,2284,58
2020-09-19,3573,79,47,1,2400,116
2020-09-20,3650,77,47,0,2405,5
2020-09-21,3729,79,47,0,2406,1
2020-09-22,3808,79,51,4,2473,67
2020-09-23,3889,81,54,3,2532,59
2020-09-24,3972,83,56,2,2586,54
2020-09-25,4053,81,58,2,2603,17
2020-09-26,4137,84,59,1,2677,74
2020-09-27,4219,82,59,0,2692,15
2020-09-28,4305,86,59,0,2694,2
2020-09-29,4387,82,62,3,2786,92
2020-09-30,4474,87,65,3,2837,51
2020-10-01,4564,90,67,2,2863,26
2020-10-02,4657,93,67,0,2902,39
2020-10-03,4755,98,69,2,2931,29
2020-10-04,4855,100,69,0,2972,41
2020-10-05,4958,103,71,2,3012,40
2020-10-06,5063,105,72,1,3091,79
2020-10-07,5170,107,77,5,3254,163
2020-10-08,5288,118,82,5,3357,103
2020-10-09,5413,125,84,2,3402,45
2020-10-10,5553,140,85,1,3450,48
2020-10-11,5710,157,87,2,3457,7
2020-10-12,5862,152,89,2,3460,3
2020-10-13,6010,148,91,2,3551,91
2020-10-14,6168,158,94,3,3645,94
