date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,1,1,0,0,0,0
2020-03-30,2,1,0,0,0,0
2020-03-31,3,1,0,0,0,0
2020-04-01,3,0,0,0,0,0
2020-04-02,7,4,0,0,0,0
2020-04-03,8,1,0,0,0,0
2020-04-04,8,0,0,0,0,0
2020-04-05,8,0,0,0,0,0
2020-04-06,11,3,0,0,0,0
2020-04-07,14,3,1,1,0,0
2020-04-08,14,0,2,1,0,0
2020-04-09,17,3,2,0,0,0
2020-04-10,21,4,2,0,0,0
2020-04-11,23,2,2,0,0,0
2020-04-12,28,5,2,0,0,0
2020-04-13,35,7,2,0,3,3
2020-04-14,39,4,2,0,3,0
2020-04-15,39,0,2,0,3,0
2020-04-16,45,6,2,0,4,1
2020-04-17,47,2,2,0,4,0
2020-04-18,54,7,2,0,10,6
2020-04-19,55,1,2,0,12,2
2020-04-20,65,10,2,0,12,0
2020-04-21,68,3,3,1,12,0
2020-04-22,75,7,3,0,13,1
2020-04-23,75,0,3,0,21,8
2020-04-24,80,5,3,0,23,2
2020-04-25,85,5,3,0,25,2
2020-04-26,87,2,4,1,25,0
2020-04-27,87,0,4,0,25,0
2020-04-28,95,8,4,0,33,8
2020-04-29,101,6,4,0,37,4
2020-04-30,105,4,4,0,39,2
2020-05-01,123,18,4,0,50,11
2020-05-02,130,7,4,0,53,3
2020-05-03,150,20,4,0,58,5
2020-05-04,177,27,4,0,62,4
2020-05-05,200,23,4,0,65,3
2020-05-06,231,31,4,0,67,2
2020-05-07,237,6,4,0,75,8
2020-05-08,255,18,4,0,77,2
2020-05-09,271,16,4,0,77,0
2020-05-10,289,18,4,0,80,3
2020-05-11,313,24,4,0,85,5
2020-05-12,333,20,4,0,94,9
2020-05-13,353,20,4,0,100,6
2020-05-14,379,26,4,0,105,5
2020-05-15,474,95,4,0,117,12
2020-05-16,499,25,4,0,124,7
2020-05-17,526,27,4,0,135,11
2020-05-18,601,75,4,0,145,10
2020-05-19,698,97,4,0,160,15
2020-05-20,746,48,6,2,169,9
2020-05-21,780,34,6,0,178,9
2020-05-22,863,83,8,2,189,11
2020-05-23,958,95,9,1,207,18
2020-05-24,1078,120,9,0,225,18
2020-05-25,1194,116,9,0,238,13
2020-05-26,1306,112,10,1,260,22
2020-05-27,1376,70,10,0,271,11
2020-05-28,1438,62,10,0,284,13
2020-05-29,1498,60,11,1,301,17
2020-05-30,1660,162,11,0,316,15
2020-05-31,1750,90,11,0,331,15
2020-06-01,1979,229,11,0,347,16
2020-06-02,2189,210,13,2,405,58
2020-06-03,2309,120,14,1,458,53
2020-06-04,2447,138,15,1,506,48
2020-06-05,2542,95,16,1,556,50
2020-06-06,2613,71,16,0,638,82
2020-06-07,2792,179,16,0,709,71
2020-06-08,2877,85,16,0,725,16
2020-06-09,3083,206,18,2,820,95
2020-06-10,3265,182,20,2,892,72
2020-06-11,3505,240,20,0,948,56
2020-06-12,3656,151,20,0,980,32
2020-06-13,3819,163,20,0,1002,22
2020-06-14,4028,209,20,0,1010,8
2020-06-15,4155,127,20,0,1062,52
2020-06-16,4474,319,22,2,1178,116
2020-06-17,4653,179,24,2,1349,171
2020-06-18,4786,133,27,3,1432,83
2020-06-19,4950,164,31,4,1509,77
2020-06-20,5143,193,40,9,1624,115
2020-06-21,5334,191,40,0,1698,74
2020-06-22,5528,194,40,0,1778,80
2020-06-23,5726,198,40,0,1953,175
2020-06-24,5919,193,42,2,2059,106
2020-06-25,6128,209,44,2,2117,58
2020-06-26,6338,210,50,6,2254,137
2020-06-27,6575,237,55,5,2330,76
2020-06-28,6807,232,55,0,2465,135
2020-06-29,7043,236,56,1,2534,69
2020-06-30,7285,242,59,3,2704,170
2020-07-01,7533,248,63,4,2850,146
2020-07-02,7776,243,66,3,2927,77
2020-07-03,8025,249,69,3,3103,176
2020-07-04,8260,235,69,0,3231,128
2020-07-05,8501,241,69,0,3257,26
2020-07-06,8740,239,69,0,3322,65
2020-07-07,8985,245,76,7,3756,434
2020-07-08,9225,240,82,6,3845,89
2020-07-09,9468,243,86,4,4083,238
2020-07-10,9679,211,87,1,4196,113
2020-07-11,9885,206,94,7,4402,206
2020-07-12,10094,209,94,0,4490,88
2020-07-13,10297,203,94,0,4543,53
2020-07-14,10495,198,98,4,4727,184
2020-07-15,10685,190,107,9,5278,551
2020-07-16,10881,196,109,2,5625,347
2020-07-17,11074,193,115,6,5912,287
2020-07-18,11262,188,120,5,6136,224
2020-07-19,11447,185,120,0,6160,24
2020-07-20,11625,178,122,2,6227,67
2020-07-21,11806,181,123,1,6564,337
2020-07-22,11976,170,132,9,6762,198
2020-07-23,12152,176,144,12,6991,229
2020-07-24,12323,171,150,6,7211,220
2020-07-25,12487,164,150,0,7404,193
2020-07-26,12648,161,150,0,7423,19
2020-07-27,12813,165,154,4,7503,80
2020-07-28,12975,162,164,10,7953,450
2020-07-29,13134,159,167,3,8151,198
2020-07-30,13282,148,171,4,8370,219
2020-07-31,13422,140,174,3,8599,229
2020-08-01,13568,146,176,2,8799,200
2020-08-02,13711,143,176,0,8814,15
2020-08-03,13851,140,178,2,8880,66
2020-08-04,13988,137,182,4,9158,278
2020-08-05,14123,135,189,7,9518,360
2020-08-06,14251,128,198,9,9857,339
2020-08-07,14381,130,206,8,10065,208
2020-08-08,14500,119,206,0,10285,220
2020-08-09,14623,123,206,0,10297,12
2020-08-10,14743,120,209,3,10357,60
2020-08-11,14867,124,214,5,10551,194
2020-08-12,14986,119,214,0,10761,210
2020-08-13,15101,115,221,7,10943,182
2020-08-14,15211,110,224,3,11089,146
2020-08-15,15324,113,225,1,11198,109
2020-08-16,15442,118,225,0,11214,16
2020-08-17,15556,114,228,3,11251,37
2020-08-18,15664,108,237,9,11477,226
2020-08-19,15775,111,239,2,11596,119
2020-08-20,15880,105,239,0,11722,126
2020-08-21,15981,101,239,0,11838,116
2020-08-22,16086,105,239,0,11959,121
2020-08-23,16184,98,239,0,11973,14
2020-08-24,16273,89,239,0,12006,33
2020-08-25,16360,87,242,3,12225,219
2020-08-26,16434,74,245,3,12412,187
2020-08-27,16510,76,248,3,12543,131
2020-08-28,16583,73,248,0,12656,113
2020-08-29,16660,77,248,0,12777,121
2020-08-30,16732,72,248,0,12812,35
2020-08-31,16810,78,248,0,12826,14
2020-09-01,16886,76,250,2,12966,140
2020-09-02,16958,72,251,1,13080,114
2020-09-03,17033,75,252,1,13205,125
2020-09-04,17103,70,254,2,13331,126
2020-09-05,17184,81,254,0,13393,62
2020-09-06,17253,69,254,0,13393,0
2020-09-07,17328,75,254,0,13455,62
2020-09-08,17395,67,254,0,13676,221
2020-09-09,17466,71,259,5,13781,105
2020-09-10,17542,76,260,1,13862,81
2020-09-11,17615,73,261,1,13975,113
2020-09-12,17691,76,262,1,14047,72
2020-09-13,17760,69,262,0,14061,14
2020-09-14,17832,72,262,0,14108,47
2020-09-15,17905,73,264,2,14312,204
2020-09-16,17981,76,266,2,14457,145
2020-09-17,18058,77,269,3,14566,109
2020-09-18,18139,81,273,4,14712,146
2020-09-19,18211,72,274,1,14815,103
2020-09-20,18289,78,274,0,14819,4
2020-09-21,18358,69,277,3,14865,46
2020-09-22,18433,75,277,0,15053,188
2020-09-23,18506,73,278,1,15205,152
2020-09-24,18586,80,281,3,15369,164
2020-09-25,18663,77,281,0,15492,123
2020-09-26,18745,82,284,3,15668,176
2020-09-27,18821,76,284,0,15707,39
2020-09-28,18906,85,284,0,15769,62
2020-09-29,18989,83,287,3,15925,156
2020-09-30,19076,87,291,4,16025,100
2020-10-01,19168,92,297,6,16175,150
2020-10-02,19266,98,297,0,16295,120
2020-10-03,19363,97,299,2,16375,80
2020-10-04,19462,99,299,0,16386,11
2020-10-05,19570,108,302,3,16421,35
2020-10-06,19686,116,309,7,16563,142
2020-10-07,19810,124,311,2,16705,142
2020-10-08,19946,136,312,1,16827,122
2020-10-09,20092,146,315,3,16995,168
2020-10-10,20247,155,317,2,17111,116
2020-10-11,20406,159,318,1,17122,11
2020-10-12,20568,162,318,0,17177,55
2020-10-13,20739,171,320,2,17417,240
2020-10-14,20918,179,321,1,17571,154
