date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0
2020-04-07,3,3,0,0,0,0
2020-04-08,5,2,0,0,0,0
2020-04-09,6,1,0,0,0,0
2020-04-10,9,3,0,0,0,0
2020-04-11,9,0,0,0,0,0
2020-04-12,11,2,0,0,0,0
2020-04-13,13,2,0,0,0,0
2020-04-14,16,3,0,0,0,0
2020-04-15,23,7,0,0,0,0
2020-04-16,30,7,0,0,0,0
2020-04-17,49,19,0,0,0,0
2020-04-18,50,1,0,0,1,1
2020-04-19,67,17,0,0,1,0
2020-04-20,87,20,0,0,1,0
2020-04-21,106,19,0,0,1,0
2020-04-22,145,39,0,0,1,0
2020-04-23,169,24,0,0,1,0
2020-04-24,194,25,0,0,1,0
2020-04-25,240,46,0,0,1,0
2020-04-26,282,42,1,1,4,3
2020-04-27,301,19,2,1,4,0
2020-04-28,314,13,2,0,6,2
2020-04-29,330,16,2,0,14,8
2020-04-30,352,22,2,0,14,0
2020-05-01,398,46,2,0,14,0
2020-05-02,412,14,2,0,15,1
2020-05-03,430,18,2,0,22,7
2020-05-04,441,11,2,0,35,13
2020-05-05,453,12,2,0,36,1
2020-05-06,457,4,2,0,40,4
2020-05-07,463,6,2,0,41,1
2020-05-08,478,15,3,1,49,8
2020-05-09,509,31,3,0,66,17
2020-05-10,527,18,3,0,86,20
2020-05-11,539,12,3,0,86,0
2020-05-12,549,10,3,0,118,32
2020-05-13,561,12,3,0,125,7
2020-05-14,588,27,3,0,128,3
2020-05-15,614,26,3,0,129,1
2020-05-16,632,18,4,1,179,50
2020-05-17,651,19,4,0,189,10
2020-05-18,666,15,4,0,193,4
2020-05-19,677,11,4,0,210,17
2020-05-20,689,12,4,0,222,12
2020-05-21,701,12,4,0,222,0
2020-05-22,712,11,4,0,234,12
2020-05-23,732,20,4,0,243,9
2020-05-24,757,25,4,0,243,0
2020-05-25,783,26,4,0,255,12
2020-05-26,814,31,4,0,262,7
2020-05-27,853,39,5,1,268,6
2020-05-28,895,42,5,0,294,26
2020-05-29,951,56,5,0,296,2
2020-05-30,1005,54,5,0,304,8
2020-05-31,1067,62,5,0,308,4
2020-06-01,1137,70,5,0,327,19
2020-06-02,1204,67,5,0,340,13
2020-06-03,1276,72,5,0,348,8
2020-06-04,1354,78,7,2,369,21
2020-06-05,1430,76,7,0,399,30
2020-06-06,1505,75,7,0,405,6
2020-06-07,1580,75,8,1,418,13
2020-06-08,1654,74,9,1,453,35
2020-06-09,1729,75,9,0,472,19
2020-06-10,1807,78,9,0,490,18
2020-06-11,1889,82,9,0,500,10
2020-06-12,1969,80,9,0,509,9
2020-06-13,2058,89,9,0,510,1
2020-06-14,2156,98,9,0,541,31
2020-06-15,2255,99,9,0,577,36
2020-06-16,2349,94,9,0,579,2
2020-06-17,2446,97,9,0,582,3
2020-06-18,2545,99,9,0,620,38
2020-06-19,2639,94,9,0,777,157
2020-06-20,2730,91,9,0,897,120
2020-06-21,2815,85,9,0,925,28
2020-06-22,2902,87,9,0,933,8
2020-06-23,2983,81,10,1,993,60
2020-06-24,3067,84,12,2,1062,69
2020-06-25,3149,82,12,0,1123,61
2020-06-26,3221,72,12,0,1172,49
2020-06-27,3305,84,12,0,1215,43
2020-06-28,3379,74,12,0,1314,99
2020-06-29,3448,69,12,0,1382,68
2020-06-30,3520,72,12,0,1452,70
2020-07-01,3599,79,13,1,1491,39
2020-07-02,3668,69,15,2,1597,106
2020-07-03,3730,62,15,0,1673,76
2020-07-04,3774,44,15,0,1777,104
2020-07-05,3817,43,15,0,1853,76
2020-07-06,3850,33,15,0,1877,24
2020-07-07,3882,32,15,0,2002,125
2020-07-08,3919,37,15,0,2073,71
2020-07-09,3957,38,15,0,2210,137
2020-07-10,3988,31,15,0,2263,53
2020-07-11,4017,29,15,0,2341,78
2020-07-12,4044,27,17,2,2347,6
2020-07-13,4065,21,18,1,2379,32
2020-07-14,4084,19,18,0,2497,118
2020-07-15,4109,25,20,2,2548,51
2020-07-16,4134,25,20,0,2579,31
2020-07-17,4162,28,20,0,2612,33
2020-07-18,4185,23,20,0,2671,59
2020-07-19,4212,27,20,0,2671,0
2020-07-20,4234,22,20,0,2671,0
2020-07-21,4259,25,20,0,2738,67
2020-07-22,4283,24,20,0,2759,21
2020-07-23,4310,27,20,0,2806,47
2020-07-24,4333,23,20,0,2860,54
2020-07-25,4354,21,20,0,2872,12
2020-07-26,4378,24,20,0,2881,9
2020-07-27,4397,19,20,0,2953,72
2020-07-28,4415,18,20,0,3079,126
2020-07-29,4423,8,21,1,3081,2
2020-07-30,4433,10,21,0,3132,51
2020-07-31,4442,9,23,2,3170,38
2020-08-01,4453,11,23,0,3174,4
2020-08-02,4465,12,23,0,3174,0
2020-08-03,4476,11,23,0,3226,52
2020-08-04,4485,9,23,0,3254,28
2020-08-05,4495,10,23,0,3285,31
2020-08-06,4507,12,24,1,3328,43
2020-08-07,4517,10,24,0,3383,55
2020-08-08,4527,10,24,0,3400,17
2020-08-09,4539,12,24,0,3400,0
2020-08-10,4551,12,24,0,3400,0
2020-08-11,4562,11,24,0,3426,26
2020-08-12,4575,13,25,1,3534,108
2020-08-13,4589,14,25,0,3566,32
2020-08-14,4603,14,25,0,3607,41
2020-08-15,4618,15,25,0,3705,98
2020-08-16,4635,17,25,0,3768,63
2020-08-17,4652,17,25,0,3819,51
2020-08-18,4670,18,25,0,3851,32
2020-08-19,4688,18,25,0,3969,118
2020-08-20,4709,21,26,1,4058,89
2020-08-21,4732,23,26,0,4154,96
2020-08-22,4763,31,26,0,4240,86
2020-08-23,4798,35,26,0,4256,16
2020-08-24,4830,32,26,0,4274,18
2020-08-25,4860,30,26,0,4294,20
2020-08-26,4898,38,26,0,4312,18
2020-08-27,4937,39,26,0,4333,21
2020-08-28,4976,39,26,0,4358,25
2020-08-29,5021,45,26,0,4381,23
2020-08-30,5066,45,26,0,4381,0
2020-08-31,5115,49,26,0,4381,0
2020-09-01,5163,48,26,0,4399,18
2020-09-02,5216,53,26,0,4420,21
2020-09-03,5272,56,26,0,4443,23
2020-09-04,5335,63,28,2,4468,25
2020-09-05,5399,64,28,0,4468,0
2020-09-06,5458,59,28,0,4468,0
2020-09-07,5523,65,28,0,4468,0
2020-09-08,5586,63,28,0,4468,0
2020-09-09,5651,65,28,0,4496,28
2020-09-10,5715,64,28,0,4530,34
2020-09-11,5777,62,28,0,4560,30
2020-09-12,5840,63,28,0,4588,28
2020-09-13,5899,59,28,0,4591,3
2020-09-14,5962,63,28,0,4591,0
2020-09-15,6027,65,28,0,4611,20
2020-09-16,6093,66,28,0,4634,23
2020-09-17,6158,65,28,0,4659,25
2020-09-18,6221,63,28,0,4683,24
2020-09-19,6285,64,28,0,4703,20
2020-09-20,6351,66,28,0,4703,0
2020-09-21,6416,65,28,0,4703,0
2020-09-22,6482,66,28,0,4718,15
2020-09-23,6546,64,28,0,4735,17
2020-09-24,6613,67,28,0,4754,19
2020-09-25,6681,68,28,0,4775,21
2020-09-26,6750,69,28,0,4791,16
2020-09-27,6819,69,28,0,4791,0
2020-09-28,6891,72,28,0,4799,8
2020-09-29,6964,73,28,0,4816,17
2020-09-30,7038,74,29,1,4835,19
2020-10-01,7115,77,29,0,4855,20
2020-10-02,7194,79,29,0,4876,21
2020-10-03,7274,80,29,0,4895,19
2020-10-04,7353,79,29,0,4895,0
2020-10-05,7434,81,29,0,4903,8
2020-10-06,7514,80,29,0,4921,18
2020-10-07,7596,82,29,0,4940,19
2020-10-08,7677,81,29,0,4960,20
2020-10-09,7757,80,29,0,4978,18
2020-10-10,7838,81,29,0,4998,20
2020-10-11,7921,83,30,1,4998,0
2020-10-12,8003,82,30,0,5006,8
2020-10-13,8084,81,30,0,5027,21
2020-10-14,8166,82,30,0,5046,19
