date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,1,1,0,0,0,0
2020-03-13,1,0,0,0,0,0
2020-03-14,1,0,0,0,0,0
2020-03-15,1,0,0,0,0,0
2020-03-16,1,0,0,0,0,0
2020-03-17,1,0,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,3,2,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,5,2,0,0,0,0
2020-03-22,5,0,0,0,0,0
2020-03-23,5,0,0,0,0,0
2020-03-24,5,0,0,0,0,0
2020-03-25,9,4,0,0,0,0
2020-03-26,9,0,0,0,0,0
2020-03-27,9,0,0,0,0,0
2020-03-28,17,8,0,0,0,0
2020-03-29,17,0,0,0,1,1
2020-03-30,17,0,0,0,1,0
2020-03-31,17,0,0,0,2,1
2020-04-01,22,5,0,0,3,1
2020-04-02,22,0,0,0,4,1
2020-04-03,39,17,0,0,4,0
2020-04-04,39,0,0,0,4,0
2020-04-05,39,0,0,0,4,0
2020-04-06,50,11,0,0,8,4
2020-04-07,61,11,1,1,9,1
2020-04-08,85,24,1,0,15,6
2020-04-09,105,20,1,0,15,0
2020-04-10,125,20,3,2,15,0
2020-04-11,138,13,3,0,25,10
2020-04-12,169,31,3,0,25,0
2020-04-13,210,41,3,0,28,3
2020-04-14,215,5,3,0,32,4
2020-04-15,239,24,3,0,40,8
2020-04-16,260,21,3,0,40,0
2020-04-17,290,30,3,0,48,8
2020-04-18,335,45,4,1,49,1
2020-04-19,383,48,5,1,54,5
2020-04-20,417,34,8,3,59,5
2020-04-21,461,44,8,0,70,11
2020-04-22,481,20,11,3,72,2
2020-04-23,539,58,14,3,88,16
2020-04-24,623,84,16,2,104,16
2020-04-25,707,84,18,2,118,14
2020-04-26,780,73,19,1,122,4
2020-04-27,837,57,19,0,125,3
2020-04-28,888,51,19,0,132,7
2020-04-29,951,63,20,1,208,76
2020-04-30,1017,66,20,0,251,43
2020-05-01,1083,66,20,0,277,26
2020-05-02,1162,79,20,0,319,42
2020-05-03,1244,82,20,0,372,53
2020-05-04,1340,96,21,1,409,37
2020-05-05,1437,97,21,0,443,34
2020-05-06,1534,97,21,0,467,24
2020-05-07,1633,99,21,0,523,56
2020-05-08,1732,99,21,0,554,31
2020-05-09,1830,98,21,0,595,41
2020-05-10,1929,99,22,1,622,27
2020-05-11,2027,98,22,0,662,40
2020-05-12,2126,99,22,0,697,35
2020-05-13,2222,96,22,0,741,44
2020-05-14,2319,97,24,2,858,117
2020-05-15,2418,99,24,0,979,121
2020-05-16,2510,92,24,0,1139,160
2020-05-17,2605,95,25,1,1261,122
2020-05-18,2699,94,26,1,1323,62
2020-05-19,2792,93,26,0,1361,38
2020-05-20,2883,91,26,0,1540,179
2020-05-21,2974,91,26,0,1644,104
2020-05-22,3066,92,26,0,1764,120
2020-05-23,3155,89,27,1,1859,95
2020-05-24,3247,92,27,0,1900,41
2020-05-25,3337,90,28,1,1973,73
2020-05-26,3426,89,28,0,2081,108
2020-05-27,3506,80,29,1,2257,176
2020-05-28,3582,76,29,0,2393,136
2020-05-29,3662,80,31,2,2521,128
2020-05-30,3744,82,31,0,2636,115
2020-05-31,3824,80,32,1,2711,75
2020-06-01,3908,84,33,1,2748,37
2020-06-02,3987,79,36,3,2842,94
2020-06-03,4068,81,38,2,2917,75
2020-06-04,4148,80,40,2,3006,89
2020-06-05,4231,83,41,1,3109,103
2020-06-06,4312,81,42,1,3235,126
2020-06-07,4399,87,43,1,3289,54
2020-06-08,4485,86,44,1,3311,22
2020-06-09,4574,89,46,2,3383,72
2020-06-10,4655,81,47,1,3500,117
2020-06-11,4735,80,47,0,3554,54
2020-06-12,4815,80,49,2,3617,63
2020-06-13,4893,78,50,1,3642,25
2020-06-14,4970,77,52,2,3675,33
2020-06-15,5042,72,52,0,3725,50
2020-06-16,5112,70,53,1,3794,69
2020-06-17,5183,71,55,2,3884,90
2020-06-18,5252,69,57,2,3965,81
2020-06-19,5316,64,57,0,4041,76
2020-06-20,5376,60,60,3,4145,104
2020-06-21,5440,64,63,3,4181,36
2020-06-22,5501,61,65,2,4220,39
2020-06-23,5561,60,67,2,4277,57
2020-06-24,5624,63,69,2,4374,97
2020-06-25,5683,59,70,1,4403,29
2020-06-26,5743,60,71,1,4511,108
2020-06-27,5801,58,73,2,4564,53
2020-06-28,5860,59,74,1,4618,54
2020-06-29,5922,62,74,0,4636,18
2020-06-30,5982,60,76,2,4706,70
2020-07-01,6043,61,78,2,4793,87
2020-07-02,6102,59,79,1,4827,34
2020-07-03,6159,57,81,2,4911,84
2020-07-04,6218,59,81,0,4978,67
2020-07-05,6280,62,82,1,5014,36
2020-07-06,6340,60,82,0,5032,18
2020-07-07,6399,59,83,1,5198,166
2020-07-08,6460,61,83,0,5412,214
2020-07-09,6523,63,83,0,5512,100
2020-07-10,6589,66,83,0,5574,62
2020-07-11,6654,65,85,2,5668,94
2020-07-12,6721,67,87,2,5684,16
2020-07-13,6785,64,88,1,5699,15
2020-07-14,6847,62,88,0,5756,57
2020-07-15,6912,65,89,1,5877,121
2020-07-16,6979,67,92,3,5935,58
2020-07-17,7045,66,93,1,6002,67
2020-07-18,7115,70,94,1,6078,76
2020-07-19,7190,75,96,2,6129,51
2020-07-20,7262,72,97,1,6154,25
2020-07-21,7340,78,98,1,6252,98
2020-07-22,7423,83,99,1,6377,125
2020-07-23,7508,85,100,1,6480,103
2020-07-24,7598,90,100,0,6563,83
2020-07-25,7690,92,102,2,6653,90
2020-07-26,7784,94,103,1,6701,48
2020-07-27,7880,96,104,1,6724,23
2020-07-28,7975,95,106,2,6811,87
2020-07-29,8072,97,108,2,6918,107
2020-07-30,8170,98,110,2,7000,82
2020-07-31,8266,96,113,3,7131,131
2020-08-01,8365,99,114,1,7265,134
2020-08-02,8472,107,116,2,7305,40
2020-08-03,8585,113,117,1,7353,48
2020-08-04,8704,119,119,2,7463,110
2020-08-05,8821,117,121,2,7567,104
2020-08-06,8946,125,123,2,7682,115
2020-08-07,9061,115,126,3,7776,94
2020-08-08,9173,112,128,2,7865,89
2020-08-09,9278,105,129,1,8054,189
2020-08-10,9375,97,131,2,8096,42
2020-08-11,9465,90,132,1,8158,62
2020-08-12,9552,87,134,2,8228,70
2020-08-13,9642,90,136,2,8269,41
2020-08-14,9730,88,138,2,8320,51
2020-08-15,9817,87,141,3,8398,78
2020-08-16,9903,86,143,2,8416,18
2020-08-17,9991,88,143,0,8436,20
2020-08-18,10075,84,145,2,8488,52
2020-08-19,10161,86,148,3,8556,68
2020-08-20,10245,84,151,3,8620,64
2020-08-21,10334,89,154,3,8663,43
2020-08-22,10422,88,157,3,8758,95
2020-08-23,10507,85,160,3,8851,93
2020-08-24,10595,88,163,3,8901,50
2020-08-25,10681,86,166,3,8966,65
2020-08-26,10771,90,169,3,9017,51
2020-08-27,10857,86,172,3,9085,68
2020-08-28,10941,84,174,2,9134,49
2020-08-29,11031,90,176,2,9208,74
2020-08-30,11121,90,177,1,9242,34
2020-08-31,11208,87,182,5,9270,28
2020-09-01,11294,86,185,3,9313,43
2020-09-02,11382,88,187,2,9377,64
2020-09-03,11472,90,187,0,9414,37
2020-09-04,11564,92,189,2,9484,70
2020-09-05,11654,90,191,2,9540,56
2020-09-06,11747,93,193,2,9570,30
2020-09-07,11838,91,194,1,9591,21
2020-09-08,11930,92,196,2,9659,68
2020-09-09,12020,90,202,6,9696,37
2020-09-10,12107,87,205,3,9743,47
2020-09-11,12195,88,209,4,9787,44
2020-09-12,12285,90,215,6,9839,52
2020-09-13,12377,92,220,5,9862,23
2020-09-14,12469,92,224,4,9894,32
2020-09-15,12563,94,228,4,9952,58
2020-09-16,12658,95,229,1,10017,65
2020-09-17,12751,93,231,2,10069,52
2020-09-18,12843,92,235,4,10120,51
2020-09-19,12937,94,241,6,10164,44
2020-09-20,13031,94,244,3,10186,22
2020-09-21,13123,92,246,2,10202,16
2020-09-22,13219,96,251,5,10247,45
2020-09-23,13313,94,256,5,10294,47
2020-09-24,13408,95,262,6,10330,36
2020-09-25,13501,93,265,3,10371,41
2020-09-26,13596,95,271,6,10406,35
2020-09-27,13694,98,272,1,10419,13
2020-09-28,13790,96,273,1,10443,24
2020-09-29,13888,98,277,4,10477,34
2020-09-30,13987,99,278,1,10519,42
2020-10-01,14083,96,282,4,10552,33
2020-10-02,14184,101,287,5,10590,38
2020-10-03,14290,106,289,2,10635,45
2020-10-04,14387,97,291,2,10652,17
2020-10-05,14482,95,293,2,10664,12
2020-10-06,14578,96,297,4,10696,32
2020-10-07,14676,98,301,4,10739,43
2020-10-08,14775,99,305,4,10777,38
2020-10-09,14877,102,309,4,10804,27
2020-10-10,14980,103,314,5,10852,48
2020-10-11,15085,105,318,4,10872,20
2020-10-12,15187,102,322,4,10890,18
2020-10-13,15285,98,327,5,10923,33
2020-10-14,15389,104,332,5,10965,42
