date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,3,3,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,4,1,0,0,0,0
2020-03-22,4,0,0,0,0,0
2020-03-23,4,0,0,0,0,0
2020-03-24,4,0,0,0,0,0
2020-03-25,4,0,0,0,0,0
2020-03-26,5,1,0,0,0,0
2020-03-27,5,0,0,0,0,0
2020-03-28,5,0,0,0,0,0
2020-03-29,7,2,0,0,0,0
2020-03-30,7,0,0,0,0,0
2020-03-31,8,1,0,0,0,0
2020-04-01,9,1,0,0,0,0
2020-04-02,9,0,0,0,0,0
2020-04-03,10,1,0,0,0,0
2020-04-04,10,0,0,0,0,0
2020-04-05,11,1,0,0,0,0
2020-04-06,11,0,0,0,0,0
2020-04-07,16,5,0,0,0,0
2020-04-08,24,8,1,1,0,0
2020-04-09,24,0,1,0,3,3
2020-04-10,28,4,1,0,6,3
2020-04-11,29,1,2,1,7,1
2020-04-12,29,0,2,0,7,0
2020-04-13,54,25,2,0,7,0
2020-04-14,54,0,2,0,7,0
2020-04-15,77,23,2,0,7,0
2020-04-16,91,14,2,0,7,0
2020-04-17,109,18,3,1,9,2
2020-04-18,147,38,4,1,12,3
2020-04-19,185,38,4,0,12,0
2020-04-20,215,30,5,1,16,4
2020-04-21,243,28,5,0,16,0
2020-04-22,272,29,5,0,18,2
2020-04-23,310,38,5,0,19,1
2020-04-24,351,41,5,0,21,2
2020-04-25,379,28,5,0,22,1
2020-04-26,406,27,5,0,22,0
2020-04-27,439,33,5,0,22,0
2020-04-28,467,28,5,0,25,3
2020-04-29,498,31,5,0,53,28
2020-04-30,536,38,5,0,73,20
2020-05-01,566,30,5,0,73,0
2020-05-02,595,29,7,2,99,26
2020-05-03,629,34,7,0,117,18
2020-05-04,668,39,7,0,122,5
2020-05-05,699,31,7,0,172,50
2020-05-06,738,39,7,0,204,32
2020-05-07,781,43,7,0,234,30
2020-05-08,821,40,7,0,256,22
2020-05-09,862,41,7,0,345,89
2020-05-10,896,34,7,0,345,0
2020-05-11,935,39,7,0,365,20
2020-05-12,977,42,7,0,407,42
2020-05-13,1023,46,7,0,421,14
2020-05-14,1074,51,7,0,451,30
2020-05-15,1126,52,7,0,497,46
2020-05-16,1176,50,9,2,503,6
2020-05-17,1223,47,9,0,547,44
2020-05-18,1273,50,9,0,573,26
2020-05-19,1325,52,9,0,577,4
2020-05-20,1380,55,9,0,617,40
2020-05-21,1444,64,9,0,641,24
2020-05-22,1509,65,9,0,655,14
2020-05-23,1572,63,10,1,678,23
2020-05-24,1633,61,10,0,691,13
2020-05-25,1698,65,10,0,708,17
2020-05-26,1760,62,10,0,759,51
2020-05-27,1827,67,10,0,803,44
2020-05-28,1890,63,11,1,843,40
2020-05-29,1959,69,11,0,925,82
2020-05-30,2018,59,11,0,958,33
2020-05-31,2081,63,11,0,1002,44
2020-06-01,2142,61,12,1,1017,15
2020-06-02,2209,67,12,0,1083,66
2020-06-03,2273,64,13,1,1169,86
2020-06-04,2333,60,14,1,1211,42
2020-06-05,2398,65,15,1,1292,81
2020-06-06,2468,70,16,1,1296,4
2020-06-07,2537,69,17,1,1301,5
2020-06-08,2596,59,17,0,1314,13
2020-06-09,2661,65,18,1,1382,68
2020-06-10,2733,72,18,0,1402,20
2020-06-11,2804,71,19,1,1439,37
2020-06-12,2869,65,19,0,1443,4
2020-06-13,2938,69,19,0,1455,12
2020-06-14,3009,71,19,0,1458,3
2020-06-15,3083,74,19,0,1471,13
2020-06-16,3153,70,19,0,1506,35
2020-06-17,3226,73,20,1,1564,58
2020-06-18,3294,68,21,1,1634,70
2020-06-19,3372,78,22,1,1682,48
2020-06-20,3447,75,23,1,1762,80
2020-06-21,3524,77,23,0,1829,67
2020-06-22,3590,66,23,0,1837,8
2020-06-23,3669,79,24,1,1894,57
2020-06-24,3752,83,26,2,2011,117
2020-06-25,3824,72,27,1,2040,29
2020-06-26,3899,75,28,1,2048,8
2020-06-27,3978,79,28,0,2063,15
2020-06-28,4063,85,28,0,2123,60
2020-06-29,4140,77,28,0,2134,11
2020-06-30,4221,81,29,1,2161,27
2020-07-01,4300,79,29,0,2182,21
2020-07-02,4386,86,29,0,2200,18
2020-07-03,4481,95,30,1,2213,13
2020-07-04,4555,74,30,0,2223,10
2020-07-05,4644,89,30,0,2228,5
2020-07-06,4726,82,32,2,2249,21
2020-07-07,4820,94,33,1,2280,31
2020-07-08,4918,98,34,1,2402,122
2020-07-09,5014,96,35,1,2513,111
2020-07-10,5114,100,36,1,2562,49
2020-07-11,5217,103,37,1,2628,66
2020-07-12,5311,94,42,5,2649,21
2020-07-13,5432,121,42,0,2675,26
2020-07-14,5539,107,43,1,2701,26
2020-07-15,5637,98,43,0,2796,95
2020-07-16,5754,117,44,1,2929,133
2020-07-17,5873,119,46,2,3050,121
2020-07-18,5986,113,48,2,3098,48
2020-07-19,6088,102,49,1,3201,103
2020-07-20,6208,120,51,2,3228,27
2020-07-21,6334,126,52,1,3300,72
2020-07-22,6457,123,52,0,3377,77
2020-07-23,6584,127,52,0,3608,231
2020-07-24,6714,130,52,0,3840,232
2020-07-25,6851,137,52,0,3973,133
2020-07-26,6973,122,52,0,4101,128
2020-07-27,7091,118,53,1,4246,145
2020-07-28,7192,101,55,2,4361,115
2020-07-29,7312,120,57,2,4473,112
2020-07-30,7428,116,58,1,4603,130
2020-07-31,7540,112,59,1,4721,118
2020-08-01,7650,110,61,2,4842,121
2020-08-02,7759,109,61,0,5001,159
2020-08-03,7861,102,63,2,5207,206
2020-08-04,7961,100,65,2,5357,150
2020-08-05,8058,97,67,2,5483,126
2020-08-06,8178,120,69,2,5609,126
2020-08-07,8280,102,71,2,5716,107
2020-08-08,8378,98,73,2,5816,100
2020-08-09,8469,91,73,0,5911,95
2020-08-10,8556,87,73,0,6001,90
2020-08-11,8634,78,73,0,6157,156
2020-08-12,8723,89,75,2,6348,191
2020-08-13,8804,81,76,1,6509,161
2020-08-14,8874,70,77,1,6623,114
2020-08-15,8950,76,79,2,6708,85
2020-08-16,9014,64,79,0,6802,94
2020-08-17,9086,72,81,2,6910,108
2020-08-18,9159,73,83,2,7002,92
2020-08-19,9229,70,83,0,7103,101
2020-08-20,9304,75,83,0,7208,105
2020-08-21,9375,71,83,0,7298,90
2020-08-22,9443,68,83,0,7367,69
2020-08-23,9525,82,83,0,7389,22
2020-08-24,9593,68,83,0,7423,34
2020-08-25,9718,125,84,1,7505,82
2020-08-26,9795,77,85,1,7609,104
2020-08-27,9860,65,86,1,7694,85
2020-08-28,9910,50,87,1,7769,75
2020-08-29,9972,62,87,0,7841,72
2020-08-30,10033,61,89,2,7903,62
2020-08-31,10101,68,90,1,7945,42
2020-09-01,10150,49,91,1,8002,57
2020-09-02,10236,86,92,1,8092,90
2020-09-03,10309,73,93,1,8167,75
2020-09-04,10369,60,93,0,8229,62
2020-09-05,10419,50,93,0,8288,59
2020-09-06,10472,53,93,0,8348,60
2020-09-07,10519,47,93,0,8400,52
2020-09-08,10576,57,94,1,8462,62
2020-09-09,10638,62,94,0,8462,0
2020-09-10,10705,67,95,1,8591,129
2020-09-11,10782,77,95,0,8703,112
2020-09-12,10854,72,95,0,8790,87
2020-09-13,10923,69,95,0,8815,25
2020-09-14,10993,70,96,1,8841,26
2020-09-15,11059,66,97,1,8920,79
2020-09-16,11126,67,99,2,8990,70
2020-09-17,11187,61,101,2,9057,67
2020-09-18,11255,68,101,0,9119,62
2020-09-19,11325,70,101,0,9144,25
2020-09-20,11392,67,101,0,9158,14
2020-09-21,11458,66,101,0,9187,29
2020-09-22,11519,61,102,1,9236,49
2020-09-23,11591,72,102,0,9293,57
2020-09-24,11667,76,102,0,9402,109
2020-09-25,11741,74,102,0,9487,85
2020-09-26,11814,73,102,0,9529,42
2020-09-27,11878,64,102,0,9571,42
2020-09-28,11939,61,102,0,9585,14
2020-09-29,12007,68,102,0,9636,51
2020-09-30,12079,72,103,1,9711,75
2020-10-01,12158,79,104,1,9769,58
2020-10-02,12238,80,106,2,9843,74
2020-10-03,12316,78,107,1,9886,43
2020-10-04,12395,79,107,0,9892,6
2020-10-05,12476,81,108,1,9924,32
2020-10-06,12554,78,108,0,9985,61
2020-10-07,12641,87,110,2,10042,57
2020-10-08,12735,94,110,0,10096,54
2020-10-09,12836,101,112,2,10148,52
2020-10-10,12938,102,114,2,10171,23
2020-10-11,13041,103,116,2,10181,10
2020-10-12,13151,110,117,1,10199,18
2020-10-13,13259,108,118,1,10247,48
2020-10-14,13374,115,119,1,10305,58
