date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,2,1,0,0,0,0
2020-03-22,2,0,0,0,0,0
2020-03-23,2,0,0,0,0,0
2020-03-24,2,0,0,0,0,0
2020-03-25,2,0,0,0,0,0
2020-03-26,4,2,0,0,0,0
2020-03-27,4,0,0,0,0,0
2020-03-28,4,0,0,0,0,0
2020-03-29,5,1,0,0,0,0
2020-03-30,5,0,0,0,0,0
2020-03-31,5,0,0,0,0,0
2020-04-01,8,3,0,0,0,0
2020-04-02,8,0,0,0,0,0
2020-04-03,16,8,0,0,2,2
2020-04-04,16,0,0,0,2,0
2020-04-05,19,3,0,0,2,0
2020-04-06,19,0,0,0,2,0
2020-04-07,38,19,0,0,2,0
2020-04-08,41,3,0,0,3,1
2020-04-09,41,0,0,0,3,0
2020-04-10,41,0,0,0,4,1
2020-04-11,41,0,0,0,5,1
2020-04-12,41,0,0,0,5,0
2020-04-13,41,0,0,0,5,0
2020-04-14,56,15,0,0,5,0
2020-04-15,71,15,0,0,9,4
2020-04-16,110,39,0,0,15,6
2020-04-17,128,18,0,0,15,0
2020-04-18,161,33,0,0,19,4
2020-04-19,175,14,0,0,20,1
2020-04-20,188,13,0,0,21,1
2020-04-21,197,9,0,0,22,1
2020-04-22,203,6,1,1,29,7
2020-04-23,215,12,1,0,36,7
2020-04-24,217,2,1,0,39,3
2020-04-25,233,16,1,0,44,5
2020-04-26,274,41,1,0,53,9
2020-04-27,297,23,2,1,55,2
2020-04-28,338,41,2,0,59,4
2020-04-29,366,28,2,0,67,8
2020-04-30,387,21,3,1,80,13
2020-05-01,405,18,3,0,80,0
2020-05-02,414,9,3,0,112,32
2020-05-03,449,35,3,0,118,6
2020-05-04,467,18,4,1,135,17
2020-05-05,508,41,4,0,150,15
2020-05-06,537,29,4,0,161,11
2020-05-07,551,14,4,0,178,17
2020-05-08,583,32,4,0,202,24
2020-05-09,626,43,4,0,219,17
2020-05-10,693,67,4,0,247,28
2020-05-11,777,84,4,0,252,5
2020-05-12,822,45,6,2,265,13
2020-05-13,865,43,6,0,291,26
2020-05-14,926,61,6,0,342,51
2020-05-15,965,39,8,2,356,14
2020-05-16,1048,83,8,0,360,4
2020-05-17,1166,118,9,1,389,29
2020-05-18,1252,86,9,0,396,7
2020-05-19,1308,56,11,2,453,57
2020-05-20,1371,63,12,1,478,25
2020-05-21,1430,59,12,0,502,24
2020-05-22,1510,80,13,1,520,18
2020-05-23,1568,58,15,2,545,25
2020-05-24,1670,102,17,2,579,34
2020-05-25,1755,85,17,0,590,11
2020-05-26,1849,94,17,0,635,45
2020-05-27,1924,75,17,0,669,34
2020-05-28,2028,104,17,0,716,47
2020-05-29,2133,105,17,0,728,12
2020-05-30,2300,167,18,1,752,24
2020-05-31,2436,136,18,0,782,30
2020-06-01,2587,151,18,0,809,27
2020-06-02,2736,149,18,0,870,61
2020-06-03,2847,111,18,0,936,66
2020-06-04,2987,140,18,0,979,43
2020-06-05,3104,117,18,0,1044,65
2020-06-06,3231,127,20,2,1112,68
2020-06-07,3346,115,20,0,1126,14
2020-06-08,3475,129,21,1,1186,60
2020-06-09,3624,149,21,0,1204,18
2020-06-10,3821,197,23,2,1468,264
2020-06-11,4007,186,24,1,1559,91
2020-06-12,4157,150,24,0,1657,98
2020-06-13,4340,183,26,2,1804,147
2020-06-14,4569,229,27,1,1946,142
2020-06-15,4753,184,27,0,2076,130
2020-06-16,4973,220,29,2,2242,166
2020-06-17,5210,237,30,1,2462,220
2020-06-18,5453,243,32,2,2663,201
2020-06-19,5712,259,32,0,2853,190
2020-06-20,5992,280,33,1,2997,144
2020-06-21,6286,294,34,1,3153,156
2020-06-22,6581,295,35,1,3287,134
2020-06-23,6900,319,37,2,3435,148
2020-06-24,7223,323,38,1,3618,183
2020-06-25,7542,319,38,0,3687,69
2020-06-26,7837,295,41,3,3862,175
2020-06-27,8117,280,44,3,4091,229
2020-06-28,8402,285,48,4,4192,101
2020-06-29,8679,277,52,4,4305,113
2020-06-30,8958,279,55,3,4501,196
2020-07-01,9219,261,56,1,4662,161
2020-07-02,9485,266,59,3,4762,100
2020-07-03,9756,271,63,4,4947,185
2020-07-04,10029,273,65,2,5151,204
2020-07-05,10301,272,69,4,5326,175
2020-07-06,10590,289,72,3,5476,150
2020-07-07,10873,283,75,3,5695,219
2020-07-08,11141,268,78,3,5918,223
2020-07-09,11406,265,81,3,6156,238
2020-07-10,11669,263,85,4,6398,242
2020-07-11,11937,268,89,4,6671,273
2020-07-12,12204,267,91,2,6861,190
2020-07-13,12474,270,93,2,7048,187
2020-07-14,12742,268,94,1,7279,231
2020-07-15,12993,251,96,2,7530,251
2020-07-16,13245,252,96,0,7831,301
2020-07-17,13494,249,97,1,8164,333
2020-07-18,13741,247,100,3,8654,490
2020-07-19,13978,237,103,3,8888,234
2020-07-20,14214,236,106,3,9058,170
2020-07-21,14442,228,106,0,9447,389
2020-07-22,14663,221,112,6,9952,505
2020-07-23,14861,198,115,3,10264,312
2020-07-24,15057,196,117,2,10675,411
2020-07-25,15250,193,120,3,11023,348
2020-07-26,15442,192,124,4,11255,232
2020-07-27,15630,188,128,4,11383,128
2020-07-28,15817,187,128,0,11687,304
2020-07-29,15990,173,128,0,11998,311
2020-07-30,16162,172,128,0,12452,454
2020-07-31,16333,171,128,0,12790,338
2020-08-01,16503,170,129,1,13056,266
2020-08-02,16671,168,130,1,13268,212
2020-08-03,16843,172,131,1,13473,205
2020-08-04,17020,177,133,2,13698,225
2020-08-05,17189,169,135,2,14052,354
2020-08-06,17349,160,136,1,14392,340
2020-08-07,17492,143,137,1,14795,403
2020-08-08,17619,127,139,2,15139,344
2020-08-09,17769,150,140,1,15277,138
2020-08-10,17886,117,141,1,15382,105
2020-08-11,17994,108,141,0,15484,102
2020-08-12,18111,117,143,2,15584,100
2020-08-13,18219,108,145,2,15649,65
2020-08-14,18325,106,146,1,15869,220
2020-08-15,18428,103,148,2,16078,209
2020-08-16,18518,90,149,1,16300,222
2020-08-17,18592,74,150,1,16517,217
2020-08-18,18664,72,151,1,16663,146
2020-08-19,18747,83,153,2,16815,152
2020-08-20,18831,84,154,1,16989,174
2020-08-21,18916,85,155,1,17157,168
2020-08-22,18999,83,156,1,17327,170
2020-08-23,19076,77,157,1,17477,150
2020-08-24,19152,76,158,1,17595,118
2020-08-25,19221,69,160,2,17749,154
2020-08-26,19285,64,161,1,17888,139
2020-08-27,19350,65,162,1,17995,107
2020-08-28,19414,64,163,1,18107,112
2020-08-29,19478,64,164,1,18213,106
2020-08-30,19543,65,165,1,18303,90
2020-08-31,19609,66,166,1,18388,85
2020-09-01,19676,67,167,1,18491,103
2020-09-02,19744,68,169,2,18601,110
2020-09-03,19816,72,170,1,18713,112
2020-09-04,19891,75,172,2,18842,129
2020-09-05,19967,76,174,2,18942,100
2020-09-06,20045,78,174,0,19021,79
2020-09-07,20121,76,175,1,19145,124
2020-09-08,20193,72,175,0,19261,116
2020-09-09,20270,77,176,1,19368,107
2020-09-10,20350,80,176,0,19476,108
2020-09-11,20430,80,177,1,19587,111
2020-09-12,20505,75,177,0,19679,92
2020-09-13,20583,78,177,0,19758,79
2020-09-14,20665,82,177,0,19839,81
2020-09-15,20748,83,178,1,19931,92
2020-09-16,20831,83,179,1,20017,86
2020-09-17,20907,76,179,0,20107,90
2020-09-18,20988,81,179,0,20197,90
2020-09-19,21077,89,179,0,20289,92
2020-09-20,21175,98,179,0,20389,100
2020-09-21,21273,98,181,2,20461,72
2020-09-22,21391,118,181,0,20526,65
2020-09-23,21516,125,182,1,20603,77
2020-09-24,21646,130,183,1,20704,101
2020-09-25,21787,141,184,1,20781,77
2020-09-26,21934,147,185,1,20873,92
2020-09-27,22078,144,185,0,20943,70
2020-09-28,22229,151,185,0,21007,64
2020-09-29,22372,143,186,1,21065,58
2020-09-30,22513,141,187,1,21125,60
2020-10-01,22660,147,188,1,21193,68
2020-10-02,22813,153,189,1,21253,60
2020-10-03,22966,153,190,1,21347,94
2020-10-04,23121,155,191,1,21407,60
2020-10-05,23280,159,192,1,21447,40
2020-10-06,23433,153,194,2,21520,73
2020-10-07,23602,169,196,2,21583,63
2020-10-08,23777,175,198,2,21677,94
2020-10-09,23952,175,200,2,21779,102
2020-10-10,24141,189,202,2,21882,103
2020-10-11,24340,199,203,1,21952,70
2020-10-12,24548,208,205,2,22015,63
2020-10-13,24745,197,206,1,22151,136
2020-10-14,24944,199,206,0,22271,120
