date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,1,1,0,0,0,0
2020-03-31,2,1,0,0,0,0
2020-04-01,2,0,0,0,0,0
2020-04-02,2,0,0,0,0,0
2020-04-03,7,5,0,0,0,0
2020-04-04,7,0,0,0,0,0
2020-04-05,7,0,0,0,0,0
2020-04-06,7,0,0,0,0,0
2020-04-07,11,4,0,0,0,0
2020-04-08,15,4,0,0,2,2
2020-04-09,23,8,0,0,5,3
2020-04-10,23,0,0,0,5,0
2020-04-11,32,9,0,0,5,0
2020-04-12,32,0,0,0,5,0
2020-04-13,32,0,0,0,5,0
2020-04-14,32,0,0,0,9,4
2020-04-15,35,3,2,2,9,0
2020-04-16,36,1,2,0,9,0
2020-04-17,53,17,3,1,9,0
2020-04-18,67,14,3,0,9,0
2020-04-19,74,7,3,0,9,0
2020-04-20,77,3,3,0,9,0
2020-04-21,77,0,3,0,9,0
2020-04-22,88,11,3,0,12,3
2020-04-23,94,6,3,0,14,2
2020-04-24,104,10,3,0,16,2
2020-04-25,122,18,3,0,19,3
2020-04-26,146,24,3,0,19,0
2020-04-27,158,12,3,0,19,0
2020-04-28,167,9,3,0,24,5
2020-04-29,183,16,3,0,37,13
2020-04-30,192,9,3,0,38,1
2020-05-01,231,39,3,0,39,1
2020-05-02,254,23,4,1,41,2
2020-05-03,283,29,5,1,53,12
2020-05-04,321,38,5,0,53,0
2020-05-05,322,1,5,0,53,0
2020-05-06,351,29,5,0,54,1
2020-05-07,379,28,5,0,69,15
2020-05-08,405,26,5,0,94,25
2020-05-09,455,50,5,0,102,8
2020-05-10,473,18,6,1,105,3
2020-05-11,494,21,6,0,129,24
2020-05-12,497,3,6,0,146,17
2020-05-13,532,35,6,0,168,22
2020-05-14,567,35,6,0,183,15
2020-05-15,618,51,6,0,195,12
2020-05-16,655,37,8,2,211,16
2020-05-17,693,38,8,0,228,17
2020-05-18,721,28,8,0,250,22
2020-05-19,721,0,8,0,258,8
2020-05-20,744,23,10,2,262,4
2020-05-21,776,32,10,0,283,21
2020-05-22,810,34,11,1,322,39
2020-05-23,856,46,11,0,344,22
2020-05-24,879,23,11,0,350,6
2020-05-25,903,24,11,0,354,4
2020-05-26,903,0,12,1,383,29
2020-05-27,944,41,12,0,401,18
2020-05-28,973,29,12,0,431,30
2020-05-29,999,26,14,2,450,19
2020-05-30,1019,20,14,0,477,27
2020-05-31,1054,35,15,1,484,7
2020-06-01,1074,20,15,0,510,26
2020-06-02,1085,11,15,0,518,8
2020-06-03,1108,23,16,1,556,38
2020-06-04,1127,19,16,0,577,21
2020-06-05,1136,9,16,0,609,32
2020-06-06,1149,13,16,0,614,5
2020-06-07,1168,19,16,0,624,10
2020-06-08,1179,11,16,0,631,7
2020-06-09,1180,1,16,0,697,66
2020-06-10,1203,23,16,0,734,37
2020-06-11,1215,12,16,0,751,17
2020-06-12,1233,18,18,2,776,25
2020-06-13,1247,14,18,0,804,28
2020-06-14,1263,16,18,0,821,17
2020-06-15,1272,9,18,0,840,19
2020-06-16,1272,0,18,0,868,28
2020-06-17,1288,16,18,0,890,22
2020-06-18,1292,4,18,0,904,14
2020-06-19,1300,8,18,0,920,16
2020-06-20,1314,14,18,0,932,12
2020-06-21,1327,13,18,0,940,8
2020-06-22,1339,12,18,0,942,2
2020-06-23,1340,1,18,0,956,14
2020-06-24,1362,22,21,3,996,40
2020-06-25,1392,30,21,0,1014,18
2020-06-26,1410,18,21,0,1031,17
2020-06-27,1442,32,22,1,1041,10
2020-06-28,1462,20,22,0,1041,0
2020-06-29,1481,19,23,1,1041,0
2020-06-30,1483,2,23,0,1054,13
2020-07-01,1523,40,23,0,1067,13
2020-07-02,1717,194,23,0,1075,8
2020-07-03,1839,122,24,1,1082,7
2020-07-04,1878,39,25,1,1097,15
2020-07-05,1915,37,25,0,1110,13
2020-07-06,1947,32,26,1,1118,8
2020-07-07,1947,0,26,0,1143,25
2020-07-08,1987,40,26,0,1176,33
2020-07-09,2028,41,26,0,1208,32
2020-07-10,2073,45,27,1,1225,17
2020-07-11,2107,34,27,0,1235,10
2020-07-12,2149,42,27,0,1243,8
2020-07-13,2182,33,27,0,1255,12
2020-07-14,2182,0,27,0,1294,39
2020-07-15,2220,38,27,0,1312,18
2020-07-16,2275,55,27,0,1330,18
2020-07-17,2315,40,30,3,1339,9
2020-07-18,2346,31,33,3,1418,79
2020-07-19,2363,17,34,1,1430,12
2020-07-20,2371,8,34,0,1470,40
2020-07-21,2371,0,34,0,1495,25
2020-07-22,2405,34,34,0,1512,17
2020-07-23,2410,5,34,0,1586,74
2020-07-24,2439,29,36,2,1629,43
2020-07-25,2476,37,37,1,1669,40
2020-07-26,2495,19,37,0,1672,3
2020-07-27,2510,15,37,0,1759,87
2020-07-28,2512,2,37,0,1785,26
2020-07-29,2561,49,37,0,1820,35
2020-07-30,2589,28,38,1,1883,63
2020-07-31,2621,32,38,0,1945,62
2020-08-01,2640,19,38,0,1980,35
2020-08-02,2659,19,38,0,2002,22
2020-08-03,2705,46,38,0,2014,12
2020-08-04,2725,20,40,2,2064,50
2020-08-05,2788,63,40,0,2072,8
2020-08-06,2839,51,41,1,2100,28
2020-08-07,2897,58,42,1,2143,43
2020-08-08,2952,55,42,0,2153,10
2020-08-09,3005,53,42,0,2161,8
2020-08-10,3047,42,42,0,2165,4
2020-08-11,3052,5,42,0,2186,21
2020-08-12,3121,69,42,0,2222,36
2020-08-13,3173,52,42,0,2238,16
2020-08-14,3237,64,42,0,2305,67
2020-08-15,3289,52,42,0,2325,20
2020-08-16,3360,71,42,0,2339,14
2020-08-17,3407,47,42,0,2355,16
2020-08-18,3413,6,43,1,2360,5
2020-08-19,3472,59,46,3,2402,42
2020-08-20,3530,58,48,2,2406,4
2020-08-21,3600,70,48,0,2425,19
2020-08-22,3669,69,48,0,2473,48
2020-08-23,3721,52,48,0,2483,10
2020-08-24,3775,54,48,0,2495,12
2020-08-25,3784,9,48,0,2534,39
2020-08-26,3856,72,50,2,2580,46
2020-08-27,3913,57,52,2,2592,12
2020-08-28,3981,68,55,3,2614,22
2020-08-29,4054,73,56,1,2651,37
2020-08-30,4137,83,56,0,2671,20
2020-08-31,4269,132,56,0,2671,0
2020-09-01,4326,57,56,0,2719,48
2020-09-02,4411,85,56,0,2744,25
2020-09-03,4490,79,56,0,2779,35
2020-09-04,4573,83,56,0,2802,23
2020-09-05,4655,82,56,0,2885,83
2020-09-06,4740,85,56,0,2897,12
2020-09-07,4823,83,56,0,2903,6
2020-09-08,4882,59,59,3,2957,54
2020-09-09,4966,84,61,2,2977,20
2020-09-10,5056,90,62,1,3044,67
2020-09-11,5159,103,65,3,3050,6
2020-09-12,5247,88,65,0,3140,90
2020-09-13,5315,68,65,0,3177,37
2020-09-14,5378,63,65,0,3185,8
2020-09-15,5451,73,65,0,3252,67
2020-09-16,5488,37,65,0,3265,13
2020-09-17,5551,63,65,0,3289,24
2020-09-18,5612,61,65,0,3305,16
2020-09-19,5681,69,65,0,3332,27
2020-09-20,5750,69,65,0,3337,5
2020-09-21,5823,73,65,0,3345,8
2020-09-22,5885,62,67,2,3374,29
2020-09-23,5954,69,69,2,3465,91
2020-09-24,6021,67,69,0,3552,87
2020-09-25,6090,69,69,0,3564,12
2020-09-26,6162,72,71,2,3649,85
2020-09-27,6232,70,71,0,3662,13
2020-09-28,6300,68,71,0,3678,16
2020-09-29,6359,59,71,0,3819,141
2020-09-30,6424,65,71,0,3832,13
2020-10-01,6503,79,73,2,3917,85
2020-10-02,6578,75,75,2,3983,66
2020-10-03,6657,79,75,0,3986,3
2020-10-04,6735,78,75,0,4007,21
2020-10-05,6811,76,75,0,4031,24
2020-10-06,6888,77,77,2,4072,41
2020-10-07,6965,77,77,0,4182,110
2020-10-08,7041,76,77,0,4244,62
2020-10-09,7119,78,77,0,4331,87
2020-10-10,7196,77,79,2,4411,80
2020-10-11,7279,83,79,0,4496,85
2020-10-12,7363,84,79,0,4553,57
2020-10-13,7448,85,79,0,4616,63
2020-10-14,7535,87,79,0,4647,31
