date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,2,1,0,0,0,0
2020-03-25,2,0,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,2,0,0,0,0,0
2020-03-30,3,1,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,3,0,0,0,0,0
2020-04-02,5,2,0,0,1,1
2020-04-03,5,0,0,0,1,0
2020-04-04,6,1,0,0,1,0
2020-04-05,6,0,0,0,1,0
2020-04-06,7,1,0,0,1,0
2020-04-07,11,4,0,0,1,0
2020-04-08,11,0,0,0,1,0
2020-04-09,11,0,0,0,1,0
2020-04-10,18,7,0,0,2,1
2020-04-11,24,6,0,0,3,1
2020-04-12,24,0,0,0,5,2
2020-04-13,34,10,0,0,5,0
2020-04-14,49,15,0,0,5,0
2020-04-15,74,25,0,0,5,0
2020-04-16,102,28,1,1,8,3
2020-04-17,122,20,1,0,9,1
2020-04-18,151,29,2,1,9,0
2020-04-19,188,37,2,0,9,0
2020-04-20,228,40,4,2,9,0
2020-04-21,258,30,6,2,9,0
2020-04-22,330,72,8,2,9,0
2020-04-23,383,53,8,0,14,5
2020-04-24,444,61,8,0,14,0
2020-04-25,513,69,8,0,17,3
2020-04-26,583,70,8,0,25,8
2020-04-27,639,56,8,0,26,1
2020-04-28,706,67,12,4,30,4
2020-04-29,772,66,12,0,32,2
2020-04-30,885,113,12,0,44,12
2020-05-01,1006,121,12,0,54,10
2020-05-02,1065,59,12,0,95,41
2020-05-03,1136,71,12,0,108,13
2020-05-04,1217,81,12,0,128,20
2020-05-05,1309,92,12,0,161,33
2020-05-06,1407,98,12,0,170,9
2020-05-07,1486,79,13,1,173,3
2020-05-08,1564,78,13,0,224,51
2020-05-09,1641,77,14,1,224,0
2020-05-10,1730,89,15,1,228,4
2020-05-11,1828,98,15,0,254,26
2020-05-12,1924,96,15,0,261,7
2020-05-13,2018,94,19,4,346,85
2020-05-14,2115,97,19,0,404,58
2020-05-15,2213,98,19,0,438,34
2020-05-16,2312,99,19,0,473,35
2020-05-17,2409,97,19,0,489,16
2020-05-18,2518,109,19,0,511,22
2020-05-19,2632,114,19,0,613,102
2020-05-20,2750,118,20,1,664,51
2020-05-21,2871,121,21,1,722,58
2020-05-22,2998,127,21,0,775,53
2020-05-23,3123,125,23,2,854,79
2020-05-24,3246,123,26,3,884,30
2020-05-25,3354,108,26,0,888,4
2020-05-26,3459,105,27,1,1018,130
2020-05-27,3560,101,29,2,1123,105
2020-05-28,3653,93,29,0,1237,114
2020-05-29,3744,91,31,2,1364,127
2020-05-30,3834,90,31,0,1469,105
2020-05-31,3923,89,31,0,1494,25
2020-06-01,4009,86,31,0,1506,12
2020-06-02,4092,83,32,1,1614,108
2020-06-03,4179,87,34,2,1732,118
2020-06-04,4270,91,34,0,1812,80
2020-06-05,4357,87,34,0,1954,142
2020-06-06,4431,74,35,1,2024,70
2020-06-07,4511,80,36,1,2097,73
2020-06-08,4600,89,36,0,2119,22
2020-06-09,4691,91,36,0,2240,121
2020-06-10,4761,70,36,0,2318,78
2020-06-11,4829,68,37,1,2392,74
2020-06-12,4923,94,39,2,2444,52
2020-06-13,5011,88,39,0,2458,14
2020-06-14,5091,80,39,0,2485,27
2020-06-15,5169,78,39,0,2526,41
2020-06-16,5246,77,39,0,2609,83
2020-06-17,5321,75,41,2,2664,55
2020-06-18,5399,78,41,0,2740,76
2020-06-19,5462,63,42,1,2784,44
2020-06-20,5522,60,42,0,2853,69
2020-06-21,5580,58,43,1,2860,7
2020-06-22,5640,60,43,0,2967,107
2020-06-23,5694,54,43,0,3159,192
2020-06-24,5744,50,43,0,3322,163
2020-06-25,5788,44,43,0,3392,70
2020-06-26,5834,46,44,1,3450,58
2020-06-27,5880,46,44,0,3492,42
2020-06-28,5925,45,44,0,3495,3
2020-06-29,5973,48,44,0,3507,12
2020-06-30,6018,45,44,0,3590,83
2020-07-01,6066,48,44,0,3685,95
2020-07-02,6117,51,44,0,3690,5
2020-07-03,6170,53,45,1,3801,111
2020-07-04,6222,52,48,3,3977,176
2020-07-05,6272,50,48,0,3977,0
2020-07-06,6321,49,48,0,4004,27
2020-07-07,6368,47,48,0,4123,119
2020-07-08,6413,45,48,0,4253,130
2020-07-09,6458,45,49,1,4360,107
2020-07-10,6509,51,50,1,4495,135
2020-07-11,6559,50,51,1,4642,147
2020-07-12,6608,49,51,0,4653,11
2020-07-13,6656,48,51,0,4676,23
2020-07-14,6697,41,52,1,4887,211
2020-07-15,6742,45,52,0,5053,166
2020-07-16,6781,39,54,2,5086,33
2020-07-17,6818,37,54,0,5139,53
2020-07-18,6854,36,54,0,5254,115
2020-07-19,6889,35,54,0,5302,48
2020-07-20,6923,34,54,0,5325,23
2020-07-21,6957,34,54,0,5423,98
2020-07-22,6987,30,56,2,5529,106
2020-07-23,7020,33,56,0,5603,74
2020-07-24,7044,24,56,0,5682,79
2020-07-25,7067,23,56,0,5732,50
2020-07-26,7090,23,56,0,5737,5
2020-07-27,7111,21,56,0,5746,9
2020-07-28,7133,22,56,0,5822,76
2020-07-29,7155,22,56,0,5866,44
2020-07-30,7179,24,56,0,5902,36
2020-07-31,7204,25,56,0,5944,42
2020-08-01,7232,28,56,0,6004,60
2020-08-02,7260,28,56,0,6017,13
2020-08-03,7286,26,56,0,6025,8
2020-08-04,7311,25,56,0,6059,34
2020-08-05,7338,27,56,0,6095,36
2020-08-06,7363,25,56,0,6111,16
2020-08-07,7390,27,56,0,6131,20
2020-08-08,7416,26,56,0,6155,24
2020-08-09,7443,27,56,0,6167,12
2020-08-10,7469,26,56,0,6175,8
2020-08-11,7491,22,56,0,6223,48
2020-08-12,7516,25,58,2,6247,24
2020-08-13,7543,27,58,0,6280,33
2020-08-14,7571,28,58,0,6316,36
2020-08-15,7598,27,58,0,6370,54
2020-08-16,7625,27,58,0,6386,16
2020-08-17,7654,29,58,0,6391,5
2020-08-18,7679,25,60,2,6440,49
2020-08-19,7702,23,60,0,6465,25
2020-08-20,7728,26,60,0,6512,47
2020-08-21,7759,31,60,0,6537,25
2020-08-22,7792,33,62,2,6554,17
2020-08-23,7823,31,62,0,6563,9
2020-08-24,7853,30,62,0,6563,0
2020-08-25,7882,29,64,2,6663,100
2020-08-26,7910,28,64,0,6751,88
2020-08-27,7936,26,67,3,6799,48
2020-08-28,7964,28,67,0,6831,32
2020-08-29,7993,29,67,0,6858,27
2020-08-30,8023,30,67,0,6858,0
2020-08-31,8055,32,67,0,6870,12
2020-09-01,8079,24,67,0,6917,47
2020-09-02,8108,29,69,2,6951,34
2020-09-03,8134,26,69,0,6980,29
2020-09-04,8166,32,69,0,7017,37
2020-09-05,8195,29,69,0,7043,26
2020-09-06,8222,27,71,2,7045,2
2020-09-07,8251,29,71,0,7050,5
2020-09-08,8273,22,71,0,7092,42
2020-09-09,8300,27,71,0,7129,37
2020-09-10,8329,29,71,0,7162,33
2020-09-11,8361,32,71,0,7182,20
2020-09-12,8396,35,71,0,7220,38
2020-09-13,8433,37,71,0,7221,1
2020-09-14,8472,39,71,0,7230,9
2020-09-15,8502,30,71,0,7246,16
2020-09-16,8534,32,71,0,7277,31
2020-09-17,8574,40,71,0,7323,46
2020-09-18,8622,48,71,0,7337,14
2020-09-19,8672,50,72,1,7367,30
2020-09-20,8714,42,72,0,7368,1
2020-09-21,8759,45,72,0,7376,8
2020-09-22,8783,24,74,2,7414,38
2020-09-23,8823,40,74,0,7437,23
2020-09-24,8863,40,74,0,7470,33
2020-09-25,8910,47,74,0,7475,5
2020-09-26,8958,48,74,0,7523,48
2020-09-27,9009,51,74,0,7525,2
2020-09-28,9071,62,74,0,7535,10
2020-09-29,9128,57,74,0,7586,51
2020-09-30,9180,52,74,0,7612,26
2020-10-01,9241,61,74,0,7670,58
2020-10-02,9311,70,74,0,7703,33
2020-10-03,9376,65,74,0,7724,21
2020-10-04,9443,67,74,0,7734,10
2020-10-05,9519,76,74,0,7747,13
2020-10-06,9594,75,74,0,7820,73
2020-10-07,9674,80,74,0,7861,41
2020-10-08,9752,78,74,0,7929,68
2020-10-09,9834,82,74,0,7982,53
2020-10-10,9914,80,74,0,8050,68
2020-10-11,9999,85,74,0,8053,3
2020-10-12,10083,84,74,0,8074,21
2020-10-13,10177,94,74,0,8161,87
2020-10-14,10269,92,74,0,8212,51
