date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,1,1,0,0,0,0
2020-03-29,1,0,0,0,0,0
2020-03-30,1,0,0,0,0,0
2020-03-31,3,2,0,0,0,0
2020-04-01,3,0,0,0,0,0
2020-04-02,3,0,0,0,0,0
2020-04-03,3,0,0,0,0,0
2020-04-04,8,5,1,1,0,0
2020-04-05,8,0,1,0,0,0
2020-04-06,9,1,1,0,0,0
2020-04-07,9,0,1,0,2,2
2020-04-08,9,0,1,0,2,0
2020-04-09,12,3,1,0,3,1
2020-04-10,15,3,1,0,3,0
2020-04-11,15,0,1,0,3,0
2020-04-12,18,3,2,1,3,0
2020-04-13,18,0,2,0,3,0
2020-04-14,18,0,2,0,3,0
2020-04-15,27,9,2,0,3,0
2020-04-16,38,11,2,0,3,0
2020-04-17,47,9,2,0,7,4
2020-04-18,53,6,2,0,7,0
2020-04-19,66,13,2,0,7,0
2020-04-20,70,4,2,0,7,0
2020-04-21,81,11,2,0,7,0
2020-04-22,88,7,2,0,7,0
2020-04-23,104,16,2,0,11,4
2020-04-24,120,16,2,0,11,0
2020-04-25,137,17,3,1,11,0
2020-04-26,148,11,3,0,11,0
2020-04-27,158,10,3,0,11,0
2020-04-28,180,22,3,0,12,1
2020-04-29,193,13,3,0,25,13
2020-04-30,211,18,3,0,29,4
2020-05-01,227,16,3,0,33,4
2020-05-02,241,14,3,0,42,9
2020-05-03,253,12,3,0,45,3
2020-05-04,266,13,3,0,60,15
2020-05-05,278,12,3,0,64,4
2020-05-06,293,15,3,0,68,4
2020-05-07,311,18,3,0,68,0
2020-05-08,333,22,3,0,85,17
2020-05-09,343,10,3,0,96,11
2020-05-10,357,14,3,0,107,11
2020-05-11,372,15,3,0,115,8
2020-05-12,384,12,3,0,119,4
2020-05-13,402,18,3,0,128,9
2020-05-14,433,31,3,0,142,14
2020-05-15,452,19,3,0,168,26
2020-05-16,460,8,3,0,193,25
2020-05-17,477,17,3,0,198,5
2020-05-18,487,10,3,0,200,2
2020-05-19,500,13,3,0,221,21
2020-05-20,516,16,6,3,243,22
2020-05-21,527,11,7,1,255,12
2020-05-22,540,13,8,1,265,10
2020-05-23,560,20,8,0,289,24
2020-05-24,567,7,8,0,294,5
2020-05-25,580,13,8,0,294,0
2020-05-26,601,21,8,0,308,14
2020-05-27,617,16,9,1,354,46
2020-05-28,656,39,9,0,361,7
2020-05-29,691,35,9,0,371,10
2020-05-30,719,28,10,1,388,17
2020-05-31,758,39,10,0,395,7
2020-06-01,772,14,11,1,399,4
2020-06-02,804,32,11,0,420,21
2020-06-03,825,21,11,0,425,5
2020-06-04,842,17,11,0,435,10
2020-06-05,862,20,11,0,439,4
2020-06-06,888,26,12,1,474,35
2020-06-07,901,13,12,0,485,11
2020-06-08,926,25,12,0,489,4
2020-06-09,953,27,12,0,506,17
2020-06-10,977,24,12,0,535,29
2020-06-11,1028,51,12,0,565,30
2020-06-12,1066,38,12,0,575,10
2020-06-13,1109,43,12,0,582,7
2020-06-14,1136,27,12,0,593,11
2020-06-15,1161,25,12,0,598,5
2020-06-16,1175,14,12,0,621,23
2020-06-17,1214,39,12,0,637,16
2020-06-18,1246,32,13,1,667,30
2020-06-19,1262,16,13,0,683,16
2020-06-20,1298,36,14,1,714,31
2020-06-21,1331,33,15,1,720,6
2020-06-22,1360,29,15,0,727,7
2020-06-23,1386,26,15,0,759,32
2020-06-24,1411,25,15,0,808,49
2020-06-25,1442,31,15,0,815,7
2020-06-26,1470,28,15,0,822,7
2020-06-27,1494,24,17,2,852,30
2020-06-28,1531,37,17,0,866,14
2020-06-29,1565,34,17,0,879,13
2020-06-30,1583,18,17,0,906,27
2020-07-01,1591,8,21,4,947,41
2020-07-02,1612,21,21,0,955,8
2020-07-03,1632,20,21,0,999,44
2020-07-04,1654,22,21,0,1043,44
2020-07-05,1676,22,21,0,1051,8
2020-07-06,1696,20,21,0,1051,0
2020-07-07,1730,34,22,1,1077,26
2020-07-08,1752,22,22,0,1122,45
2020-07-09,1778,26,22,0,1151,29
2020-07-10,1814,36,22,0,1176,25
2020-07-11,1825,11,23,1,1197,21
2020-07-12,1844,19,23,0,1197,0
2020-07-13,1855,11,23,0,1197,0
2020-07-14,1863,8,24,1,1229,32
2020-07-15,1886,23,24,0,1256,27
2020-07-16,1902,16,24,0,1268,12
2020-07-17,1922,20,24,0,1282,14
2020-07-18,1946,24,24,0,1312,30
2020-07-19,1963,17,24,0,1322,10
2020-07-20,1995,32,24,0,1327,5
2020-07-21,2005,10,24,0,1352,25
2020-07-22,2016,11,25,1,1366,14
2020-07-23,2028,12,26,1,1410,44
2020-07-24,2040,12,26,0,1425,15
2020-07-25,2074,34,26,0,1449,24
2020-07-26,2119,45,26,0,1450,1
2020-07-27,2137,18,26,0,1453,3
2020-07-28,2154,17,26,0,1466,13
2020-07-29,2166,12,26,0,1484,18
2020-07-30,2175,9,26,0,1621,137
2020-07-31,2206,31,26,0,1677,56
2020-08-01,2234,28,26,0,1737,60
2020-08-02,2261,27,26,0,1752,15
2020-08-03,2309,48,26,0,1752,0
2020-08-04,2345,36,26,0,1770,18
2020-08-05,2390,45,27,1,1794,24
2020-08-06,2423,33,27,0,1805,11
2020-08-07,2458,35,27,0,1823,18
2020-08-08,2511,53,27,0,1847,24
2020-08-09,2564,53,30,3,1854,7
2020-08-10,2625,61,30,0,1857,3
2020-08-11,2657,32,30,0,1886,29
2020-08-12,2695,38,30,0,1926,40
2020-08-13,2745,50,30,0,1933,7
2020-08-14,2792,47,32,2,1954,21
2020-08-15,2852,60,33,1,1981,27
2020-08-16,2906,54,33,0,1981,0
2020-08-17,2947,41,33,0,1981,0
2020-08-18,2975,28,35,2,2030,49
2020-08-19,2993,18,37,2,2071,41
2020-08-20,3043,50,37,0,2096,25
2020-08-21,3093,50,38,1,2131,35
2020-08-22,3157,64,38,0,2188,57
2020-08-23,3209,52,38,0,2200,12
2020-08-24,3261,52,38,0,2200,0
2020-08-25,3325,64,38,0,2267,67
2020-08-26,3355,30,39,1,2313,46
2020-08-27,3393,38,40,1,2352,39
2020-08-28,3429,36,40,0,2424,72
2020-08-29,3467,38,40,0,2469,45
2020-08-30,3510,43,40,0,2482,13
2020-08-31,3546,36,40,0,2495,13
2020-09-01,3578,32,40,0,2554,59
2020-09-02,3601,23,41,1,2593,39
2020-09-03,3625,24,41,0,2640,47
2020-09-04,3659,34,41,0,2663,23
2020-09-05,3696,37,41,0,2712,49
2020-09-06,3742,46,41,0,2737,25
2020-09-07,3786,44,41,0,2737,0
2020-09-08,3817,31,44,3,2785,48
2020-09-09,3863,46,44,0,2824,39
2020-09-10,3911,48,47,3,2845,21
2020-09-11,3952,41,49,2,2896,51
2020-09-12,3999,47,50,1,2938,42
2020-09-13,4046,47,50,0,2943,5
2020-09-14,4099,53,50,0,2953,10
2020-09-15,4115,16,53,3,2995,42
2020-09-16,4156,41,53,0,3047,52
2020-09-17,4203,47,58,5,3089,42
2020-09-18,4235,32,58,0,3122,33
2020-09-19,4277,42,58,0,3148,26
2020-09-20,4311,34,58,0,3169,21
2020-09-21,4348,37,58,0,3176,7
2020-09-22,4379,31,58,0,3213,37
2020-09-23,4417,38,59,1,3239,26
2020-09-24,4454,37,59,0,3267,28
2020-09-25,4499,45,62,3,3285,18
2020-09-26,4553,54,67,5,3329,44
2020-09-27,4609,56,67,0,3348,19
2020-09-28,4662,53,67,0,3360,12
2020-09-29,4703,41,68,1,3410,50
2020-09-30,4742,39,74,6,3448,38
2020-10-01,4788,46,77,3,3475,27
2020-10-02,4842,54,79,2,3516,41
2020-10-03,4902,60,79,0,3535,19
2020-10-04,4966,64,79,0,3547,12
2020-10-05,5031,65,79,0,3554,7
2020-10-06,5096,65,79,0,3586,32
2020-10-07,5160,64,79,0,3620,34
2020-10-08,5226,66,79,0,3650,30
2020-10-09,5296,70,87,8,3687,37
2020-10-10,5361,65,90,3,3796,109
2020-10-11,5432,71,90,0,3850,54
2020-10-12,5501,69,90,0,3858,8
2020-10-13,5572,71,90,0,3954,96
2020-10-14,5648,76,90,0,3999,45
