date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0
2020-04-06,2,2,0,0,0,0
2020-04-07,2,0,0,0,0,0
2020-04-08,2,0,0,0,0,0
2020-04-09,2,0,0,0,0,0
2020-04-10,2,0,0,0,0,0
2020-04-11,2,0,0,0,0,0
2020-04-12,2,0,0,0,0,0
2020-04-13,3,1,0,0,0,0
2020-04-14,3,0,0,0,0,0
2020-04-15,7,4,0,0,0,0
2020-04-16,8,1,0,0,0,0
2020-04-17,9,1,0,0,0,0
2020-04-18,15,6,0,0,0,0
2020-04-19,19,4,0,0,0,0
2020-04-20,27,8,0,0,0,0
2020-04-21,30,3,0,0,0,0
2020-04-22,30,0,0,0,0,0
2020-04-23,35,5,0,0,1,1
2020-04-24,37,2,0,0,3,2
2020-04-25,42,5,0,0,4,1
2020-04-26,44,2,0,0,5,1
2020-04-27,56,12,0,0,5,0
2020-04-28,62,6,0,0,5,0
2020-04-29,63,1,0,0,7,2
2020-04-30,66,3,0,0,10,3
2020-05-01,74,8,0,0,11,1
2020-05-02,81,7,0,0,11,0
2020-05-03,85,4,0,0,13,2
2020-05-04,89,4,0,0,13,0
2020-05-05,91,2,0,0,17,4
2020-05-06,103,12,0,0,17,0
2020-05-07,112,9,0,0,19,2
2020-05-08,125,13,0,0,30,11
2020-05-09,128,3,0,0,31,1
2020-05-10,148,20,0,0,32,1
2020-05-11,160,12,0,0,35,3
2020-05-12,171,11,0,0,40,5
2020-05-13,176,5,1,1,43,3
2020-05-14,188,12,1,0,49,6
2020-05-15,194,6,1,0,49,0
2020-05-16,202,8,1,0,52,3
2020-05-17,215,13,1,0,52,0
2020-05-18,225,10,1,0,52,0
2020-05-19,233,8,1,0,63,11
2020-05-20,241,8,1,0,64,1
2020-05-21,260,19,1,0,66,2
2020-05-22,268,8,1,0,71,5
2020-05-23,284,16,1,0,75,4
2020-05-24,300,16,1,0,97,22
2020-05-25,316,16,1,0,121,24
2020-05-26,331,15,1,0,135,14
2020-05-27,353,22,1,0,135,0
2020-05-28,371,18,1,0,148,13
2020-05-29,382,11,1,0,156,8
2020-05-30,407,25,1,0,165,9
2020-05-31,430,23,1,0,168,3
2020-06-01,445,15,1,0,168,0
2020-06-02,453,8,1,0,191,23
2020-06-03,496,43,2,1,197,6
2020-06-04,520,24,2,0,205,8
2020-06-05,548,28,2,0,210,5
2020-06-06,573,25,2,0,215,5
2020-06-07,614,41,2,0,224,9
2020-06-08,633,19,2,0,226,2
2020-06-09,656,23,2,0,238,12
2020-06-10,676,20,2,0,245,7
2020-06-11,685,9,2,0,260,15
2020-06-12,702,17,2,0,279,19
2020-06-13,732,30,2,0,279,0
2020-06-14,784,52,2,0,287,8
2020-06-15,802,18,2,0,294,7
2020-06-16,809,7,2,0,308,14
2020-06-17,869,60,2,0,334,26
2020-06-18,912,43,2,0,359,25
2020-06-19,934,22,2,0,376,17
2020-06-20,960,26,2,0,395,19
2020-06-21,991,31,2,0,402,7
2020-06-22,1025,34,2,0,403,1
2020-06-23,1043,18,2,0,416,13
2020-06-24,1074,31,2,0,439,23
2020-06-25,1109,35,2,0,440,1
2020-06-26,1133,24,2,0,449,9
2020-06-27,1177,44,2,0,488,39
2020-06-28,1236,59,2,0,488,0
2020-06-29,1266,30,3,1,491,3
2020-06-30,1294,28,3,0,518,27
2020-07-01,1337,43,3,0,576,58
2020-07-02,1378,41,3,0,588,12
2020-07-03,1408,30,3,0,616,28
2020-07-04,1451,43,3,0,657,41
2020-07-05,1499,48,3,0,676,19
2020-07-06,1514,15,3,0,680,4
2020-07-07,1531,17,3,0,701,21
2020-07-08,1581,50,3,0,727,26
2020-07-09,1623,42,3,0,779,52
2020-07-10,1656,33,3,0,793,14
2020-07-11,1684,28,3,0,829,36
2020-07-12,1723,39,3,0,890,61
2020-07-13,1738,15,3,0,894,4
2020-07-14,1747,9,3,0,919,25
2020-07-15,1792,45,3,0,990,71
2020-07-16,1805,13,3,0,1033,43
2020-07-17,1852,47,3,0,1075,42
2020-07-18,1882,30,3,0,1107,32
2020-07-19,1921,39,3,0,1107,0
2020-07-20,1940,19,3,0,1109,2
2020-07-21,1953,13,3,0,1120,11
2020-07-22,1994,41,3,0,1179,59
2020-07-23,2039,45,3,0,1209,30
2020-07-24,2067,28,4,1,1236,27
2020-07-25,2109,42,4,0,1261,25
2020-07-26,2151,42,4,0,1261,0
2020-07-27,2170,19,4,0,1261,0
2020-07-28,2179,9,4,0,1298,37
2020-07-29,2211,32,11,7,1328,30
2020-07-30,2245,34,12,1,1369,41
2020-07-31,2275,30,12,0,1390,21
2020-08-01,2312,37,12,0,1430,40
2020-08-02,2357,45,12,0,1443,13
2020-08-03,2375,18,12,0,1448,5
2020-08-04,2384,9,12,0,1469,21
2020-08-05,2418,34,12,0,1500,31
2020-08-06,2466,48,12,0,1519,19
2020-08-07,2507,41,12,0,1562,43
2020-08-08,2536,29,13,1,1592,30
2020-08-09,2560,24,13,0,1592,0
2020-08-10,2576,16,13,0,1602,10
2020-08-11,2584,8,13,0,1634,32
2020-08-12,2602,18,13,0,1681,47
2020-08-13,2628,26,14,1,1709,28
2020-08-14,2656,28,14,0,1748,39
2020-08-15,2674,18,14,0,1788,40
2020-08-16,2701,27,14,0,1788,0
2020-08-17,2720,19,14,0,1802,14
2020-08-18,2724,4,14,0,1814,12
2020-08-19,2752,28,15,1,1861,47
2020-08-20,2782,30,15,0,1894,33
2020-08-21,2803,21,15,0,1922,28
2020-08-22,2834,31,15,0,1953,31
2020-08-23,2873,39,15,0,1963,10
2020-08-24,2890,17,15,0,1963,0
2020-08-25,2916,26,15,0,1985,22
2020-08-26,2957,41,15,0,2026,41
2020-08-27,2992,35,16,1,2136,110
2020-08-28,3018,26,16,0,2223,87
2020-08-29,3052,34,16,0,2237,14
2020-08-30,3098,46,16,0,2237,0
2020-08-31,3130,32,16,0,2237,0
2020-09-01,3143,13,16,0,2266,29
2020-09-02,3179,36,16,0,2284,18
2020-09-03,3206,27,16,0,2294,10
2020-09-04,3229,23,16,0,2340,46
2020-09-05,3264,35,16,0,2361,21
2020-09-06,3297,33,16,0,2361,0
2020-09-07,3316,19,16,0,2361,0
2020-09-08,3321,5,16,0,2388,27
2020-09-09,3352,31,16,0,2394,6
2020-09-10,3385,33,16,0,2417,23
2020-09-11,3413,28,16,0,2452,35
2020-09-12,3441,28,16,0,2497,45
2020-09-13,3461,20,16,0,2497,0
2020-09-14,3477,16,16,0,2506,9
2020-09-15,3485,8,16,0,2533,27
2020-09-16,3514,29,16,0,2565,32
2020-09-17,3553,39,16,0,2597,32
2020-09-18,3587,34,16,0,2615,18
2020-09-19,3610,23,16,0,2635,20
2020-09-20,3627,17,16,0,2646,11
2020-09-21,3644,17,16,0,2651,5
2020-09-22,3659,15,16,0,2672,21
2020-09-23,3702,43,16,0,2712,40
2020-09-24,3740,38,17,1,2734,22
2020-09-25,3788,48,17,0,2745,11
2020-09-26,3826,38,17,0,2784,39
2020-09-27,3866,40,17,0,2794,10
2020-09-28,3896,30,17,0,2796,2
2020-09-29,3914,18,22,5,2836,40
2020-09-30,3953,39,27,5,2861,25
2020-10-01,3997,44,32,5,2920,59
2020-10-02,4060,63,36,4,2942,22
2020-10-03,4132,72,38,2,2995,53
2020-10-04,4204,72,38,0,2995,0
2020-10-05,4231,27,38,0,3007,12
2020-10-06,4256,25,38,0,3041,34
2020-10-07,4326,70,38,0,3074,33
2020-10-08,4392,66,38,0,3113,39
2020-10-09,4464,72,38,0,3135,22
2020-10-10,4541,77,38,0,3185,50
2020-10-11,4613,72,38,0,3202,17
2020-10-12,4664,51,38,0,3206,4
2020-10-13,4701,37,38,0,3228,22
2020-10-14,4780,79,38,0,3269,41
