date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,3,3,0,0,0,0
2020-04-02,3,0,0,0,0,0
2020-04-03,4,1,0,0,0,0
2020-04-04,4,0,0,0,0,0
2020-04-05,4,0,0,0,0,0
2020-04-06,4,0,0,0,0,0
2020-04-07,4,0,0,0,0,0
2020-04-08,10,6,0,0,0,0
2020-04-09,20,10,0,0,3,3
2020-04-10,21,1,0,0,3,0
2020-04-11,42,21,0,0,3,0
2020-04-12,43,1,0,0,3,0
2020-04-13,58,15,0,0,3,0
2020-04-14,58,0,0,0,3,0
2020-04-15,89,31,0,0,3,0
2020-04-16,120,31,2,2,5,2
2020-04-17,145,25,2,0,8,3
2020-04-18,170,25,2,0,8,0
2020-04-19,196,26,2,0,8,0
2020-04-20,220,24,2,0,11,3
2020-04-21,242,22,3,1,11,0
2020-04-22,276,34,3,0,26,15
2020-04-23,308,32,3,0,27,1
2020-04-24,345,37,3,0,36,9
2020-04-25,389,44,4,1,38,2
2020-04-26,456,67,4,0,38,0
2020-04-27,525,69,4,0,46,8
2020-04-28,590,65,4,0,46,0
2020-04-29,658,68,4,0,66,20
2020-04-30,726,68,4,0,75,9
2020-05-01,792,66,4,0,94,19
2020-05-02,861,69,4,0,103,9
2020-05-03,928,67,4,0,126,23
2020-05-04,997,69,4,0,126,0
2020-05-05,1062,65,4,0,134,8
2020-05-06,1129,67,4,0,176,42
2020-05-07,1197,68,4,0,195,19
2020-05-08,1268,71,6,2,219,24
2020-05-09,1339,71,6,0,273,54
2020-05-10,1410,71,6,0,298,25
2020-05-11,1484,74,6,0,301,3
2020-05-12,1554,70,6,0,329,28
2020-05-13,1621,67,6,0,369,40
2020-05-14,1697,76,6,0,399,30
2020-05-15,1777,80,7,1,436,37
2020-05-16,1855,78,7,0,489,53
2020-05-17,1936,81,7,0,536,47
2020-05-18,2015,79,7,0,551,15
2020-05-19,2095,80,7,0,606,55
2020-05-20,2177,82,7,0,661,55
2020-05-21,2258,81,7,0,738,77
2020-05-22,2339,81,8,1,804,66
2020-05-23,2422,83,8,0,874,70
2020-05-24,2507,85,8,0,904,30
2020-05-25,2581,74,8,0,919,15
2020-05-26,2648,67,9,1,1024,105
2020-05-27,2719,71,9,0,1198,174
2020-05-28,2787,68,10,1,1204,6
2020-05-29,2851,64,10,0,1251,47
2020-05-30,2922,71,10,0,1339,88
2020-05-31,3000,78,13,3,1388,49
2020-06-01,3063,63,13,0,1400,12
2020-06-02,3123,60,13,0,1452,52
2020-06-03,3199,76,13,0,1513,61
2020-06-04,3272,73,15,2,1596,83
2020-06-05,3357,85,15,0,1668,72
2020-06-06,3425,68,15,0,1775,107
2020-06-07,3501,76,16,1,1802,27
2020-06-08,3561,60,16,0,1803,1
2020-06-09,3619,58,17,1,1858,55
2020-06-10,3690,71,19,2,1951,93
2020-06-11,3769,79,19,0,2045,94
2020-06-12,3839,70,20,1,2103,58
2020-06-13,3922,83,20,0,2117,14
2020-06-14,3994,72,22,2,2152,35
2020-06-15,4058,64,22,0,2170,18
2020-06-16,4118,60,22,0,2277,107
2020-06-17,4181,63,23,1,2338,61
2020-06-18,4256,75,23,0,2345,7
2020-06-19,4333,77,25,2,2510,165
2020-06-20,4403,70,26,1,2565,55
2020-06-21,4482,79,26,0,2581,16
2020-06-22,4550,68,27,1,2587,6
2020-06-23,4607,57,28,1,2659,72
2020-06-24,4673,66,30,2,2717,58
2020-06-25,4747,74,30,0,2742,25
2020-06-26,4817,70,31,1,2778,36
2020-06-27,4882,65,32,1,2839,61
2020-06-28,4958,76,32,0,2850,11
2020-06-29,5021,63,32,0,2892,42
2020-06-30,5080,59,34,2,2975,83
2020-07-01,5138,58,36,2,3122,147
2020-07-02,5193,55,37,1,3195,73
2020-07-03,5243,50,37,0,3309,114
2020-07-04,5294,51,39,2,3405,96
2020-07-05,5340,46,39,0,3424,19
2020-07-06,5383,43,39,0,3424,0
2020-07-07,5422,39,41,2,3573,149
2020-07-08,5466,44,43,2,3630,57
2020-07-09,5514,48,43,0,3683,53
2020-07-10,5560,46,45,2,3725,42
2020-07-11,5600,40,45,0,3791,66
2020-07-12,5634,34,46,1,3812,21
2020-07-13,5666,32,46,0,3831,19
2020-07-14,5701,35,48,2,3882,51
2020-07-15,5734,33,48,0,3982,100
2020-07-16,5765,31,48,0,4042,60
2020-07-17,5799,34,49,1,4080,38
2020-07-18,5828,29,49,0,4132,52
2020-07-19,5861,33,49,0,4132,0
2020-07-20,5893,32,49,0,4132,0
2020-07-21,5921,28,49,0,4236,104
2020-07-22,5957,36,49,0,4323,87
2020-07-23,5991,34,49,0,4364,41
2020-07-24,6026,35,49,0,4428,64
2020-07-25,6056,30,49,0,4515,87
2020-07-26,6087,31,49,0,4516,1
2020-07-27,6116,29,49,0,4517,1
2020-07-28,6137,21,49,0,4619,102
2020-07-29,6162,25,49,0,4655,36
2020-07-30,6189,27,49,0,4701,46
2020-07-31,6215,26,50,1,4786,85
2020-08-01,6240,25,50,0,4809,23
2020-08-02,6270,30,50,0,4809,0
2020-08-03,6294,24,50,0,4809,0
2020-08-04,6316,22,51,1,4871,62
2020-08-05,6345,29,51,0,4905,34
2020-08-06,6372,27,51,0,4985,80
2020-08-07,6404,32,51,0,5060,75
2020-08-08,6433,29,51,0,5111,51
2020-08-09,6459,26,51,0,5182,71
2020-08-10,6483,24,51,0,5182,0
2020-08-11,6514,31,51,0,5275,93
2020-08-12,6548,34,51,0,5335,60
2020-08-13,6576,28,51,0,5406,71
2020-08-14,6605,29,51,0,5461,55
2020-08-15,6628,23,51,0,5510,49
2020-08-16,6656,28,51,0,5544,34
2020-08-17,6683,27,51,0,5545,1
2020-08-18,6711,28,51,0,5570,25
2020-08-19,6741,30,51,0,5592,22
2020-08-20,6777,36,51,0,5600,8
2020-08-21,6810,33,52,1,5639,39
2020-08-22,6844,34,52,0,5685,46
2020-08-23,6879,35,52,0,5695,10
2020-08-24,6913,34,52,0,5695,0
2020-08-25,6941,28,53,1,5798,103
2020-08-26,6975,34,53,0,5837,39
2020-08-27,7008,33,53,0,5941,104
2020-08-28,7041,33,53,0,5979,38
2020-08-29,7072,31,53,0,6013,34
2020-08-30,7095,23,53,0,6013,0
2020-08-31,7120,25,53,0,6013,0
2020-09-01,7145,25,53,0,6080,67
2020-09-02,7177,32,53,0,6099,19
2020-09-03,7205,28,54,1,6135,36
2020-09-04,7240,35,54,0,6164,29
2020-09-05,7269,29,54,0,6183,19
2020-09-06,7291,22,54,0,6183,0
2020-09-07,7315,24,54,0,6183,0
2020-09-08,7343,28,54,0,6219,36
2020-09-09,7372,29,54,0,6252,33
2020-09-10,7405,33,54,0,6279,27
2020-09-11,7443,38,54,0,6306,27
2020-09-12,7479,36,54,0,6328,22
2020-09-13,7506,27,54,0,6338,10
2020-09-14,7529,23,54,0,6339,1
2020-09-15,7558,29,55,1,6364,25
2020-09-16,7586,28,56,1,6412,48
2020-09-17,7618,32,56,0,6454,42
2020-09-18,7651,33,56,0,6455,1
2020-09-19,7682,31,56,0,6483,28
2020-09-20,7709,27,56,0,6494,11
2020-09-21,7735,26,56,0,6502,8
2020-09-22,7764,29,56,0,6538,36
2020-09-23,7801,37,56,0,6564,26
2020-09-24,7845,44,56,0,6599,35
2020-09-25,7885,40,56,0,6601,2
2020-09-26,7927,42,57,1,6640,39
2020-09-27,7971,44,57,0,6648,8
2020-09-28,8011,40,57,0,6671,23
2020-09-29,8056,45,57,0,6726,55
2020-09-30,8108,52,57,0,6753,27
2020-10-01,8159,51,57,0,6771,18
2020-10-02,8209,50,57,0,6802,31
2020-10-03,8262,53,58,1,6828,26
2020-10-04,8320,58,58,0,6855,27
2020-10-05,8383,63,58,0,6868,13
2020-10-06,8453,70,58,0,6885,17
2020-10-07,8528,75,58,0,6918,33
2020-10-08,8607,79,58,0,6938,20
2020-10-09,8687,80,60,2,6982,44
2020-10-10,8768,81,60,0,7023,41
2020-10-11,8852,84,60,0,7053,30
2020-10-12,8935,83,60,0,7059,6
2020-10-13,9021,86,60,0,7106,47
2020-10-14,9101,80,60,0,7137,31
