date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,4,3,0,0,0,0
2020-03-20,4,0,0,0,0,0
2020-03-21,5,1,0,0,0,0
2020-03-22,5,0,0,0,0,0
2020-03-23,5,0,0,0,0,0
2020-03-24,5,0,0,0,3,3
2020-03-25,5,0,0,0,3,0
2020-03-26,8,3,0,0,3,0
2020-03-27,8,0,0,0,3,0
2020-03-28,12,4,0,0,3,0
2020-03-29,12,0,0,0,3,0
2020-03-30,14,2,0,0,3,0
2020-03-31,14,0,0,0,4,1
2020-04-01,20,6,0,0,4,0
2020-04-02,25,5,0,0,4,0
2020-04-03,25,0,0,0,4,0
2020-04-04,25,0,0,0,4,0
2020-04-05,29,4,0,0,4,0
2020-04-06,32,3,0,0,5,1
2020-04-07,32,0,0,0,5,0
2020-04-08,39,7,0,0,6,1
2020-04-09,39,0,0,0,8,2
2020-04-10,39,0,0,0,8,0
2020-04-11,60,21,0,0,8,0
2020-04-12,85,25,0,0,8,0
2020-04-13,110,25,0,0,8,0
2020-04-14,131,21,0,0,17,9
2020-04-15,142,11,0,0,17,0
2020-04-16,202,60,0,0,17,0
2020-04-17,231,29,0,0,17,0
2020-04-18,276,45,0,0,17,0
2020-04-19,300,24,0,0,17,0
2020-04-20,306,6,2,2,17,0
2020-04-21,370,64,2,0,17,0
2020-04-22,392,22,2,0,28,11
2020-04-23,427,35,5,3,48,20
2020-04-24,449,22,5,0,48,0
2020-04-25,467,18,5,0,51,3
2020-04-26,508,41,5,0,59,8
2020-04-27,527,19,5,0,59,0
2020-04-28,574,47,7,2,64,5
2020-04-29,609,35,7,0,64,0
2020-04-30,666,57,8,1,64,0
2020-05-01,714,48,9,1,124,60
2020-05-02,764,50,9,0,146,22
2020-05-03,781,17,11,2,153,7
2020-05-04,823,42,11,0,157,4
2020-05-05,868,45,12,1,162,5
2020-05-06,910,42,12,0,162,0
2020-05-07,933,23,12,0,203,41
2020-05-08,964,31,12,0,220,17
2020-05-09,1070,106,13,1,253,33
2020-05-10,1143,73,14,1,284,31
2020-05-11,1201,58,15,1,285,1
2020-05-12,1428,227,15,0,375,90
2020-05-13,1521,93,15,0,425,50
2020-05-14,1542,21,15,0,458,33
2020-05-15,1590,48,16,1,500,42
2020-05-16,1651,61,18,2,531,31
2020-05-17,1765,114,18,0,542,11
2020-05-18,1872,107,18,0,543,1
2020-05-19,1941,69,20,2,565,22
2020-05-20,2445,504,21,1,614,49
2020-05-21,2821,376,22,1,634,20
2020-05-22,2971,150,25,3,659,25
2020-05-23,3119,148,28,3,697,38
2020-05-24,3265,146,28,0,708,11
2020-05-25,3410,145,28,0,710,2
2020-05-26,3558,148,28,0,755,45
2020-05-27,3700,142,29,1,791,36
2020-05-28,3847,147,29,0,834,43
2020-05-29,3985,138,35,6,864,30
2020-05-30,4121,136,39,4,887,23
2020-05-31,4249,128,39,0,894,7
2020-06-01,4380,131,39,0,1060,166
2020-06-02,4530,150,40,1,1259,199
2020-06-03,4654,124,43,3,1300,41
2020-06-04,4795,141,46,3,1363,63
2020-06-05,4968,173,49,3,1427,64
2020-06-06,5136,168,49,0,1488,61
2020-06-07,5301,165,49,0,1494,6
2020-06-08,5460,159,49,0,1570,76
2020-06-09,5617,157,50,1,1811,241
2020-06-10,5791,174,53,3,1970,159
2020-06-11,5981,190,59,6,2068,98
2020-06-12,6159,178,64,5,2129,61
2020-06-13,6328,169,64,0,2164,35
2020-06-14,6494,166,64,0,2205,41
2020-06-15,6655,161,65,1,2251,46
2020-06-16,6813,158,66,1,2328,77
2020-06-17,6973,160,71,5,2431,103
2020-06-18,7129,156,75,4,2490,59
2020-06-19,7280,151,79,4,2577,87
2020-06-20,7432,152,86,7,2673,96
2020-06-21,7580,148,86,0,2680,7
2020-06-22,7726,146,86,0,2830,150
2020-06-23,7875,149,93,7,3132,302
2020-06-24,8029,154,99,6,3249,117
2020-06-25,8182,153,99,0,3308,59
2020-06-26,8331,149,107,8,3401,93
2020-06-27,8476,145,115,8,3465,64
2020-06-28,8619,143,115,0,3536,71
2020-06-29,8760,141,115,0,3639,103
2020-06-30,8904,144,120,5,3827,188
2020-07-01,9044,140,137,17,4128,301
2020-07-02,9181,137,137,0,4517,389
2020-07-03,9316,135,146,9,4708,191
2020-07-04,9452,136,164,18,4920,212
2020-07-05,9585,133,164,0,5017,97
2020-07-06,9716,131,164,0,5143,126
2020-07-07,9848,132,172,8,5421,278
2020-07-08,9978,130,181,9,5732,311
2020-07-09,10106,128,195,14,6050,318
2020-07-10,10235,129,212,17,6315,265
2020-07-11,10369,134,225,13,6525,210
2020-07-12,10500,131,232,7,6692,167
2020-07-13,10628,128,232,0,6811,119
2020-07-14,10756,128,234,2,7127,316
2020-07-15,10889,133,235,1,7407,280
2020-07-16,11020,131,251,16,7710,303
2020-07-17,11149,129,256,5,8083,373
2020-07-18,11276,127,259,3,8385,302
2020-07-19,11403,127,260,1,8529,144
2020-07-20,11528,125,260,0,8687,158
2020-07-21,11655,127,276,16,9118,431
2020-07-22,11790,135,290,14,9532,414
2020-07-23,11923,133,299,9,9926,394
2020-07-24,12057,134,300,1,10320,394
2020-07-25,12244,187,305,5,10681,361
2020-07-26,12419,175,305,0,10850,169
2020-07-27,12581,162,305,0,11038,188
2020-07-28,12734,153,311,6,11433,395
2020-07-29,12859,125,318,7,11553,120
2020-07-30,13000,141,325,7,11626,73
2020-07-31,13145,145,331,6,11710,84
2020-08-01,13288,143,331,0,11761,51
2020-08-02,13422,134,331,0,11786,25
2020-08-03,13550,128,337,6,11848,62
2020-08-04,13680,130,341,4,11904,56
2020-08-05,13807,127,345,4,11934,30
2020-08-06,13936,129,348,3,12007,73
2020-08-07,14062,126,353,5,12056,49
2020-08-08,14190,128,358,5,12094,38
2020-08-09,14319,129,361,3,12117,23
2020-08-10,14446,127,365,4,12141,24
2020-08-11,14568,122,371,6,12209,68
2020-08-12,14691,123,376,5,12281,72
2020-08-13,14812,121,380,4,12344,63
2020-08-14,14932,120,383,3,12411,67
2020-08-15,15051,119,387,4,12485,74
2020-08-16,15167,116,387,0,12511,26
2020-08-17,15285,118,387,0,12543,32
2020-08-18,15402,117,392,5,12614,71
2020-08-19,15517,115,398,6,12679,65
2020-08-20,15631,114,403,5,12732,53
2020-08-21,15748,117,410,7,12808,76
2020-08-22,15862,114,416,6,12893,85
2020-08-23,15974,112,423,7,12929,36
2020-08-24,16089,115,429,6,12972,43
2020-08-25,16202,113,437,8,13041,69
2020-08-26,16316,114,442,5,13114,73
2020-08-27,16428,112,450,8,13195,81
2020-08-28,16539,111,458,8,13258,63
2020-08-29,16649,110,464,6,13334,76
2020-08-30,16760,111,470,6,13359,25
2020-08-31,16870,110,477,7,13416,57
2020-09-01,16979,109,481,4,13512,96
2020-09-02,17089,110,486,5,13587,75
2020-09-03,17197,108,492,6,13670,83
2020-09-04,17304,107,498,6,13748,78
2020-09-05,17413,109,501,3,13813,65
2020-09-06,17520,107,503,2,13840,27
2020-09-07,17626,106,506,3,13850,10
2020-09-08,17729,103,510,4,13933,83
2020-09-09,17834,105,513,3,14024,91
2020-09-10,17936,102,516,3,14107,83
2020-09-11,18038,102,518,2,14185,78
2020-09-12,18139,101,520,2,14264,79
2020-09-13,18242,103,521,1,14276,12
2020-09-14,18344,102,521,0,14287,11
2020-09-15,18445,101,523,2,14376,89
2020-09-16,18547,102,525,2,14466,90
2020-09-17,18648,101,525,0,14549,83
2020-09-18,18751,103,526,1,14628,79
2020-09-19,18852,101,530,4,14706,78
2020-09-20,18954,102,532,2,14717,11
2020-09-21,19055,101,534,2,14728,11
2020-09-22,19157,102,537,3,14813,85
2020-09-23,19260,103,540,3,14896,83
2020-09-24,19362,102,542,2,14976,80
2020-09-25,19464,102,544,2,15058,82
2020-09-26,19565,101,548,4,15135,77
2020-09-27,19668,103,548,0,15144,9
2020-09-28,19775,107,550,2,15156,12
2020-09-29,19887,112,550,0,15235,79
2020-09-30,20001,114,551,1,15316,81
2020-10-01,20117,116,554,3,15396,80
2020-10-02,20232,115,555,1,15475,79
2020-10-03,20345,113,557,2,15553,78
2020-10-04,20467,122,559,2,15563,10
2020-10-05,20587,120,561,2,15577,14
2020-10-06,20724,137,562,1,15657,80
2020-10-07,20882,158,565,3,15739,82
2020-10-08,21049,167,568,3,15826,87
2020-10-09,21214,165,570,2,15912,86
2020-10-10,21389,175,572,2,15998,86
2020-10-11,21565,176,575,3,16008,10
2020-10-12,21739,174,578,3,16023,15
2020-10-13,21923,184,581,3,16103,80
2020-10-14,22118,195,585,4,16188,85
