date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,1,1,0,0,0,0
2020-03-14,1,0,0,0,0,0
2020-03-15,1,0,0,0,0,0
2020-03-16,1,0,0,0,0,0
2020-03-17,1,0,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,3,2,0,0,0,0
2020-03-25,3,0,0,0,0,0
2020-03-26,3,0,0,0,0,0
2020-03-27,3,0,0,0,0,0
2020-03-28,7,4,0,0,0,0
2020-03-29,9,2,0,0,0,0
2020-03-30,11,2,0,0,0,0
2020-03-31,14,3,0,0,1,1
2020-04-01,20,6,0,0,1,0
2020-04-02,31,11,0,0,1,0
2020-04-03,41,10,0,0,1,0
2020-04-04,47,6,0,0,1,0
2020-04-05,57,10,0,0,1,0
2020-04-06,62,5,0,0,1,0
2020-04-07,62,0,0,0,1,0
2020-04-08,94,32,0,0,2,1
2020-04-09,112,18,0,0,3,1
2020-04-10,129,17,0,0,3,0
2020-04-11,134,5,0,0,3,0
2020-04-12,139,5,0,0,3,0
2020-04-13,155,16,0,0,3,0
2020-04-14,190,35,0,0,5,2
2020-04-15,298,108,0,0,5,0
2020-04-16,330,32,0,0,5,0
2020-04-17,354,24,0,0,9,4
2020-04-18,388,34,0,0,9,0
2020-04-19,417,29,0,0,9,0
2020-04-20,454,37,0,0,9,0
2020-04-21,496,42,0,0,9,0
2020-04-22,537,41,0,0,24,15
2020-04-23,576,39,0,0,36,12
2020-04-24,615,39,0,0,56,20
2020-04-25,658,43,0,0,56,0
2020-04-26,700,42,0,0,56,0
2020-04-27,743,43,0,0,80,24
2020-04-28,781,38,0,0,105,25
2020-04-29,834,53,1,1,115,10
2020-04-30,885,51,1,0,115,0
2020-05-01,929,44,3,2,126,11
2020-05-02,975,46,3,0,170,44
2020-05-03,1037,62,3,0,188,18
2020-05-04,1096,59,3,0,220,32
2020-05-05,1149,53,3,0,258,38
2020-05-06,1200,51,3,0,266,8
2020-05-07,1263,63,3,0,330,64
2020-05-08,1354,91,4,1,366,36
2020-05-09,1433,79,6,2,393,27
2020-05-10,1500,67,6,0,423,30
2020-05-11,1566,66,6,0,450,27
2020-05-12,1640,74,6,0,466,16
2020-05-13,1706,66,6,0,502,36
2020-05-14,1775,69,6,0,558,56
2020-05-15,1841,66,7,1,593,35
2020-05-16,1913,72,8,1,641,48
2020-05-17,1982,69,8,0,653,12
2020-05-18,2052,70,8,0,697,44
2020-05-19,2133,81,8,0,728,31
2020-05-20,2208,75,8,0,803,75
2020-05-21,2269,61,8,0,845,42
2020-05-22,2323,54,8,0,898,53
2020-05-23,2380,57,8,0,973,75
2020-05-24,2437,57,8,0,1011,38
2020-05-25,2495,58,9,1,1026,15
2020-05-26,2553,58,11,2,1115,89
2020-05-27,2609,56,11,0,1186,71
2020-05-28,2660,51,11,0,1294,108
2020-05-29,2713,53,11,0,1402,108
2020-05-30,2768,55,11,0,1513,111
2020-05-31,2822,54,11,0,1561,48
2020-06-01,2875,53,11,0,1590,29
2020-06-02,2928,53,15,4,1674,84
2020-06-03,2982,54,15,0,1751,77
2020-06-04,3034,52,15,0,1829,78
2020-06-05,3086,52,17,2,2011,182
2020-06-06,3137,51,18,1,2139,128
2020-06-07,3188,51,18,0,2154,15
2020-06-08,3238,50,18,0,2221,67
2020-06-09,3287,49,19,1,2321,100
2020-06-10,3342,55,23,4,2434,113
2020-06-11,3396,54,23,0,2528,94
2020-06-12,3448,52,23,0,2578,50
2020-06-13,3501,53,23,0,2628,50
2020-06-14,3553,52,23,0,2666,38
2020-06-15,3626,73,23,0,2705,39
2020-06-16,3696,70,24,1,2796,91
2020-06-17,3751,55,25,1,2899,103
2020-06-18,3805,54,25,0,3140,241
2020-06-19,3858,53,25,0,3561,421
2020-06-20,3912,54,25,0,3725,164
2020-06-21,3964,52,27,2,3770,45
2020-06-22,4016,52,27,0,3790,20
2020-06-23,4067,51,27,0,3932,142
2020-06-24,4119,52,27,0,4050,118
2020-06-25,4170,51,27,0,4105,55
2020-06-26,4220,50,27,0,4125,20
2020-06-27,4271,51,28,1,4143,18
2020-06-28,4321,50,30,2,4153,10
2020-06-29,4370,49,30,0,4154,1
2020-06-30,4420,50,32,2,4169,15
2020-07-01,4473,53,32,0,4179,10
2020-07-02,4530,57,32,0,4185,6
2020-07-03,4584,54,34,2,4190,5
2020-07-04,4635,51,34,0,4197,7
2020-07-05,4688,53,34,0,4202,5
2020-07-06,4740,52,34,0,4202,0
2020-07-07,4792,52,34,0,4211,9
2020-07-08,4842,50,35,1,4219,8
2020-07-09,4892,50,36,1,4226,7
2020-07-10,4942,50,36,0,4234,8
2020-07-11,4989,47,37,1,4244,10
2020-07-12,5037,48,37,0,4254,10
2020-07-13,5084,47,39,2,4261,7
2020-07-14,5130,46,40,1,4274,13
2020-07-15,5177,47,42,2,4289,15
2020-07-16,5224,47,42,0,4306,17
2020-07-17,5269,45,46,4,4329,23
2020-07-18,5315,46,46,0,4347,18
2020-07-19,5360,45,46,0,4355,8
2020-07-20,5405,45,46,0,4355,0
2020-07-21,5449,44,47,1,4371,16
2020-07-22,5493,44,48,1,4390,19
2020-07-23,5538,45,50,2,4412,22
2020-07-24,5583,45,50,0,4437,25
2020-07-25,5626,43,56,6,4451,14
2020-07-26,5669,43,56,0,4451,0
2020-07-27,5710,41,56,0,4451,0
2020-07-28,5757,47,56,0,4469,18
2020-07-29,5797,40,56,0,4495,26
2020-07-30,5837,40,56,0,4513,18
2020-07-31,5876,39,56,0,4529,16
2020-08-01,5916,40,56,0,4543,14
2020-08-02,5955,39,56,0,4543,0
2020-08-03,5990,35,56,0,4543,0
2020-08-04,6022,32,56,0,4555,12
2020-08-05,6055,33,56,0,4561,6
2020-08-06,6086,31,56,0,4577,16
2020-08-07,6116,30,56,0,4591,14
2020-08-08,6147,31,61,5,4609,18
2020-08-09,6177,30,61,0,4622,13
2020-08-10,6205,28,61,0,4622,0
2020-08-11,6234,29,62,1,4650,28
2020-08-12,6262,28,62,0,4672,22
2020-08-13,6291,29,66,4,4688,16
2020-08-14,6318,27,66,0,4708,20
2020-08-15,6345,27,66,0,4731,23
