date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,3,3,0,0,0,0
2020-03-13,3,0,0,0,0,0
2020-03-14,3,0,0,0,0,0
2020-03-15,3,0,0,0,0,0
2020-03-16,3,0,0,0,0,0
2020-03-17,3,0,0,0,0,0
2020-03-18,3,0,0,0,0,0
2020-03-19,3,0,0,0,0,0
2020-03-20,3,0,0,0,3,3
2020-03-21,3,0,0,0,3,0
2020-03-22,3,0,0,0,3,0
2020-03-23,3,0,0,0,3,0
2020-03-24,5,2,0,0,3,0
2020-03-25,5,0,0,0,3,0
2020-03-26,5,0,0,0,3,0
2020-03-27,5,0,0,0,3,0
2020-03-28,8,3,0,0,3,0
2020-03-29,9,1,0,0,3,0
2020-03-30,10,1,0,0,3,0
2020-03-31,10,0,0,0,3,0
2020-04-01,11,1,0,0,3,0
2020-04-02,15,4,0,0,3,0
2020-04-03,18,3,0,0,3,0
2020-04-04,18,0,0,0,3,0
2020-04-05,18,0,0,0,4,1
2020-04-06,26,8,0,0,4,0
2020-04-07,26,0,0,0,4,0
2020-04-08,44,18,0,0,5,1
2020-04-09,48,4,0,0,5,0
2020-04-10,55,7,0,0,9,4
2020-04-11,58,3,0,0,10,1
2020-04-12,63,5,0,0,10,0
2020-04-13,69,6,0,0,10,0
2020-04-14,74,5,0,0,12,2
2020-04-15,85,11,0,0,15,3
2020-04-16,96,11,0,0,22,7
2020-04-17,108,12,0,0,29,7
2020-04-18,129,21,0,0,38,9
2020-04-19,149,20,1,1,48,10
2020-04-20,169,20,1,0,60,12
2020-04-21,189,20,2,1,60,0
2020-04-22,213,24,2,0,62,2
2020-04-23,238,25,2,0,62,0
2020-04-24,263,25,2,0,62,0
2020-04-25,284,21,2,0,64,2
2020-04-26,306,22,2,0,64,0
2020-04-27,330,24,2,0,65,1
2020-04-28,356,26,2,0,65,0
2020-04-29,384,28,2,0,67,2
2020-04-30,415,31,2,0,84,17
2020-05-01,446,31,2,0,89,5
2020-05-02,481,35,2,0,89,0
2020-05-03,520,39,2,0,106,17
2020-05-04,563,43,2,0,109,3
2020-05-05,610,47,2,0,112,3
2020-05-06,656,46,2,0,148,36
2020-05-07,703,47,2,0,148,0
2020-05-08,752,49,2,0,186,38
2020-05-09,801,49,2,0,186,0
2020-05-10,849,48,3,1,186,0
2020-05-11,897,48,3,0,193,7
2020-05-12,944,47,3,0,194,1
2020-05-13,990,46,3,0,207,13
2020-05-14,1036,46,3,0,234,27
2020-05-15,1083,47,3,0,258,24
2020-05-16,1133,50,3,0,287,29
2020-05-17,1186,53,4,1,309,22
2020-05-18,1240,54,4,0,310,1
2020-05-19,1298,58,4,0,318,8
2020-05-20,1377,79,4,0,341,23
2020-05-21,1439,62,4,0,382,41
2020-05-22,1503,64,4,0,443,61
2020-05-23,1568,65,4,0,463,20
2020-05-24,1633,65,5,1,534,71
2020-05-25,1696,63,5,0,539,5
2020-05-26,1764,68,5,0,546,7
2020-05-27,1836,72,5,0,588,42
2020-05-28,1906,70,5,0,641,53
2020-05-29,1976,70,5,0,674,33
2020-05-30,2048,72,5,0,715,41
2020-05-31,2123,75,6,1,718,3
2020-06-01,2194,71,6,0,724,6
2020-06-02,2261,67,6,0,742,18
2020-06-03,2326,65,7,1,789,47
2020-06-04,2388,62,8,1,835,46
2020-06-05,2452,64,8,0,892,57
2020-06-06,2516,64,8,0,938,46
2020-06-07,2577,61,8,0,994,56
2020-06-08,2637,60,8,0,1018,24
2020-06-09,2697,60,8,0,1026,8
2020-06-10,2758,61,8,0,1092,66
2020-06-11,2817,59,8,0,1160,68
2020-06-12,2878,61,9,1,1210,50
2020-06-13,2937,59,9,0,1270,60
2020-06-14,2995,58,9,0,1278,8
2020-06-15,3053,58,10,1,1291,13
2020-06-16,3113,60,10,0,1319,28
2020-06-17,3171,58,11,1,1437,118
2020-06-18,3228,57,11,0,1471,34
2020-06-19,3285,57,11,0,1527,56
