date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,1,1,0,0,0,0
2020-04-01,1,0,0,0,0,0
2020-04-02,1,0,0,0,0,0
2020-04-03,1,0,0,0,0,0
2020-04-04,1,0,0,0,0,0
2020-04-05,1,0,0,0,0,0
2020-04-06,1,0,0,0,0,0
2020-04-07,1,0,0,0,0,0
2020-04-08,1,0,0,0,0,0
2020-04-09,1,0,0,0,1,1
2020-04-10,1,0,0,0,1,0
2020-04-11,1,0,0,0,1,0
2020-04-12,1,0,0,0,1,0
2020-04-13,2,1,0,0,1,0
2020-04-14,3,1,0,0,1,0
2020-04-15,3,0,0,0,1,0
2020-04-16,18,15,0,0,1,0
2020-04-17,18,0,0,0,1,0
2020-04-18,62,44,0,0,1,0
2020-04-19,63,1,0,0,1,0
2020-04-20,63,0,0,0,1,0
2020-04-21,65,2,0,0,1,0
2020-04-22,67,2,0,0,1,0
2020-04-23,76,9,0,0,2,1
2020-04-24,78,2,0,0,2,0
2020-04-25,87,9,0,0,2,0
2020-04-26,88,1,0,0,2,0
2020-04-27,91,3,0,0,2,0
2020-04-28,92,1,2,2,3,1
2020-04-29,99,7,2,0,3,0
2020-04-30,101,2,2,0,3,0
2020-05-01,110,9,2,0,3,0
2020-05-02,114,4,2,0,34,31
2020-05-03,116,2,2,0,34,0
2020-05-04,116,0,2,0,35,1
2020-05-05,131,15,2,0,56,21
2020-05-06,136,5,2,0,56,0
2020-05-07,138,2,2,0,57,1
2020-05-08,146,8,2,0,67,10
2020-05-09,154,8,2,0,68,1
2020-05-10,155,1,3,1,73,5
2020-05-11,155,0,3,0,83,10
2020-05-12,157,2,3,0,87,4
2020-05-13,162,5,3,0,90,3
2020-05-14,163,1,3,0,97,7
2020-05-15,171,8,3,0,98,1
2020-05-16,174,3,3,0,101,3
2020-05-17,186,12,3,0,105,4
2020-05-18,189,3,3,0,109,4
2020-05-19,196,7,3,0,112,3
2020-05-20,201,5,3,0,127,15
2020-05-21,206,5,3,0,131,4
2020-05-22,209,3,3,0,134,3
2020-05-23,218,9,3,0,140,6
2020-05-24,223,5,3,0,143,3
2020-05-25,223,0,3,0,146,3
2020-05-26,227,4,3,0,151,5
2020-05-27,228,1,3,0,155,4
2020-05-28,230,2,3,0,163,8
2020-05-29,238,8,3,0,173,10
2020-05-30,238,0,3,0,183,10
2020-05-31,243,5,3,0,186,3
2020-06-01,246,3,3,0,187,1
2020-06-02,248,2,3,0,199,12
2020-06-03,260,12,3,0,201,2
2020-06-04,271,11,3,0,203,2
2020-06-05,286,15,3,0,206,3
2020-06-06,313,27,3,0,207,1
2020-06-07,327,14,3,0,208,1
2020-06-08,339,12,3,0,211,3
2020-06-09,348,9,4,1,213,2
2020-06-10,359,11,4,0,216,3
2020-06-11,397,38,4,0,217,1
2020-06-12,432,35,4,0,220,3
2020-06-13,459,27,4,0,222,2
2020-06-14,480,21,4,0,222,0
2020-06-15,501,21,4,0,224,2
2020-06-16,511,10,4,0,231,7
2020-06-17,519,8,4,0,234,3
2020-06-18,521,2,4,0,241,7
2020-06-19,540,19,4,0,253,12
2020-06-20,559,19,4,0,258,5
2020-06-21,586,27,4,0,267,9
2020-06-22,606,20,4,0,271,4
2020-06-23,609,3,4,0,288,17
2020-06-24,620,11,4,0,308,20
2020-06-25,642,22,4,0,326,18
2020-06-26,654,12,4,0,335,9
2020-06-27,669,15,4,0,347,12
2020-06-28,697,28,4,0,349,2
2020-06-29,731,34,4,0,356,7
2020-06-30,764,33,4,0,361,5
2020-07-01,791,27,4,0,361,0
2020-07-02,833,42,4,0,421,60
2020-07-03,875,42,4,0,460,39
2020-07-04,907,32,4,0,492,32
2020-07-05,928,21,4,0,515,23
2020-07-06,935,7,4,0,526,11
2020-07-07,947,12,4,0,534,8
2020-07-08,951,4,4,0,550,16
2020-07-09,978,27,4,0,556,6
2020-07-10,1001,23,4,0,576,20
2020-07-11,1014,13,4,0,586,10
2020-07-12,1038,24,4,0,597,11
2020-07-13,1055,17,5,1,622,25
2020-07-14,1068,13,5,0,625,3
2020-07-15,1074,6,5,0,626,1
2020-07-16,1098,24,6,1,644,18
2020-07-17,1120,22,6,0,693,49
2020-07-18,1132,12,6,0,726,33
2020-07-19,1144,12,6,0,742,16
2020-07-20,1161,17,7,1,771,29
2020-07-21,1168,7,7,0,773,2
2020-07-22,1186,18,7,0,794,21
2020-07-23,1203,17,7,0,816,22
2020-07-24,1216,13,7,0,828,12
2020-07-25,1231,15,7,0,845,17
2020-07-26,1243,12,7,0,872,27
2020-07-27,1263,20,7,0,882,10
2020-07-28,1269,6,10,3,912,30
2020-07-29,1278,9,10,0,917,5
2020-07-30,1298,20,12,2,948,31
2020-07-31,1317,19,13,1,966,18
2020-08-01,1336,19,13,0,984,18
2020-08-02,1357,21,13,0,984,0
2020-08-03,1380,23,13,0,1007,23
2020-08-04,1402,22,13,0,1017,10
2020-08-05,1421,19,14,1,1048,31
2020-08-06,1442,21,14,0,1075,27
2020-08-07,1464,22,14,0,1113,38
2020-08-08,1484,20,14,0,1128,15
2020-08-09,1501,17,14,0,1141,13
2020-08-10,1520,19,14,0,1143,2
2020-08-11,1554,34,14,0,1154,11
2020-08-12,1576,22,15,1,1167,13
2020-08-13,1599,23,15,0,1192,25
2020-08-14,1619,20,15,0,1213,21
2020-08-15,1637,18,15,0,1224,11
2020-08-16,1651,14,15,0,1236,12
2020-08-17,1664,13,15,0,1251,15
2020-08-18,1688,24,16,1,1263,12
2020-08-19,1701,13,16,0,1293,30
2020-08-20,1721,20,16,0,1321,28
2020-08-21,1740,19,16,0,1353,32
2020-08-22,1765,25,17,1,1388,35
2020-08-23,1781,16,18,1,1426,38
2020-08-24,1787,6,18,0,1477,51
2020-08-25,1793,6,18,0,1487,10
2020-08-26,1809,16,18,0,1497,10
2020-08-27,1825,16,18,0,1521,24
2020-08-28,1857,32,18,0,1551,30
2020-08-29,1883,26,18,0,1573,22
2020-08-30,1904,21,18,0,1597,24
2020-08-31,1928,24,18,0,1610,13
2020-09-01,1943,15,18,0,1615,5
2020-09-02,1966,23,18,0,1633,18
2020-09-03,1992,26,18,0,1660,27
2020-09-04,2020,28,18,0,1683,23
2020-09-05,2049,29,18,0,1686,3
2020-09-06,2083,34,18,0,1690,4
2020-09-07,2116,33,18,0,1696,6
2020-09-08,2150,34,18,0,1715,19
2020-09-09,2181,31,19,1,1732,17
2020-09-10,2210,29,19,0,1748,16
2020-09-11,2241,31,19,0,1763,15
2020-09-12,2275,34,19,0,1776,13
2020-09-13,2308,33,19,0,1795,19
2020-09-14,2340,32,19,0,1823,28
2020-09-15,2372,32,19,0,1858,35
2020-09-16,2406,34,19,0,1899,41
2020-09-17,2451,45,21,2,1914,15
2020-09-18,2484,33,22,1,1943,29
2020-09-19,2522,38,23,1,1971,28
2020-09-20,2556,34,24,1,2002,31
2020-09-21,2594,38,24,0,2038,36
2020-09-22,2637,43,25,1,2056,18
2020-09-23,2680,43,25,0,2090,34
2020-09-24,2720,40,25,0,2124,34
2020-09-25,2756,36,25,0,2154,30
2020-09-26,2793,37,25,0,2177,23
2020-09-27,2830,37,25,0,2207,30
2020-09-28,2865,35,25,0,2236,29
2020-09-29,2899,34,25,0,2263,27
2020-09-30,2933,34,25,0,2288,25
2020-10-01,2971,38,25,0,2318,30
2020-10-02,3010,39,26,1,2335,17
2020-10-03,3049,39,26,0,2362,27
2020-10-04,3091,42,26,0,2392,30
2020-10-05,3131,40,26,0,2413,21
2020-10-06,3172,41,26,0,2432,19
2020-10-07,3211,39,26,0,2464,32
2020-10-08,3254,43,27,1,2497,33
2020-10-09,3297,43,27,0,2522,25
2020-10-10,3343,46,28,1,2550,28
2020-10-11,3389,46,28,0,2565,15
2020-10-12,3434,45,28,0,2591,26
2020-10-13,3482,48,29,1,2615,24
2020-10-14,3530,48,30,1,2645,30
