date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,2,2,0,0,0,0
2020-03-31,2,0,0,0,0,0
2020-04-01,2,0,0,0,0,0
2020-04-02,4,2,0,0,0,0
2020-04-03,4,0,0,0,0,0
2020-04-04,4,0,0,0,0,0
2020-04-05,4,0,0,0,0,0
2020-04-06,13,9,0,0,0,0
2020-04-07,13,0,0,0,0,0
2020-04-08,40,27,0,0,0,0
2020-04-09,41,1,0,0,2,2
2020-04-10,63,22,1,1,2,0
2020-04-11,63,0,1,0,3,1
2020-04-12,70,7,1,0,5,2
2020-04-13,80,10,1,0,5,0
2020-04-14,91,11,1,0,5,0
2020-04-15,118,27,1,0,8,3
2020-04-16,147,29,1,0,8,0
2020-04-17,179,32,1,0,24,16
2020-04-18,219,40,1,0,24,0
2020-04-19,262,43,1,0,24,0
2020-04-20,291,29,1,0,24,0
2020-04-21,311,20,1,0,46,22
2020-04-22,333,22,1,0,46,0
2020-04-23,348,15,1,0,46,0
2020-04-24,377,29,1,0,46,0
2020-04-25,407,30,1,0,46,0
2020-04-26,431,24,1,0,46,0
2020-04-27,462,31,1,0,46,0
2020-04-28,500,38,2,1,81,35
2020-04-29,535,35,2,0,274,193
2020-04-30,566,31,2,0,304,30
2020-05-01,597,31,3,1,332,28
2020-05-02,628,31,3,0,373,41
2020-05-03,668,40,4,1,397,24
2020-05-04,717,49,4,0,416,19
2020-05-05,750,33,4,0,444,28
2020-05-06,783,33,4,0,458,14
2020-05-07,814,31,4,0,508,50
2020-05-08,845,31,4,0,537,29
2020-05-09,882,37,5,1,589,52
2020-05-10,903,21,5,0,594,5
2020-05-11,928,25,5,0,623,29
2020-05-12,964,36,6,1,648,25
2020-05-13,996,32,7,1,696,48
2020-05-14,1033,37,7,0,758,62
2020-05-15,1078,45,7,0,809,51
2020-05-16,1130,52,7,0,860,51
2020-05-17,1184,54,7,0,861,1
2020-05-18,1235,51,7,0,864,3
2020-05-19,1285,50,8,1,910,46
2020-05-20,1322,37,8,0,959,49
2020-05-21,1360,38,8,0,989,30
2020-05-22,1397,37,8,0,1023,34
2020-05-23,1438,41,8,0,1069,46
2020-05-24,1479,41,9,1,1076,7
2020-05-25,1518,39,10,1,1079,3
2020-05-26,1559,41,10,0,1155,76
2020-05-27,1602,43,10,0,1217,62
2020-05-28,1643,41,10,0,1278,61
2020-05-29,1689,46,11,1,1326,48
2020-05-30,1733,44,13,2,1358,32
2020-05-31,1774,41,13,0,1370,12
2020-06-01,1815,41,13,0,1379,9
2020-06-02,1854,39,13,0,1445,66
2020-06-03,1894,40,13,0,1513,68
2020-06-04,1933,39,13,0,1582,69
2020-06-05,1975,42,14,1,1633,51
2020-06-06,2019,44,15,1,1699,66
2020-06-07,2061,42,15,0,1718,19
2020-06-08,2104,43,16,1,1727,9
2020-06-09,2151,47,16,0,1821,94
2020-06-10,2193,42,16,0,1917,96
2020-06-11,2236,43,16,0,1961,44
2020-06-12,2283,47,17,1,2026,65
2020-06-13,2331,48,18,1,2087,61
2020-06-14,2375,44,18,0,2100,13
2020-06-15,2419,44,19,1,2123,23
2020-06-16,2462,43,19,0,2198,75
2020-06-17,2510,48,19,0,2255,57
2020-06-18,2557,47,19,0,2370,115
2020-06-19,2602,45,19,0,2436,66
2020-06-20,2642,40,20,1,2543,107
2020-06-21,2679,37,20,0,2555,12
2020-06-22,2710,31,20,0,2558,3
2020-06-23,2745,35,20,0,2667,109
2020-06-24,2783,38,21,1,2758,91
2020-06-25,2819,36,21,0,2811,53
2020-06-26,2849,30,22,1,2811,0
2020-06-27,2880,31,22,0,2811,0
2020-06-28,2905,25,23,1,2815,4
2020-06-29,2930,25,23,0,2818,3
2020-06-30,2959,29,23,0,2824,6
2020-07-01,2990,31,23,0,2830,6
2020-07-02,3020,30,23,0,2835,5
2020-07-03,3045,25,23,0,2842,7
2020-07-04,3073,28,24,1,2848,6
2020-07-05,3100,27,24,0,2853,5
2020-07-06,3128,28,24,0,2857,4
2020-07-07,3157,29,24,0,2864,7
2020-07-08,3184,27,24,0,2870,6
2020-07-09,3213,29,24,0,2876,6
2020-07-10,3241,28,26,2,2883,7
2020-07-11,3268,27,26,0,2891,8
2020-07-12,3296,28,26,0,2892,1
2020-07-13,3325,29,26,0,2894,2
2020-07-14,3353,28,29,3,2904,10
2020-07-15,3380,27,30,1,2925,21
2020-07-16,3409,29,31,1,2930,5
2020-07-17,3436,27,31,0,2940,10
2020-07-18,3464,28,31,0,2948,8
2020-07-19,3493,29,31,0,2948,0
2020-07-20,3520,27,31,0,2948,0
2020-07-21,3548,28,31,0,2976,28
2020-07-22,3574,26,31,0,3009,33
2020-07-23,3601,27,31,0,3041,32
2020-07-24,3627,26,31,0,3076,35
2020-07-25,3652,25,31,0,3100,24
2020-07-26,3675,23,31,0,3100,0
2020-07-27,3697,22,31,0,3101,1
2020-07-28,3716,19,31,0,3138,37
2020-07-29,3734,18,33,2,3176,38
2020-07-30,3752,18,33,0,3199,23
2020-07-31,3770,18,34,1,3213,14
2020-08-01,3786,16,34,0,3251,38
2020-08-02,3800,14,34,0,3251,0
2020-08-03,3815,15,34,0,3251,0
2020-08-04,3830,15,35,1,3303,52
2020-08-05,3844,14,35,0,3335,32
2020-08-06,3859,15,35,0,3354,19
2020-08-07,3873,14,36,1,3384,30
2020-08-08,3888,15,36,0,3399,15
2020-08-09,3903,15,36,0,3404,5
2020-08-10,3917,14,36,0,3404,0
2020-08-11,3932,15,36,0,3444,40
2020-08-12,3947,15,36,0,3461,17
2020-08-13,3962,15,36,0,3480,19
2020-08-14,3979,17,36,0,3508,28
2020-08-15,3995,16,36,0,3533,25
2020-08-16,4012,17,36,0,3533,0
2020-08-17,4028,16,36,0,3533,0
2020-08-18,4045,17,36,0,3550,17
2020-08-19,4061,16,36,0,3590,40
2020-08-20,4078,17,36,0,3628,38
2020-08-21,4095,17,36,0,3645,17
2020-08-22,4112,17,37,1,3666,21
2020-08-23,4128,16,37,0,3666,0
2020-08-24,4144,16,37,0,3666,0
2020-08-25,4161,17,37,0,3685,19
2020-08-26,4178,17,38,1,3697,12
2020-08-27,4194,16,39,1,3711,14
2020-08-28,4211,17,39,0,3763,52
2020-08-29,4227,16,39,0,3811,48
2020-08-30,4244,17,39,0,3811,0
2020-08-31,4260,16,39,0,3811,0
2020-09-01,4276,16,39,0,3827,16
2020-09-02,4293,17,39,0,3858,31
2020-09-03,4309,16,41,2,3866,8
2020-09-04,4326,17,41,0,3873,7
2020-09-05,4343,17,41,0,3880,7
2020-09-06,4359,16,41,0,3880,0
2020-09-07,4375,16,41,0,3880,0
2020-09-08,4392,17,43,2,3916,36
2020-09-09,4410,18,44,1,3933,17
2020-09-10,4427,17,44,0,3944,11
2020-09-11,4444,17,44,0,3973,29
2020-09-12,4465,21,45,1,3981,8
2020-09-13,4484,19,45,0,3987,6
2020-09-14,4505,21,45,0,3987,0
2020-09-15,4527,22,46,1,3999,12
2020-09-16,4549,22,46,0,4023,24
2020-09-17,4569,20,46,0,4044,21
2020-09-18,4590,21,46,0,4063,19
2020-09-19,4612,22,47,1,4075,12
2020-09-20,4632,20,47,0,4075,0
2020-09-21,4653,21,47,0,4077,2
2020-09-22,4675,22,48,1,4127,50
2020-09-23,4698,23,49,1,4138,11
2020-09-24,4720,22,49,0,4146,8
2020-09-25,4742,22,49,0,4150,4
2020-09-26,4765,23,49,0,4187,37
2020-09-27,4787,22,49,0,4195,8
2020-09-28,4810,23,49,0,4195,0
2020-09-29,4833,23,50,1,4221,26
2020-09-30,4857,24,50,0,4244,23
2020-10-01,4881,24,50,0,4263,19
2020-10-02,4904,23,50,0,4270,7
2020-10-03,4929,25,51,1,4300,30
2020-10-04,4954,25,51,0,4300,0
2020-10-05,4979,25,51,0,4301,1
2020-10-06,5007,28,51,0,4328,27
2020-10-07,5034,27,52,1,4361,33
2020-10-08,5064,30,55,3,4378,17
2020-10-09,5099,35,55,0,4401,23
2020-10-10,5134,35,55,0,4429,28
2020-10-11,5171,37,56,1,4435,6
2020-10-12,5207,36,56,0,4435,0
2020-10-13,5245,38,56,0,4440,5
2020-10-14,5282,37,57,1,4480,40
