date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,4,4,0,0,0,0
2020-03-13,5,1,0,0,0,0
2020-03-14,6,1,0,0,0,0
2020-03-15,9,3,0,0,0,0
2020-03-16,8,0,0,0,0,0
2020-03-17,12,4,0,0,0,0
2020-03-18,12,0,0,0,0,0
2020-03-19,17,5,0,0,0,0
2020-03-20,18,1,0,0,0,0
2020-03-21,35,17,0,0,1,1
2020-03-22,35,0,0,0,1,0
2020-03-23,35,0,0,0,1,0
2020-03-24,35,0,0,0,2,1
2020-03-25,41,6,0,0,2,0
2020-03-26,41,0,0,0,7,5
2020-03-27,49,8,0,0,8,1
2020-03-28,85,36,0,0,8,0
2020-03-29,112,27,0,0,10,2
2020-03-30,119,7,0,0,10,0
2020-03-31,119,0,0,0,14,4
2020-04-01,134,15,1,1,17,3
2020-04-02,177,43,2,1,17,0
2020-04-03,211,34,2,0,17,0
2020-04-04,260,49,2,0,30,13
2020-04-05,305,45,2,0,33,3
2020-04-06,387,82,3,1,34,1
2020-04-07,454,67,8,5,47,13
2020-04-08,549,95,10,2,50,3
2020-04-09,748,199,13,3,52,2
2020-04-10,930,182,13,0,66,14
2020-04-11,1082,152,14,1,69,3
2020-04-12,1360,278,18,4,75,6
2020-04-13,1855,495,19,1,75,0
2020-04-14,2315,460,24,5,75,0
2020-04-15,2587,272,26,2,75,0
2020-04-16,3054,467,33,7,91,16
2020-04-17,3526,472,40,7,105,14
2020-04-18,3954,428,40,0,126,21
2020-04-19,4663,709,49,9,162,36
2020-04-20,5241,578,49,0,176,14
2020-04-21,5959,718,49,0,179,3
2020-04-22,6590,631,56,7,186,7
2020-04-23,7278,688,56,0,186,0
2020-04-24,7889,611,66,10,235,49
2020-04-25,8494,605,69,3,262,27
2020-04-26,9070,576,71,2,272,10
2020-04-27,9708,638,71,0,286,14
2020-04-28,10231,523,74,3,311,25
2020-04-29,10917,686,90,16,389,78
2020-04-30,11710,793,93,3,430,41
2020-05-01,12507,797,109,16,458,28
2020-05-02,13314,807,109,0,503,45
2020-05-03,14136,822,111,2,507,4
2020-05-04,14939,803,111,0,526,19
2020-05-05,15761,822,127,16,576,50
2020-05-06,16590,829,141,14,611,35
2020-05-07,17432,842,156,15,769,158
2020-05-08,18350,918,175,19,813,44
2020-05-09,19425,1075,186,11,1030,217
2020-05-10,20558,1133,195,9,1236,206
2020-05-11,21637,1079,209,14,1389,153
2020-05-12,22700,1063,219,10,1582,193
