date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,21,21,0,0,0,0
2020-03-13,26,5,0,0,0,0
2020-03-14,35,9,0,0,0,0
2020-03-15,35,0,0,0,1,1
2020-03-16,53,18,0,0,1,0
2020-03-17,55,2,0,0,1,0
2020-03-18,86,31,0,0,1,0
2020-03-19,98,12,0,0,1,0
2020-03-20,131,33,0,0,5,4
2020-03-21,137,6,0,0,8,3
2020-03-22,191,54,0,0,8,0
2020-03-23,262,71,0,0,9,1
2020-03-24,290,28,0,0,9,0
2020-03-25,410,120,2,2,14,5
2020-03-26,546,136,2,0,15,1
2020-03-27,703,157,3,1,18,3
2020-03-28,817,114,5,2,18,0
2020-03-29,1014,197,6,1,28,10
2020-03-30,1226,212,6,0,28,0
2020-03-31,1613,387,11,5,70,42
2020-04-01,1880,267,16,5,115,45
2020-04-02,2475,595,19,3,140,25
2020-04-03,2923,448,20,1,168,28
2020-04-04,3357,434,27,7,194,26
2020-04-05,3893,536,29,2,198,4
2020-04-06,4484,591,29,0,206,8
2020-04-07,5181,697,31,2,222,16
2020-04-08,5841,660,31,0,270,48
2020-04-09,6698,857,38,7,313,43
2020-04-10,7822,1124,50,12,350,37
2020-04-11,8852,1030,58,8,499,149
2020-04-12,10158,1306,72,14,687,188
2020-04-13,11513,1355,82,10,837,150
2020-04-14,13002,1489,95,13,1016,179
2020-04-15,14776,1774,106,11,1205,189
2020-04-16,16146,1370,113,7,1394,189
2020-04-17,18105,1959,127,14,1517,123
2020-04-18,20754,2649,148,21,1679,162
2020-04-19,24324,3570,176,28,1763,84
2020-04-20,26350,2026,204,28,1838,75
2020-04-21,29433,3083,233,29,2057,219
2020-04-22,31981,2548,261,28,2267,210
2020-04-23,33940,1959,288,27,2448,181
2020-04-24,36897,2957,325,37,2735,287
2020-04-25,39509,2612,366,41,3047,312
2020-04-26,42480,2971,404,38,3175,128
2020-04-27,45351,2871,435,31,3524,349
2020-04-28,48426,3075,479,44,4130,606
2020-04-29,50646,2220,546,67,4610,480
2020-04-30,53739,3093,611,65,5135,525
2020-05-01,57300,3561,658,47,5766,631
2020-05-02,62658,5358,695,37,6374,608
2020-05-03,68606,5948,729,34,7029,655
2020-05-04,74401,5795,764,35,7573,544
2020-05-05,80115,5714,816,52,7870,297
