date,cases_total,cases_new,cured_total,cured_new
2020-03-12,0,0,0,0
2020-03-13,0,0,0,0
2020-03-14,0,0,0,0
2020-03-15,0,0,0,0
2020-03-16,0,0,0,0
2020-03-17,0,0,0,0
2020-03-18,0,0,0,0
2020-03-19,0,0,0,0
2020-03-20,0,0,0,0
2020-03-21,0,0,0,0
2020-03-22,0,0,0,0
2020-03-23,0,0,0,0
2020-03-24,0,0,0,0
2020-03-25,0,0,0,0
2020-03-26,0,0,0,0
2020-03-27,0,0,0,0
2020-03-28,0,0,0,0
2020-03-29,0,0,0,0
2020-03-30,0,0,0,0
2020-03-31,0,0,0,0
2020-04-01,0,0,0,0
2020-04-02,0,0,0,0
2020-04-03,0,0,0,0
2020-04-04,0,0,0,0
2020-04-05,0,0,0,0
2020-04-06,0,0,0,0
2020-04-07,0,0,0,0
2020-04-08,0,0,0,0
2020-04-09,0,0,0,0
2020-04-10,0,0,0,0
2020-04-11,0,0,0,0
2020-04-12,0,0,0,0
2020-04-13,0,0,0,0
2020-04-14,0,0,0,0
2020-04-15,1,1,0,0
2020-04-16,1,0,0,0
2020-04-17,1,0,0,0
2020-04-18,1,0,0,0
2020-04-19,1,0,0,0
2020-04-20,1,0,0,0
2020-04-21,1,0,0,0
2020-04-22,1,0,0,0
2020-04-23,1,0,0,0
2020-04-24,1,0,0,0
2020-04-25,1,0,1,1
2020-04-26,2,1,1,0
2020-04-27,11,9,1,0
2020-04-28,29,18,1,0
2020-04-29,30,1,1,0
2020-04-30,33,3,1,0
2020-05-01,34,1,1,0
2020-05-02,34,0,1,0
2020-05-03,45,11,1,0
2020-05-04,47,2,1,0
2020-05-05,47,0,1,0
2020-05-06,47,0,1,0
2020-05-07,48,1,1,0
2020-05-08,49,1,1,0
2020-05-09,49,0,1,0
2020-05-10,49,0,1,0
2020-05-11,50,1,1,0
2020-05-12,50,0,1,0
2020-05-13,50,0,4,3
2020-05-14,50,0,7,3
2020-05-15,52,2,7,0
2020-05-16,52,0,7,0
2020-05-17,54,2,7,0
2020-05-18,54,0,7,0
2020-05-19,57,3,7,0
2020-05-20,58,1,7,0
2020-05-21,59,1,7,0
2020-05-22,60,1,7,0
2020-05-23,62,2,10,3
2020-05-24,62,0,10,0
2020-05-25,62,0,10,0
2020-05-26,64,2,10,0
2020-05-27,66,2,12,2
2020-05-28,68,2,12,0
2020-05-29,69,1,12,0
2020-05-30,71,2,12,0
2020-05-31,72,1,12,0
2020-06-01,73,1,12,0
2020-06-02,74,1,15,3
2020-06-03,74,0,15,0
2020-06-04,75,1,15,0
2020-06-05,80,5,15,0
2020-06-06,80,0,16,1
2020-06-07,80,0,16,0
2020-06-08,80,0,16,0
2020-06-09,80,0,17,1
2020-06-10,80,0,20,3
2020-06-11,80,0,26,6
2020-06-12,81,1,32,6
2020-06-13,81,0,32,0
2020-06-14,82,1,32,0
2020-06-15,85,3,32,0
2020-06-16,89,4,32,0
2020-06-17,90,1,33,1
2020-06-18,90,0,33,0
2020-06-19,90,0,33,0
2020-06-20,95,5,33,0
2020-06-21,95,0,33,0
2020-06-22,95,0,33,0
2020-06-23,95,0,33,0
2020-06-24,95,0,35,2
2020-06-25,95,0,35,0
2020-06-26,96,1,38,3
2020-06-27,102,6,38,0
2020-06-28,102,0,38,0
2020-06-29,102,0,38,0
2020-06-30,104,2,38,0
2020-07-01,107,3,38,0
2020-07-02,107,0,38,0
2020-07-03,129,22,40,2
2020-07-04,131,2,40,0
2020-07-05,152,21,40,0
2020-07-06,158,6,40,0
2020-07-07,158,0,43,3
2020-07-08,171,13,43,0
2020-07-09,178,7,43,0
2020-07-10,190,12,43,0
2020-07-11,190,0,43,0
2020-07-12,215,25,43,0
2020-07-13,250,35,43,0
2020-07-14,251,1,43,0
2020-07-15,254,3,44,1
2020-07-16,255,1,46,2
2020-07-17,256,1,46,0
2020-07-18,257,1,46,0
2020-07-19,258,1,46,0
2020-07-20,260,2,46,0
2020-07-21,260,0,52,6
2020-07-22,260,0,55,3
2020-07-23,260,0,58,3
2020-07-24,261,1,61,3
2020-07-25,264,3,62,1
2020-07-26,264,0,62,0
2020-07-27,264,0,62,0
2020-07-28,265,1,72,10
2020-07-29,268,3,82,10
2020-07-30,273,5,82,0
2020-07-31,274,1,83,1
2020-08-01,274,0,83,0
2020-08-02,275,1,88,5
2020-08-03,275,0,88,0
2020-08-04,275,0,89,1
2020-08-05,283,8,89,0
2020-08-06,284,1,90,1
2020-08-07,284,0,90,0
2020-08-08,287,3,90,0
2020-08-09,287,0,93,3
2020-08-10,287,0,93,0
2020-08-11,288,1,94,1
2020-08-12,289,1,96,2
2020-08-13,289,0,98,2
2020-08-14,289,0,98,0
2020-08-15,297,8,104,6
2020-08-16,297,0,104,0
2020-08-17,297,0,104,0
2020-08-18,297,0,104,0
2020-08-19,299,2,105,1
2020-08-20,299,0,110,5
2020-08-21,303,4,110,0
2020-08-22,303,0,111,1
2020-08-23,303,0,111,0
2020-08-24,303,0,113,2
2020-08-25,305,2,113,0
2020-08-26,309,4,113,0
2020-08-27,311,2,113,0
2020-08-28,311,0,113,0
2020-08-29,314,3,113,0
2020-08-30,314,0,113,0
2020-08-31,314,0,114,1
2020-09-01,314,0,114,0
2020-09-02,315,1,114,0
2020-09-03,315,0,114,0
2020-09-04,316,1,114,0
2020-09-05,316,0,114,0
2020-09-06,318,2,114,0
2020-09-07,319,1,114,0
2020-09-08,319,0,114,0
2020-09-09,320,1,114,0
2020-09-10,320,0,114,0
2020-09-11,322,2,114,0
2020-09-12,323,1,114,0
2020-09-13,323,0,114,0
2020-09-14,323,0,114,0
2020-09-15,323,0,114,0
2020-09-16,324,1,114,0
2020-09-17,324,0,114,0
2020-09-18,324,0,114,0
2020-09-19,324,0,114,0
2020-09-20,325,1,114,0
2020-09-21,325,0,114,0
2020-09-22,325,0,114,0
