date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,1,1,0,0,0,0
2020-03-19,2,1,0,0,0,0
2020-03-20,4,2,0,0,0,0
2020-03-21,4,0,0,0,0,0
2020-03-22,4,0,0,0,0,0
2020-03-23,4,0,0,0,0,0
2020-03-24,4,0,0,0,0,0
2020-03-25,4,0,0,0,0,0
2020-03-26,5,1,0,0,0,0
2020-03-27,5,0,0,0,0,0
2020-03-28,7,2,0,0,0,0
2020-03-29,8,1,0,0,0,0
2020-03-30,9,1,0,0,0,0
2020-03-31,9,0,0,0,0,0
2020-04-01,10,1,0,0,2,2
2020-04-02,10,0,0,0,2,0
2020-04-03,10,0,0,0,2,0
2020-04-04,10,0,0,0,2,0
2020-04-05,11,1,0,0,2,0
2020-04-06,11,0,0,0,2,0
2020-04-07,11,0,0,0,2,0
2020-04-08,13,2,0,0,2,0
2020-04-09,18,5,0,0,2,0
2020-04-10,21,3,0,0,8,6
2020-04-11,28,7,0,0,10,2
2020-04-12,28,0,0,0,10,0
2020-04-13,36,8,0,0,10,0
2020-04-14,36,0,0,0,10,0
2020-04-15,53,17,0,0,11,1
2020-04-16,64,11,1,1,14,3
2020-04-17,76,12,2,1,14,0
2020-04-18,86,10,2,0,16,2
2020-04-19,108,22,3,1,16,0
2020-04-20,132,24,3,0,16,0
2020-04-21,135,3,4,1,16,0
2020-04-22,151,16,4,0,20,4
2020-04-23,168,17,4,0,23,3
2020-04-24,209,41,4,0,24,1
2020-04-25,247,38,4,0,24,0
2020-04-26,305,58,4,0,39,15
2020-04-27,347,42,4,0,39,0
2020-04-28,407,60,4,0,53,14
2020-04-29,436,29,4,0,63,10
2020-04-30,471,35,4,0,78,15
2020-05-01,526,55,5,1,80,2
2020-05-02,569,43,7,2,105,25
2020-05-03,620,51,7,0,119,14
2020-05-04,681,61,9,2,150,31
2020-05-05,746,65,9,0,179,29
2020-05-06,809,63,11,2,184,5
2020-05-07,876,67,12,1,240,56
2020-05-08,949,73,12,0,262,22
2020-05-09,1025,76,14,2,306,44
2020-05-10,1100,75,15,1,307,1
2020-05-11,1171,71,15,0,314,7
2020-05-12,1226,55,16,1,338,24
2020-05-13,1300,74,16,0,404,66
2020-05-14,1376,76,16,0,455,51
2020-05-15,1447,71,18,2,526,71
2020-05-16,1511,64,20,2,610,84
2020-05-17,1581,70,20,0,638,28
2020-05-18,1652,71,20,0,666,28
2020-05-19,1728,76,22,2,692,26
2020-05-20,1805,77,22,0,730,38
2020-05-21,1881,76,23,1,773,43
2020-05-22,1960,79,25,2,826,53
2020-05-23,2043,83,27,2,882,56
2020-05-24,2124,81,29,2,891,9
2020-05-25,2213,89,29,0,891,0
2020-05-26,2300,87,30,1,892,1
2020-05-27,2397,97,31,1,902,10
2020-05-28,2493,96,31,0,955,53
2020-05-29,2596,103,31,0,1017,62
2020-05-30,2705,109,32,1,1089,72
2020-05-31,2809,104,32,0,1119,30
2020-06-01,2914,105,33,1,1129,10
2020-06-02,3020,106,34,1,1214,85
2020-06-03,3122,102,34,0,1235,21
2020-06-04,3226,104,36,2,1262,27
2020-06-05,3334,108,38,2,1306,44
2020-06-06,3441,107,40,2,1356,50
2020-06-07,3546,105,41,1,1369,13
2020-06-08,3648,102,42,1,1386,17
2020-06-09,3752,104,44,2,1455,69
2020-06-10,3858,106,46,2,1552,97
2020-06-11,3960,102,48,2,1791,239
2020-06-12,4069,109,50,2,1907,116
2020-06-13,4177,108,53,3,2050,143
2020-06-14,4285,108,55,2,2148,98
2020-06-15,4394,109,57,2,2193,45
2020-06-16,4497,103,60,3,2276,83
2020-06-17,4604,107,62,2,2387,111
2020-06-18,4711,107,63,1,2502,115
2020-06-19,4819,108,65,2,2630,128
2020-06-20,4928,109,68,3,2715,85
2020-06-21,5033,105,70,2,2769,54
2020-06-22,5142,109,72,2,2790,21
2020-06-23,5248,106,76,4,2893,103
2020-06-24,5356,108,78,2,3034,141
2020-06-25,5458,102,82,4,3058,24
2020-06-26,5566,108,83,1,3216,158
2020-06-27,5671,105,87,4,3302,86
2020-06-28,5769,98,91,4,3368,66
2020-06-29,5876,107,93,2,3392,24
2020-06-30,5985,109,96,3,3496,104
2020-07-01,6085,100,99,3,3618,122
2020-07-02,6177,92,101,2,3714,96
2020-07-03,6282,105,105,4,3852,138
2020-07-04,6393,111,105,0,4040,188
2020-07-05,6505,112,112,7,4071,31
2020-07-06,6611,106,116,4,4145,74
2020-07-07,6724,113,120,4,4300,155
2020-07-08,6831,107,124,4,4507,207
2020-07-09,6932,101,128,4,4677,170
2020-07-10,7043,111,133,5,4869,192
2020-07-11,7153,110,137,4,5083,214
2020-07-12,7274,121,142,5,5164,81
2020-07-13,7386,112,146,4,5199,35
2020-07-14,7505,119,148,2,5367,168
2020-07-15,7608,103,152,4,5557,190
2020-07-16,7728,120,155,3,5779,222
2020-07-17,7845,117,160,5,5868,89
2020-07-18,7959,114,163,3,6014,146
2020-07-19,8077,118,168,5,6148,134
2020-07-20,8186,109,171,3,6203,55
2020-07-21,8288,102,177,6,6299,96
2020-07-22,8401,113,179,2,6390,91
2020-07-23,8511,110,184,5,6498,108
2020-07-24,8616,105,190,6,6615,117
2020-07-25,8717,101,196,6,6727,112
2020-07-26,8826,109,200,4,6769,42
2020-07-27,8930,104,206,6,6827,58
2020-07-28,9033,103,211,5,7010,183
2020-07-29,9140,107,218,7,7222,212
2020-07-30,9241,101,223,5,7425,203
2020-07-31,9346,105,230,7,7642,217
2020-08-01,9444,98,234,4,7830,188
2020-08-02,9548,104,240,6,7922,92
2020-08-03,9654,106,246,6,8006,84
2020-08-04,9749,95,251,5,8108,102
2020-08-05,9846,97,255,4,8194,86
2020-08-06,9939,93,262,7,8266,72
2020-08-07,10031,92,269,7,8342,76
2020-08-08,10130,99,273,4,8426,84
2020-08-09,10182,52,280,7,8459,33
2020-08-10,10269,87,285,5,8487,28
2020-08-11,10334,65,292,7,8624,137
2020-08-12,10398,64,297,5,8770,146
2020-08-13,10451,53,303,6,8922,152
2020-08-14,10518,67,306,3,9085,163
2020-08-15,10574,56,309,3,9179,94
2020-08-16,10621,47,312,3,9266,87
2020-08-17,10674,53,315,3,9333,67
2020-08-18,10724,50,319,4,9385,52
2020-08-19,10775,51,324,5,9458,73
2020-08-20,10819,44,329,5,9527,69
2020-08-21,10872,53,335,6,9581,54
2020-08-22,10928,56,336,1,9643,62
2020-08-23,10978,50,339,3,9676,33
2020-08-24,11035,57,341,2,9733,57
2020-08-25,11094,59,344,3,9794,61
2020-08-26,11141,47,346,2,9844,50
2020-08-27,11192,51,349,3,9892,48
2020-08-28,11238,46,352,3,9930,38
2020-08-29,11289,51,354,2,9973,43
2020-08-30,11344,55,355,1,10022,49
2020-08-31,11404,60,358,3,10073,51
2020-09-01,11456,52,361,3,10166,93
2020-09-02,11501,45,364,3,10229,63
2020-09-03,11551,50,367,3,10287,58
2020-09-04,11607,56,371,4,10342,55
2020-09-05,11670,63,376,5,10413,71
2020-09-06,11727,57,378,2,10470,57
2020-09-07,11777,50,378,0,10518,48
2020-09-08,11829,52,381,3,10581,63
2020-09-09,11885,56,384,3,10640,59
2020-09-10,11941,56,387,3,10712,72
2020-09-11,11994,53,389,2,10775,63
2020-09-12,12044,50,390,1,10833,58
2020-09-13,12093,49,394,4,10856,23
2020-09-14,12148,55,397,3,10875,19
2020-09-15,12207,59,398,1,10934,59
2020-09-16,12260,53,401,3,11016,82
2020-09-17,12307,47,403,2,11112,96
2020-09-18,12356,49,407,4,11205,93
2020-09-19,12410,54,410,3,11289,84
2020-09-20,12471,61,413,3,11323,34
2020-09-21,12526,55,417,4,11367,44
2020-09-22,12587,61,420,3,11455,88
2020-09-23,12652,65,425,5,11537,82
2020-09-24,12715,63,428,3,11610,73
2020-09-25,12782,67,432,4,11688,78
2020-09-26,12854,72,435,3,11772,84
2020-09-27,12930,76,439,4,11818,46
2020-09-28,12999,69,441,2,11859,41
2020-09-29,13070,71,445,4,11922,63
2020-09-30,13147,77,449,4,11973,51
2020-10-01,13229,82,454,5,12022,49
2020-10-02,13314,85,457,3,12064,42
2020-10-03,13393,79,461,4,12117,53
2020-10-04,13470,77,464,3,12149,32
2020-10-05,13543,73,469,5,12177,28
2020-10-06,13621,78,473,4,12231,54
2020-10-07,13703,82,476,3,12294,63
2020-10-08,13790,87,481,5,12352,58
2020-10-09,13877,87,483,2,12398,46
2020-10-10,13972,95,488,5,12440,42
2020-10-11,14090,118,491,3,12471,31
2020-10-12,14205,115,496,5,12508,37
2020-10-13,14319,114,501,5,12603,95
2020-10-14,14439,120,507,6,12701,98
