date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,1,1,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,4,3,0,0,0,0
2020-03-26,4,0,0,0,0,0
2020-03-27,4,0,0,0,0,0
2020-03-28,6,2,0,0,0,0
2020-03-29,6,0,1,1,0,0
2020-03-30,7,1,1,0,0,0
2020-03-31,7,0,1,0,0,0
2020-04-01,7,0,1,0,0,0
2020-04-02,12,5,1,0,0,0
2020-04-03,12,0,1,0,0,0
2020-04-04,12,0,1,0,1,1
2020-04-05,12,0,1,0,1,0
2020-04-06,14,2,1,0,1,0
2020-04-07,14,0,1,0,1,0
2020-04-08,22,8,1,0,1,0
2020-04-09,22,0,1,0,4,3
2020-04-10,25,3,1,0,4,0
2020-04-11,25,0,1,0,4,0
2020-04-12,25,0,1,0,5,1
2020-04-13,45,20,1,0,5,0
2020-04-14,53,8,1,0,6,1
2020-04-15,54,1,1,0,6,0
2020-04-16,82,28,2,1,12,6
2020-04-17,120,38,2,0,13,1
2020-04-18,140,20,2,0,15,2
2020-04-19,184,44,2,0,16,1
2020-04-20,184,0,2,0,16,0
2020-04-21,226,42,2,0,20,4
2020-04-22,254,28,2,0,32,12
2020-04-23,277,23,2,0,32,0
2020-04-24,305,28,2,0,32,0
2020-04-25,361,56,2,0,55,23
2020-04-26,377,16,2,0,58,3
2020-04-27,391,14,2,0,58,0
2020-04-28,456,65,2,0,82,24
2020-04-29,493,37,3,1,108,26
2020-04-30,520,27,3,0,119,11
2020-05-01,569,49,3,0,179,60
2020-05-02,591,22,4,1,190,11
2020-05-03,619,28,4,0,217,27
2020-05-04,700,81,4,0,217,0
2020-05-05,728,28,4,0,217,0
2020-05-06,767,39,4,0,217,0
2020-05-07,798,31,4,0,217,0
2020-05-08,847,49,5,1,217,0
2020-05-09,895,48,5,0,272,55
2020-05-10,937,42,5,0,284,12
2020-05-11,986,49,5,0,331,47
2020-05-12,1039,53,5,0,345,14
2020-05-13,1089,50,5,0,390,45
2020-05-14,1178,89,5,0,415,25
2020-05-15,1208,30,5,0,528,113
2020-05-16,1243,35,5,0,564,36
2020-05-17,1278,35,5,0,602,38
2020-05-18,1312,34,5,0,612,10
2020-05-19,1350,38,5,0,701,89
2020-05-20,1392,42,5,0,760,59
2020-05-21,1437,45,5,0,787,27
2020-05-22,1482,45,5,0,849,62
2020-05-23,1524,42,5,0,880,31
2020-05-24,1566,42,5,0,927,47
2020-05-25,1610,44,5,0,950,23
2020-05-26,1664,54,6,1,1027,77
2020-05-27,1718,54,6,0,1097,70
2020-05-28,1772,54,6,0,1139,42
2020-05-29,1826,54,6,0,1196,57
2020-05-30,1871,45,6,0,1196,0
2020-05-31,1925,54,6,0,1196,0
2020-06-01,1979,54,6,0,1196,0
2020-06-02,2032,53,7,1,1196,0
2020-06-03,2085,53,8,1,1241,45
2020-06-04,2141,56,8,0,1276,35
2020-06-05,2204,63,8,0,1587,311
2020-06-06,2267,63,8,0,1628,41
2020-06-07,2331,64,8,0,1636,8
2020-06-08,2397,66,8,0,1642,6
2020-06-09,2461,64,8,0,1704,62
2020-06-10,2521,60,10,2,1757,53
2020-06-11,2580,59,10,0,1827,70
2020-06-12,2643,63,11,1,1872,45
2020-06-13,2705,62,11,0,1893,21
2020-06-14,2768,63,11,0,1924,31
2020-06-15,2830,62,11,0,1950,26
2020-06-16,2890,60,11,0,2050,100
2020-06-17,2948,58,13,2,2150,100
2020-06-18,3007,59,13,0,2222,72
2020-06-19,3067,60,13,0,2301,79
2020-06-20,3125,58,14,1,2373,72
2020-06-21,3181,56,14,0,2398,25
2020-06-22,3245,64,14,0,2412,14
2020-06-23,3310,65,14,0,2528,116
2020-06-24,3377,67,15,1,2581,53
2020-06-25,3439,62,15,0,2597,16
2020-06-26,3499,60,17,2,2622,25
2020-06-27,3562,63,18,1,2638,16
2020-06-28,3626,64,18,0,2644,6
2020-06-29,3700,74,18,0,2649,5
2020-06-30,3777,77,19,1,2672,23
2020-07-01,3853,76,19,0,2914,242
2020-07-02,3929,76,20,1,2939,25
2020-07-03,4007,78,21,1,3028,89
2020-07-04,4088,81,22,1,3039,11
2020-07-05,4170,82,22,0,3072,33
2020-07-06,4253,83,22,0,3102,30
2020-07-07,4339,86,23,1,3204,102
2020-07-08,4427,88,23,0,3256,52
2020-07-09,4515,88,25,2,3343,87
2020-07-10,4610,95,27,2,3394,51
2020-07-11,4708,98,28,1,3485,91
2020-07-12,4808,100,28,0,3506,21
2020-07-13,4910,102,28,0,3530,24
2020-07-14,5018,108,30,2,3642,112
2020-07-15,5126,108,32,2,3869,227
2020-07-16,5237,111,32,0,3960,91
2020-07-17,5352,115,33,1,4013,53
2020-07-18,5470,118,34,1,4061,48
2020-07-19,5586,116,34,0,4084,23
2020-07-20,5701,115,34,0,4107,23
2020-07-21,5815,114,36,2,4213,106
2020-07-22,5929,114,38,2,4381,168
2020-07-23,6042,113,40,2,4516,135
2020-07-24,6154,112,41,1,4631,115
2020-07-25,6264,110,41,0,4751,120
2020-07-26,6374,110,41,0,4775,24
2020-07-27,6485,111,41,0,4798,23
2020-07-28,6594,109,44,3,4931,133
2020-07-29,6702,108,44,0,5117,186
2020-07-30,6809,107,46,2,5273,156
2020-07-31,6915,106,47,1,5363,90
2020-08-01,7021,106,47,0,5477,114
2020-08-02,7131,110,47,0,5527,50
2020-08-03,7239,108,47,0,5562,35
2020-08-04,7345,106,49,2,5701,139
2020-08-05,7450,105,50,1,5792,91
2020-08-06,7553,103,51,1,5926,134
2020-08-07,7656,103,51,0,6038,112
2020-08-08,7757,101,54,3,6166,128
2020-08-09,7858,101,55,1,6198,32
2020-08-10,7962,104,55,0,6218,20
2020-08-11,8066,104,57,2,6399,181
2020-08-12,8169,103,58,1,6542,143
2020-08-13,8274,105,62,4,6677,135
2020-08-14,8378,104,64,2,6789,112
2020-08-15,8483,105,65,1,6902,113
2020-08-16,8585,102,65,0,6934,32
2020-08-17,8687,102,66,1,6967,33
2020-08-18,8787,100,67,1,7104,137
2020-08-19,8885,98,67,0,7235,131
2020-08-20,8981,96,69,2,7400,165
2020-08-21,9074,93,71,2,7521,121
2020-08-22,9167,93,71,0,7642,121
2020-08-23,9258,91,71,0,7648,6
2020-08-24,9348,90,71,0,7677,29
2020-08-25,9437,89,72,1,7812,135
2020-08-26,9524,87,72,0,7982,170
2020-08-27,9610,86,74,2,8137,155
2020-08-28,9694,84,74,0,8313,176
2020-08-29,9778,84,75,1,8481,168
2020-08-30,9861,83,76,1,8548,67
2020-08-31,9944,83,76,0,8635,87
2020-09-01,10030,86,77,1,8841,206
2020-09-02,10117,87,77,0,8956,115
2020-09-03,10205,88,77,0,9115,159
2020-09-04,10295,90,81,4,9225,110
2020-09-05,10387,92,81,0,9333,108
2020-09-06,10479,92,81,0,9388,55
2020-09-07,10570,91,81,0,9419,31
2020-09-08,10659,89,81,0,9537,118
2020-09-09,10750,91,81,0,9669,132
2020-09-10,10843,93,81,0,9777,108
2020-09-11,10938,95,81,0,9909,132
2020-09-12,11034,96,81,0,10010,101
2020-09-13,11130,96,81,0,10044,34
2020-09-14,11228,98,81,0,10075,31
2020-09-15,11328,100,82,1,10208,133
2020-09-16,11428,100,82,0,10350,142
2020-09-17,11529,101,82,0,10465,115
2020-09-18,11628,99,82,0,10569,104
2020-09-19,11729,101,82,0,10667,98
2020-09-20,11827,98,82,0,10696,29
2020-09-21,11927,100,82,0,10727,31
2020-09-22,12027,100,82,0,10884,157
2020-09-23,12129,102,82,0,10980,96
2020-09-24,12231,102,82,0,11113,133
2020-09-25,12336,105,82,0,11157,44
2020-09-26,12438,102,82,0,11266,109
2020-09-27,12539,101,85,3,11303,37
2020-09-28,12642,103,85,0,11351,48
2020-09-29,12747,105,85,0,11443,92
2020-09-30,12854,107,85,0,11590,147
2020-10-01,12963,109,85,0,11698,108
2020-10-02,13072,109,87,2,11855,157
2020-10-03,13183,111,87,0,12005,150
2020-10-04,13298,115,87,0,12055,50
2020-10-05,13415,117,87,0,12142,87
2020-10-06,13532,117,87,0,12298,156
2020-10-07,13651,119,87,0,12455,157
2020-10-08,13776,125,87,0,12613,158
2020-10-09,13906,130,87,0,12769,156
2020-10-10,14043,137,89,2,12854,85
2020-10-11,14185,142,89,0,12900,46
2020-10-12,14332,147,89,0,12968,68
2020-10-13,14485,153,90,1,13055,87
2020-10-14,14644,159,92,2,13145,90
