date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,2,2,0,0,0,0
2020-03-25,2,0,0,0,0,0
2020-03-26,2,0,0,0,0,0
2020-03-27,3,1,0,0,0,0
2020-03-28,3,0,0,0,0,0
2020-03-29,3,0,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,3,0,0,0,0,0
2020-04-02,3,0,0,0,0,0
2020-04-03,3,0,0,0,0,0
2020-04-04,6,3,0,0,0,0
2020-04-05,6,0,0,0,0,0
2020-04-06,7,1,0,0,0,0
2020-04-07,12,5,0,0,3,3
2020-04-08,12,0,0,0,3,0
2020-04-09,17,5,0,0,3,0
2020-04-10,24,7,0,0,3,0
2020-04-11,29,5,0,0,3,0
2020-04-12,29,0,0,0,3,0
2020-04-13,34,5,0,0,3,0
2020-04-14,41,7,0,0,3,0
2020-04-15,41,0,0,0,3,0
2020-04-16,73,32,0,0,7,4
2020-04-17,85,12,0,0,7,0
2020-04-18,119,34,1,1,7,0
2020-04-19,132,13,1,0,10,3
2020-04-20,175,43,1,0,10,0
2020-04-21,198,23,1,0,10,0
2020-04-22,238,40,2,1,10,0
2020-04-23,249,11,2,0,10,0
2020-04-24,296,47,2,0,10,0
2020-04-25,321,25,2,0,10,0
2020-04-26,363,42,2,0,32,22
2020-04-27,407,44,2,0,32,0
2020-04-28,460,53,2,0,38,6
2020-04-29,498,38,3,1,59,21
2020-04-30,525,27,5,2,67,8
2020-05-01,562,37,5,0,82,15
2020-05-02,594,32,6,1,88,6
2020-05-03,662,68,7,1,111,23
2020-05-04,681,19,7,0,123,12
2020-05-05,756,75,7,0,135,12
2020-05-06,813,57,7,0,139,4
2020-05-07,865,52,7,0,193,54
2020-05-08,923,58,7,0,211,18
2020-05-09,973,50,7,0,244,33
2020-05-10,1023,50,9,2,249,5
2020-05-11,1087,64,9,0,257,8
2020-05-12,1148,61,10,1,262,5
2020-05-13,1207,59,10,0,294,32
2020-05-14,1264,57,10,0,327,33
2020-05-15,1329,65,10,0,362,35
2020-05-16,1381,52,10,0,412,50
2020-05-17,1449,68,10,0,426,14
2020-05-18,1517,68,10,0,430,4
2020-05-19,1549,32,10,0,524,94
2020-05-20,1598,49,10,0,576,52
2020-05-21,1647,49,10,0,654,78
2020-05-22,1679,32,10,0,717,63
2020-05-23,1740,61,10,0,804,87
2020-05-24,1808,68,12,2,841,37
2020-05-25,1867,59,12,0,845,4
2020-05-26,1942,75,16,4,953,108
2020-05-27,2023,81,16,0,999,46
2020-05-28,2082,59,18,2,1046,47
2020-05-29,2147,65,24,6,1094,48
2020-05-30,2225,78,24,0,1137,43
2020-05-31,2300,75,25,1,1152,15
2020-06-01,2341,41,25,0,1156,4
2020-06-02,2372,31,26,1,1231,75
2020-06-03,2443,71,27,1,1274,43
2020-06-04,2528,85,28,1,1363,89
2020-06-05,2649,121,31,3,1409,46
2020-06-06,2760,111,32,1,1462,53
2020-06-07,2870,110,32,0,1464,2
2020-06-08,2967,97,32,0,1474,10
2020-06-09,3092,125,32,0,1543,69
2020-06-10,3181,89,35,3,1568,25
2020-06-11,3283,102,35,0,1586,18
2020-06-12,3392,109,35,0,1655,69
2020-06-13,3473,81,35,0,1663,8
2020-06-14,3559,86,35,0,1689,26
2020-06-15,3681,122,36,1,1702,13
2020-06-16,3791,110,39,3,1783,81
2020-06-17,3858,67,44,5,1868,85
2020-06-18,3929,71,44,0,1945,77
2020-06-19,4003,74,45,1,2064,119
2020-06-20,4068,65,45,0,2128,64
2020-06-21,4128,60,45,0,2183,55
2020-06-22,4186,58,45,0,2193,10
2020-06-23,4241,55,46,1,2382,189
2020-06-24,4281,40,51,5,2523,141
2020-06-25,4318,37,51,0,2575,52
2020-06-26,4358,40,54,3,2620,45
2020-06-27,4396,38,57,3,2669,49
2020-06-28,4437,41,59,2,2678,9
2020-06-29,4480,43,59,0,2706,28
2020-06-30,4513,33,61,2,2823,117
2020-07-01,4544,31,66,5,2908,85
2020-07-02,4579,35,66,0,2911,3
2020-07-03,4610,31,69,3,3028,117
2020-07-04,4644,34,73,4,3150,122
2020-07-05,4684,40,73,0,3150,0
2020-07-06,4741,57,73,0,3166,16
2020-07-07,4795,54,73,0,3278,112
2020-07-08,4840,45,73,0,3406,128
2020-07-09,4883,43,75,2,3476,70
2020-07-10,4930,47,75,0,3546,70
2020-07-11,4974,44,75,0,3586,40
2020-07-12,5020,46,75,0,3596,10
2020-07-13,5069,49,75,0,3612,16
2020-07-14,5113,44,75,0,3678,66
2020-07-15,5153,40,75,0,3714,36
2020-07-16,5198,45,75,0,3759,45
2020-07-17,5240,42,77,2,3815,56
2020-07-18,5280,40,77,0,3860,45
2020-07-19,5318,38,77,0,3870,10
2020-07-20,5349,31,77,0,3880,10
2020-07-21,5378,29,78,1,3950,70
2020-07-22,5403,25,80,2,4014,64
2020-07-23,5425,22,80,0,4055,41
2020-07-24,5447,22,81,1,4102,47
2020-07-25,5468,21,87,6,4141,39
2020-07-26,5493,25,87,0,4146,5
2020-07-27,5523,30,87,0,4146,0
2020-07-28,5552,29,88,1,4185,39
2020-07-29,5582,30,89,1,4257,72
2020-07-30,5614,32,89,0,4295,38
2020-07-31,5645,31,89,0,4313,18
2020-08-01,5675,30,90,1,4383,70
2020-08-02,5707,32,91,1,4388,5
2020-08-03,5741,34,91,0,4388,0
2020-08-04,5776,35,93,2,4425,37
2020-08-05,5812,36,93,0,4450,25
2020-08-06,5848,36,93,0,4516,66
2020-08-07,5885,37,93,0,4562,46
2020-08-08,5923,38,94,1,4618,56
2020-08-09,5966,43,94,0,4633,15
2020-08-10,6016,50,94,0,4639,6
2020-08-11,6068,52,95,1,4686,47
2020-08-12,6170,102,96,1,4735,49
2020-08-13,6250,80,96,0,4799,64
2020-08-14,6310,60,97,1,4847,48
2020-08-15,6355,45,98,1,4887,40
2020-08-16,6396,41,98,0,4902,15
2020-08-17,6436,40,98,0,4913,11
2020-08-18,6479,43,99,1,4941,28
2020-08-19,6520,41,100,1,4986,45
2020-08-20,6558,38,101,1,5050,64
2020-08-21,6597,39,101,0,5099,49
2020-08-22,6636,39,101,0,5160,61
2020-08-23,6681,45,101,0,5192,32
2020-08-24,6727,46,101,0,5203,11
2020-08-25,6769,42,103,2,5295,92
2020-08-26,6808,39,104,1,5340,45
2020-08-27,6849,41,104,0,5419,79
2020-08-28,6889,40,105,1,5461,42
2020-08-29,6936,47,106,1,5530,69
2020-08-30,6982,46,106,0,5541,11
2020-08-31,7029,47,106,0,5581,40
2020-09-01,7080,51,108,2,5622,41
2020-09-02,7131,51,109,1,5656,34
2020-09-03,7179,48,110,1,5710,54
2020-09-04,7228,49,110,0,5758,48
2020-09-05,7278,50,110,0,5793,35
2020-09-06,7326,48,111,1,5808,15
2020-09-07,7377,51,111,0,5822,14
2020-09-08,7427,50,111,0,5889,67
2020-09-09,7476,49,113,2,5935,46
2020-09-10,7525,49,113,0,5988,53
2020-09-11,7575,50,114,1,6039,51
2020-09-12,7624,49,115,1,6098,59
2020-09-13,7675,51,115,0,6110,12
2020-09-14,7723,48,115,0,6116,6
2020-09-15,7774,51,116,1,6158,42
2020-09-16,7826,52,120,4,6225,67
2020-09-17,7874,48,120,0,6274,49
2020-09-18,7925,51,121,1,6321,47
2020-09-19,7975,50,122,1,6365,44
2020-09-20,8025,50,122,0,6367,2
2020-09-21,8076,51,122,0,6394,27
2020-09-22,8128,52,123,1,6475,81
2020-09-23,8181,53,125,2,6527,52
2020-09-24,8233,52,126,1,6640,113
2020-09-25,8290,57,126,0,6658,18
2020-09-26,8346,56,127,1,6759,101
2020-09-27,8403,57,127,0,6761,2
2020-09-28,8458,55,127,0,6791,30
2020-09-29,8518,60,128,1,6908,117
2020-09-30,8580,62,129,1,6994,86
2020-10-01,8642,62,129,0,7059,65
2020-10-02,8707,65,131,2,7106,47
2020-10-03,8777,70,132,1,7164,58
2020-10-04,8848,71,132,0,7169,5
2020-10-05,8933,85,132,0,7179,10
2020-10-06,9027,94,134,2,7240,61
2020-10-07,9126,99,134,0,7313,73
2020-10-08,9224,98,135,1,7353,40
2020-10-09,9324,100,136,1,7412,59
2020-10-10,9434,110,137,1,7473,61
2020-10-11,9553,119,137,0,7490,17
2020-10-12,9665,112,137,0,7520,30
2020-10-13,9775,110,139,2,7575,55
2020-10-14,9891,116,140,1,7721,146
