date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,4,4,0,0,0,0
2020-03-26,6,2,0,0,0,0
2020-03-27,6,0,0,0,0,0
2020-03-28,6,0,0,0,0,0
2020-03-29,6,0,0,0,0,0
2020-03-30,9,3,1,1,0,0
2020-03-31,9,0,1,0,0,0
2020-04-01,9,0,2,1,0,0
2020-04-02,9,0,2,0,0,0
2020-04-03,9,0,2,0,0,0
2020-04-04,9,0,2,0,2,2
2020-04-05,9,0,2,0,3,1
2020-04-06,10,1,2,0,3,0
2020-04-07,14,4,2,0,3,0
2020-04-08,14,0,2,0,3,0
2020-04-09,16,2,2,0,5,2
2020-04-10,16,0,2,0,5,0
2020-04-11,16,0,2,0,6,1
2020-04-12,16,0,2,0,6,0
2020-04-13,21,5,2,0,6,0
2020-04-14,21,0,2,0,6,0
2020-04-15,27,6,4,2,8,2
2020-04-16,32,5,4,0,8,0
2020-04-17,37,5,4,0,8,0
2020-04-18,42,5,6,2,8,0
2020-04-19,44,2,6,0,8,0
2020-04-20,52,8,6,0,9,1
2020-04-21,58,6,6,0,9,0
2020-04-22,62,4,6,0,9,0
2020-04-23,66,4,6,0,9,0
2020-04-24,81,15,6,0,9,0
2020-04-25,93,12,6,0,9,0
2020-04-26,110,17,7,1,9,0
2020-04-27,124,14,8,1,13,4
2020-04-28,128,4,8,0,14,1
2020-04-29,142,14,8,0,14,0
2020-04-30,149,7,8,0,17,3
2020-05-01,153,4,8,0,17,0
2020-05-02,177,24,8,0,19,2
2020-05-03,195,18,8,0,19,0
2020-05-04,196,1,8,0,19,0
2020-05-05,214,18,8,0,24,5
2020-05-06,226,12,8,0,35,11
2020-05-07,243,17,8,0,41,6
2020-05-08,270,27,8,0,51,10
2020-05-09,277,7,8,0,59,8
2020-05-10,293,16,8,0,66,7
2020-05-11,308,15,8,0,67,1
2020-05-12,328,20,8,0,67,0
2020-05-13,339,11,8,0,96,29
2020-05-14,351,12,8,0,102,6
2020-05-15,367,16,8,0,112,10
2020-05-16,386,19,9,1,132,20
2020-05-17,405,19,9,0,132,0
2020-05-18,424,19,9,0,132,0
2020-05-19,451,27,9,0,142,10
2020-05-20,461,10,9,0,161,19
2020-05-21,494,33,9,0,172,11
2020-05-22,513,19,9,0,183,11
2020-05-23,543,30,9,0,201,18
2020-05-24,566,23,9,0,201,0
2020-05-25,592,26,10,1,208,7
2020-05-26,608,16,10,0,238,30
2020-05-27,629,21,10,0,268,30
2020-05-28,671,42,10,0,293,25
2020-05-29,723,52,10,0,306,13
2020-05-30,765,42,10,0,332,26
2020-05-31,824,59,10,0,340,8
2020-06-01,887,63,10,0,340,0
2020-06-02,910,23,10,0,359,19
2020-06-03,954,44,10,0,368,9
2020-06-04,1066,112,10,0,403,35
2020-06-05,1131,65,11,1,420,17
2020-06-06,1163,32,12,1,437,17
2020-06-07,1232,69,12,0,437,0
2020-06-08,1269,37,12,0,440,3
2020-06-09,1306,37,12,0,454,14
2020-06-10,1366,60,12,0,475,21
2020-06-11,1425,59,12,0,486,11
2020-06-12,1535,110,16,4,506,20
2020-06-13,1635,100,19,3,507,1
2020-06-14,1740,105,19,0,517,10
2020-06-15,1838,98,19,0,522,5
2020-06-16,1901,63,19,0,525,3
2020-06-17,1996,95,19,0,534,9
2020-06-18,2047,51,19,0,571,37
2020-06-19,2088,41,19,0,611,40
2020-06-20,2183,95,19,0,665,54
2020-06-21,2278,95,19,0,669,4
2020-06-22,2353,75,19,0,669,0
2020-06-23,2414,61,19,0,736,67
2020-06-24,2458,44,19,0,785,49
2020-06-25,2527,69,19,0,797,12
2020-06-26,2564,37,19,0,838,41
2020-06-27,2609,45,21,2,911,73
2020-06-28,2667,58,21,0,912,1
2020-06-29,2722,55,21,0,918,6
2020-06-30,2757,35,22,1,984,66
2020-07-01,2830,73,23,1,1035,51
2020-07-02,2875,45,23,0,1091,56
2020-07-03,2932,57,25,2,1245,154
2020-07-04,2967,35,26,1,1342,97
2020-07-05,3018,51,26,0,1348,6
2020-07-06,3044,26,28,2,1400,52
2020-07-07,3082,38,31,3,1474,74
2020-07-08,3109,27,31,0,1599,125
2020-07-09,3137,28,33,2,1661,62
2020-07-10,3172,35,34,1,1769,108
2020-07-11,3198,26,34,0,1845,76
2020-07-12,3214,16,36,2,1885,40
2020-07-13,3245,31,36,0,1891,6
2020-07-14,3257,12,38,2,1954,63
2020-07-15,3291,34,39,1,2022,68
2020-07-16,3327,36,41,2,2093,71
2020-07-17,3354,27,42,1,2156,63
2020-07-18,3372,18,43,1,2207,51
2020-07-19,3402,30,45,2,2207,0
2020-07-20,3421,19,45,0,2221,14
2020-07-21,3437,16,46,1,2247,26
2020-07-22,3454,17,46,0,2299,52
2020-07-23,3486,32,48,2,2341,42
2020-07-24,3534,48,49,1,2358,17
2020-07-25,3554,20,51,2,2410,52
2020-07-26,3582,28,51,0,2410,0
2020-07-27,3618,36,52,1,2410,0
2020-07-28,3633,15,52,0,2444,34
2020-07-29,3646,13,53,1,2487,43
2020-07-30,3686,40,53,0,2529,42
2020-07-31,3728,42,54,1,2564,35
2020-08-01,3761,33,54,0,2599,35
2020-08-02,3797,36,54,0,2600,1
2020-08-03,3834,37,54,0,2600,0
2020-08-04,3835,1,55,1,2623,23
2020-08-05,3839,4,55,0,2649,26
2020-08-06,3869,30,55,0,2747,98
2020-08-07,3889,20,55,0,2772,25
2020-08-08,3908,19,57,2,2803,31
2020-08-09,3928,20,57,0,2803,0
2020-08-10,3961,33,57,0,2803,0
2020-08-11,3982,21,58,1,2820,17
2020-08-12,4001,19,58,0,2854,34
2020-08-13,4038,37,58,0,2900,46
2020-08-14,4070,32,59,1,2928,28
2020-08-15,4109,39,59,0,2971,43
2020-08-16,4143,34,59,0,2971,0
2020-08-17,4190,47,59,0,2971,0
2020-08-18,4215,25,60,1,3010,39
2020-08-19,4242,27,60,0,3053,43
2020-08-20,4279,37,60,0,3094,41
2020-08-21,4314,35,61,1,3131,37
2020-08-22,4350,36,61,0,3167,36
2020-08-23,4384,34,61,0,3169,2
2020-08-24,4434,50,61,0,3169,0
2020-08-25,4458,24,61,0,3193,24
2020-08-26,4499,41,61,0,3214,21
2020-08-27,4527,28,62,1,3241,27
2020-08-28,4557,30,62,0,3255,14
2020-08-29,4581,24,62,0,3288,33
2020-08-30,4603,22,65,3,3334,46
2020-08-31,4635,32,65,0,3343,9
2020-09-01,4638,3,65,0,3400,57
2020-09-02,4662,24,65,0,3430,30
2020-09-03,4685,23,65,0,3467,37
2020-09-04,4711,26,65,0,3490,23
2020-09-05,4745,34,65,0,3527,37
2020-09-06,4766,21,65,0,3527,0
2020-09-07,4791,25,65,0,3527,0
2020-09-08,4812,21,65,0,3568,41
2020-09-09,4832,20,65,0,3602,34
2020-09-10,4859,27,65,0,3619,17
2020-09-11,4877,18,65,0,3645,26
2020-09-12,4915,38,65,0,3686,41
2020-09-13,4947,32,65,0,3689,3
2020-09-14,4968,21,65,0,3691,2
2020-09-15,4982,14,65,0,3743,52
2020-09-16,5001,19,65,0,3774,31
2020-09-17,5030,29,65,0,3822,48
2020-09-18,5057,27,65,0,3849,27
2020-09-19,5091,34,65,0,3887,38
2020-09-20,5133,42,65,0,3889,2
2020-09-21,5172,39,65,0,3889,0
2020-09-22,5196,24,65,0,3932,43
2020-09-23,5219,23,65,0,3964,32
2020-09-24,5244,25,65,0,3986,22
2020-09-25,5276,32,65,0,4001,15
2020-09-26,5320,44,65,0,4020,19
2020-09-27,5361,41,65,0,4023,3
2020-09-28,5398,37,65,0,4028,5
2020-09-29,5412,14,65,0,4052,24
2020-09-30,5446,34,65,0,4064,12
2020-10-01,5476,30,65,0,4079,15
2020-10-02,5514,38,65,0,4093,14
2020-10-03,5562,48,66,1,4113,20
2020-10-04,5611,49,66,0,4115,2
2020-10-05,5661,50,66,0,4133,18
2020-10-06,5719,58,66,0,4141,8
2020-10-07,5769,50,66,0,4169,28
2020-10-08,5818,49,66,0,4195,26
2020-10-09,5855,37,67,1,4205,10
2020-10-10,5900,45,67,0,4242,37
2020-10-11,5956,56,67,0,4242,0
2020-10-12,6019,63,67,0,4242,0
2020-10-13,6080,61,67,0,4279,37
2020-10-14,6144,64,67,0,4301,22
