date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,1,1,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,2,1,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,2,0,0,0,0,0
2020-03-30,2,0,0,0,0,0
2020-03-31,5,3,0,0,0,0
2020-04-01,5,0,0,0,0,0
2020-04-02,9,4,0,0,0,0
2020-04-03,9,0,0,0,0,0
2020-04-04,9,0,0,0,0,0
2020-04-05,9,0,0,0,0,0
2020-04-06,9,0,0,0,0,0
2020-04-07,17,8,0,0,0,0
2020-04-08,21,4,0,0,0,0
2020-04-09,24,3,0,0,1,1
2020-04-10,29,5,0,0,2,1
2020-04-11,38,9,0,0,2,0
2020-04-12,52,14,0,0,4,2
2020-04-13,78,26,0,0,5,1
2020-04-14,98,20,0,0,5,0
2020-04-15,104,6,0,0,8,3
2020-04-16,145,41,0,0,8,0
2020-04-17,168,23,0,0,10,2
2020-04-18,197,29,0,0,12,2
2020-04-19,232,35,0,0,13,1
2020-04-20,292,60,0,0,13,0
2020-04-21,346,54,0,0,13,0
2020-04-22,398,52,0,0,15,2
2020-04-23,469,71,0,0,18,3
2020-04-24,533,64,0,0,18,0
2020-04-25,584,51,0,0,18,0
2020-04-26,649,65,1,1,37,19
2020-04-27,714,65,2,1,40,3
2020-04-28,778,64,2,0,89,49
2020-04-29,864,86,3,1,89,0
2020-04-30,943,79,6,3,89,0
2020-05-01,1026,83,9,3,98,9
2020-05-02,1106,80,9,0,101,3
2020-05-03,1178,72,9,0,112,11
2020-05-04,1263,85,10,1,123,11
2020-05-05,1353,90,11,1,147,24
2020-05-06,1434,81,12,1,168,21
2020-05-07,1514,80,12,0,195,27
2020-05-08,1594,80,16,4,262,67
2020-05-09,1674,80,19,3,338,76
2020-05-10,1763,89,21,2,388,50
2020-05-11,1851,88,22,1,407,19
2020-05-12,1946,95,24,2,455,48
2020-05-13,2033,87,25,1,506,51
2020-05-14,2111,78,25,0,578,72
2020-05-15,2200,89,25,0,629,51
2020-05-16,2312,112,28,3,719,90
2020-05-17,2427,115,31,3,797,78
2020-05-18,2514,87,31,0,809,12
2020-05-19,2645,131,31,0,874,65
2020-05-20,2784,139,33,2,989,115
2020-05-21,2926,142,33,0,1071,82
2020-05-22,3064,138,34,1,1111,40
2020-05-23,3417,353,34,0,1200,89
2020-05-24,3569,152,34,0,1251,51
2020-05-25,3727,158,34,0,1281,30
2020-05-26,3930,203,34,0,1354,73
2020-05-27,4133,203,34,0,1441,87
2020-05-28,4287,154,35,1,1529,88
2020-05-29,4428,141,36,1,1590,61
2020-05-30,4580,152,38,2,1672,82
2020-05-31,4758,178,38,0,1717,45
2020-06-01,4942,184,38,0,1742,25
2020-06-02,5195,253,40,2,1834,92
2020-06-03,5373,178,40,0,1950,116
2020-06-04,5557,184,43,3,2049,99
2020-06-05,5753,196,43,0,2157,108
2020-06-06,5965,212,46,3,2245,88
2020-06-07,6166,201,47,1,2310,65
2020-06-08,6355,189,48,1,2343,33
2020-06-09,6542,187,51,3,2469,126
2020-06-10,6734,192,54,3,2550,81
2020-06-11,6954,220,59,5,2702,152
2020-06-12,7152,198,64,5,2831,129
2020-06-13,7314,162,65,1,2875,44
2020-06-14,7481,167,67,2,2931,56
2020-06-15,7641,160,67,0,2979,48
2020-06-16,7799,158,71,4,3159,180
2020-06-17,7951,152,72,1,3320,161
2020-06-18,8097,146,76,4,3526,206
2020-06-19,8236,139,80,4,3878,352
2020-06-20,8381,145,85,5,4018,140
2020-06-21,8534,153,90,5,4109,91
2020-06-22,8675,141,90,0,4198,89
2020-06-23,8815,140,94,4,4378,180
2020-06-24,8950,135,97,3,4651,273
2020-06-25,9074,124,100,3,4778,127
2020-06-26,9195,121,105,5,5082,304
2020-06-27,9311,116,115,10,5353,271
2020-06-28,9420,109,117,2,5482,129
2020-06-29,9517,97,120,3,5516,34
2020-06-30,9611,94,125,5,5744,228
2020-07-01,9706,95,127,2,6103,359
2020-07-02,9796,90,130,3,6173,70
2020-07-03,9888,92,134,4,6444,271
2020-07-04,9982,94,137,3,6720,276
2020-07-05,10075,93,139,2,6823,103
2020-07-06,10166,91,141,2,6869,46
2020-07-07,10256,90,146,5,7068,199
2020-07-08,10350,94,149,3,7383,315
2020-07-09,10441,91,152,3,7610,227
2020-07-10,10533,92,156,4,7760,150
2020-07-11,10628,95,161,5,7954,194
2020-07-12,10726,98,163,2,8073,119
2020-07-13,10823,97,164,1,8097,24
2020-07-14,10922,99,167,3,8291,194
2020-07-15,11019,97,172,5,8451,160
2020-07-16,11117,98,173,1,8619,168
2020-07-17,11214,97,178,5,8745,126
2020-07-18,11316,102,183,5,8874,129
2020-07-19,11419,103,183,0,8909,35
2020-07-20,11534,115,183,0,8926,17
2020-07-21,11657,123,187,4,9152,226
2020-07-22,11778,121,192,5,9288,136
2020-07-23,11898,120,197,5,9444,156
2020-07-24,12020,122,201,4,9580,136
2020-07-25,12144,124,203,2,9723,143
2020-07-26,12270,126,203,0,9738,15
2020-07-27,12405,135,205,2,9802,64
2020-07-28,12538,133,210,5,9980,178
2020-07-29,12674,136,215,5,10139,159
2020-07-30,12808,134,219,4,10285,146
2020-07-31,12941,133,225,6,10382,97
2020-08-01,13074,133,230,5,10515,133
2020-08-02,13205,131,233,3,10539,24
2020-08-03,13335,130,236,3,10572,33
2020-08-04,13464,129,240,4,10748,176
2020-08-05,13593,129,245,5,10861,113
2020-08-06,13723,130,249,4,11005,144
2020-08-07,13851,128,255,6,11198,193
2020-08-08,13980,129,261,6,11340,142
2020-08-09,14107,127,261,0,11379,39
2020-08-10,14235,128,261,0,11480,101
2020-08-11,14361,126,268,7,11640,160
2020-08-12,14488,127,271,3,11880,240
2020-08-13,14613,125,274,3,12002,122
2020-08-14,14739,126,278,4,12117,115
2020-08-15,14867,128,284,6,12301,184
2020-08-16,14996,129,287,3,12332,31
2020-08-17,15123,127,288,1,12384,52
2020-08-18,15251,128,293,5,12516,132
2020-08-19,15377,126,298,5,12805,289
2020-08-20,15504,127,301,3,13003,198
2020-08-21,15632,128,301,0,13159,156
2020-08-22,15761,129,306,5,13318,159
2020-08-23,15887,126,308,2,13365,47
2020-08-24,16018,131,312,4,13383,18
2020-08-25,16148,130,318,6,13693,310
2020-08-26,16278,130,326,8,13929,236
2020-08-27,16406,128,332,6,14101,172
2020-08-28,16538,132,338,6,14237,136
2020-08-29,16665,127,344,6,14352,115
2020-08-30,16799,134,348,4,14416,64
2020-08-31,16927,128,351,3,14461,45
2020-09-01,17060,133,354,3,14608,147
2020-09-02,17205,145,359,5,14690,82
2020-09-03,17344,139,363,4,14802,112
2020-09-04,17486,142,369,6,14897,95
2020-09-05,17630,144,373,4,14995,98
2020-09-06,17785,155,373,0,15022,27
2020-09-07,17936,151,373,0,15059,37
2020-09-08,18083,147,378,5,15144,85
2020-09-09,18236,153,383,5,15216,72
2020-09-10,18391,155,389,6,15305,89
2020-09-11,18549,158,393,4,15394,89
2020-09-12,18708,159,397,4,15495,101
2020-09-13,18870,162,400,3,15511,16
2020-09-14,19030,160,403,3,15551,40
2020-09-15,19195,165,410,7,15640,89
2020-09-16,19362,167,416,6,15747,107
2020-09-17,19533,171,423,7,15895,148
2020-09-18,19705,172,430,7,15954,59
2020-09-19,19885,180,436,6,16054,100
2020-09-20,20063,178,441,5,16127,73
2020-09-21,20240,177,445,4,16158,31
2020-09-22,20421,181,451,6,16297,139
2020-09-23,20604,183,460,9,16436,139
2020-09-24,20793,189,468,8,16580,144
2020-09-25,20980,187,468,0,16674,94
2020-09-26,21169,189,477,9,16824,150
2020-09-27,21357,188,486,9,16897,73
2020-09-28,21550,193,486,0,16938,41
2020-09-29,21740,190,486,0,17125,187
2020-09-30,21938,198,495,9,17322,197
2020-10-01,22143,205,504,9,17633,311
2020-10-02,22352,209,514,10,17749,116
2020-10-03,22571,219,523,9,17976,227
2020-10-04,22805,234,532,9,18105,129
2020-10-05,23049,244,541,9,18175,70
2020-10-06,23302,253,551,10,18426,251
2020-10-07,23557,255,559,8,18668,242
2020-10-08,23818,261,559,0,18917,249
2020-10-09,24083,265,568,9,19203,286
2020-10-10,24352,269,578,10,19512,309
2020-10-11,24624,272,587,9,19752,240
2020-10-12,24898,274,596,9,19829,77
2020-10-13,25175,277,605,9,20028,199
2020-10-14,25455,280,614,9,20335,307
