date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,3,3,0,0,0,0
2020-03-17,5,2,0,0,0,0
2020-03-18,5,0,0,0,0,0
2020-03-19,5,0,0,0,0,0
2020-03-20,9,4,0,0,0,0
2020-03-21,9,0,0,0,0,0
2020-03-22,9,0,0,0,0,0
2020-03-23,9,0,0,0,0,0
2020-03-24,10,1,0,0,0,0
2020-03-25,10,0,0,0,0,0
2020-03-26,12,2,0,0,0,0
2020-03-27,14,2,0,0,0,0
2020-03-28,14,0,0,0,1,1
2020-03-29,14,0,0,0,1,0
2020-03-30,14,0,0,0,1,0
2020-03-31,15,1,0,0,1,0
2020-04-01,15,0,0,0,2,1
2020-04-02,17,2,0,0,2,0
2020-04-03,17,0,0,0,7,5
2020-04-04,17,0,0,0,7,0
2020-04-05,17,0,0,0,8,1
2020-04-06,17,0,0,0,9,1
2020-04-07,17,0,0,0,9,0
2020-04-08,18,1,0,0,9,0
2020-04-09,18,0,0,0,10,1
2020-04-10,20,2,0,0,11,1
2020-04-11,21,1,0,0,14,3
2020-04-12,24,3,0,0,14,0
2020-04-13,29,5,0,0,14,0
2020-04-14,40,11,0,0,14,0
2020-04-15,40,0,0,0,14,0
2020-04-16,50,10,0,0,14,0
2020-04-17,63,13,0,0,14,0
2020-04-18,64,1,0,0,15,1
2020-04-19,79,15,0,0,15,0
2020-04-20,95,16,0,0,15,0
2020-04-21,103,8,0,0,15,0
2020-04-22,115,12,0,0,15,0
2020-04-23,141,26,0,0,15,0
2020-04-24,185,44,0,0,19,4
2020-04-25,209,24,0,0,22,3
2020-04-26,229,20,2,2,26,4
2020-04-27,264,35,2,0,26,0
2020-04-28,272,8,5,3,27,1
2020-04-29,327,55,5,0,33,6
2020-04-30,367,40,5,0,36,3
2020-05-01,392,25,5,0,52,16
2020-05-02,433,41,5,0,53,1
2020-05-03,518,85,5,0,58,5
2020-05-04,578,60,5,0,59,1
2020-05-05,595,17,6,1,64,5
2020-05-06,676,81,6,0,72,8
2020-05-07,743,67,8,2,75,3
2020-05-08,802,59,8,0,82,7
2020-05-09,877,75,9,1,102,20
2020-05-10,951,74,9,0,126,24
2020-05-11,1017,66,9,0,135,9
2020-05-12,1083,66,9,0,148,13
2020-05-13,1162,79,9,0,174,26
2020-05-14,1246,84,9,0,194,20
2020-05-15,1302,56,9,0,233,39
2020-05-16,1372,70,9,0,275,42
2020-05-17,1437,65,9,0,295,20
2020-05-18,1503,66,10,1,322,27
2020-05-19,1568,65,11,1,365,43
2020-05-20,1666,98,11,0,419,54
2020-05-21,1740,74,13,2,485,66
2020-05-22,1814,74,14,1,539,54
2020-05-23,1900,86,15,1,578,39
2020-05-24,2021,121,16,1,636,58
2020-05-25,2118,97,16,0,642,6
2020-05-26,2205,87,17,1,669,27
2020-05-27,2340,135,17,0,761,92
2020-05-28,2437,97,18,1,829,68
2020-05-29,2485,48,20,2,892,63
2020-05-30,2527,42,20,0,948,56
2020-05-31,2612,85,20,0,1025,77
2020-06-01,2648,36,20,0,1060,35
2020-06-02,2724,76,22,2,1072,12
2020-06-03,2770,46,23,1,1138,66
2020-06-04,2833,63,23,0,1212,74
2020-06-05,2922,89,23,0,1282,70
2020-06-06,3026,104,25,2,1348,66
2020-06-07,3114,88,27,2,1425,77
2020-06-08,3200,86,29,2,1449,24
2020-06-09,3246,46,32,3,1485,36
2020-06-10,3359,113,34,2,1570,85
2020-06-11,3470,111,37,3,1651,81
2020-06-12,3548,78,40,3,1741,90
2020-06-13,3694,146,43,3,1847,106
2020-06-14,3804,110,46,3,1889,42
2020-06-15,3910,106,49,3,1931,42
2020-06-16,3980,70,50,1,1942,11
2020-06-17,4024,44,51,1,2018,76
2020-06-18,4100,76,53,2,2078,60
2020-06-19,4183,83,53,0,2110,32
2020-06-20,4250,67,53,0,2196,86
2020-06-21,4325,75,53,0,2235,39
2020-06-22,4388,63,53,0,2272,37
2020-06-23,4451,63,53,0,2309,37
2020-06-24,4502,51,53,0,2405,96
2020-06-25,4557,55,53,0,2429,24
2020-06-26,4617,60,53,0,2478,49
2020-06-27,4676,59,53,0,2576,98
2020-06-28,4738,62,53,0,2629,53
2020-06-29,4786,48,53,0,2635,6
2020-06-30,4837,51,56,3,2714,79
2020-07-01,4900,63,56,0,2805,91
2020-07-02,4973,73,56,0,2834,29
2020-07-03,5050,77,58,2,2972,138
2020-07-04,5137,87,58,0,3079,107
2020-07-05,5264,127,58,0,3101,22
2020-07-06,5399,135,58,0,3126,25
2020-07-07,5501,102,58,0,3191,65
2020-07-08,5576,75,59,1,3276,85
2020-07-09,5644,68,59,0,3406,130
2020-07-10,5721,77,61,2,3504,98
2020-07-11,5804,83,63,2,3562,58
2020-07-12,5882,78,64,1,3596,34
2020-07-13,5954,72,64,0,3607,11
2020-07-14,6019,65,66,2,3666,59
2020-07-15,6078,59,70,4,3745,79
2020-07-16,6135,57,73,3,3812,67
2020-07-17,6197,62,73,0,3883,71
2020-07-18,6259,62,73,0,3938,55
2020-07-19,6320,61,73,0,3962,24
2020-07-20,6380,60,74,1,3995,33
2020-07-21,6437,57,76,2,4061,66
2020-07-22,6489,52,77,1,4146,85
2020-07-23,6538,49,78,1,4256,110
2020-07-24,6580,42,78,0,4326,70
2020-07-25,6619,39,79,1,4432,106
2020-07-26,6660,41,80,1,4442,10
2020-07-27,6697,37,81,1,4461,19
2020-07-28,6729,32,81,0,4653,192
2020-07-29,6761,32,85,4,4733,80
2020-07-30,6797,36,87,2,4848,115
2020-07-31,6840,43,89,2,4980,132
2020-08-01,6883,43,90,1,5082,102
2020-08-02,6930,47,91,1,5120,38
2020-08-03,6975,45,94,3,5125,5
2020-08-04,7011,36,97,3,5161,36
2020-08-05,7045,34,102,5,5280,119
2020-08-06,7089,44,103,1,5344,64
2020-08-07,7131,42,104,1,5381,37
2020-08-08,7174,43,105,1,5449,68
2020-08-09,7222,48,107,2,5449,0
2020-08-10,7272,50,107,0,5472,23
2020-08-11,7320,48,110,3,5518,46
2020-08-12,7372,52,111,1,5582,64
2020-08-13,7423,51,113,2,5634,52
2020-08-14,7472,49,115,2,5693,59
2020-08-15,7522,50,117,2,5760,67
2020-08-16,7575,53,117,0,5770,10
2020-08-17,7620,45,117,0,5776,6
2020-08-18,7663,43,117,0,5835,59
2020-08-19,7706,43,121,4,5895,60
2020-08-20,7750,44,122,1,5966,71
2020-08-21,7794,44,122,0,6019,53
2020-08-22,7844,50,122,0,6157,138
2020-08-23,7908,64,123,1,6216,59
2020-08-24,7981,73,123,0,6216,0
2020-08-25,8056,75,123,0,6487,271
2020-08-26,8126,70,123,0,6581,94
2020-08-27,8200,74,124,1,6681,100
2020-08-28,8275,75,124,0,6745,64
2020-08-29,8350,75,124,0,6807,62
2020-08-30,8426,76,125,1,6835,28
2020-08-31,8505,79,125,0,6844,9
2020-09-01,8586,81,129,4,6921,77
2020-09-02,8683,97,133,4,6998,77
2020-09-03,8781,98,133,0,7065,67
2020-09-04,8888,107,134,1,7140,75
2020-09-05,8993,105,135,1,7225,85
2020-09-06,9094,101,135,0,7234,9
2020-09-07,9196,102,135,0,7234,0
2020-09-08,9294,98,137,2,7310,76
2020-09-09,9395,101,138,1,7401,91
2020-09-10,9500,105,138,0,7509,108
2020-09-11,9607,107,142,4,7615,106
2020-09-12,9713,106,142,0,7680,65
2020-09-13,9824,111,144,2,7718,38
2020-09-14,9944,120,144,0,7725,7
2020-09-15,10066,122,144,0,7817,92
2020-09-16,10187,121,145,1,7888,71
2020-09-17,10312,125,159,14,7947,59
2020-09-18,10435,123,163,4,8055,108
2020-09-19,10550,115,172,9,8210,155
2020-09-20,10664,114,172,0,8257,47
2020-09-21,10776,112,173,1,8276,19
2020-09-22,10888,112,175,2,8380,104
2020-09-23,10999,111,177,2,8547,167
2020-09-24,11109,110,178,1,8668,121
2020-09-25,11220,111,178,0,8717,49
2020-09-26,11331,111,184,6,8841,124
2020-09-27,11441,110,185,1,8886,45
2020-09-28,11551,110,188,3,8931,45
2020-09-29,11662,111,188,0,9002,71
2020-09-30,11772,110,191,3,9160,158
2020-10-01,11884,112,194,3,9253,93
2020-10-02,11996,112,199,5,9340,87
2020-10-03,12107,111,203,4,9458,118
2020-10-04,12221,114,203,0,9540,82
2020-10-05,12332,111,203,0,9611,71
2020-10-06,12447,115,206,3,9699,88
2020-10-07,12566,119,206,0,9806,107
2020-10-08,12684,118,207,1,9951,145
2020-10-09,12805,121,207,0,10046,95
2020-10-10,12930,125,207,0,10132,86
2020-10-11,13057,127,207,0,10186,54
2020-10-12,13186,129,209,2,10216,30
2020-10-13,13314,128,209,0,10356,140
2020-10-14,13444,130,213,4,10491,135
