date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,2,2,0,0,0,0
2020-04-02,4,2,0,0,0,0
2020-04-03,4,0,0,0,0,0
2020-04-04,5,1,0,0,0,0
2020-04-05,5,0,0,0,0,0
2020-04-06,8,3,0,0,0,0
2020-04-07,9,1,0,0,0,0
2020-04-08,15,6,1,1,0,0
2020-04-09,22,7,1,0,0,0
2020-04-10,27,5,1,0,1,1
2020-04-11,27,0,1,0,1,0
2020-04-12,34,7,1,0,1,0
2020-04-13,34,0,2,1,1,0
2020-04-14,52,18,2,0,1,0
2020-04-15,52,0,2,0,1,0
2020-04-16,52,0,2,0,3,2
2020-04-17,65,13,2,0,3,0
2020-04-18,94,29,2,0,5,2
2020-04-19,120,26,2,0,7,2
2020-04-20,145,25,2,0,8,1
2020-04-21,177,32,2,0,8,0
2020-04-22,211,34,2,0,8,0
2020-04-23,242,31,2,0,18,10
2020-04-24,275,33,2,0,18,0
2020-04-25,305,30,2,0,35,17
2020-04-26,348,43,2,0,35,0
2020-04-27,401,53,2,0,57,22
2020-04-28,549,148,2,0,57,0
2020-04-29,670,121,2,0,72,15
2020-04-30,763,93,3,1,72,0
2020-05-01,836,73,4,1,84,12
2020-05-02,921,85,4,0,86,2
2020-05-03,990,69,6,2,86,0
2020-05-04,1069,79,6,0,86,0
2020-05-05,1160,91,7,1,158,72
2020-05-06,1253,93,7,0,158,0
2020-05-07,1342,89,9,2,241,83
2020-05-08,1436,94,10,1,262,21
2020-05-09,1505,69,10,0,296,34
2020-05-10,1575,70,10,0,296,0
2020-05-11,1647,72,10,0,296,0
2020-05-12,1723,76,12,2,305,9
2020-05-13,1801,78,13,1,386,81
2020-05-14,1871,70,13,0,797,411
2020-05-15,1943,72,13,0,903,106
2020-05-16,2016,73,15,2,1018,115
2020-05-17,2090,74,15,0,1041,23
2020-05-18,2165,75,15,0,1050,9
2020-05-19,2242,77,15,0,1105,55
2020-05-20,2314,72,18,3,1164,59
2020-05-21,2387,73,22,4,1205,41
2020-05-22,2456,69,22,0,1371,166
2020-05-23,2523,67,23,1,1416,45
2020-05-24,2585,62,27,4,1498,82
2020-05-25,2645,60,27,0,1499,1
2020-05-26,2702,57,32,5,1570,71
2020-05-27,2755,53,32,0,1625,55
2020-05-28,2807,52,37,5,1660,35
2020-05-29,2858,51,43,6,1758,98
2020-05-30,2907,49,46,3,1918,160
2020-05-31,2957,50,46,0,1952,34
2020-06-01,3005,48,50,4,1968,16
2020-06-02,3055,50,56,6,2070,102
2020-06-03,3104,49,57,1,2231,161
2020-06-04,3151,47,57,0,2536,305
2020-06-05,3197,46,57,0,2702,166
2020-06-06,3241,44,57,0,3033,331
2020-06-07,3283,42,57,0,3066,33
2020-06-08,3324,41,57,0,3100,34
2020-06-09,3364,40,57,0,3121,21
2020-06-10,3403,39,57,0,3142,21
2020-06-11,3440,37,58,1,3165,23
2020-06-12,3477,37,58,0,3186,21
2020-06-13,3513,36,66,8,3190,4
2020-06-14,3547,34,66,0,3212,22
2020-06-15,3581,34,66,0,3222,10
2020-06-16,3613,32,66,0,3247,25
2020-06-17,3645,32,66,0,3267,20
2020-06-18,3676,31,66,0,3290,23
2020-06-19,3706,30,66,0,3312,22
2020-06-20,3737,31,66,0,3334,22
2020-06-21,3768,31,66,0,3354,20
2020-06-22,3798,30,66,0,3370,16
2020-06-23,3826,28,66,0,3386,16
2020-06-24,3854,28,66,0,3412,26
2020-06-25,3883,29,66,0,3435,23
2020-06-26,3910,27,67,1,3455,20
2020-06-27,3935,25,67,0,3485,30
2020-06-28,3960,25,67,0,3496,11
2020-06-29,3984,24,67,0,3505,9
2020-06-30,4006,22,67,0,3525,20
2020-07-01,4028,22,67,0,3542,17
2020-07-02,4049,21,67,0,3550,8
2020-07-03,4070,21,67,0,3559,9
2020-07-04,4092,22,67,0,3567,8
2020-07-05,4114,22,67,0,3576,9
2020-07-06,4135,21,67,0,3584,8
2020-07-07,4155,20,67,0,3601,17
2020-07-08,4175,20,67,0,3611,10
2020-07-09,4193,18,67,0,3618,7
2020-07-10,4209,16,67,0,3647,29
2020-07-11,4224,15,67,0,3670,23
2020-07-12,4240,16,67,0,3688,18
2020-07-13,4256,16,67,0,3700,12
2020-07-14,4271,15,67,0,3718,18
2020-07-15,4287,16,67,0,3740,22
2020-07-16,4303,16,67,0,3741,1
2020-07-17,4320,17,67,0,3743,2
2020-07-18,4337,17,67,0,3746,3
2020-07-19,4353,16,67,0,3746,0
2020-07-20,4369,16,67,0,3746,0
2020-07-21,4384,15,67,0,3749,3
2020-07-22,4399,15,67,0,3756,7
2020-07-23,4415,16,67,0,3759,3
2020-07-24,4431,16,67,0,3784,25
2020-07-25,4448,17,67,0,3913,129
2020-07-26,4465,17,67,0,3921,8
2020-07-27,4483,18,67,0,3924,3
2020-07-28,4501,18,67,0,3955,31
2020-07-29,4517,16,67,0,3990,35
2020-07-30,4531,14,67,0,4021,31
2020-07-31,4544,13,67,0,4098,77
2020-08-01,4557,13,67,0,4106,8
2020-08-02,4568,11,67,0,4106,0
2020-08-03,4578,10,67,0,4106,0
2020-08-04,4587,9,67,0,4115,9
2020-08-05,4596,9,67,0,4119,4
2020-08-06,4604,8,67,0,4128,9
2020-08-07,4611,7,67,0,4137,9
2020-08-08,4618,7,67,0,4153,16
2020-08-09,4624,6,67,0,4153,0
2020-08-10,4630,6,67,0,4167,14
2020-08-11,4635,5,67,0,4192,25
2020-08-12,4642,7,67,0,4235,43
2020-08-13,4650,8,67,0,4237,2
2020-08-14,4659,9,67,0,4253,16
2020-08-15,4669,10,67,0,4268,15
2020-08-16,4679,10,67,0,4268,0
2020-08-17,4690,11,67,0,4268,0
2020-08-18,4700,10,67,0,4292,24
2020-08-19,4712,12,67,0,4302,10
2020-08-20,4725,13,67,0,4305,3
2020-08-21,4740,15,67,0,4312,7
2020-08-22,4755,15,67,0,4322,10
2020-08-23,4771,16,67,0,4322,0
2020-08-24,4787,16,67,0,4322,0
2020-08-25,4804,17,67,0,4336,14
2020-08-26,4821,17,67,0,4351,15
2020-08-27,4840,19,67,0,4351,0
2020-08-28,4860,20,67,0,4365,14
2020-08-29,4880,20,67,0,4384,19
2020-08-30,4901,21,67,0,4384,0
2020-08-31,4922,21,67,0,4384,0
2020-09-01,4943,21,67,0,4419,35
2020-09-02,4966,23,67,0,4453,34
2020-09-03,4989,23,67,0,4461,8
2020-09-04,5013,24,67,0,4473,12
2020-09-05,5037,24,67,0,4489,16
2020-09-06,5062,25,67,0,4498,9
2020-09-07,5087,25,67,0,4498,0
2020-09-08,5111,24,67,0,4498,0
2020-09-09,5137,26,67,0,4508,10
2020-09-10,5163,26,68,1,4516,8
2020-09-11,5191,28,68,0,4535,19
2020-09-12,5220,29,68,0,4543,8
2020-09-13,5250,30,68,0,4547,4
2020-09-14,5280,30,68,0,4547,0
2020-09-15,5311,31,68,0,4558,11
2020-09-16,5343,32,68,0,4573,15
2020-09-17,5375,32,68,0,4580,7
2020-09-18,5408,33,68,0,4599,19
2020-09-19,5440,32,68,0,4607,8
2020-09-20,5474,34,68,0,4609,2
2020-09-21,5508,34,68,0,4609,0
2020-09-22,5541,33,68,0,4640,31
2020-09-23,5575,34,68,0,4648,8
2020-09-24,5609,34,68,0,4656,8
2020-09-25,5644,35,68,0,4658,2
2020-09-26,5679,35,69,1,4683,25
2020-09-27,5715,36,69,0,4684,1
2020-09-28,5750,35,69,0,4684,0
2020-09-29,5785,35,70,1,4696,12
2020-09-30,5819,34,70,0,4701,5
2020-10-01,5853,34,70,0,4745,44
2020-10-02,5888,35,70,0,4793,48
2020-10-03,5924,36,70,0,4840,47
2020-10-04,5960,36,70,0,4854,14
2020-10-05,5995,35,70,0,4856,2
2020-10-06,6030,35,70,0,4885,29
2020-10-07,6067,37,70,0,4888,3
2020-10-08,6104,37,70,0,4901,13
2020-10-09,6142,38,70,0,4922,21
2020-10-10,6180,38,70,0,4934,12
2020-10-11,6220,40,70,0,4940,6
2020-10-12,6259,39,70,0,4940,0
2020-10-13,6298,39,70,0,4947,7
2020-10-14,6338,40,70,0,4958,11
