date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,1,1,0,0,0,0
2020-03-13,4,3,0,0,0,0
2020-03-14,5,1,0,0,0,0
2020-03-15,5,0,0,0,1,1
2020-03-16,8,3,0,0,2,1
2020-03-17,9,1,0,0,2,0
2020-03-18,9,0,0,0,2,0
2020-03-19,10,1,0,0,2,0
2020-03-20,14,4,0,0,2,0
2020-03-21,16,2,0,0,2,0
2020-03-22,16,0,0,0,2,0
2020-03-23,16,0,0,0,2,0
2020-03-24,21,5,0,0,2,0
2020-03-25,21,0,0,0,2,0
2020-03-26,26,5,0,0,2,0
2020-03-27,26,0,0,0,5,3
2020-03-28,37,11,0,0,5,0
2020-03-29,42,5,1,1,5,0
2020-03-30,50,8,1,0,5,0
2020-03-31,98,48,2,1,7,2
2020-04-01,125,27,2,0,7,0
2020-04-02,147,22,2,0,7,0
2020-04-03,156,9,2,0,7,0
2020-04-04,171,15,2,0,7,0
2020-04-05,191,20,2,0,7,0
2020-04-06,226,35,2,0,32,25
2020-04-07,295,69,2,0,32,0
2020-04-08,329,34,2,0,32,0
2020-04-09,373,44,4,2,43,11
2020-04-10,408,35,4,0,43,0
2020-04-11,488,80,4,0,74,31
2020-04-12,557,69,4,0,74,0
2020-04-13,678,121,4,0,78,4
2020-04-14,799,121,4,0,78,0
2020-04-15,929,130,5,1,95,17
2020-04-16,1083,154,7,2,110,15
2020-04-17,1507,424,7,0,131,21
2020-04-18,1646,139,8,1,232,101
2020-04-19,1760,114,8,0,239,7
2020-04-20,1846,86,8,0,241,2
2020-04-21,1973,127,11,3,280,39
2020-04-22,2267,294,14,3,327,47
2020-04-23,2458,191,17,3,368,41
2020-04-24,2711,253,20,3,411,43
2020-04-25,2926,215,23,3,460,49
2020-04-26,3077,151,27,4,489,29
2020-04-27,3238,161,27,0,489,0
2020-04-28,3436,198,27,0,544,55
2020-04-29,3726,290,29,2,708,164
2020-04-30,4062,336,29,0,779,71
2020-05-01,4411,349,33,4,779,0
2020-05-02,4734,323,33,0,877,98
2020-05-03,5029,295,34,1,1061,184
2020-05-04,5346,317,37,3,1197,136
2020-05-05,5572,226,37,0,1468,271
2020-05-06,5884,312,40,3,1532,64
2020-05-07,6190,306,44,4,1552,20
2020-05-08,6565,375,48,4,1597,45
2020-05-09,6990,425,53,5,1662,65
2020-05-10,7404,414,53,0,1674,12
2020-05-11,7711,307,56,3,1681,7
2020-05-12,8050,339,58,2,1784,103
2020-05-13,8485,435,63,5,1848,64
2020-05-14,8945,460,69,6,1899,51
2020-05-15,9486,541,74,5,2005,106
2020-05-16,10011,525,80,6,2109,104
2020-05-17,10462,451,85,5,2175,66
2020-05-18,10887,425,90,5,2209,34
2020-05-19,11340,453,95,5,2272,63
2020-05-20,11795,455,99,4,2480,208
2020-05-21,12203,408,104,5,2661,181
2020-05-22,12592,389,107,3,2859,198
2020-05-23,12955,363,113,6,3124,265
2020-05-24,13339,384,133,20,3452,328
2020-05-25,13713,374,138,5,3590,138
2020-05-26,14076,363,150,12,3744,154
2020-05-27,14463,387,158,8,4458,714
2020-05-28,14846,383,167,9,4783,325
2020-05-29,15215,369,178,11,5113,330
2020-05-30,15580,365,191,13,5373,260
2020-05-31,15949,369,204,13,5680,307
2020-06-01,16313,364,213,9,5748,68
2020-06-02,16689,376,223,10,6008,260
2020-06-03,17069,380,240,17,6331,323
2020-06-04,17444,375,264,24,6695,364
2020-06-05,17822,378,291,27,7076,381
2020-06-06,18169,347,346,55,7462,386
2020-06-07,18509,340,377,31,7759,297
2020-06-08,18835,326,392,15,7915,156
2020-06-09,19153,318,433,41,8101,186
2020-06-10,19466,313,482,49,8521,420
2020-06-11,19769,303,520,38,8864,343
2020-06-12,20043,274,561,41,9276,412
2020-06-13,20305,262,569,8,9561,285
2020-06-14,20561,256,597,28,9677,116
2020-06-15,20813,252,635,38,9739,62
2020-06-16,21047,234,689,54,9971,232
2020-06-17,21275,228,727,38,10687,716
2020-06-18,21506,231,756,29,11324,637
2020-06-19,21734,228,793,37,12171,847
2020-06-20,21966,232,814,21,12965,794
2020-06-21,22195,229,840,26,13463,498
2020-06-22,22412,217,869,29,13647,184
2020-06-23,22632,220,904,35,13868,221
2020-06-24,22850,218,942,38,14511,643
2020-06-25,23071,221,961,19,15100,589
2020-06-26,23294,223,1008,47,15495,395
2020-06-27,23518,224,1065,57,16211,716
2020-06-28,23735,217,1086,21,16809,598
2020-06-29,23954,219,1105,19,17056,247
2020-06-30,24207,253,1136,31,17310,254
2020-07-01,24469,262,1182,46,18155,845
2020-07-02,24727,258,1227,45,19004,849
2020-07-03,24990,263,1272,45,19495,491
2020-07-04,25261,271,1303,31,19746,251
2020-07-05,25536,275,1345,42,19994,248
2020-07-06,25816,280,1389,44,20174,180
2020-07-07,26094,278,1437,48,20359,185
2020-07-08,26389,295,1484,47,20552,193
2020-07-09,26681,292,1520,36,20734,182
2020-07-10,26981,300,1541,21,20890,156
2020-07-11,27277,296,1583,42,21071,181
2020-07-12,27570,293,1603,20,21233,162
2020-07-13,27861,291,1626,23,21385,152
2020-07-14,28142,281,1657,31,21579,194
2020-07-15,28406,264,1676,19,21746,167
2020-07-16,28662,256,1698,22,21895,149
2020-07-17,28906,244,1728,30,22051,156
2020-07-18,29144,238,1755,27,22212,161
2020-07-19,29346,202,1781,26,22313,101
2020-07-20,29541,195,1807,26,22425,112
2020-07-21,29730,189,1834,27,22518,93
2020-07-22,29916,186,1862,28,22613,95
2020-07-23,30100,184,1881,19,22714,101
2020-07-24,30281,181,1908,27,22807,93
2020-07-25,30460,179,1936,28,22889,82
2020-07-26,30635,175,1945,9,22968,79
2020-07-27,30807,172,1955,10,23043,75
2020-07-28,30975,168,1978,23,23124,81
2020-07-29,31140,165,2001,23,23199,75
2020-07-30,31302,162,2023,22,23292,93
2020-07-31,31461,159,2043,20,23370,78
2020-08-01,31622,161,2052,9,23466,96
2020-08-02,31785,163,2056,4,23552,86
2020-08-03,31945,160,2062,6,23627,75
2020-08-04,32103,158,2084,22,23712,85
2020-08-05,32259,156,2102,18,23749,37
2020-08-06,32418,159,2118,16,23833,84
2020-08-07,32575,157,2136,18,23926,93
2020-08-08,32730,155,2146,10,24009,83
2020-08-09,32890,160,2149,3,24042,33
2020-08-10,33047,157,2156,7,24087,45
2020-08-11,33204,157,2176,20,24165,78
2020-08-12,33365,161,2188,12,24258,93
2020-08-13,33525,160,2203,15,24354,96
2020-08-14,33684,159,2225,22,24426,72
2020-08-15,33846,162,2245,20,24502,76
2020-08-16,34009,163,2255,10,24555,53
