date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,1,1,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,2,1,0,0,0,0
2020-03-26,5,3,0,0,0,0
2020-03-27,5,0,0,0,0,0
2020-03-28,5,0,0,0,0,0
2020-03-29,5,0,0,0,0,0
2020-03-30,6,1,0,0,0,0
2020-03-31,6,0,0,0,0,0
2020-04-01,6,0,0,0,0,0
2020-04-02,11,5,0,0,1,1
2020-04-03,11,0,0,0,1,0
2020-04-04,11,0,0,0,1,0
2020-04-05,11,0,0,0,2,1
2020-04-06,20,9,0,0,2,0
2020-04-07,39,19,0,0,2,0
2020-04-08,39,0,0,0,5,3
2020-04-09,42,3,0,0,6,1
2020-04-10,52,10,1,1,6,0
2020-04-11,66,14,2,1,9,3
2020-04-12,74,8,2,0,10,1
2020-04-13,86,12,2,0,10,0
2020-04-14,95,9,2,0,10,0
2020-04-15,115,20,2,0,11,1
2020-04-16,143,28,2,0,11,0
2020-04-17,155,12,2,0,19,8
2020-04-18,209,54,2,0,24,5
2020-04-19,232,23,3,1,26,2
2020-04-20,244,12,3,0,26,0
2020-04-21,266,22,4,1,27,1
2020-04-22,277,11,5,1,37,10
2020-04-23,332,55,5,0,38,1
2020-04-24,358,26,5,0,44,6
2020-04-25,385,27,5,0,50,6
2020-04-26,421,36,6,1,58,8
2020-04-27,454,33,6,0,73,15
2020-04-28,491,37,6,0,73,0
2020-04-29,519,28,10,4,81,8
2020-04-30,562,43,14,4,81,0
2020-05-01,651,89,14,0,101,20
2020-05-02,676,25,14,0,116,15
2020-05-03,731,55,15,1,135,19
2020-05-04,788,57,17,2,164,29
2020-05-05,824,36,18,1,188,24
2020-05-06,864,40,20,2,200,12
2020-05-07,887,23,20,0,224,24
2020-05-08,943,56,20,0,249,25
2020-05-09,1012,69,20,0,279,30
2020-05-10,1050,38,20,0,289,10
2020-05-11,1084,34,20,0,301,12
2020-05-12,1125,41,21,1,325,24
2020-05-13,1176,51,21,0,380,55
2020-05-14,1248,72,23,2,408,28
2020-05-15,1308,60,26,3,462,54
2020-05-16,1367,59,26,0,486,24
2020-05-17,1465,98,26,0,526,40
2020-05-18,1530,65,28,2,526,0
2020-05-19,1600,70,31,3,562,36
2020-05-20,1659,59,32,1,598,36
2020-05-21,1728,69,34,2,638,40
2020-05-22,1781,53,36,2,690,52
2020-05-23,1855,74,38,2,711,21
2020-05-24,1932,77,38,0,718,7
2020-05-25,2011,79,40,2,750,32
2020-05-26,2086,75,41,1,812,62
2020-05-27,2158,72,42,1,871,59
2020-05-28,2238,80,43,1,920,49
2020-05-29,2320,82,45,2,991,71
2020-05-30,2404,84,46,1,1042,51
2020-05-31,2485,81,46,0,1067,25
2020-06-01,2568,83,47,1,1102,35
2020-06-02,2653,85,47,0,1174,72
2020-06-03,2733,80,50,3,1265,91
2020-06-04,2819,86,53,3,1318,53
2020-06-05,2903,84,56,3,1409,91
2020-06-06,2990,87,57,1,1446,37
2020-06-07,3079,89,60,3,1470,24
2020-06-08,3167,88,62,2,1471,1
2020-06-09,3253,86,63,1,1538,67
2020-06-10,3338,85,65,2,1650,112
2020-06-11,3425,87,66,1,1739,89
2020-06-12,3509,84,67,1,1846,107
2020-06-13,3594,85,68,1,1860,14
2020-06-14,3677,83,69,1,1893,33
2020-06-15,3759,82,70,1,1953,60
2020-06-16,3845,86,71,1,2042,89
2020-06-17,3928,83,72,1,2129,87
2020-06-18,4018,90,75,3,2221,92
2020-06-19,4155,137,78,3,2280,59
2020-06-20,4248,93,82,4,2351,71
2020-06-21,4349,101,83,1,2382,31
2020-06-22,4451,102,85,2,2409,27
2020-06-23,4541,90,85,0,2523,114
2020-06-24,4616,75,87,2,2603,80
2020-06-25,4695,79,89,2,2631,28
2020-06-26,4771,76,90,1,2718,87
2020-06-27,4875,104,92,2,2796,78
2020-06-28,4973,98,94,2,2817,21
2020-06-29,5063,90,95,1,2850,33
2020-06-30,5141,78,97,2,2963,113
2020-07-01,5225,84,98,1,3049,86
2020-07-02,5318,93,99,1,3081,32
2020-07-03,5391,73,99,0,3181,100
2020-07-04,5487,96,102,3,3629,448
2020-07-05,5569,82,103,1,3659,30
2020-07-06,5649,80,104,1,3660,1
2020-07-07,5728,79,106,2,3660,0
2020-07-08,5813,85,109,3,3662,2
2020-07-09,5892,79,112,3,3671,9
2020-07-10,5975,83,114,2,3771,100
2020-07-11,6054,79,116,2,3959,188
2020-07-12,6164,110,119,3,3971,12
2020-07-13,6239,75,120,1,3981,10
2020-07-14,6303,64,120,0,4107,126
2020-07-15,6394,91,123,3,4159,52
2020-07-16,6496,102,124,1,4257,98
2020-07-17,6625,129,126,2,4378,121
2020-07-18,6766,141,128,2,4439,61
2020-07-19,6889,123,128,0,4469,30
2020-07-20,6990,101,130,2,4481,12
2020-07-21,7099,109,131,1,4561,80
2020-07-22,7195,96,134,3,4669,108
2020-07-23,7320,125,137,3,4772,103
2020-07-24,7451,131,140,3,4837,65
2020-07-25,7569,118,142,2,4937,100
2020-07-26,7678,109,145,3,4965,28
2020-07-27,7770,92,145,0,4995,30
2020-07-28,7880,110,148,3,5107,112
2020-07-29,7999,119,151,3,5254,147
2020-07-30,8109,110,154,3,5377,123
2020-07-31,8223,114,156,2,5482,105
2020-08-01,8341,118,159,3,5612,130
2020-08-02,8449,108,161,2,5673,61
2020-08-03,8560,111,163,2,5712,39
2020-08-04,8658,98,165,2,5855,143
2020-08-05,8779,121,167,2,5975,120
2020-08-06,8895,116,169,2,6082,107
2020-08-07,8999,104,172,3,6172,90
2020-08-08,9136,137,174,2,6321,149
2020-08-09,9263,127,177,3,6336,15
2020-08-10,9388,125,178,1,6363,27
2020-08-11,9499,111,181,3,6420,57
2020-08-12,9594,95,183,2,6582,162
2020-08-13,9699,105,186,3,6661,79
2020-08-14,9829,130,189,3,6720,59
2020-08-15,9956,127,193,4,6789,69
2020-08-16,10085,129,195,2,6811,22
2020-08-17,10217,132,197,2,6839,28
2020-08-18,10345,128,200,3,6903,64
2020-08-19,10480,135,203,3,6993,90
2020-08-20,10609,129,206,3,7072,79
2020-08-21,10741,132,209,3,7189,117
2020-08-22,10869,128,212,3,7365,176
2020-08-23,10995,126,215,3,7403,38
2020-08-24,11124,129,216,1,7418,15
2020-08-25,11247,123,218,2,7564,146
2020-08-26,11361,114,221,3,7661,97
2020-08-27,11481,120,224,3,7795,134
2020-08-28,11606,125,227,3,7938,143
2020-08-29,11730,124,230,3,8051,113
2020-08-30,11857,127,233,3,8067,16
2020-08-31,11985,128,237,4,8069,2
2020-09-01,12110,125,240,3,8162,93
2020-09-02,12237,127,241,1,8262,100
2020-09-03,12367,130,244,3,8370,108
2020-09-04,12499,132,247,3,8523,153
2020-09-05,12628,129,250,3,8654,131
2020-09-06,12754,126,250,0,8682,28
2020-09-07,12878,124,252,2,8693,11
2020-09-08,13002,124,254,2,8839,146
2020-09-09,13129,127,257,3,9032,193
2020-09-10,13258,129,260,3,9131,99
2020-09-11,13391,133,263,3,9237,106
2020-09-12,13526,135,265,2,9424,187
2020-09-13,13663,137,268,3,9486,62
2020-09-14,13799,136,271,3,9496,10
2020-09-15,13933,134,274,3,9610,114
2020-09-16,14070,137,275,1,9752,142
2020-09-17,14208,138,279,4,9872,120
2020-09-18,14348,140,282,3,10015,143
2020-09-19,14487,139,287,5,10225,210
2020-09-20,14629,142,292,5,10293,68
2020-09-21,14769,140,294,2,10307,14
2020-09-22,14914,145,297,3,10437,130
2020-09-23,15057,143,299,2,10558,121
2020-09-24,15199,142,302,3,10693,135
2020-09-25,15345,146,305,3,10836,143
2020-09-26,15490,145,308,3,10976,140
2020-09-27,15637,147,310,2,11102,126
2020-09-28,15781,144,313,3,11145,43
2020-09-29,15927,146,317,4,11332,187
2020-09-30,16075,148,321,4,11426,94
2020-10-01,16226,151,324,3,11544,118
2020-10-02,16375,149,328,4,11759,215
2020-10-03,16528,153,331,3,11869,110
2020-10-04,16678,150,331,0,11938,69
2020-10-05,16827,149,332,1,12008,70
2020-10-06,16978,151,334,2,12115,107
2020-10-07,17131,153,337,3,12279,164
2020-10-08,17286,155,340,3,12424,145
2020-10-09,17443,157,343,3,12582,158
2020-10-10,17594,151,346,3,12741,159
2020-10-11,17748,154,348,2,12816,75
2020-10-12,17904,156,352,4,12863,47
2020-10-13,18065,161,356,4,12987,124
2020-10-14,18230,165,360,4,13106,119
