date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,6,5,0,0,0,0
2020-03-20,6,0,0,0,0,0
2020-03-21,9,3,0,0,0,0
2020-03-22,9,0,0,0,0,0
2020-03-23,9,0,0,0,0,0
2020-03-24,13,4,0,0,0,0
2020-03-25,13,0,0,0,0,0
2020-03-26,20,7,0,0,0,0
2020-03-27,20,0,0,0,0,0
2020-03-28,24,4,0,0,0,0
2020-03-29,24,0,0,0,1,1
2020-03-30,24,0,0,0,1,0
2020-03-31,33,9,0,0,1,0
2020-04-01,33,0,0,0,1,0
2020-04-02,38,5,0,0,8,7
2020-04-03,39,1,0,0,8,0
2020-04-04,40,1,0,0,13,5
2020-04-05,40,0,0,0,13,0
2020-04-06,44,4,0,0,13,0
2020-04-07,51,7,0,0,22,9
2020-04-08,56,5,0,0,25,3
2020-04-09,59,3,0,0,25,0
2020-04-10,61,2,0,0,25,0
2020-04-11,74,13,0,0,32,7
2020-04-12,78,4,0,0,35,3
2020-04-13,85,7,0,0,35,0
2020-04-14,93,8,0,0,37,2
2020-04-15,105,12,0,0,37,0
2020-04-16,111,6,0,0,44,7
2020-04-17,115,4,0,0,47,3
2020-04-18,126,11,1,1,49,2
2020-04-19,141,15,1,0,49,0
2020-04-20,149,8,1,0,52,3
2020-04-21,233,84,1,0,55,3
2020-04-22,243,10,1,0,60,5
2020-04-23,271,28,1,0,65,5
2020-04-24,304,33,1,0,71,6
2020-04-25,337,33,1,0,82,11
2020-04-26,395,58,1,0,87,5
2020-04-27,454,59,1,0,88,1
2020-04-28,539,85,1,0,88,0
2020-04-29,629,90,1,0,96,8
2020-04-30,703,74,1,0,102,6
2020-05-01,935,232,1,0,102,0
2020-05-02,1016,81,1,0,120,18
2020-05-03,1091,75,1,0,126,6
2020-05-04,1144,53,1,0,127,1
2020-05-05,1277,133,1,0,156,29
2020-05-06,1353,76,3,2,193,37
2020-05-07,1429,76,3,0,212,19
2020-05-08,1584,155,3,0,237,25
2020-05-09,1705,121,3,0,269,32
2020-05-10,1844,139,3,0,270,1
2020-05-11,1952,108,3,0,283,13
2020-05-12,2163,211,3,0,382,99
2020-05-13,2298,135,3,0,427,45
2020-05-14,2362,64,4,1,501,74
2020-05-15,2466,104,5,1,546,45
2020-05-16,2571,105,6,1,601,55
2020-05-17,2731,160,6,0,610,9
2020-05-18,2861,130,6,0,630,20
2020-05-19,2999,138,7,1,817,187
2020-05-20,3134,135,8,1,890,73
2020-05-21,3308,174,10,2,976,86
2020-05-22,3443,135,12,2,1063,87
2020-05-23,3614,171,14,2,1207,144
2020-05-24,3704,90,16,2,1226,19
2020-05-25,3983,279,18,2,1270,44
2020-05-26,4190,207,20,2,1499,229
2020-05-27,4425,235,21,1,1700,201
2020-05-28,4693,268,23,2,1827,127
2020-05-29,4923,230,25,2,1997,170
2020-05-30,5184,261,26,1,2142,145
2020-05-31,5449,265,27,1,2173,31
2020-06-01,5732,283,29,2,2337,164
2020-06-02,6024,292,31,2,2510,173
2020-06-03,6381,357,33,2,2680,170
2020-06-04,6679,298,35,2,2827,147
2020-06-05,6930,251,37,2,2997,170
2020-06-06,7179,249,39,2,3166,169
2020-06-07,7419,240,41,2,3239,73
2020-06-08,7668,249,43,2,3273,34
2020-06-09,7910,242,46,3,3495,222
2020-06-10,8194,284,48,2,3642,147
2020-06-11,8506,312,48,0,3790,148
2020-06-12,8826,320,48,0,3912,122
2020-06-13,9071,245,50,2,4021,109
2020-06-14,9325,254,50,0,4144,123
2020-06-15,9558,233,50,0,4235,91
2020-06-16,9789,231,54,4,4469,234
2020-06-17,10016,227,57,3,4657,188
2020-06-18,10247,231,60,3,4853,196
2020-06-19,10501,254,64,4,5060,207
2020-06-20,10725,224,69,5,5359,299
2020-06-21,10932,207,70,1,5496,137
2020-06-22,11129,197,71,1,5566,70
2020-06-23,11311,182,75,4,5972,406
2020-06-24,11492,181,79,4,6250,278
2020-06-25,11684,192,82,3,6496,246
2020-06-26,11877,193,85,3,6786,290
2020-06-27,12093,216,90,5,7009,223
2020-06-28,12302,209,91,1,7219,210
2020-06-29,12516,214,93,2,7309,90
2020-06-30,12792,276,95,2,7459,150
2020-07-01,13048,256,101,6,7614,155
2020-07-02,13272,224,107,6,7737,123
2020-07-03,13499,227,114,7,7936,199
2020-07-04,13767,268,119,5,8197,261
2020-07-05,14033,266,124,5,8342,145
2020-07-06,14303,270,131,7,8442,100
2020-07-07,14529,226,138,7,8726,284
2020-07-08,14792,263,141,3,9008,282
2020-07-09,15068,276,144,3,9243,235
2020-07-10,15343,275,154,10,9522,279
2020-07-11,15623,280,156,2,9828,306
2020-07-12,15909,286,157,1,9896,68
2020-07-13,16127,218,163,6,9964,68
2020-07-14,16372,245,172,9,10323,359
2020-07-15,16635,263,175,3,10614,291
2020-07-16,16984,349,179,4,10937,323
2020-07-17,17285,301,188,9,11273,336
2020-07-18,17544,259,193,5,11616,343
2020-07-19,17789,245,193,0,11786,170
2020-07-20,18023,234,195,2,12092,306
2020-07-21,18250,227,205,10,12496,404
2020-07-22,18484,234,210,5,12921,425
2020-07-23,18733,249,213,3,13365,444
2020-07-24,18981,248,220,7,13816,451
2020-07-25,19232,251,231,11,14232,416
2020-07-26,19473,241,236,5,14358,126
2020-07-27,19725,252,240,4,14502,144
2020-07-28,19934,209,243,3,15011,509
2020-07-29,20157,223,251,8,15635,624
2020-07-30,20372,215,264,13,16375,740
2020-07-31,20582,210,270,6,16981,606
2020-08-01,20784,202,276,6,17678,697
2020-08-02,20983,199,281,5,17834,156
2020-08-03,21179,196,285,4,17941,107
2020-08-04,21361,182,294,9,18037,96
2020-08-05,21542,181,300,6,18129,92
2020-08-06,21725,183,307,7,18224,95
2020-08-07,21905,180,315,8,18314,90
2020-08-08,22083,178,322,7,18398,84
2020-08-09,22267,184,327,5,18480,82
2020-08-10,22446,179,337,10,18560,80
2020-08-11,22614,168,342,5,18642,82
2020-08-12,22781,167,351,9,18725,83
2020-08-13,22943,162,358,7,18803,78
2020-08-14,23097,154,362,4,18878,75
2020-08-15,23255,158,367,5,18955,77
2020-08-16,23405,150,369,2,19031,76
2020-08-17,23546,141,374,5,19102,71
2020-08-18,23695,149,376,2,19176,74
2020-08-19,23842,147,382,6,19249,73
2020-08-20,23981,139,388,6,19317,68
2020-08-21,24105,124,396,8,19383,66
2020-08-22,24226,121,403,7,19443,60
2020-08-23,24355,129,403,0,19506,63
2020-08-24,24482,127,409,6,19568,62
2020-08-25,24598,116,420,11,19626,58
2020-08-26,24720,122,432,12,19686,60
2020-08-27,24839,119,435,3,19744,58
2020-08-28,24960,121,441,6,19801,57
2020-08-29,25076,116,448,7,19856,55
2020-08-30,25196,120,448,0,19911,55
2020-08-31,25315,119,450,2,19969,58
2020-09-01,25432,117,454,4,20022,53
2020-09-02,25547,115,460,6,20027,5
2020-09-03,25668,121,466,6,20129,102
2020-09-04,25791,123,470,4,20189,60
2020-09-05,25910,119,475,5,20244,55
2020-09-06,26038,128,477,2,20303,59
2020-09-07,26163,125,479,2,20364,61
2020-09-08,26286,123,483,4,20424,60
2020-09-09,26401,115,495,12,20480,56
2020-09-10,26527,126,509,14,20539,59
2020-09-11,26660,133,512,3,20602,63
2020-09-12,26788,128,522,10,20662,60
2020-09-13,26919,131,522,0,20723,61
2020-09-14,27048,129,524,2,20784,61
2020-09-15,27172,124,533,9,20842,58
2020-09-16,27299,127,537,4,20902,60
2020-09-17,27425,126,549,12,20965,63
2020-09-18,27554,129,559,10,21027,62
2020-09-19,27679,125,567,8,21087,60
2020-09-20,27799,120,568,1,21145,58
2020-09-21,27922,123,568,0,21204,59
2020-09-22,28043,121,575,7,21261,57
2020-09-23,28168,125,580,5,21324,63
2020-09-24,28299,131,587,7,21390,66
2020-09-25,28436,137,589,2,21455,65
2020-09-26,28575,139,592,3,21519,64
2020-09-27,28716,141,592,0,21586,67
2020-09-28,28862,146,592,0,21656,70
2020-09-29,29005,143,597,5,21725,69
2020-09-30,29154,149,601,4,21797,72
2020-10-01,29311,157,605,4,21878,81
2020-10-02,29475,164,607,2,21967,89
2020-10-03,29640,165,611,4,22063,96
2020-10-04,29812,172,612,1,22164,101
2020-10-05,29987,175,615,3,22270,106
2020-10-06,30163,176,622,7,22383,113
2020-10-07,30342,179,627,5,22503,120
2020-10-08,30526,184,633,6,22632,129
2020-10-09,30717,191,640,7,22766,134
2020-10-10,30915,198,646,6,22906,140
2020-10-11,31124,209,651,5,23051,145
2020-10-12,31342,218,655,4,23202,151
2020-10-13,31550,208,661,6,23358,156
2020-10-14,31761,211,665,4,23533,175
