date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,3,2,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,3,0,0,0,0,0
2020-03-22,3,0,0,0,0,0
2020-03-23,3,0,0,0,0,0
2020-03-24,3,0,0,0,0,0
2020-03-25,3,0,0,0,0,0
2020-03-26,3,0,0,0,0,0
2020-03-27,3,0,0,0,0,0
2020-03-28,3,0,0,0,0,0
2020-03-29,3,0,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,0,0
2020-04-01,6,3,0,0,0,0
2020-04-02,6,0,0,0,0,0
2020-04-03,6,0,0,0,0,0
2020-04-04,7,1,0,0,0,0
2020-04-05,7,0,0,0,2,2
2020-04-06,15,8,0,0,2,0
2020-04-07,15,0,0,0,3,1
2020-04-08,21,6,0,0,3,0
2020-04-09,21,0,0,0,3,0
2020-04-10,33,12,0,0,3,0
2020-04-11,33,0,0,0,6,3
2020-04-12,48,15,0,0,6,0
2020-04-13,48,0,0,0,6,0
2020-04-14,83,35,0,0,6,0
2020-04-15,83,0,0,0,6,0
2020-04-16,133,50,0,0,6,0
2020-04-17,133,0,0,0,8,2
2020-04-18,165,32,0,0,8,0
2020-04-19,187,22,0,0,8,0
2020-04-20,209,22,0,0,8,0
2020-04-21,222,13,0,0,9,1
2020-04-22,240,18,0,0,14,5
2020-04-23,263,23,0,0,25,11
2020-04-24,298,35,0,0,29,4
2020-04-25,343,45,1,1,37,8
2020-04-26,399,56,1,0,47,10
2020-04-27,460,61,1,0,48,1
2020-04-28,493,33,1,0,50,2
2020-04-29,537,44,1,0,77,27
2020-04-30,612,75,2,1,93,16
2020-05-01,675,63,2,0,106,13
2020-05-02,729,54,2,0,110,4
2020-05-03,789,60,2,0,113,3
2020-05-04,842,53,2,0,114,1
2020-05-05,909,67,2,0,125,11
2020-05-06,971,62,2,0,134,9
2020-05-07,1046,75,2,0,156,22
2020-05-08,1131,85,2,0,189,33
2020-05-09,1221,90,2,0,250,61
2020-05-10,1312,91,2,0,279,29
2020-05-11,1403,91,2,0,293,14
2020-05-12,1483,80,2,0,314,21
2020-05-13,1568,85,3,1,358,44
2020-05-14,1654,86,3,0,435,77
2020-05-15,1737,83,3,0,471,36
2020-05-16,1819,82,4,1,503,32
2020-05-17,1902,83,4,0,523,20
2020-05-18,1984,82,4,0,544,21
2020-05-19,2069,85,4,0,574,30
2020-05-20,2154,85,5,1,635,61
2020-05-21,2238,84,5,0,682,47
2020-05-22,2321,83,5,0,761,79
2020-05-23,2400,79,5,0,794,33
2020-05-24,2475,75,6,1,838,44
2020-05-25,2547,72,6,0,845,7
2020-05-26,2622,75,6,0,886,41
2020-05-27,2699,77,6,0,921,35
2020-05-28,2772,73,7,1,990,69
2020-05-29,2845,73,7,0,1030,40
2020-05-30,2916,71,7,0,1088,58
2020-05-31,2983,67,7,0,1133,45
2020-06-01,3047,64,7,0,1176,43
2020-06-02,3110,63,8,1,1221,45
2020-06-03,3175,65,8,0,1272,51
2020-06-04,3242,67,8,0,1405,133
2020-06-05,3307,65,8,0,1443,38
2020-06-06,3371,64,8,0,1474,31
2020-06-07,3439,68,8,0,1517,43
2020-06-08,3504,65,8,0,1534,17
2020-06-09,3569,65,8,0,1611,77
2020-06-10,3636,67,8,0,1677,66
2020-06-11,3704,68,8,0,1753,76
2020-06-12,3770,66,10,2,1788,35
2020-06-13,3834,64,10,0,1823,35
2020-06-14,3897,63,10,0,1847,24
2020-06-15,3962,65,10,0,1874,27
2020-06-16,4026,64,12,2,1964,90
2020-06-17,4088,62,12,0,2037,73
2020-06-18,4152,64,12,0,2094,57
2020-06-19,4210,58,14,2,2197,103
2020-06-20,4265,55,15,1,2246,49
2020-06-21,4318,53,15,0,2287,41
2020-06-22,4368,50,15,0,2306,19
2020-06-23,4413,45,15,0,2396,90
2020-06-24,4457,44,17,2,2492,96
2020-06-25,4503,46,17,0,2513,21
2020-06-26,4548,45,17,0,2558,45
2020-06-27,4592,44,19,2,2627,69
2020-06-28,4637,45,19,0,2710,83
2020-06-29,4681,44,19,0,2775,65
2020-06-30,4727,46,19,0,2880,105
2020-07-01,4772,45,19,0,2930,50
2020-07-02,4816,44,19,0,2961,31
2020-07-03,4859,43,19,0,3031,70
2020-07-04,4901,42,19,0,3162,131
2020-07-05,4944,43,19,0,3200,38
2020-07-06,4988,44,19,0,3229,29
2020-07-07,5030,42,19,0,3359,130
2020-07-08,5073,43,19,0,3418,59
2020-07-09,5114,41,19,0,3545,127
2020-07-10,5157,43,19,0,3604,59
2020-07-11,5199,42,19,0,3681,77
2020-07-12,5239,40,19,0,3698,17
2020-07-13,5280,41,19,0,3714,16
2020-07-14,5320,40,21,2,3827,113
2020-07-15,5361,41,28,7,3987,160
2020-07-16,5401,40,28,0,4076,89
2020-07-17,5443,42,30,2,4160,84
2020-07-18,5484,41,30,0,4216,56
2020-07-19,5524,40,30,0,4248,32
2020-07-20,5566,42,30,0,4257,9
2020-07-21,5607,41,30,0,4382,125
2020-07-22,5649,42,30,0,4459,77
2020-07-23,5689,40,30,0,4505,46
2020-07-24,5728,39,30,0,4556,51
2020-07-25,5766,38,30,0,4593,37
2020-07-26,5805,39,30,0,4602,9
2020-07-27,5842,37,30,0,4609,7
2020-07-28,5878,36,30,0,4712,103
2020-07-29,5926,48,30,0,4768,56
2020-07-30,5959,33,30,0,4790,22
2020-07-31,5990,31,30,0,4862,72
2020-08-01,6019,29,30,0,4890,28
2020-08-02,6047,28,30,0,4890,0
2020-08-03,6075,28,30,0,4933,43
2020-08-04,6103,28,30,0,4967,34
2020-08-05,6130,27,36,6,4988,21
2020-08-06,6157,27,36,0,5018,30
2020-08-07,6184,27,36,0,5052,34
2020-08-08,6210,26,37,1,5098,46
2020-08-09,6236,26,37,0,5107,9
2020-08-10,6261,25,37,0,5113,6
2020-08-11,6286,25,37,0,5142,29
2020-08-12,6311,25,43,6,5238,96
2020-08-13,6336,25,44,1,5275,37
2020-08-14,6360,24,44,0,5299,24
2020-08-15,6384,24,44,0,5320,21
2020-08-16,6408,24,44,0,5322,2
2020-08-17,6432,24,44,0,5326,4
2020-08-18,6455,23,44,0,5375,49
2020-08-19,6477,22,44,0,5414,39
2020-08-20,6499,22,44,0,5435,21
2020-08-21,6521,22,44,0,5512,77
2020-08-22,6543,22,44,0,5570,58
2020-08-23,6565,22,44,0,5574,4
2020-08-24,6587,22,44,0,5589,15
2020-08-25,6610,23,44,0,5604,15
2020-08-26,6633,23,45,1,5643,39
2020-08-27,6655,22,45,0,5705,62
2020-08-28,6678,23,45,0,5739,34
2020-08-29,6701,23,45,0,5759,20
2020-08-30,6726,25,45,0,5764,5
2020-08-31,6751,25,45,0,5773,9
2020-09-01,6776,25,45,0,5868,95
2020-09-02,6801,25,45,0,5903,35
2020-09-03,6827,26,45,0,5927,24
2020-09-04,6853,26,45,0,5976,49
2020-09-05,6879,26,45,0,6033,57
2020-09-06,6905,26,45,0,6036,3
2020-09-07,6931,26,45,0,6045,9
2020-09-08,6958,27,46,1,6091,46
2020-09-09,6985,27,46,0,6115,24
2020-09-10,7012,27,46,0,6175,60
2020-09-11,7039,27,46,0,6198,23
2020-09-12,7067,28,46,0,6223,25
2020-09-13,7095,28,46,0,6246,23
2020-09-14,7124,29,46,0,6246,0
2020-09-15,7153,29,46,0,6255,9
2020-09-16,7184,31,46,0,6290,35
2020-09-17,7217,33,46,0,6332,42
2020-09-18,7252,35,46,0,6366,34
2020-09-19,7288,36,46,0,6392,26
2020-09-20,7324,36,46,0,6393,1
2020-09-21,7362,38,46,0,6395,2
2020-09-22,7400,38,46,0,6474,79
2020-09-23,7439,39,46,0,6512,38
2020-09-24,7478,39,46,0,6529,17
2020-09-25,7518,40,46,0,6543,14
2020-09-26,7558,40,46,0,6589,46
2020-09-27,7599,41,46,0,6591,2
2020-09-28,7641,42,46,0,6603,12
2020-09-29,7683,42,46,0,6649,46
2020-09-30,7726,43,46,0,6679,30
2020-10-01,7771,45,46,0,6723,44
2020-10-02,7817,46,46,0,6740,17
2020-10-03,7865,48,46,0,6761,21
2020-10-04,7914,49,46,0,6769,8
2020-10-05,7964,50,46,0,6774,5
2020-10-06,8016,52,46,0,6811,37
2020-10-07,8069,53,46,0,6833,22
2020-10-08,8124,55,46,0,6868,35
2020-10-09,8182,58,46,0,6904,36
2020-10-10,8243,61,46,0,6928,24
2020-10-11,8305,62,46,0,6934,6
2020-10-12,8368,63,46,0,6942,8
2020-10-13,8432,64,46,0,7000,58
2020-10-14,8497,65,46,0,7041,41
