date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,1,1,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,2,1,0,0,0,0
2020-03-27,2,0,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,3,1,0,0,1,1
2020-03-30,3,0,0,0,1,0
2020-03-31,3,0,0,0,1,0
2020-04-01,3,0,0,0,1,0
2020-04-02,3,0,0,0,1,0
2020-04-03,3,0,0,0,1,0
2020-04-04,3,0,0,0,1,0
2020-04-05,3,0,0,0,1,0
2020-04-06,3,0,0,0,1,0
2020-04-07,3,0,0,0,1,0
2020-04-08,4,1,0,0,1,0
2020-04-09,4,0,0,0,1,0
2020-04-10,4,0,0,0,1,0
2020-04-11,4,0,0,0,3,2
2020-04-12,4,0,0,0,3,0
2020-04-13,8,4,0,0,3,0
2020-04-14,15,7,0,0,4,1
2020-04-15,15,0,0,0,4,0
2020-04-16,21,6,0,0,4,0
2020-04-17,21,0,0,0,4,0
2020-04-18,24,3,0,0,4,0
2020-04-19,29,5,0,0,4,0
2020-04-20,33,4,0,0,4,0
2020-04-21,37,4,0,0,4,0
2020-04-22,43,6,0,0,4,0
2020-04-23,52,9,0,0,4,0
2020-04-24,59,7,0,0,4,0
2020-04-25,66,7,0,0,4,0
2020-04-26,67,1,0,0,4,0
2020-04-27,76,9,0,0,11,7
2020-04-28,81,5,0,0,11,0
2020-04-29,87,6,0,0,19,8
2020-04-30,89,2,0,0,21,2
2020-05-01,97,8,1,1,24,3
2020-05-02,102,5,1,0,24,0
2020-05-03,119,17,1,0,27,3
2020-05-04,128,9,1,0,27,0
2020-05-05,147,19,1,0,29,2
2020-05-06,160,13,1,0,34,5
2020-05-07,162,2,1,0,41,7
2020-05-08,176,14,2,1,48,7
2020-05-09,191,15,2,0,51,3
2020-05-10,210,19,2,0,56,5
2020-05-11,279,69,3,1,56,0
2020-05-12,294,15,3,0,58,2
2020-05-13,311,17,4,1,67,9
2020-05-14,320,9,4,0,69,2
2020-05-15,329,9,4,0,80,11
2020-05-16,343,14,4,0,88,8
2020-05-17,363,20,4,0,88,0
2020-05-18,381,18,4,0,90,2
2020-05-19,397,16,4,0,95,5
2020-05-20,409,12,4,0,103,8
2020-05-21,429,20,4,0,109,6
2020-05-22,450,21,4,0,119,10
2020-05-23,479,29,4,0,122,3
2020-05-24,507,28,9,5,166,44
2020-05-25,536,29,9,0,166,0
2020-05-26,564,28,10,1,203,37
2020-05-27,595,31,10,0,223,20
2020-05-28,622,27,10,0,237,14
2020-05-29,645,23,11,1,279,42
2020-05-30,667,22,11,0,307,28
2020-05-31,688,21,11,0,323,16
2020-06-01,716,28,11,0,326,3
2020-06-02,739,23,11,0,340,14
2020-06-03,765,26,11,0,359,19
2020-06-04,797,32,11,0,381,22
2020-06-05,832,35,11,0,386,5
2020-06-06,868,36,11,0,426,40
2020-06-07,922,54,11,0,440,14
2020-06-08,971,49,11,0,474,34
2020-06-09,1018,47,11,0,499,25
2020-06-10,1066,48,11,0,524,25
2020-06-11,1116,50,11,0,552,28
2020-06-12,1167,51,11,0,564,12
2020-06-13,1215,48,11,0,576,12
2020-06-14,1268,53,11,0,599,23
2020-06-15,1314,46,11,0,608,9
2020-06-16,1370,56,11,0,648,40
2020-06-17,1426,56,11,0,684,36
2020-06-18,1515,89,11,0,715,31
2020-06-19,1598,83,14,3,750,35
2020-06-20,1667,69,14,0,779,29
2020-06-21,1725,58,14,0,787,8
2020-06-22,1785,60,14,0,791,4
2020-06-23,1846,61,14,0,810,19
2020-06-24,1909,63,14,0,849,39
2020-06-25,1968,59,14,0,862,13
2020-06-26,2031,63,14,0,885,23
2020-06-27,2089,58,14,0,922,37
2020-06-28,2144,55,14,0,960,38
2020-06-29,2197,53,14,0,963,3
2020-06-30,2254,57,14,0,1079,116
2020-07-01,2307,53,14,0,1134,55
2020-07-02,2364,57,17,3,1189,55
2020-07-03,2417,53,17,0,1243,54
2020-07-04,2480,63,20,3,1295,52
2020-07-05,2557,77,20,0,1350,55
2020-07-06,2608,51,20,0,1403,53
2020-07-07,2661,53,21,1,1457,54
2020-07-08,2717,56,21,0,1512,55
2020-07-09,2771,54,21,0,1571,59
2020-07-10,2846,75,22,1,1613,42
2020-07-11,2915,69,23,1,1641,28
2020-07-12,2974,59,23,0,1673,32
2020-07-13,3041,67,24,1,1707,34
2020-07-14,3112,71,24,0,1739,32
2020-07-15,3173,61,25,1,1771,32
2020-07-16,3262,89,25,0,1807,36
2020-07-17,3314,52,25,0,1836,29
2020-07-18,3375,61,26,1,1882,46
2020-07-19,3435,60,26,0,1925,43
2020-07-20,3493,58,26,0,1968,43
2020-07-21,3608,115,27,1,2034,66
2020-07-22,3661,53,28,1,2092,58
2020-07-23,3717,56,28,0,2156,64
2020-07-24,3766,49,29,1,2219,63
2020-07-25,3821,55,29,0,2283,64
2020-07-26,3872,51,30,1,2348,65
2020-07-27,3926,54,30,0,2413,65
2020-07-28,3979,53,31,1,2484,71
2020-07-29,4040,61,33,2,2544,60
2020-07-30,4091,51,34,1,2593,49
2020-07-31,4150,59,36,2,2651,58
2020-08-01,4210,60,37,1,2724,73
2020-08-02,4261,51,38,1,2781,57
2020-08-03,4310,49,38,0,2843,62
2020-08-04,4358,48,40,2,2901,58
2020-08-05,4411,53,40,0,2969,68
2020-08-06,4471,60,42,2,3032,63
2020-08-07,4525,54,43,1,3098,66
2020-08-08,4576,51,43,0,3161,63
2020-08-09,4626,50,45,2,3218,57
2020-08-10,4682,56,45,0,3275,57
2020-08-11,4738,56,48,3,3329,54
2020-08-12,4792,54,48,0,3363,34
2020-08-13,4840,48,49,1,3424,61
2020-08-14,4885,45,51,2,3533,109
2020-08-15,4936,51,51,0,3611,78
2020-08-16,4979,43,52,1,3673,62
2020-08-17,5024,45,54,2,3740,67
2020-08-18,5068,44,54,0,3790,50
2020-08-19,5110,42,54,0,3884,94
2020-08-20,5150,40,57,3,3955,71
2020-08-21,5191,41,57,0,4003,48
2020-08-22,5242,51,59,2,4105,102
2020-08-23,5287,45,59,0,4203,98
2020-08-24,5331,44,59,0,4233,30
2020-08-25,5371,40,62,3,4261,28
2020-08-26,5409,38,62,0,4353,92
2020-08-27,5452,43,64,2,4432,79
2020-08-28,5494,42,65,1,4545,113
2020-08-29,5536,42,66,1,4608,63
2020-08-30,5596,60,67,1,4681,73
2020-08-31,5706,110,69,2,4696,15
2020-09-01,5748,42,69,0,4711,15
2020-09-02,5795,47,69,0,4777,66
2020-09-03,5839,44,69,0,4802,25
2020-09-04,5890,51,71,2,4863,61
2020-09-05,5942,52,71,0,4899,36
2020-09-06,5994,52,72,1,4943,44
2020-09-07,6039,45,72,0,4963,20
2020-09-08,6094,55,72,0,4981,18
2020-09-09,6147,53,74,2,5032,51
2020-09-10,6203,56,74,0,5084,52
2020-09-11,6264,61,75,1,5109,25
2020-09-12,6319,55,75,0,5132,23
2020-09-13,6369,50,76,1,5200,68
2020-09-14,6421,52,76,0,5231,31
2020-09-15,6479,58,77,1,5251,20
2020-09-16,6530,51,77,0,5314,63
2020-09-17,6583,53,77,0,5339,25
2020-09-18,6645,62,78,1,5411,72
2020-09-19,6713,68,78,0,5462,51
2020-09-20,6775,62,79,1,5554,92
2020-09-21,6834,59,79,0,5578,24
2020-09-22,6895,61,79,0,5598,20
2020-09-23,6960,65,81,2,5694,96
2020-09-24,7025,65,81,0,5781,87
2020-09-25,7098,73,82,1,5880,99
2020-09-26,7174,76,82,0,5956,76
2020-09-27,7249,75,84,2,6039,83
2020-09-28,7320,71,84,0,6082,43
2020-09-29,7401,81,85,1,6127,45
2020-09-30,7490,89,85,0,6210,83
2020-10-01,7579,89,87,2,6275,65
2020-10-02,7670,91,87,0,6350,75
2020-10-03,7768,98,87,0,6406,56
2020-10-04,7876,108,88,1,6476,70
2020-10-05,7982,106,88,0,6496,20
2020-10-06,8103,121,88,0,6511,15
2020-10-07,8213,110,88,0,6583,72
2020-10-08,8323,110,90,2,6660,77
2020-10-09,8454,131,90,0,6751,91
2020-10-10,8593,139,90,0,6839,88
2020-10-11,8741,148,92,2,6960,121
2020-10-12,8892,151,93,1,6971,11
2020-10-13,9057,165,93,0,6992,21
2020-10-14,9232,175,96,3,7030,38
