date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,3,3,0,0,0,0
2020-03-20,3,0,0,0,0,0
2020-03-21,5,2,0,0,0,0
2020-03-22,5,0,0,0,0,0
2020-03-23,5,0,0,0,0,0
2020-03-24,5,0,0,0,0,0
2020-03-25,7,2,0,0,0,0
2020-03-26,7,0,0,0,0,0
2020-03-27,8,1,0,0,0,0
2020-03-28,11,3,0,0,0,0
2020-03-29,11,0,0,0,0,0
2020-03-30,12,1,0,0,0,0
2020-03-31,12,0,0,0,0,0
2020-04-01,17,5,0,0,3,3
2020-04-02,17,0,0,0,3,0
2020-04-03,17,0,0,0,3,0
2020-04-04,19,2,0,0,3,0
2020-04-05,29,10,0,0,3,0
2020-04-06,39,10,0,0,4,1
2020-04-07,49,10,0,0,4,0
2020-04-08,54,5,0,0,4,0
2020-04-09,66,12,0,0,6,2
2020-04-10,71,5,0,0,7,1
2020-04-11,71,0,0,0,9,2
2020-04-12,74,3,0,0,9,0
2020-04-13,85,11,0,0,13,4
2020-04-14,85,0,0,0,13,0
2020-04-15,130,45,0,0,17,4
2020-04-16,174,44,0,0,19,2
2020-04-17,199,25,0,0,24,5
2020-04-18,229,30,0,0,25,1
2020-04-19,287,58,0,0,39,14
2020-04-20,309,22,0,0,41,2
2020-04-21,384,75,1,1,46,5
2020-04-22,436,52,2,1,49,3
2020-04-23,461,25,3,1,53,4
2020-04-24,505,44,3,0,53,0
2020-04-25,578,73,4,1,57,4
2020-04-26,644,66,5,1,59,2
2020-04-27,713,69,5,0,59,0
2020-04-28,783,70,5,0,59,0
2020-04-29,873,90,6,1,79,20
2020-04-30,965,92,7,1,96,17
2020-05-01,1047,82,7,0,121,25
2020-05-02,1135,88,7,0,138,17
2020-05-03,1218,83,8,1,143,5
2020-05-04,1293,75,8,0,155,12
2020-05-05,1368,75,9,1,157,2
2020-05-06,1445,77,9,0,187,30
2020-05-07,1530,85,10,1,218,31
2020-05-08,1620,90,11,1,263,45
2020-05-09,1706,86,12,1,266,3
2020-05-10,1795,89,12,0,291,25
2020-05-11,1881,86,12,0,324,33
2020-05-12,1971,90,14,2,333,9
2020-05-13,2060,89,14,0,393,60
2020-05-14,2158,98,16,2,482,89
2020-05-15,2263,105,18,2,556,74
2020-05-16,2364,101,19,1,643,87
2020-05-17,2461,97,19,0,670,27
2020-05-18,2545,84,19,0,689,19
2020-05-19,2637,92,19,0,842,153
2020-05-20,2735,98,20,1,920,78
2020-05-21,2824,89,20,0,1026,106
2020-05-22,2915,91,20,0,1104,78
2020-05-23,3005,90,20,0,1189,85
2020-05-24,3102,97,20,0,1200,11
2020-05-25,3213,111,20,0,1208,8
2020-05-26,3318,105,20,0,1309,101
2020-05-27,3422,104,24,4,1457,148
2020-05-28,3532,110,30,6,1564,107
2020-05-29,3644,112,33,3,1673,109
2020-05-30,3751,107,36,3,1779,106
2020-05-31,3855,104,36,0,1803,24
2020-06-01,3968,113,36,0,1815,12
2020-06-02,4074,106,39,3,1921,106
2020-06-03,4183,109,42,3,2037,116
2020-06-04,4293,110,44,2,2164,127
2020-06-05,4398,105,47,3,2273,109
2020-06-06,4505,107,49,2,2409,136
2020-06-07,4620,115,49,0,2434,25
2020-06-08,4734,114,49,0,2441,7
2020-06-09,4843,109,51,2,2623,182
2020-06-10,4946,103,51,0,2787,164
2020-06-11,5047,101,53,2,2961,174
2020-06-12,5147,100,56,3,3170,209
2020-06-13,5245,98,56,0,3219,49
2020-06-14,5340,95,58,2,3255,36
2020-06-15,5436,96,60,2,3401,146
2020-06-16,5529,93,64,4,3609,208
2020-06-17,5620,91,67,3,3846,237
2020-06-18,5712,92,71,4,4057,211
2020-06-19,5802,90,75,4,4258,201
2020-06-20,5887,85,78,3,4485,227
2020-06-21,5973,86,81,3,4541,56
2020-06-22,6056,83,83,2,4558,17
2020-06-23,6137,81,86,3,4779,221
2020-06-24,6220,83,89,3,5019,240
2020-06-25,6302,82,90,1,5100,81
2020-06-26,6382,80,93,3,5259,159
2020-06-27,6460,78,97,4,5380,121
2020-06-28,6536,76,100,3,5426,46
2020-06-29,6613,77,103,3,5450,24
2020-06-30,6686,73,107,4,5502,52
2020-07-01,6762,76,111,4,5653,151
2020-07-02,6836,74,114,3,5805,152
2020-07-03,6908,72,118,4,5841,36
2020-07-04,6976,68,122,4,5875,34
2020-07-05,7046,70,125,3,5906,31
2020-07-06,7115,69,129,4,5930,24
2020-07-07,7182,67,133,4,5966,36
2020-07-08,7248,66,137,4,6005,39
2020-07-09,7312,64,141,4,6042,37
2020-07-10,7376,64,145,4,6079,37
2020-07-11,7439,63,150,5,6120,41
2020-07-12,7500,61,153,3,6159,39
2020-07-13,7568,68,156,3,6193,34
2020-07-14,7629,61,161,5,6235,42
2020-07-15,7688,59,166,5,6273,38
2020-07-16,7745,57,171,5,6316,43
2020-07-17,7796,51,175,4,6355,39
2020-07-18,7845,49,178,3,6396,41
2020-07-19,7890,45,182,4,6433,37
2020-07-20,7933,43,186,4,6477,44
2020-07-21,7977,44,191,5,6521,44
2020-07-22,8018,41,196,5,6567,46
2020-07-23,8056,38,200,4,6611,44
2020-07-24,8093,37,205,5,6647,36
2020-07-25,8130,37,209,4,6685,38
2020-07-26,8165,35,213,4,6722,37
2020-07-27,8198,33,216,3,6757,35
2020-07-28,8230,32,220,4,6794,37
2020-07-29,8261,31,226,6,6830,36
2020-07-30,8293,32,229,3,6870,40
2020-07-31,8323,30,234,5,6905,35
2020-08-01,8351,28,239,5,6941,36
2020-08-02,8379,28,243,4,6980,39
2020-08-03,8411,32,248,5,7017,37
2020-08-04,8444,33,250,2,7052,35
2020-08-05,8474,30,256,6,7093,41
2020-08-06,8506,32,261,5,7133,40
2020-08-07,8537,31,266,5,7174,41
2020-08-08,8570,33,270,4,7212,38
2020-08-09,8602,32,275,5,7249,37
2020-08-10,8633,31,277,2,7281,32
2020-08-11,8664,31,281,4,7322,41
2020-08-12,8698,34,284,3,7364,42
2020-08-13,8731,33,287,3,7402,38
2020-08-14,8765,34,290,3,7441,39
2020-08-15,8797,32,292,2,7481,40
2020-08-16,8827,30,293,1,7513,32
2020-08-17,8857,30,293,0,7533,20
2020-08-18,8885,28,295,2,7568,35
2020-08-19,8914,29,297,2,7611,43
2020-08-20,8941,27,301,4,7658,47
2020-08-21,8971,30,304,3,7697,39
2020-08-22,9000,29,307,3,7737,40
2020-08-23,9029,29,309,2,7772,35
2020-08-24,9059,30,311,2,7792,20
2020-08-25,9087,28,312,1,7839,47
2020-08-26,9114,27,313,1,7878,39
2020-08-27,9140,26,315,2,7909,31
2020-08-28,9167,27,317,2,7956,47
2020-08-29,9196,29,318,1,8000,44
2020-08-30,9226,30,320,2,8039,39
2020-08-31,9254,28,322,2,8070,31
2020-09-01,9283,29,324,2,8112,42
2020-09-02,9313,30,325,1,8157,45
2020-09-03,9341,28,327,2,8199,42
2020-09-04,9368,27,329,2,8242,43
2020-09-05,9398,30,331,2,8291,49
2020-09-06,9427,29,333,2,8319,28
2020-09-07,9454,27,335,2,8344,25
2020-09-08,9482,28,337,2,8383,39
2020-09-09,9513,31,339,2,8430,47
2020-09-10,9542,29,341,2,8470,40
2020-09-11,9569,27,343,2,8509,39
2020-09-12,9595,26,345,2,8554,45
2020-09-13,9623,28,347,2,8587,33
2020-09-14,9654,31,348,1,8616,29
2020-09-15,9686,32,350,2,8654,38
2020-09-16,9716,30,351,1,8689,35
2020-09-17,9748,32,353,2,8722,33
2020-09-18,9779,31,354,1,8759,37
2020-09-19,9808,29,356,2,8801,42
2020-09-20,9840,32,358,2,8827,26
2020-09-21,9872,32,359,1,8849,22
2020-09-22,9903,31,361,2,8890,41
2020-09-23,9935,32,363,2,8926,36
2020-09-24,9965,30,365,2,8965,39
2020-09-25,9997,32,367,2,8996,31
2020-09-26,10028,31,368,1,9039,43
2020-09-27,10061,33,369,1,9069,30
2020-09-28,10093,32,369,0,9090,21
2020-09-29,10127,34,370,1,9132,42
2020-09-30,10161,34,371,1,9171,39
2020-10-01,10196,35,374,3,9209,38
2020-10-02,10230,34,375,1,9252,43
2020-10-03,10266,36,377,2,9299,47
2020-10-04,10304,38,379,2,9330,31
2020-10-05,10347,43,381,2,9347,17
2020-10-06,10393,46,381,0,9391,44
2020-10-07,10440,47,384,3,9430,39
2020-10-08,10489,49,385,1,9475,45
2020-10-09,10542,53,385,0,9521,46
2020-10-10,10593,51,387,2,9562,41
2020-10-11,10645,52,389,2,9604,42
2020-10-12,10702,57,391,2,9633,29
2020-10-13,10762,60,393,2,9677,44
2020-10-14,10826,64,393,0,9724,47
