date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,2,2,0,0,0,0
2020-03-31,2,0,1,1,0,0
2020-04-01,3,1,1,0,0,0
2020-04-02,3,0,1,0,0,0
2020-04-03,3,0,1,0,0,0
2020-04-04,3,0,1,0,0,0
2020-04-05,3,0,1,0,0,0
2020-04-06,5,2,1,0,0,0
2020-04-07,12,7,1,0,0,0
2020-04-08,14,2,1,0,0,0
2020-04-09,38,24,1,0,0,0
2020-04-10,42,4,1,0,0,0
2020-04-11,48,6,1,0,1,1
2020-04-12,71,23,1,0,1,0
2020-04-13,84,13,1,0,1,0
2020-04-14,100,16,2,1,1,0
2020-04-15,145,45,2,0,1,0
2020-04-16,159,14,5,3,1,0
2020-04-17,183,24,5,0,1,0
2020-04-18,198,15,5,0,11,10
2020-04-19,225,27,5,0,11,0
2020-04-20,259,34,5,0,11,0
2020-04-21,280,21,5,0,11,0
2020-04-22,293,13,5,0,11,0
2020-04-23,339,46,5,0,11,0
2020-04-24,381,42,5,0,11,0
2020-04-25,426,45,5,0,11,0
2020-04-26,475,49,5,0,11,0
2020-04-27,518,43,5,0,11,0
2020-04-28,597,79,5,0,11,0
2020-04-29,634,37,5,0,32,21
2020-04-30,669,35,5,0,32,0
2020-05-01,715,46,7,2,37,5
2020-05-02,775,60,7,0,37,0
2020-05-03,830,55,7,0,37,0
2020-05-04,896,66,12,5,43,6
2020-05-05,944,48,12,0,43,0
2020-05-06,1001,57,12,0,43,0
2020-05-07,1079,78,12,0,43,0
2020-05-08,1124,45,12,0,43,0
2020-05-09,1166,42,13,1,100,57
2020-05-10,1249,83,15,2,100,0
2020-05-11,1326,77,15,0,100,0
2020-05-12,1387,61,15,0,103,3
2020-05-13,1459,72,15,0,103,0
2020-05-14,1504,45,15,0,149,46
2020-05-15,1592,88,15,0,149,0
2020-05-16,1657,65,15,0,232,83
2020-05-17,1738,81,15,0,232,0
2020-05-18,1837,99,15,0,242,10
2020-05-19,1920,83,15,0,267,25
2020-05-20,1986,66,15,0,267,0
2020-05-21,2043,57,15,0,277,10
2020-05-22,2120,77,15,0,284,7
2020-05-23,2194,74,16,1,311,27
2020-05-24,2253,59,16,0,320,9
2020-05-25,2322,69,16,0,350,30
2020-05-26,2379,57,17,1,375,25
2020-05-27,2434,55,17,0,426,51
2020-05-28,2495,61,18,1,486,60
2020-05-29,2554,59,20,2,567,81
2020-05-30,2617,63,21,1,685,118
2020-05-31,2676,59,21,0,732,47
2020-06-01,2735,59,21,0,756,24
2020-06-02,2797,62,24,3,839,83
2020-06-03,2853,56,27,3,941,102
2020-06-04,2908,55,27,0,988,47
2020-06-05,2966,58,30,3,1112,124
2020-06-06,3026,60,30,0,1198,86
2020-06-07,3089,63,30,0,1198,0
2020-06-08,3151,62,30,0,1225,27
2020-06-09,3205,54,34,4,1356,131
2020-06-10,3260,55,38,4,1440,84
2020-06-11,3324,64,42,4,1503,63
2020-06-12,3390,66,44,2,1667,164
2020-06-13,3453,63,45,1,1721,54
2020-06-14,3512,59,45,0,1799,78
2020-06-15,3569,57,46,1,1820,21
2020-06-16,3629,60,46,0,1846,26
2020-06-17,3685,56,47,1,1915,69
2020-06-18,3739,54,48,1,1973,58
2020-06-19,3795,56,49,1,2064,91
2020-06-20,3850,55,50,1,2169,105
2020-06-21,3903,53,51,1,2206,37
2020-06-22,3954,51,52,1,2247,41
2020-06-23,4006,52,54,2,2278,31
2020-06-24,4056,50,55,1,2371,93
2020-06-25,4109,53,55,0,2412,41
2020-06-26,4160,51,59,4,2473,61
2020-06-27,4214,54,61,2,2543,70
2020-06-28,4263,49,62,1,2552,9
2020-06-29,4314,51,63,1,2573,21
2020-06-30,4362,48,64,1,2724,151
2020-07-01,4408,46,65,1,2837,113
2020-07-02,4456,48,65,0,2857,20
2020-07-03,4505,49,68,3,2985,128
2020-07-04,4552,47,71,3,3127,142
2020-07-05,4598,46,74,3,3154,27
2020-07-06,4647,49,77,3,3184,30
2020-07-07,4694,47,80,3,3300,116
2020-07-08,4739,45,81,1,3380,80
2020-07-09,4785,46,84,3,3526,146
2020-07-10,4829,44,86,2,3652,126
2020-07-11,4874,45,88,2,3787,135
2020-07-12,4917,43,90,2,3820,33
2020-07-13,4962,45,91,1,3820,0
2020-07-14,5006,44,94,3,3965,145
2020-07-15,5048,42,96,2,4113,148
2020-07-16,5091,43,100,4,4255,142
2020-07-17,5133,42,103,3,4354,99
2020-07-18,5177,44,106,3,4439,85
2020-07-19,5218,41,108,2,4540,101
2020-07-20,5261,43,109,1,4544,4
2020-07-21,5298,37,113,4,4675,131
2020-07-22,5333,35,116,3,4774,99
2020-07-23,5369,36,118,2,4889,115
2020-07-24,5402,33,121,3,5021,132
2020-07-25,5433,31,123,2,5103,82
2020-07-26,5462,29,124,1,5111,8
2020-07-27,5490,28,125,1,5113,2
2020-07-28,5516,26,128,3,5126,13
2020-07-29,5541,25,132,4,5137,11
2020-07-30,5563,22,136,4,5152,15
2020-07-31,5586,23,139,3,5163,11
2020-08-01,5610,24,144,5,5174,11
2020-08-02,5635,25,146,2,5174,0
2020-08-03,5659,24,147,1,5174,0
2020-08-04,5683,24,149,2,5185,11
2020-08-05,5705,22,153,4,5191,6
2020-08-06,5725,20,156,3,5202,11
2020-08-07,5748,23,158,2,5210,8
2020-08-08,5772,24,161,3,5216,6
2020-08-09,5794,22,163,2,5219,3
2020-08-10,5815,21,165,2,5219,0
2020-08-11,5835,20,168,3,5228,9
2020-08-12,5856,21,172,4,5237,9
2020-08-13,5876,20,175,3,5249,12
2020-08-14,5900,24,178,3,5262,13
2020-08-15,5923,23,182,4,5277,15
2020-08-16,5948,25,184,2,5280,3
2020-08-17,5972,24,186,2,5280,0
2020-08-18,5994,22,190,4,5291,11
2020-08-19,6017,23,191,1,5304,13
2020-08-20,6042,25,191,0,5326,22
2020-08-21,6066,24,191,0,5346,20
2020-08-22,6089,23,192,1,5365,19
2020-08-23,6114,25,192,0,5365,0
2020-08-24,6137,23,192,0,5365,0
2020-08-25,6159,22,193,1,5383,18
2020-08-26,6185,26,193,0,5400,17
2020-08-27,6212,27,193,0,5424,24
2020-08-28,6237,25,193,0,5445,21
2020-08-29,6264,27,194,1,5463,18
2020-08-30,6292,28,194,0,5463,0
2020-08-31,6318,26,194,0,5475,12
2020-09-01,6345,27,194,0,5498,23
2020-09-02,6374,29,195,1,5520,22
2020-09-03,6405,31,195,0,5537,17
2020-09-04,6437,32,196,1,5552,15
2020-09-05,6464,27,197,1,5568,16
2020-09-06,6493,29,197,0,5571,3
2020-09-07,6521,28,197,0,5571,0
2020-09-08,6551,30,197,0,5592,21
2020-09-09,6583,32,198,1,5615,23
2020-09-10,6614,31,198,0,5634,19
2020-09-11,6647,33,199,1,5651,17
2020-09-12,6679,32,199,0,5669,18
2020-09-13,6709,30,199,0,5669,0
2020-09-14,6740,31,199,0,5673,4
2020-09-15,6772,32,199,0,5694,21
2020-09-16,6806,34,199,0,5717,23
2020-09-17,6838,32,200,1,5737,20
2020-09-18,6871,33,200,0,5755,18
2020-09-19,6906,35,201,1,5774,19
2020-09-20,6937,31,201,0,5774,0
2020-09-21,6969,32,201,0,5774,0
2020-09-22,7003,34,201,0,5789,15
2020-09-23,7034,31,203,2,5808,19
2020-09-24,7067,33,203,0,5830,22
2020-09-25,7096,29,205,2,5850,20
2020-09-26,7132,36,208,3,5869,19
2020-09-27,7171,39,209,1,5869,0
2020-09-28,7211,40,211,2,5873,4
2020-09-29,7252,41,213,2,5893,20
2020-09-30,7295,43,216,3,5912,19
2020-10-01,7337,42,218,2,5932,20
2020-10-02,7381,44,221,3,5952,20
2020-10-03,7429,48,223,2,5973,21
2020-10-04,7483,54,226,3,5975,2
2020-10-05,7540,57,227,1,5982,7
2020-10-06,7600,60,230,3,6003,21
2020-10-07,7657,57,232,2,6025,22
2020-10-08,7716,59,235,3,6046,21
2020-10-09,7772,56,237,2,6068,22
2020-10-10,7830,58,237,0,6089,21
2020-10-11,7897,67,237,0,6092,3
2020-10-12,7959,62,237,0,6099,7
2020-10-13,8031,72,237,0,6119,20
2020-10-14,8107,76,239,2,6142,23
