date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,2,2,0,0,0,0
2020-03-31,2,0,0,0,0,0
2020-04-01,9,7,0,0,0,0
2020-04-02,12,3,0,0,0,0
2020-04-03,12,0,0,0,0,0
2020-04-04,13,1,0,0,0,0
2020-04-05,13,0,0,0,0,0
2020-04-06,23,10,0,0,0,0
2020-04-07,23,0,0,0,0,0
2020-04-08,27,4,0,0,0,0
2020-04-09,35,8,0,0,0,0
2020-04-10,38,3,0,0,0,0
2020-04-11,39,1,0,0,0,0
2020-04-12,42,3,0,0,0,0
2020-04-13,43,1,0,0,0,0
2020-04-14,50,7,0,0,0,0
2020-04-15,52,2,0,0,0,0
2020-04-16,67,15,0,0,8,8
2020-04-17,77,10,0,0,9,1
2020-04-18,86,9,0,0,13,4
2020-04-19,93,7,0,0,13,0
2020-04-20,100,7,0,0,13,0
2020-04-21,107,7,0,0,13,0
2020-04-22,114,7,0,0,23,10
2020-04-23,120,6,0,0,23,0
2020-04-24,129,9,0,0,26,3
2020-04-25,138,9,0,0,29,3
2020-04-26,145,7,0,0,33,4
2020-04-27,155,10,0,0,33,0
2020-04-28,160,5,0,0,41,8
2020-04-29,166,6,0,0,45,4
2020-04-30,173,7,0,0,45,0
2020-05-01,184,11,0,0,50,5
2020-05-02,199,15,0,0,65,15
2020-05-03,219,20,0,0,68,3
2020-05-04,223,4,0,0,75,7
2020-05-05,230,7,0,0,77,2
2020-05-06,236,6,1,1,82,5
2020-05-07,241,5,1,0,84,2
2020-05-08,253,12,1,0,88,4
2020-05-09,267,14,1,0,90,2
2020-05-10,286,19,1,0,98,8
2020-05-11,298,12,1,0,104,6
2020-05-12,317,19,1,0,106,2
2020-05-13,334,17,1,0,113,7
2020-05-14,346,12,2,1,165,52
2020-05-15,361,15,2,0,172,7
2020-05-16,398,37,3,1,176,4
2020-05-17,431,33,3,0,180,4
2020-05-18,454,23,3,0,195,15
2020-05-19,477,23,3,0,196,1
2020-05-20,502,25,3,0,204,8
2020-05-21,528,26,3,0,222,18
2020-05-22,562,34,3,0,231,9
2020-05-23,603,41,4,1,244,13
2020-05-24,643,40,4,0,251,7
2020-05-25,665,22,4,0,261,10
2020-05-26,699,34,4,0,267,6
2020-05-27,774,75,5,1,276,9
2020-05-28,833,59,5,0,303,27
2020-05-29,860,27,7,2,320,17
2020-05-30,882,22,7,0,332,12
2020-05-31,929,47,7,0,348,16
2020-06-01,952,23,7,0,357,9
2020-06-02,979,27,7,0,380,23
2020-06-03,998,19,11,4,439,59
2020-06-04,1018,20,11,0,466,27
2020-06-05,1035,17,11,0,489,23
2020-06-06,1056,21,11,0,508,19
2020-06-07,1084,28,11,0,532,24
2020-06-08,1111,27,11,0,542,10
2020-06-09,1137,26,11,0,567,25
2020-06-10,1159,22,13,2,617,50
2020-06-11,1189,30,13,0,661,44
2020-06-12,1221,32,13,0,693,32
2020-06-13,1254,33,13,0,748,55
2020-06-14,1284,30,13,0,760,12
2020-06-15,1302,18,13,0,781,21
2020-06-16,1317,15,14,1,799,18
2020-06-17,1335,18,14,0,825,26
2020-06-18,1359,24,15,1,863,38
2020-06-19,1386,27,16,1,930,67
2020-06-20,1408,22,16,0,966,36
2020-06-21,1428,20,16,0,997,31
2020-06-22,1445,17,16,0,1020,23
2020-06-23,1466,21,17,1,1042,22
2020-06-24,1487,21,17,0,1078,36
2020-06-25,1508,21,17,0,1087,9
2020-06-26,1526,18,17,0,1110,23
2020-06-27,1546,20,17,0,1137,27
2020-06-28,1565,19,17,0,1146,9
2020-06-29,1586,21,17,0,1154,8
2020-06-30,1607,21,17,0,1181,27
2020-07-01,1628,21,17,0,1220,39
2020-07-02,1646,18,17,0,1224,4
2020-07-03,1666,20,17,0,1248,24
2020-07-04,1688,22,17,0,1270,22
2020-07-05,1709,21,17,0,1301,31
2020-07-06,1730,21,17,0,1313,12
2020-07-07,1749,19,17,0,1366,53
2020-07-08,1770,21,17,0,1409,43
2020-07-09,1790,20,17,0,1427,18
2020-07-10,1818,28,19,2,1447,20
2020-07-11,1856,38,19,0,1477,30
2020-07-12,1888,32,19,0,1484,7
2020-07-13,1915,27,19,0,1486,2
2020-07-14,1944,29,19,0,1522,36
2020-07-15,1972,28,19,0,1535,13
2020-07-16,2002,30,19,0,1548,13
2020-07-17,2032,30,19,0,1577,29
2020-07-18,2061,29,19,0,1614,37
2020-07-19,2088,27,19,0,1621,7
2020-07-20,2114,26,19,0,1629,8
2020-07-21,2140,26,19,0,1666,37
2020-07-22,2165,25,19,0,1693,27
2020-07-23,2192,27,19,0,1723,30
2020-07-24,2218,26,20,1,1761,38
2020-07-25,2245,27,20,0,1811,50
2020-07-26,2271,26,20,0,1866,55
2020-07-27,2297,26,21,1,1882,16
2020-07-28,2324,27,21,0,1901,19
2020-07-29,2351,27,24,3,1948,47
2020-07-30,2378,27,24,0,1960,12
2020-07-31,2406,28,25,1,1968,8
2020-08-01,2434,28,25,0,1981,13
2020-08-02,2461,27,25,0,1984,3
2020-08-03,2488,27,25,0,1992,8
2020-08-04,2516,28,26,1,2004,12
2020-08-05,2544,28,26,0,2018,14
2020-08-06,2571,27,26,0,2025,7
2020-08-07,2600,29,26,0,2032,7
2020-08-08,2628,28,26,0,2091,59
2020-08-09,2657,29,26,0,2152,61
2020-08-10,2684,27,27,1,2209,57
2020-08-11,2712,28,28,1,2253,44
2020-08-12,2743,31,29,1,2320,67
2020-08-13,2772,29,29,0,2339,19
2020-08-14,2801,29,29,0,2370,31
2020-08-15,2844,43,30,1,2385,15
2020-08-16,2881,37,30,0,2385,0
2020-08-17,2917,36,30,0,2392,7
2020-08-18,2952,35,30,0,2437,45
2020-08-19,2985,33,30,0,2467,30
2020-08-20,3018,33,30,0,2519,52
2020-08-21,3050,32,32,2,2552,33
2020-08-22,3083,33,34,2,2607,55
2020-08-23,3115,32,34,0,2609,2
2020-08-24,3148,33,34,0,2609,0
2020-08-25,3179,31,34,0,2690,81
2020-08-26,3212,33,34,0,2746,56
2020-08-27,3244,32,34,0,2796,50
2020-08-28,3278,34,34,0,2823,27
2020-08-29,3310,32,35,1,2863,40
2020-08-30,3346,36,36,1,2863,0
2020-08-31,3379,33,36,0,2866,3
2020-09-01,3416,37,37,1,2912,46
2020-09-02,3450,34,38,1,2967,55
2020-09-03,3486,36,38,0,3011,44
2020-09-04,3519,33,39,1,3061,50
2020-09-05,3557,38,43,4,3114,53
2020-09-06,3593,36,43,0,3118,4
2020-09-07,3632,39,43,0,3119,1
2020-09-08,3666,34,43,0,3184,65
2020-09-09,3707,41,43,0,3240,56
2020-09-10,3744,37,44,1,3259,19
2020-09-11,3784,40,44,0,3289,30
2020-09-12,3823,39,44,0,3321,32
2020-09-13,3865,42,44,0,3324,3
2020-09-14,3906,41,44,0,3327,3
2020-09-15,3950,44,44,0,3377,50
2020-09-16,3992,42,44,0,3402,25
2020-09-17,4037,45,45,1,3460,58
2020-09-18,4080,43,45,0,3499,39
2020-09-19,4124,44,45,0,3523,24
2020-09-20,4168,44,45,0,3529,6
2020-09-21,4211,43,45,0,3532,3
2020-09-22,4256,45,45,0,3565,33
2020-09-23,4300,44,45,0,3584,19
2020-09-24,4343,43,45,0,3607,23
2020-09-25,4388,45,45,0,3612,5
2020-09-26,4435,47,46,1,3647,35
2020-09-27,4483,48,46,0,3654,7
2020-09-28,4530,47,46,0,3659,5
2020-09-29,4576,46,47,1,3724,65
2020-09-30,4624,48,47,0,3743,19
2020-10-01,4673,49,47,0,3789,46
2020-10-02,4723,50,47,0,3808,19
2020-10-03,4780,57,49,2,3831,23
2020-10-04,4836,56,49,0,3839,8
2020-10-05,4893,57,49,0,3850,11
2020-10-06,4949,56,49,0,3895,45
2020-10-07,5009,60,50,1,3921,26
2020-10-08,5071,62,50,0,3984,63
2020-10-09,5136,65,54,4,3996,12
2020-10-10,5205,69,54,0,4016,20
2020-10-11,5273,68,54,0,4031,15
2020-10-12,5338,65,54,0,4081,50
2020-10-13,5407,69,54,0,4135,54
2020-10-14,5482,75,55,1,4154,19
