date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0
2020-04-02,2,2,0,0,0,0
2020-04-03,12,10,0,0,0,0
2020-04-04,12,0,0,0,0,0
2020-04-05,12,0,0,0,0,0
2020-04-06,12,0,0,0,0,0
2020-04-07,30,18,0,0,0,0
2020-04-08,41,11,0,0,0,0
2020-04-09,41,0,0,0,0,0
2020-04-10,41,0,1,1,0,0
2020-04-11,50,9,1,0,0,0
2020-04-12,62,12,1,0,0,0
2020-04-13,66,4,1,0,0,0
2020-04-14,66,0,1,0,0,0
2020-04-15,73,7,1,0,0,0
2020-04-16,95,22,1,0,0,0
2020-04-17,101,6,1,0,5,5
2020-04-18,106,5,1,0,7,2
2020-04-19,116,10,1,0,7,0
2020-04-20,140,24,1,0,7,0
2020-04-21,146,6,1,0,7,0
2020-04-22,149,3,1,0,22,15
2020-04-23,243,94,1,0,22,0
2020-04-24,266,23,1,0,35,13
2020-04-25,303,37,1,0,35,0
2020-04-26,348,45,1,0,35,0
2020-04-27,375,27,1,0,35,0
2020-04-28,387,12,1,0,39,4
2020-04-29,409,22,1,0,101,62
2020-04-30,463,54,1,0,105,4
2020-05-01,514,51,1,0,116,11
2020-05-02,557,43,1,0,118,2
2020-05-03,608,51,3,2,129,11
2020-05-04,712,104,3,0,129,0
2020-05-05,820,108,3,0,131,2
2020-05-06,925,105,3,0,137,6
2020-05-07,1018,93,3,0,144,7
2020-05-08,1054,36,3,0,158,14
2020-05-09,1105,51,3,0,158,0
2020-05-10,1177,72,3,0,166,8
2020-05-11,1239,62,3,0,178,12
2020-05-12,1311,72,3,0,179,1
2020-05-13,1360,49,3,0,194,15
2020-05-14,1433,73,3,0,198,4
2020-05-15,1548,115,3,0,220,22
2020-05-16,1598,50,3,0,234,14
2020-05-17,1689,91,3,0,235,1
2020-05-18,1748,59,3,0,246,11
2020-05-19,1806,58,3,0,251,5
2020-05-20,1838,32,5,2,281,30
2020-05-21,1902,64,5,0,324,43
2020-05-22,1989,87,5,0,398,74
2020-05-23,2025,36,5,0,686,288
2020-05-24,2054,29,6,1,720,34
2020-05-25,2092,38,6,0,724,4
2020-05-26,2151,59,6,0,758,34
2020-05-27,2202,51,6,0,788,30
2020-05-28,2249,47,7,1,856,68
2020-05-29,2280,31,9,2,898,42
2020-05-30,2310,30,9,0,953,55
2020-05-31,2375,65,9,0,975,22
2020-06-01,2415,40,10,1,984,9
2020-06-02,2466,51,10,0,1163,179
2020-06-03,2479,13,11,1,1207,44
2020-06-04,2534,55,11,0,1307,100
2020-06-05,2579,45,11,0,1340,33
2020-06-06,2621,42,11,0,1376,36
2020-06-07,2694,73,11,0,1429,53
2020-06-08,2777,83,11,0,1475,46
2020-06-09,2833,56,13,2,1475,0
2020-06-10,2887,54,13,0,1482,7
2020-06-11,2964,77,13,0,1485,3
2020-06-12,3086,122,15,2,1487,2
2020-06-13,3211,125,15,0,1491,4
2020-06-14,3325,114,16,1,1496,5
2020-06-15,3412,87,17,1,1499,3
2020-06-16,3505,93,18,1,1559,60
2020-06-17,3586,81,21,3,1643,84
2020-06-18,3713,127,21,0,1695,52
2020-06-19,3834,121,22,1,1733,38
2020-06-20,3966,132,25,3,1791,58
2020-06-21,4131,165,25,0,1818,27
2020-06-22,4271,140,27,2,1862,44
2020-06-23,4416,145,30,3,1904,42
2020-06-24,4553,137,33,3,1967,63
2020-06-25,4709,156,34,1,2006,39
2020-06-26,4858,149,34,0,2058,52
2020-06-27,5005,147,34,0,2153,95
2020-06-28,5159,154,37,3,2248,95
2020-06-29,5332,173,37,0,2282,34
2020-06-30,5580,248,37,0,2378,96
2020-07-01,5783,203,39,2,2434,56
2020-07-02,5980,197,40,1,2462,28
2020-07-03,6171,191,42,2,2513,51
2020-07-04,6368,197,43,1,2597,84
2020-07-05,6555,187,44,1,2635,38
2020-07-06,6752,197,45,1,2654,19
2020-07-07,6941,189,47,2,2689,35
2020-07-08,7143,202,47,0,2757,68
2020-07-09,7339,196,51,4,2840,83
2020-07-10,7547,208,52,1,2930,90
2020-07-11,7742,195,56,4,2968,38
2020-07-12,7954,212,56,0,3028,60
2020-07-13,8159,205,56,0,3053,25
2020-07-14,8370,211,57,1,3276,223
2020-07-15,8572,202,57,0,3535,259
2020-07-16,8759,187,59,2,3705,170
2020-07-17,8965,206,59,0,3978,273
2020-07-18,9147,182,60,1,4097,119
2020-07-19,9323,176,60,0,4154,57
2020-07-20,9478,155,60,0,4376,222
2020-07-21,9656,178,64,4,4589,213
2020-07-22,9831,175,68,4,4931,342
2020-07-23,10001,170,70,2,5205,274
2020-07-24,10159,158,70,0,5674,469
2020-07-25,10289,130,72,2,5911,237
2020-07-26,10414,125,73,1,6134,223
2020-07-27,10537,123,73,0,6248,114
2020-07-28,10673,136,74,1,6663,415
2020-07-29,10788,115,76,2,7122,459
2020-07-30,10904,116,77,1,7631,509
2020-07-31,11016,112,77,0,8023,392
2020-08-01,11127,111,78,1,8296,273
2020-08-02,11235,108,79,1,8453,157
2020-08-03,11339,104,79,0,8600,147
2020-08-04,11431,92,79,0,9004,404
2020-08-05,11525,94,79,0,9466,462
2020-08-06,11621,96,79,0,9809,343
2020-08-07,11712,91,79,0,10138,329
2020-08-08,11800,88,79,0,10406,268
2020-08-09,11895,95,79,0,10552,146
2020-08-10,11988,93,79,0,10754,202
2020-08-11,12080,92,82,3,11000,246
2020-08-12,12168,88,82,0,11231,231
2020-08-13,12259,91,82,0,11280,49
2020-08-14,12346,87,82,0,11388,108
2020-08-15,12436,90,82,0,11512,124
2020-08-16,12528,92,82,0,11555,43
2020-08-17,12612,84,82,0,11638,83
2020-08-18,12688,76,83,1,11772,134
2020-08-19,12760,72,84,1,11950,178
2020-08-20,12829,69,85,1,12131,181
2020-08-21,12894,65,85,0,12282,151
2020-08-22,12957,63,87,2,12420,138
2020-08-23,13019,62,87,0,12467,47
2020-08-24,13080,61,87,0,12526,59
2020-08-25,13135,55,88,1,12670,144
2020-08-26,13180,45,90,2,12738,68
2020-08-27,13222,42,90,0,12804,66
2020-08-28,13269,47,90,0,12930,126
2020-08-29,13315,46,90,0,12965,35
2020-08-30,13364,49,90,0,12989,24
2020-08-31,13411,47,90,0,12992,3
2020-09-01,13457,46,90,0,13003,11
2020-09-02,13503,46,90,0,13019,16
2020-09-03,13547,44,91,1,13032,13
2020-09-04,13594,47,92,1,13042,10
2020-09-05,13640,46,93,1,13054,12
2020-09-06,13695,55,93,0,13060,6
2020-09-07,13739,44,93,0,13065,5
2020-09-08,13792,53,94,1,13082,17
2020-09-09,13840,48,94,0,13097,15
2020-09-10,13894,54,95,1,13114,17
2020-09-11,13944,50,95,0,13129,15
2020-09-12,13992,48,95,0,13145,16
2020-09-13,14042,50,97,2,13162,17
2020-09-14,14101,59,97,0,13170,8
2020-09-15,14162,61,97,0,13188,18
2020-09-16,14220,58,97,0,13208,20
2020-09-17,14282,62,97,0,13224,16
2020-09-18,14341,59,98,1,13244,20
2020-09-19,14398,57,98,0,13259,15
2020-09-20,14461,63,99,1,13263,4
2020-09-21,14526,65,99,0,13269,6
2020-09-22,14594,68,99,0,13290,21
2020-09-23,14669,75,99,0,13315,25
2020-09-24,14750,81,99,0,13338,23
2020-09-25,14839,89,99,0,13363,25
2020-09-26,14935,96,99,0,13383,20
2020-09-27,15033,98,99,0,13388,5
2020-09-28,15142,109,99,0,13398,10
2020-09-29,15275,133,99,0,13418,20
2020-09-30,15404,129,99,0,13441,23
2020-10-01,15536,132,99,0,13466,25
2020-10-02,15669,133,100,1,13489,23
2020-10-03,15803,134,101,1,13511,22
2020-10-04,15944,141,101,0,13516,5
2020-10-05,16089,145,101,0,13528,12
2020-10-06,16238,149,102,1,13553,25
2020-10-07,16386,148,103,1,13579,26
2020-10-08,16534,148,104,1,13604,25
2020-10-09,16683,149,105,1,13630,26
2020-10-10,16834,151,106,1,13657,27
2020-10-11,16986,152,106,0,13662,5
2020-10-12,17140,154,106,0,13674,12
2020-10-13,17298,158,106,0,13701,27
2020-10-14,17461,163,106,0,13726,25
