date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0
2020-03-17,1,1,0,0,0,0
2020-03-18,1,0,0,0,0,0
2020-03-19,1,0,0,0,0,0
2020-03-20,1,0,0,0,0,0
2020-03-21,1,0,0,0,0,0
2020-03-22,1,0,0,0,0,0
2020-03-23,1,0,0,0,0,0
2020-03-24,1,0,0,0,0,0
2020-03-25,1,0,0,0,0,0
2020-03-26,1,0,0,0,0,0
2020-03-27,2,1,0,0,0,0
2020-03-28,2,0,0,0,0,0
2020-03-29,3,1,0,0,0,0
2020-03-30,3,0,0,0,0,0
2020-03-31,3,0,0,0,1,1
2020-04-01,3,0,0,0,1,0
2020-04-02,3,0,0,0,1,0
2020-04-03,3,0,0,0,1,0
2020-04-04,5,2,0,0,1,0
2020-04-05,6,1,0,0,1,0
2020-04-06,6,0,0,0,1,0
2020-04-07,11,5,0,0,1,0
2020-04-08,11,0,0,0,1,0
2020-04-09,13,2,0,0,2,1
2020-04-10,13,0,0,0,2,0
2020-04-11,13,0,0,0,2,0
2020-04-12,27,14,0,0,3,1
2020-04-13,27,0,0,0,3,0
2020-04-14,27,0,0,0,6,3
2020-04-15,39,12,0,0,7,1
2020-04-16,62,23,0,0,7,0
2020-04-17,81,19,0,0,7,0
2020-04-18,105,24,0,0,12,5
2020-04-19,117,12,0,0,12,0
2020-04-20,144,27,0,0,12,0
2020-04-21,187,43,0,0,12,0
2020-04-22,198,11,0,0,17,5
2020-04-23,263,65,1,1,18,1
2020-04-24,305,42,2,1,19,1
2020-04-25,342,37,2,0,23,4
2020-04-26,384,42,2,0,23,0
2020-04-27,409,25,3,1,26,3
2020-04-28,456,47,3,0,26,0
2020-04-29,483,27,4,1,43,17
2020-04-30,506,23,4,0,43,0
2020-05-01,570,64,5,1,63,20
2020-05-02,634,64,5,0,64,1
2020-05-03,710,76,5,0,99,35
2020-05-04,789,79,5,0,100,1
2020-05-05,829,40,5,0,101,1
2020-05-06,880,51,11,6,128,27
2020-05-07,935,55,11,0,128,0
2020-05-08,993,58,11,0,162,34
2020-05-09,1051,58,11,0,162,0
2020-05-10,1114,63,11,0,162,0
2020-05-11,1192,78,11,0,198,36
2020-05-12,1275,83,11,0,198,0
2020-05-13,1363,88,11,0,207,9
2020-05-14,1450,87,11,0,213,6
2020-05-15,1537,87,11,0,244,31
2020-05-16,1629,92,11,0,299,55
2020-05-17,1726,97,11,0,304,5
2020-05-18,1829,103,12,1,305,1
2020-05-19,1938,109,12,0,333,28
2020-05-20,2073,135,12,0,386,53
2020-05-21,2206,133,13,1,420,34
2020-05-22,2309,103,13,0,444,24
2020-05-23,2424,115,13,0,493,49
2020-05-24,2531,107,13,0,503,10
2020-05-25,2632,101,13,0,503,0
2020-05-26,2726,94,13,0,569,66
2020-05-27,2808,82,13,0,616,47
2020-05-28,2892,84,13,0,653,37
2020-05-29,2976,84,14,1,698,45
2020-05-30,3055,79,14,0,751,53
2020-05-31,3132,77,14,0,756,5
2020-06-01,3210,78,14,0,756,0
2020-06-02,3284,74,14,0,826,70
2020-06-03,3356,72,14,0,896,70
2020-06-04,3430,74,15,1,951,55
2020-06-05,3501,71,15,0,1007,56
2020-06-06,3576,75,15,0,1169,162
2020-06-07,3646,70,15,0,1176,7
2020-06-08,3714,68,15,0,1180,4
2020-06-09,3781,67,15,0,1310,130
2020-06-10,3844,63,15,0,1452,142
2020-06-11,3903,59,15,0,1530,78
2020-06-12,3963,60,16,1,1639,109
2020-06-13,4020,57,16,0,1640,1
2020-06-14,4073,53,16,0,1660,20
2020-06-15,4121,48,16,0,1662,2
2020-06-16,4162,41,16,0,1819,157
2020-06-17,4211,49,16,0,1941,122
2020-06-18,4256,45,16,0,2037,96
2020-06-19,4295,39,16,0,2198,161
2020-06-20,4342,47,17,1,2399,201
2020-06-21,4390,48,17,0,2453,54
2020-06-22,4435,45,17,0,2469,16
2020-06-23,4482,47,17,0,2686,217
2020-06-24,4526,44,18,1,2864,178
2020-06-25,4571,45,18,0,2903,39
2020-06-26,4614,43,18,0,2950,47
2020-06-27,4658,44,19,1,2996,46
2020-06-28,4699,41,19,0,3019,23
2020-06-29,4741,42,19,0,3041,22
2020-06-30,4785,44,19,0,3194,153
2020-07-01,4825,40,19,0,3366,172
2020-07-02,4866,41,19,0,3420,54
2020-07-03,4909,43,19,0,3556,136
2020-07-04,4954,45,19,0,3711,155
2020-07-05,4991,37,19,0,3741,30
2020-07-06,5031,40,19,0,3763,22
2020-07-07,5069,38,22,3,3920,157
2020-07-08,5106,37,22,0,4041,121
2020-07-09,5147,41,22,0,4140,99
2020-07-10,5190,43,22,0,4214,74
2020-07-11,5230,40,22,0,4313,99
2020-07-12,5267,37,22,0,4333,20
2020-07-13,5306,39,22,0,4337,4
2020-07-14,5347,41,22,0,4436,99
2020-07-15,5387,40,22,0,4544,108
2020-07-16,5431,44,22,0,4660,116
2020-07-17,5476,45,22,0,4733,73
2020-07-18,5519,43,22,0,4810,77
2020-07-19,5560,41,22,0,4819,9
2020-07-20,5598,38,22,0,4826,7
2020-07-21,5637,39,24,2,4933,107
2020-07-22,5677,40,24,0,5055,122
2020-07-23,5719,42,24,0,5095,40
2020-07-24,5760,41,25,1,5133,38
2020-07-25,5797,37,25,0,5168,35
2020-07-26,5835,38,25,0,5177,9
2020-07-27,5877,42,25,0,5185,8
2020-07-28,5916,39,25,0,5234,49
2020-07-29,5955,39,27,2,5269,35
2020-07-30,5996,41,28,1,5299,30
2020-07-31,6034,38,29,1,5344,45
2020-08-01,6071,37,29,0,5390,46
2020-08-02,6112,41,29,0,5408,18
2020-08-03,6153,41,30,1,5416,8
2020-08-04,6190,37,31,1,5456,40
2020-08-05,6229,39,31,0,5509,53
2020-08-06,6268,39,31,0,5581,72
2020-08-07,6309,41,31,0,5677,96
2020-08-08,6346,37,31,0,5741,64
2020-08-09,6386,40,31,0,5750,9
2020-08-10,6423,37,31,0,5751,1
2020-08-11,6462,39,31,0,5783,32
2020-08-12,6500,38,32,1,5829,46
2020-08-13,6542,42,32,0,5867,38
2020-08-14,6578,36,32,0,5903,36
2020-08-15,6616,38,32,0,5942,39
2020-08-16,6655,39,32,0,5945,3
2020-08-17,6695,40,32,0,5948,3
2020-08-18,6732,37,32,0,5999,51
2020-08-19,6772,40,32,0,6033,34
2020-08-20,6810,38,32,0,6059,26
2020-08-21,6847,37,32,0,6094,35
2020-08-22,6885,38,32,0,6133,39
2020-08-23,6925,40,32,0,6135,2
2020-08-24,6964,39,32,0,6159,24
2020-08-25,6999,35,32,0,6197,38
2020-08-26,7037,38,33,1,6229,32
2020-08-27,7077,40,33,0,6277,48
2020-08-28,7117,40,35,2,6330,53
2020-08-29,7150,33,35,0,6394,64
2020-08-30,7188,38,35,0,6401,7
2020-08-31,7228,40,36,1,6407,6
2020-09-01,7269,41,37,1,6535,128
2020-09-02,7308,39,37,0,6634,99
2020-09-03,7345,37,38,1,6731,97
2020-09-04,7385,40,38,0,6815,84
2020-09-05,7423,38,38,0,6894,79
2020-09-06,7465,42,38,0,6909,15
2020-09-07,7504,39,38,0,6915,6
2020-09-08,7542,38,42,4,7007,92
2020-09-09,7584,42,42,0,7056,49
2020-09-10,7629,45,42,0,7134,78
2020-09-11,7678,49,42,0,7191,57
2020-09-12,7722,44,42,0,7277,86
2020-09-13,7763,41,42,0,7281,4
2020-09-14,7809,46,42,0,7283,2
2020-09-15,7851,42,43,1,7350,67
2020-09-16,7904,53,45,2,7419,69
2020-09-17,7950,46,45,0,7476,57
2020-09-18,7997,47,45,0,7566,90
2020-09-19,8041,44,45,0,7659,93
2020-09-20,8088,47,45,0,7685,26
2020-09-21,8138,50,45,0,7688,3
2020-09-22,8186,48,46,1,7751,63
2020-09-23,8235,49,46,0,7841,90
2020-09-24,8281,46,46,0,7895,54
2020-09-25,8331,50,46,0,7913,18
2020-09-26,8384,53,46,0,7988,75
2020-09-27,8435,51,46,0,7999,11
2020-09-28,8483,48,46,0,7999,0
2020-09-29,8533,50,46,0,8036,37
2020-09-30,8587,54,46,0,8080,44
2020-10-01,8644,57,46,0,8084,4
2020-10-02,8700,56,46,0,8166,82
2020-10-03,8760,60,46,0,8208,42
2020-10-04,8820,60,46,0,8218,10
2020-10-05,8874,54,47,1,8218,0
2020-10-06,8932,58,47,0,8273,55
2020-10-07,8997,65,47,0,8371,98
2020-10-08,9064,67,48,1,8484,113
2020-10-09,9137,73,48,0,8530,46
2020-10-10,9214,77,48,0,8639,109
2020-10-11,9297,83,49,1,8673,34
2020-10-12,9378,81,50,1,8679,6
2020-10-13,9460,82,50,0,8772,93
2020-10-14,9547,87,50,0,8841,69
