date,cases_total,cases_new,deaths_total,deaths_new,cured_total,cured_new
2020-03-12,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0
2020-03-16,1,1,0,0,1,1
2020-03-17,1,0,0,0,1,0
2020-03-18,1,0,0,0,1,0
2020-03-19,1,0,0,0,1,0
2020-03-20,1,0,0,0,1,0
2020-03-21,1,0,0,0,1,0
2020-03-22,1,0,0,0,1,0
2020-03-23,1,0,0,0,1,0
2020-03-24,1,0,0,0,1,0
2020-03-25,1,0,0,0,1,0
2020-03-26,1,0,0,0,1,0
2020-03-27,1,0,0,0,1,0
2020-03-28,1,0,0,0,1,0
2020-03-29,1,0,0,0,1,0
2020-03-30,1,0,0,0,1,0
2020-03-31,1,0,0,0,1,0
2020-04-01,1,0,0,0,1,0
2020-04-02,1,0,0,0,1,0
2020-04-03,1,0,0,0,1,0
2020-04-04,1,0,0,0,1,0
2020-04-05,1,0,0,0,1,0
2020-04-06,1,0,0,0,1,0
2020-04-07,1,0,0,0,1,0
2020-04-08,4,3,0,0,1,0
2020-04-09,4,0,0,0,1,0
2020-04-10,4,0,0,0,1,0
2020-04-11,4,0,0,0,1,0
2020-04-12,8,4,0,0,1,0
2020-04-13,14,6,0,0,1,0
2020-04-14,14,0,0,0,1,0
2020-04-15,14,0,0,0,1,0
2020-04-16,28,14,0,0,1,0
2020-04-17,30,2,0,0,1,0
2020-04-18,33,3,0,0,4,3
2020-04-19,34,1,0,0,4,0
2020-04-20,43,9,0,0,4,0
2020-04-21,50,7,0,0,4,0
2020-04-22,61,11,0,0,5,1
2020-04-23,64,3,0,0,5,0
2020-04-24,73,9,0,0,7,2
2020-04-25,83,10,0,0,13,6
2020-04-26,90,7,0,0,13,0
2020-04-27,96,6,0,0,14,1
2020-04-28,103,7,0,0,14,0
2020-04-29,109,6,0,0,25,11
2020-04-30,114,5,0,0,26,1
2020-05-01,134,20,0,0,39,13
2020-05-02,155,21,0,0,49,10
2020-05-03,167,12,0,0,53,4
2020-05-04,198,31,0,0,67,14
2020-05-05,215,17,0,0,78,11
2020-05-06,238,23,0,0,83,5
2020-05-07,254,16,0,0,88,5
2020-05-08,262,8,0,0,92,4
2020-05-09,272,10,0,0,104,12
2020-05-10,305,33,0,0,111,7
2020-05-11,344,39,0,0,115,4
2020-05-12,364,20,1,1,132,17
2020-05-13,386,22,1,0,140,8
2020-05-14,432,46,1,0,157,17
2020-05-15,454,22,2,1,178,21
2020-05-16,486,32,3,1,195,17
2020-05-17,510,24,4,1,212,17
2020-05-18,550,40,5,1,225,13
2020-05-19,595,45,6,1,254,29
2020-05-20,615,20,7,1,268,14
2020-05-21,646,31,7,0,301,33
2020-05-22,684,38,10,3,341,40
2020-05-23,727,43,12,2,371,30
2020-05-24,758,31,12,0,381,10
2020-05-25,817,59,12,0,385,4
2020-05-26,879,62,14,2,417,32
2020-05-27,938,59,17,3,447,30
2020-05-28,991,53,17,0,470,23
2020-05-29,1019,28,18,1,470,0
2020-05-30,1052,33,19,1,513,43
2020-05-31,1097,45,20,1,538,25
2020-06-01,1136,39,20,0,548,10
2020-06-02,1165,29,21,1,576,28
2020-06-03,1218,53,22,1,633,57
2020-06-04,1257,39,24,2,708,75
2020-06-05,1321,64,26,2,750,42
2020-06-06,1398,77,27,1,807,57
2020-06-07,1471,73,27,0,837,30
2020-06-08,1551,80,29,2,862,25
2020-06-09,1634,83,31,2,942,80
2020-06-10,1704,70,32,1,951,9
2020-06-11,1765,61,38,6,996,45
2020-06-12,1841,76,40,2,1076,80
2020-06-13,1907,66,40,0,1109,33
2020-06-14,1996,89,40,0,1123,14
2020-06-15,2081,85,40,0,1130,7
2020-06-16,2174,93,40,0,1178,48
2020-06-17,2263,89,40,0,1242,64
2020-06-18,2325,62,40,0,1307,65
2020-06-19,2391,66,40,0,1352,45
2020-06-20,2458,67,40,0,1430,78
2020-06-21,2527,69,40,0,1440,10
2020-06-22,2596,69,40,0,1467,27
2020-06-23,2667,71,40,0,1556,89
2020-06-24,2738,71,40,0,1608,52
2020-06-25,2793,55,41,1,1656,48
2020-06-26,2854,61,41,0,1723,67
2020-06-27,2916,62,41,0,1826,103
2020-06-28,2975,59,41,0,1847,21
2020-06-29,3038,63,41,0,1854,7
2020-06-30,3100,62,42,1,2000,146
2020-07-01,3161,61,42,0,2107,107
2020-07-02,3212,51,42,0,2152,45
2020-07-03,3260,48,42,0,2184,32
2020-07-04,3309,49,43,1,2275,91
2020-07-05,3355,46,43,0,2307,32
2020-07-06,3399,44,44,1,2329,22
2020-07-07,3441,42,44,0,2422,93
2020-07-08,3480,39,44,0,2503,81
2020-07-09,3516,36,44,0,2595,92
2020-07-10,3555,39,44,0,2642,47
2020-07-11,3595,40,44,0,2703,61
2020-07-12,3638,43,45,1,2707,4
2020-07-13,3683,45,45,0,2750,43
2020-07-14,3728,45,46,1,2845,95
2020-07-15,3767,39,46,0,2887,42
2020-07-16,3802,35,47,1,2958,71
2020-07-17,3835,33,47,0,2996,38
2020-07-18,3867,32,47,0,3108,112
2020-07-19,3897,30,47,0,3137,29
2020-07-20,3927,30,47,0,3155,18
2020-07-21,3952,25,47,0,3266,111
2020-07-22,3971,19,47,0,3327,61
2020-07-23,3988,17,47,0,3396,69
2020-07-24,4002,14,47,0,3437,41
2020-07-25,4015,13,47,0,3498,61
2020-07-26,4026,11,47,0,3511,13
2020-07-27,4038,12,47,0,3516,5
2020-07-28,4050,12,47,0,3603,87
2020-07-29,4059,9,47,0,3645,42
2020-07-30,4070,11,47,0,3674,29
2020-07-31,4081,11,47,0,3699,25
2020-08-01,4094,13,47,0,3749,50
2020-08-02,4106,12,47,0,3751,2
2020-08-03,4118,12,47,0,3751,0
2020-08-04,4131,13,47,0,3768,17
2020-08-05,4142,11,47,0,3797,29
2020-08-06,4153,11,47,0,3830,33
2020-08-07,4165,12,48,1,3832,2
2020-08-08,4178,13,49,1,3836,4
2020-08-09,4194,16,49,0,3859,23
2020-08-10,4210,16,49,0,3860,1
2020-08-11,4224,14,49,0,3909,49
2020-08-12,4242,18,49,0,3943,34
2020-08-13,4260,18,49,0,3956,13
2020-08-14,4274,14,50,1,3979,23
2020-08-15,4287,13,50,0,4000,21
2020-08-16,4301,14,51,1,4000,0
2020-08-17,4313,12,51,0,4000,0
2020-08-18,4323,10,51,0,4021,21
2020-08-19,4338,15,51,0,4031,10
2020-08-20,4354,16,51,0,4039,8
2020-08-21,4370,16,52,1,4065,26
2020-08-22,4388,18,52,0,4069,4
2020-08-23,4408,20,53,1,4069,0
2020-08-24,4427,19,54,1,4071,2
2020-08-25,4446,19,54,0,4093,22
2020-08-26,4470,24,55,1,4100,7
2020-08-27,4493,23,55,0,4150,50
2020-08-28,4517,24,56,1,4178,28
2020-08-29,4541,24,56,0,4207,29
2020-08-30,4570,29,56,0,4207,0
2020-08-31,4600,30,57,1,4232,25
2020-09-01,4632,32,57,0,4265,33
2020-09-02,4665,33,58,1,4284,19
2020-09-03,4699,34,58,0,4321,37
2020-09-04,4735,36,59,1,4329,8
2020-09-05,4770,35,59,0,4343,14
2020-09-06,4804,34,60,1,4349,6
2020-09-07,4839,35,60,0,4361,12
2020-09-08,4879,40,60,0,4391,30
2020-09-09,4922,43,61,1,4411,20
2020-09-10,4967,45,61,0,4418,7
2020-09-11,5015,48,62,1,4442,24
2020-09-12,5066,51,62,0,4456,14
2020-09-13,5129,63,63,1,4464,8
2020-09-14,5195,66,63,0,4466,2
2020-09-15,5261,66,64,1,4499,33
2020-09-16,5322,61,64,0,4533,34
2020-09-17,5374,52,65,1,4553,20
2020-09-18,5426,52,65,0,4570,17
2020-09-19,5481,55,65,0,4602,32
2020-09-20,5538,57,65,0,4611,9
2020-09-21,5596,58,65,0,4614,3
2020-09-22,5657,61,66,1,4653,39
2020-09-23,5727,70,66,0,4703,50
2020-09-24,5799,72,66,0,4735,32
2020-09-25,5874,75,67,1,4783,48
2020-09-26,5951,77,67,0,4845,62
2020-09-27,6029,78,68,1,4852,7
2020-09-28,6099,70,68,0,4867,15
2020-09-29,6181,82,68,0,4935,68
2020-09-30,6262,81,69,1,4977,42
2020-10-01,6342,80,69,0,5027,50
2020-10-02,6427,85,69,0,5071,44
2020-10-03,6514,87,69,0,5123,52
2020-10-04,6603,89,70,1,5138,15
2020-10-05,6692,89,70,0,5158,20
2020-10-06,6783,91,71,1,5194,36
2020-10-07,6881,98,71,0,5242,48
2020-10-08,6986,105,71,0,5289,47
2020-10-09,7115,129,72,1,5330,41
2020-10-10,7255,140,72,0,5384,54
2020-10-11,7414,159,72,0,5403,19
2020-10-12,7583,169,72,0,5417,14
2020-10-13,7759,176,72,0,5511,94
2020-10-14,7932,173,72,0,5586,75
