keys,name,url,population
RU_MOS,Московская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/1.json,7503385
RU_LEN,Ленинградская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10174.json,1813816
RU_NEN,Ненецкий автономный округ,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10176.json,43997
RU_AL,Республика Алтай,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10231.json,218063
RU_TY,Республика Тыва,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10233.json,321722
RU_YEV,Еврейская автономная область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10243.json,162014
RU_CHU,Чукотский автономный округ,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10251.json,49348
RU_BEL,Белгородская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10645.json,1549876
RU_BRY,Брянская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10650.json,1210982
RU_VLA,Владимирская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10658.json,1378337
RU_VOR,Воронежская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10672.json,2333768
RU_IVA,Ивановская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10687.json,1014646
RU_KLU,Калужская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10693.json,1012156
RU_KOS,Костромская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10699.json,643324
RU_KRS,Курская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10705.json,1115237
RU_LIP,Липецкая область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10712.json,1150201
RU_ORL,Орловская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10772.json,747247
RU_RYA,Рязанская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10776.json,1121474
RU_SMO,Смоленская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10795.json,949348
RU_TAM,Тамбовская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10802.json,1033552
RU_TVE,Тверская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10819.json,1283873
RU_TUL,Тульская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10832.json,1491855
RU_YAR,Ярославская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10841.json,1265684
RU_ARK,Архангельская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10842.json,1111031
RU_VLG,Вологодская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10853.json,1176689
RU_KGD,Калининградская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10857.json,994599
RU_MUR,Мурманская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10897.json,753557
RU_NGR,Новгородская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10904.json,606476
RU_PSK,Псковская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10926.json,636546
RU_KR,Республика Карелия,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10933.json,622484
RU_KO,Республика Коми,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10939.json,840873
RU_AST,Астраханская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10946.json,1017514
RU_VGG,Волгоградская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10950.json,2521276
RU_KDA,Краснодарский край,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/10995.json,5603420
RU_AD,Республика Адыгея,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11004.json,453376
RU_DA,Республика Дагестан,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11010.json,3063885
RU_IN,Республика Ингушетия,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11012.json,488043
RU_KB,Кабардино-Балкарская Республика,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11013.json,865828
RU_KL,Республика Калмыкия,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11015.json,275413
RU_KC,Карачаево-Черкесская Республика,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11020.json,466305
RU_SE,Республика Северная Осетия — Алания,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11021.json,701765
RU_CE,Чеченская Республика,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11024.json,1436981
RU_ROS,Ростовская область,https://yastat.net/s3/milab/2020/covid19-stat/data/data-by-region/11029.json,4220452
