timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),Дождь (незамерзающий) сильный непрерывный,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег,Гроза,Град (возможно с дождем)  умеренный или сильный,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,,,,,,,95.6,,-3.7,западный,,,,,2,,,True,2,28.0,2,,,,2,738,,,,-2.4,,,,,,10.0,
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,,77.4,,,западный,,,,,3,,,,,,,,,,10,739,,,,-2.9,,,True,,,10.0,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,,,,,,,,,,,66.0,,,западный,,,,,3,,,,,,,,,,4,739,,,,-2.1,,,,,,9.0,True
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,,,,,,,,,,,57.6,,,западный,,,,,3,,,,,,,,,,10,740,,,,-1.1,,,True,,,9.0,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,,,,,True,,,,,68.1,,,западный,,,,-0.5,3,,,,менее 0.1,,,,,,10,741,,,,-1.8,,,,,,10.0,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,,,,,,,,,,62.9,,,южный,,,,,2,,,,,,,,,,22,741,,,,-2.3,,,True,,,9.0,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,,,73.9,,,юго-восточный,,,,,2,,,,,,,,,,24,741,,,,-5.7,,,,,,0.0,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,,75.9,,,юго-восточный,,,,,4,,,,,,,,,,20,739,,,,-4.3,,,,,,9.0,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,94.2,,-5.8,юго-восточный,,,,,3,,,,0.8,29.0,0.8,,,,4,737,,,,-3.2,,True,,,,10.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,96.5,,,южный,,,,,4,,,,,,,,,,4,736,,,,0.7,,True,,,,10.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,True,,,,,,89.8,,,южный,,,,,5,,,,,,,,,,4,736,,,,2.8,,,,,,10.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,12.0,,,,,,,,,83.7,,,южный,,,,,4,,,,,,,,True,,4,736,,,,3.5,,,,,,10.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,12.0,,,,,,,,,69.8,,,южный,,,,4.4,4,,,,2,,,,,,10,737,,,,3.7,,,True,,,9.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,74.9,,,южный,,,,,3,,,,,,,,,,21,739,,,,2.4,,,True,,,9.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,82.8,,,юго-восточный,,,,,2,,,,,,,,,,23,739,,,,1.0,,,,,,9.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,True,,,,,89.7,,,южный,,,,,2,,,,,,,,,,18,739,,,,0.7,,,,,,10.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,86.5,,0.6,юго-западный,,,,,5,,,,менее 0.1,26.0,2,,,,10,741,,,,0.7,,,,,,10.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,11.0,,,,True,,,,,83.1,,-1.6,западный,,,,,4,,,,,,,,,,10,745,,,,-1.4,,,,,,9.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,59.7,,,западный,,,,,3,,,,,,,,,,10,748,,,,1.7,,,,,,7.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,69.5,,,северо-западный,,,,,3,,,,,,,,,,10,750,,,,-0.2,,,,,,9.0,True
