timestamp,date,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Морось (незамерзающая). Снежные зерна,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Снег (возможно с туманом). Снежные зерна,Дождь (незамерзающий) умеренный непрерывный,"Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Снег,Гроза,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Морось (незамерзающая) умеренная непрерывная,Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)","Осадки за 6 часов, мм",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,90.9,,,-20.4,,восточный,,,,,2.0,,,,0.6,,86.0,,0.8,,,,2.0,742.0,,,True,-9.9,,,,,,,10.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,83.0,,,,,юго-восточный,,,,,1.0,,,,,,,,,,,,20.0,743.0,,,,-6.9,,,True,,,,10.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,72.3,,,,,южный,,,,,3.0,,,,,,,,,,,,20.0,744.0,,,,-2.6,,,True,,,,7.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,69.8,,,,,юго-восточный,,,,,3.0,,,,,,,,,,,,20.0,743.0,,,,-1.2,,,True,,,,9.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",11.0,,,,,,,,,,93.6,,,,,юго-восточный,,,,-0.9,4.0,,,,1,,,,,,,,4.0,742.0,,,True,-1.7,,,,,,,10.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",11.0,,,,,,,,,,94.4,,,,,южный,,,,,5.0,,,,,,,,,,,,2.0,742.0,,,True,1.0,,,,,,,10.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",12.0,,,,,,,,,,94.4,,,,,южный,,,,,6.0,,,,,,,,,,,,4.0,742.0,,,,1.1,,True,,,,,10.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",10.0,,,,,,,,,,95.1,,,,,южный,,,,,5.0,,,,,,,,,,,,4.0,742.0,,,,1.0,,True,,,,,10.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",11.0,,,,,,,,,,93.7,,,-1.6,,южный,,,,,6.0,,,,5,,84.0,,6,,,,4.0,741.0,,,,1.3,,True,,,,,10.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",11.0,,,,,,,,,,88.5,,,,,южный,,,,,5.0,True,,,,,,,,,,,20.0,741.0,,,,2.2,,,,,,,9.0,
