timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Мгла,Ухудшение видимости из-за дыма или вулканического пепла,В окрестности станции местами туман,Гроза сильная (возможен град),"Гроза, но без осадков","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм","Высота снежного покрова, см",Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый,Туман начался (усилился). Небо видно,Морось (незамерзающая) слабая непрерывная
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,64.6,,-3.3,,юго-западный,,,3,,,,0,45.0,,3,,,,10.0,752,,-1.6,,,,,,0.0,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,56.7,,,,юго-западный,,,3,,,,,,,,,,,10.0,754,,2.1,,,,,,0.0,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,11.0,,,,,,,,,,,49.0,,,,юго-западный,,,4,,,,,,,,,,,10.0,756,,4.6,,,,,,5.0,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11.0,,,,,,,,,,,47.7,,,,юго-западный,,,3,,,,,,,,,,,10.0,758,,5.4,,,,,,7.0,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,,,,,,,,,60.8,,,,южный,,5.4,2,,,,0,,,,,,,10.0,760,,2.6,,,,,,2.0,,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,72.2,,,,южный,,,2,,,,,,,,,,,10.0,761,,-0.1,,,,,,0.0,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,71.6,,,,южный,,,2,,,,,,,,,,,10.0,762,,-0.6,,,,,,0.0,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,73.0,,,,южный,,,3,,,,,,,,,,,10.0,761,,-1.8,,,,,,0.0,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,65.9,,-2.2,,южный,,,3,,,,0,45.0,,0,,,,10.0,764,,-0.4,,,,,,0.0,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,50.6,,,,южный,,,3,,,,,,,,,,,10.0,764,,5.0,,,,,,0.0,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,43.1,,,,южный,,,4,,,,,,,,,,,10.0,763,,7.1,,,,,,0.0,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,49.0,,,,южный,,,3,,,,,,,,,,,10.0,762,,5.8,,,,,,10.0,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,,,54.1,,,,южный,,7.4,2,,,,0,,,,,,,10.0,761,,5.0,,,,,,10.0,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,63.4,,,,юго-восточный,,,1,,,,,,,,,,,10.0,760,,3.7,,,,,,10.0,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,True,,,,,,,,,85.9,,,,юго-восточный,,,2,,,,,,,,,,,10.0,759,,1.6,,,,,,10.0,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,92.4,,,,юго-восточный,,,2,,,,,,,,,,,10.0,757,,1.4,,,True,,,10.0,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,,89.1,,1.3,,юго-восточный,,,2,,,,2,42.0,,2,,,,10.0,755,,2.1,,,,,,10.0,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,True,,,,,,,,,81.2,,,,юго-восточный,,,2,,,,,,,,,,,10.0,754,,3.0,,,,,,10.0,,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,93.1,,,,юго-восточный,,,1,True,,,,,,,,,,10.0,752,,2.0,,,,,,10.0,,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,,,,,,,,,,,94.4,,,,южный,,,1,,,,,,,,,,,4.0,751,,0.6,,,,,,10.0,,True,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,,,,,,,,,95.7,,,,юго-восточный,,3.1,1,,,,14,,,,,,,4.0,751,,0.1,,,,,,10.0,,True,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,95.7,,,,,,,0,,,,,,,,,True,,1.0,750,,0.1,,,,,,10.0,,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,95.7,,,,северо-западный,,,2,,,,,,,,,True,,4.0,749,,0.3,,,,,,10.0,,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,95.7,,,,северо-западный,,,1,,,,,,,,,True,,2.0,750,,-0.2,,,,,,10.0,,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,,95.7,,-0.3,,западный,,,1,,,,менее 0.1,40.0,,14,,True,,1.0,751,,0.0,,,,,,10.0,,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,95.7,,,,южный,,,2,,,,,,,,,True,,2.0,751,,0.4,,,,,,10.0,,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,94.4,,,,южный,,,2,,,,,,,,,,,4.0,752,,1.0,,True,,,,10.0,,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,,,,,,,,,,,94.4,,,,,,,0,,,,,,,,,,,2.0,751,,0.7,,,,,,10.0,,True,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,,,,,,,,,,,95.0,,,,северо-западный,,1.1,1,,,,4,,,,,,,2.0,751,,0.1,,,,,,10.0,,True,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,,,95.7,,,,северо-западный,,,2,,,,,,,,,,,4.0,751,,-0.9,,,,,,7.0,,True,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,90.8,,,,северный,,,3,,,,,,,,,,,10.0,750,,-1.4,,,True,,,5.0,,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,92.9,,,,северо-западный,,,3,,,,,,,,,,,4.0,750,,-1.5,,,,,,10.0,,True,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,,,93.0,,-1.6,,северо-западный,,,2,,,,5,45.0,,9,,,,4.0,750,,0.1,,,,,,7.0,,True,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,83.2,,,,северный,,,3,,,,,,,,,,,10.0,750,,-0.1,,,True,,,10.0,,,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,78.4,,,,северный,,,3,,,,,,,,,,,10.0,750,,0.1,,,True,,,10.0,,,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,12.0,,,,,,,,,,,88.8,,,,северный,,,4,,,,,,,,,,,4.0,748,,-1.9,,,,,,10.0,,True,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,16.0,,,,,,,,,,,94.2,,,,северный,,1.8,5,,True,,3,,,,,,,1.0,745,,-3.0,,,,,,10.0,,,,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,15.0,,,,,,,,,,,94.2,,,,северный,,,5,,True,,,,,,,,,1.0,739,,-4.0,,,,,,10.0,,,,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,16.0,,,,,,,,,,,94.1,,,,северный,,,4,,True,,,,,,,,,1.0,733,,-4.2,,,,,,10.0,,,,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,11.0,,,,,,,,,,,94.9,,,,северный,,,3,,,,,,,,,,,2.0,731,,-2.6,,,,,,10.0,,True,,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,,,,,,,,,95.7,,-4.3,,северный,,,2,,,,19,58.0,,22,,,,4.0,730,,-0.9,,,,,,10.0,,True,,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,95.0,,,,северный,,,2,,,,,,,,,,,4.0,730,,0.2,,,,,,10.0,,True,,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,95.7,,,,западный,,,3,,,,,,,,,,,4.0,732,,-0.4,,,,,,10.0,,True,,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,12.0,,,,,,,,,,,92.1,,,,западный,,,4,,,,,,,,,,True,2.0,736,,-3.3,,,,,,10.0,,,,
1586358000,"Среда, 8 апреля
15:00 (UTC)",,10.0,,,,,,,,,,,83.3,,,,западный,,0.8,3,,,,4,,,,,,,10.0,739,,-4.6,,,,,,10.0,,True,,
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,91.3,,,,западный,,,3,,,,,,,,,,,4.0,740,,-5.1,,,,,,10.0,,True,,
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,87.2,,,,западный,,,3,,,,,,,,,,,4.0,742,,-4.6,,,,,,10.0,,True,,
1586390400,"Четверг, 9 апреля
00:00 (UTC)",,,,,,,,,,,,,86.6,,,,западный,,,3,,,,,,,,,,,4.0,744,,-4.4,,,,,,10.0,,True,,
1586401200,"Четверг, 9 апреля
03:00 (UTC)",,,,,,,,,,,,,73.2,,-5.1,True,западный,,,3,,,,2,57.0,,6,,,,10.0,747,,-3.5,,,,,,10.0,,,,
1586412000,"Четверг, 9 апреля
06:00 (UTC)",,10.0,,,,,,,,,,,60.1,,,True,западный,,,4,,,,,,,,,,,10.0,751,,-2.1,,,,,,0.0,,,,
1586422800,"Четверг, 9 апреля
09:00 (UTC)",,10.0,,,,,,,,,,,50.2,,,True,юго-западный,,,4,,,,,,,,,,,10.0,753,,1.0,,,,,,0.0,,,,
1586433600,"Четверг, 9 апреля
12:00 (UTC)",,10.0,,,,,,,,,,,39.7,,,,юго-западный,,,3,,,,,,,,,,,10.0,755,,2.2,,,True,,,0.0,,,,
1586444400,"Четверг, 9 апреля
15:00 (UTC)",,,,,,,,,,,,,53.3,,,,южный,,2.3,3,,,,0,,,,,,,10.0,756,,-1.0,,,,,,0.0,,,,
1586455200,"Четверг, 9 апреля
18:00 (UTC)",,,,,,,,,,,,,60.5,,,,южный,,,3,,,,,,,,,,,10.0,756,,-2.4,,,,,,0.0,,,,
1586466000,"Четверг, 9 апреля
21:00 (UTC)",,,,,,,,,,,,,59.8,,,,южный,,,3,,,,,,,,,,,10.0,757,,-3.4,,,,,,0.0,,,,
1586476800,"Пятница, 10 апреля
00:00 (UTC)",,,,,,,,,,,,,65.6,,,,южный,,,3,,,,,,,,,,,10.0,756,,-3.6,,,,,,0.0,,,,
1586487600,"Пятница, 10 апреля
03:00 (UTC)",,,,,,,,,,,,,70.7,,-3.9,,южный,,,3,,,,0,57.0,,0,,,,10.0,757,,-2.0,,,,,,4.0,,,,
1586498400,"Пятница, 10 апреля
06:00 (UTC)",,,,,,,,,,,,,63.6,,,,южный,,,4,,,,,,,,,,,10.0,757,,2.7,,,,,,10.0,,,,
1586509200,"Пятница, 10 апреля
09:00 (UTC)",,,,,,,,,,,,,56.8,,,,южный,,,4,,,,,,,,,,,10.0,757,,5.6,,,,,,10.0,,,,
1586520000,"Пятница, 10 апреля
12:00 (UTC)",,,,,,,,,,,,,60.2,,,,южный,,,3,,,,,,,,,,,10.0,757,,5.5,,,,,,10.0,,,,
1586530800,"Пятница, 10 апреля
15:00 (UTC)",,,,,,,,,,,,,66.4,,,,юго-восточный,,6.1,3,,,,0,,,,,,,10.0,757,,4.2,,,,,,10.0,,,,
1586541600,"Пятница, 10 апреля
18:00 (UTC)",,,,,,,,,,,,,71.2,,,,южный,,,3,,,,,,,,,,,10.0,757,,3.1,,,,,,0.0,,,,
1586552400,"Пятница, 10 апреля
21:00 (UTC)",,,,,,,,,,,,,77.0,,,,юго-восточный,,,3,,,,,,,,,,,10.0,757,,1.8,,,,,,5.0,,,,
1586563200,"Суббота, 11 апреля
00:00 (UTC)",,,,,,,,,,,,,79.2,,,,южный,,,4,,,,,,,,,,,10.0,757,,1.1,,,,,,7.0,,,,
1586574000,"Суббота, 11 апреля
03:00 (UTC)",,,,,,,,,,,,,77.0,,0.8,,юго-восточный,,,4,,,,0,56.0,,0,,,,10.0,757,,2.0,,,,,,10.0,,,,
1586584800,"Суббота, 11 апреля
06:00 (UTC)",,,,,,,,,,,,,62.0,,,,юго-восточный,,,4,,,,,,,,,,,10.0,757,,5.4,,,,,,2.0,,,,
1586595600,"Суббота, 11 апреля
09:00 (UTC)",,,,,,,,,,,,,41.1,,,,южный,,,4,,,,,,,,,,,10.0,757,,10.0,,,,,,0.0,,,,
