timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Снежная крупа (возможно с дождем) умеренная или сильная,Количество облаков уменьшилось,Гроза сильная (возможен дождь или снег),Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый,Туман без изменений (небо видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,14.0,,,,,,,,,,57.3,,,4.3,южный,,,5,,,менее 0.1,,,0.5,,,,,50,737,,,5.9,,,10.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,12.0,,,,,,,,,,58.1,,,5.3,юго-западный,,,4,,,менее 0.1,,,,True,,,,4,737,,,5.8,,,9.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,14.0,,,,,True,,,,,58.6,,,,юго-западный,,,6,,,,,,,,,,,20,737,,,5.9,,,9.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,17.0,,,,True,,,,,,81.4,,,,юго-западный,,,4,,,,,,,,,,,20,740,,,4.6,,,7.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,18.0,,,,,,,,,,43.8,,,,западный,,,7,,,3,,,,,,,,20,743,,,6.0,,,9.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,14.0,,,,,,,,,,62.0,,,,западный,,7.7,5,,,3,,,,,,,,20,746,,,3.5,,True,9.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,11.0,,,,,,,,,,67.8,,,,западный,,,4,,,,,,,,,,,20,748,,,1.6,,,0.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,77.2,,,,юго-западный,,,2,,,,,,,,,,,20,750,,,-0.7,,,0.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,79.4,,,-1.7,юго-западный,,,2,,,0,,,3,,,,,20,752,,,-1.6,,,0.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,68.4,,,-2.2,западный,,,3,,,0,,,,,,,,20,755,,,2.0,,,0.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,29.3,,,,западный,,,5,,,,,,,,,,,20,757,,,6.1,,,6.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,22.7,,,,северо-западный,,,3,,,,,,,,,,,20,758,,,8.4,,,6.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,10.0,,,,,,,,,,22.2,,,,северо-западный,,,3,,,0,,,,,,,,20,759,,,7.9,,,6.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,59.5,,,,западный,,9.3,1,,,0,,,,,,,,20,761,,,2.9,,,2.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,53.0,,,,западный,,,2,,,,,,,,,,,20,762,,,0.8,,,0.0,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,76.0,,,,западный,,,2,,,,,,,,,,,20,764,,,-0.8,,,0.0,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,,88.1,,,-2.1,западный,,,1,,,0,,,0,,,,,20,765,,,-2.0,,,0.0,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,71.6,,,-2.3,западный,,,3,,,0,,,,,,,,50,767,,,2.2,,,4.0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,34.9,,,,северо-западный,,,3,,,,,,,,,,,20,768,,,6.4,,,7.0,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,10.0,,,,,,,,,,28.4,,,,северный,,,5,,,,,,,,,,,50,768,,,7.1,,,2.0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,10.0,,,,,,,,,,28.3,,,,северо-западный,,,3,,,0,,,,,,,,20,768,,,7.4,,,0.0,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,40.6,,,,западный,,8.4,1,,,0,,,,,,,,20,769,,,1.9,,,0.0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,78.6,,,,,,,0,,,,,,,,,,,20,770,,,-2.6,,,0.0,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,87.9,,,,юго-восточный,,,1,,,,,,,,,,,50,770,,,-4.1,,,2.0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,,70.4,,,-4.6,южный,,,1,,,0,,,0,,,,,20,770,,,-1.1,,,10.0,,
