timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Туман ослабел (небо видно),Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Температура воздуха, °C",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,11.0,,,,True,,,,,69.2,,,5.2,западный,,,5,,,менее 0.1,,,,,2,,,,10,746,,5.6,,,,9.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,10.0,,,,,,,,,74.2,,,4.4,юго-западный,,,4,,,0,,,,,,,,,10,747,,4.9,True,,,9.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,13.0,,,,,,,,,62.6,,,,западный,,,4,,,,,,,,,,,,10,750,,6.3,,,,9.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,14.0,,,,,,,,,56.0,,,,западный,,,3,,,,,,,,,,,,10,752,,7.2,,,,7.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,14.0,,,,,,,,,56.5,,,,западный,,,3,,,0,,,,,,,,,10,754,,6.3,,,,7.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,12.0,,,,,,,,,63.3,,,,западный,,8.5,3,,,0,,,,,,,,,10,755,,5.2,,,,7.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,9.0,,,,,,,,,71.5,,,,западный,,,2,,,,,,,,,,,,10,757,,4.4,,,,4.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,8.0,,,,,,,,,74.1,,,,западный,,,1,,,,,,,,,,,,10,759,,4.1,,,,1.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,7.0,,,,,,,,,76.7,,,3.0,западный,,,1,,,0,,,,,0,,,,10,761,,3.1,,,,0.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,5.0,,,,,,,,,64.3,,,2.6,западный,,,2,,,0,,,,,,,,,10,763,,5.3,,,,2.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,9.0,,,,,,,,,53.5,,,,западный,,,3,,,,,,,,,,,,10,765,,7.2,,,,6.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,9.0,,,,,,,,,45.8,,,,западный,,,3,,,,,,,,,,,,10,767,,8.2,,,,6.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,9.0,,,,,,,,,48.2,,,,западный,,,2,,,0,,,,,,,,,10,767,,8.1,,,,4.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,7.0,,,,,,,,,65.3,,,,северо-западный,,9.4,2,,,0,,,,,,,,,10,769,,5.5,,,,7.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,4.0,,,,,,,,,86.7,,,,западный,,,1,,,,,,,,,True,,,4,770,,3.2,,,,0.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,3.0,,,,,,,,,93.0,,,,юго-западный,,,1,,,,,,,,,True,,,4,771,,1.3,,,,0.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,3.0,,,,,,,,,91.0,,,0.4,южный,,,1,,,0,,,,,0,True,,,4,772,,0.5,,,,0.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,4.0,,,,,,,,,70.6,,,0.4,юго-западный,,,2,,,0,,,,,,,,,10,774,,5.0,,,,0.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,6.0,,,,,,,,,47.0,,,,юго-западный,,,3,,,,,,,,,,,,10,775,,10.0,,,,2.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,5.0,,,,,,,,,42.6,,,,западный,,,2,,,,,,,,,,,,10,774,,11.7,,,,1.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,6.0,,,,,,,,,38.8,,,,западный,,,1,,,0,,,,,,,,,10,774,,13.1,,,,1.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,4.0,,,,,,,,,60.9,,,,северо-восточный,,13.7,1,,,0,,,,,,,,,10,773,,8.4,,,,0.0,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,2.0,,,,,,,,,80.2,,,,,,,0,,,,,,,,,,,,10,773,,3.8,,,,0.0,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,1.0,,,,,,,,,86.5,,,,,,,0,,,,,,,,,True,,,4,773,,1.5,,,,0.0,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,1.0,,,,,,,,,88.3,,,-0.3,,,,0,,,0,,,,,0,True,,,4,773,,0.1,,,,0.0,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,2.0,,,,,,,,,53.7,,,-0.3,юго-восточный,,,1,,,0,,,,,,,,,10,773,,6.5,,,,2.0,
