timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Ливневой снег слабый
1585875600,"Пятница, 3 апреля
01:00 (UTC)",,,,,,,,,,,69.2,,,,,южный,,,2,,,,,,,,,,,,,,732,,,3.4,,,,,
1585879200,"Пятница, 3 апреля
02:00 (UTC)",,,,,,,,,,,69.6,,,,,южный,,,2,,,,,,,,,,,,,,731,,,2.7,,,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,70.5,,,1.9,,южный,,,3,,,,0,,,,2,,,,,10.0,731,,,1.9,,,,0.0,
1585886400,"Пятница, 3 апреля
04:00 (UTC)",,,,,,,,,,,70.9,,,,,южный,,,3,,,,,,,,,,,,,,731,,,1.4,,,,,
1585890000,"Пятница, 3 апреля
05:00 (UTC)",,,,,,,,,,,66.0,,,,,юго-западный,,,3,,,,,,,,,,,,,,731,,,2.2,,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,63.2,,,1.4,,южный,,,3,,,,0,,,,,,,,,10.0,731,,,2.7,,,,10.0,
1585897200,"Пятница, 3 апреля
07:00 (UTC)",,,,,,,,,,,57.6,,,,,южный,,,4,,,,,,,,,,,,,,730,,,3.8,,,,,
1585900800,"Пятница, 3 апреля
08:00 (UTC)",,,,,,,,,,,50.1,,,,,южный,,,4,,,,,,,,,,,,,,730,,,5.9,,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,43.3,,,,,юго-западный,,,3,,,,,,,,,,,,,10.0,730,,,7.8,,,,10.0,
1585908000,"Пятница, 3 апреля
10:00 (UTC)",,,,,,,,,,,36.6,,,,,юго-западный,,,4,,,,,,,,,,,,,,730,,,8.6,,,,,
1585911600,"Пятница, 3 апреля
11:00 (UTC)",,17.0,,,,,,,,,36.5,,,,,юго-западный,,,5,,,,,,,,,,,,,,730,,,9.1,,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,17.0,,,,,,,,,33.7,,,,,юго-западный,,,6,,,,,,,,,,,,,10.0,730,,,10.3,,,,10.0,
1585918800,"Пятница, 3 апреля
13:00 (UTC)",,,,,,,,,,,35.2,,,,,юго-западный,,,5,,,,,,,,,,,,,,730,,,10.0,,,,,
1585922400,"Пятница, 3 апреля
14:00 (UTC)",,,,,,,,,,,44.5,,,,,западный,,,4,,,,,,,,,,,,,,731,,,8.6,,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,14.0,,,,,,,,,52.5,,,,,юго-западный,,,4,,,,0,,,,,,,,,10.0,731,,,7.5,,,,10.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,11.0,,,,,,,,,61.5,,,,,западный,,10.3,3,,,,0,,,,,,,,,10.0,733,,,5.2,,,,7.0,
1585940400,"Пятница, 3 апреля
19:00 (UTC)",,12.0,,,,,,,,,66.8,,,,,западный,,,1,,,,,,,,,,,,,,733,,,3.7,,,,,
1585944000,"Пятница, 3 апреля
20:00 (UTC)",,,,,,,,,,,70.7,,,,,юго-западный,,,2,,,,,,,,,,,,,,734,,,2.8,,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,73.7,,,,,западный,,,2,,,,,,,,,,,,,10.0,734,,,2.2,,,,0.0,
1585951200,"Пятница, 3 апреля
22:00 (UTC)",,,,,,,,,,,76.9,,,,,западный,,,1,,,,,,,,,,,,,,735,,,1.2,,,,,
1585954800,"Пятница, 3 апреля
23:00 (UTC)",,,,,,,,,,,82.0,,,,,западный,,,1,,,,,,,,,,,,,,735,,,0.1,,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,78.5,,,,,западный,,,2,,,,,,,,,,,,,10.0,736,,,0.3,,,,0.0,
1585962000,"Суббота, 4 апреля
01:00 (UTC)",,,,,,,,,,,83.8,,,,,западный,,,1,,,,,,,,,,,,,,736,,,-0.8,,,,,
1585965600,"Суббота, 4 апреля
02:00 (UTC)",,,,,,,,,,,81.4,,,,,западный,,,1,,,,,,,,,,,,,,736,,,-0.2,,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,82.0,,,-0.9,,западный,,,1,,,,0,,,,0,,,,,10.0,737,,,-0.2,,,,5.0,
1585972800,"Суббота, 4 апреля
04:00 (UTC)",,,,,,,,,,,84.5,,,,,западный,,,2,,,,,,,,,,,,,,738,,,-0.3,,,,,
1585976400,"Суббота, 4 апреля
05:00 (UTC)",,,,,,,,,,,80.3,,,,,западный,,,2,,,,,,,,,,,,,,738,,,0.9,,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,80.4,,,-0.9,,западный,,,2,,,,0,,,,,,,,,10.0,739,,,1.1,,,,10.0,
1585983600,"Суббота, 4 апреля
07:00 (UTC)",,,,,,,,,,,72.3,,,,,западный,,,2,,,,,,,,,,,,,,740,,,3.1,,,,,
1585987200,"Суббота, 4 апреля
08:00 (UTC)",,,,,,,,,,,70.8,,,,,западный,,,2,,,,,,,,,,,,,,740,,,3.5,,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,86.5,,,,,северо-западный,,,3,,,,,,,,,,,,,4.0,741,,,1.4,,,,10.0,True
1585994400,"Суббота, 4 апреля
10:00 (UTC)",,,,,,,,,,,72.5,,,,,северо-западный,,,2,,,,,,,,,,,,,,742,,,4.4,,,,,
1585998000,"Суббота, 4 апреля
11:00 (UTC)",,,,,,,,,,,58.0,,,,,западный,,,3,,,,,,,,,,,,,,742,,,5.5,,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,50.2,,,,,западный,,,3,,,,,,,,,,,,,10.0,743,,,6.3,,True,,7.0,
1586005200,"Суббота, 4 апреля
13:00 (UTC)",,,,,,,,,,,45.3,,,,,западный,,,2,,,,,,,,,,,,,,743,,,6.5,,,,,
1586008800,"Суббота, 4 апреля
14:00 (UTC)",,,,,,,,,,,33.9,,,,,западный,,,3,,,,,,,,,,,,,,743,,,6.7,,,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,,,,,,,38.1,,,,,северо-западный,,,2,,,,0.3,,,,,,,,,10.0,744,,,5.9,,,,2.0,
1586016000,"Суббота, 4 апреля
16:00 (UTC)",,,,,,,,,,,45.4,,,,,западный,,,2,,,,,,,,,,,,,,744,,,4.7,,,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,64.6,,,,,юго-западный,,7.4,1,,,,0.3,,,,,,,,,10.0,745,,,0.6,,,,0.0,
1586026800,"Суббота, 4 апреля
19:00 (UTC)",,,,,,,,,,,71.8,,,,,западный,,,1,,,,,,,,,,,,,,745,,,0.4,,,,,
1586030400,"Суббота, 4 апреля
20:00 (UTC)",,,,,,,,,,,77.8,,,,,западный,,,1,,,,,,,,,,,,,,745,,,-0.4,,,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,80.7,,,,,западный,,,1,,,,,,,,,,,,,10.0,746,,,-0.8,,,,7.0,
1586037600,"Суббота, 4 апреля
22:00 (UTC)",,,,,,,,,,,80.6,,,,,западный,,,1,,,,,,,,,,,,,,746,,,-1.1,,,,,
1586041200,"Суббота, 4 апреля
23:00 (UTC)",,,,,,,,,,,85.6,,,,,западный,,,1,,,,,,,,,,,,,,746,,,-1.6,,,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,87.6,,,,,западный,,,1,,,,,,,,,,,,,10.0,747,,,-1.0,,,,7.0,
1586048400,"Воскресенье, 5 апреля
01:00 (UTC)",,,,,,,,,,,88.9,,,,,северо-западный,,,2,,,,,,,,,,,,,,747,,,-0.7,,,,,
1586052000,"Воскресенье, 5 апреля
02:00 (UTC)",,,,,,,,,,,90.9,,,,,западный,,,2,,,,,,,,,,,,,,747,,,-1.1,,,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,90.2,,,-1.7,,западный,,,3,,,,0,,,,0.3,,,,,10.0,747,,,-1.0,,,,4.0,
1586059200,"Воскресенье, 5 апреля
04:00 (UTC)",,,,,,,,,,,88.9,,,,,западный,,,2,,,,,,,,,,,,,,748,,,-0.7,,,,,
1586062800,"Воскресенье, 5 апреля
05:00 (UTC)",,,,,,,,,,,84.5,,,,,западный,,,2,,,,,,,,,,,,,,749,,,-0.1,,,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,73.1,,,-1.7,,северо-западный,,,3,,,,менее 0.1,,,,,,,,,10.0,749,,,1.6,,True,,0.0,
1586070000,"Воскресенье, 5 апреля
07:00 (UTC)",,,,,,,,,,,57.9,,,,,северо-западный,,,3,,,,,,,,,,,,,,749,,,3.4,,,,,
