timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,Гроза сильная (возможен град),"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Зарница,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,Ливневой дождь очень сильный,"Высота снежного покрова, см",Количество облаков увеличилось,Туман ослабел (небо видно),"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Снег (возможно с туманом). Отдельные снежные кристаллы в виде звездочек,Ливневой снег слабый
1585796400,"Четверг, 2 апреля
03:00 (UTC)",,,,,,,,,,,90.2,,,-1.5,,юго-западный,,,,2,,,1,,,2.0,True,,1,,,20,733,,,-0.7,,,,,,9.0,,
1585807200,"Четверг, 2 апреля
06:00 (UTC)",,,,,,,,,,,81.5,,,,,юго-западный,,,,3,,,,,,,,,,,,20,734,,,0.8,,,True,,,9.0,,
1585818000,"Четверг, 2 апреля
09:00 (UTC)",,10.0,,True,,,,,,,66.3,,,,,западный,,,,4,,,,,,,,,,,,20,735,,,1.4,,,,,,7.0,,
1585828800,"Четверг, 2 апреля
12:00 (UTC)",,11.0,,,,,,,,,37.5,,,,,западный,,,,5,,,,,,,,,,,,20,735,,,4.8,,,True,,,7.0,,
1585839600,"Четверг, 2 апреля
15:00 (UTC)",,,,,,,,,,,45.2,,,,,юго-западный,,,5.4,2,,,менее 0.1,,,,,,,,,20,736,,,4.0,,,,,,7.0,,
1585850400,"Четверг, 2 апреля
18:00 (UTC)",,,,,,,,,,,55.1,,,,,южный,,,,3,,,,,,,,,,,,20,736,,,2.4,,,,,,6.0,,
1585861200,"Четверг, 2 апреля
21:00 (UTC)",,,,,,,,,,,71.5,,,,,южный,,,,4,,,,,,,,,,,,20,736,,,1.8,,,,,,4.0,,
1585872000,"Пятница, 3 апреля
00:00 (UTC)",,,,,,,,,,,76.5,,,,,южный,,,,4,,,,,,,,,,,,20,736,,,2.3,,,,,,10.0,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,73.3,,,1.6,,южный,,,,5,,,0,,,,,,менее 0.1,,,20,736,,,3.0,,,,,,10.0,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,13.0,,,,,,,,,68.3,,,,,южный,,,,7,,,,,,,,,,,,20,735,,,4.0,,,,,,10.0,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,14.0,,,,,,,,,52.5,,,,,южный,,,,7,,,,,,,,,,,,20,735,,,6.3,,,,,,10.0,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,16.0,,,,,,,,,39.5,,,,,южный,,,,7,,,,,,,,,,,,20,735,,,7.6,,,,,,10.0,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,15.0,,,,,,,,,43.9,,,,,юго-западный,,,7.7,6,,,0,,,,,,,,,20,735,,,6.6,,,,,,10.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,13.0,,,,,,,,,48.2,,,,,юго-западный,,,,5,,,,,,,,,,,,20,736,,,5.7,,,,,,6.0,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,14.0,,,,,,,,,65.1,,,,,юго-западный,,,,3,,,,,,,,,,,,20,737,,,2.9,,,,,,2.0,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,10.0,,,,,,,,,73.2,,,,,юго-западный,,,,2,,,,,,,,,,,,20,738,,,2.0,,,,,,7.0,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,80.2,,,0.0,,юго-западный,,,,2,,,0,,,,,,0,,,20,740,,,0.1,,,,,,4.0,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,89.1,,,,,юго-западный,,,,3,,,,,,,,,,,,10,741,,,1.1,,True,,,,10.0,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,93.7,,,,,западный,True,,,3,,,,,,,,,,,,20,743,,,1.4,,,,,,9.0,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,11.0,,True,,,,,,,72.6,,,,,западный,,,,5,,,,,,,,,,,,20,745,,,1.9,,,,,,9.0,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,12.0,,True,,,,,,,69.8,,,,,западный,,,4.0,3,,,3,,,,,,,,,20,747,,,1.0,,,,,,9.0,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,True,,,,,79.8,,,,,западный,,,,1,,,,,,,,,,,,20,749,,,-2.9,,,,,,0.0,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,76.1,,,,,западный,,,,2,,,,,,,,,,,,20,750,,,-3.4,,,,,,0.0,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,83.4,,,,,юго-западный,,,,1,,,,,,,,,,,,20,750,,,-4.0,,,,,,0.0,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,,,,,,,87.3,,,-5.1,,юго-западный,,,,2,,,0,,,,,,3,,,20,750,,,-4.0,,,,,,2.0,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,69.0,,,,,западный,,,,2,,,,,,,,,,,,20,750,,,0.1,,,,,,7.0,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,73.3,,,,,северо-западный,,,,3,,,,,,,,,,,,10,751,,,0.1,,,,,,9.0,,True
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,11.0,,True,,,,,,,80.8,,,,,северо-западный,,,,3,,,,,,,,,,,,20,752,,,0.1,,,,,,7.0,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,10.0,,,,True,,,,,53.5,,,,,северо-западный,,,2.6,3,,,0.1,,,,,,,,,20,752,,,1.2,,,,,,6.0,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,11.0,,,,True,,,,,69.2,,,,,северо-западный,,,,4,,,,,,,,,,,,20,754,,,-1.7,,,,,,0.0,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,76.2,,,,,северо-западный,,,,3,,,,,,,,,,,,20,755,,,-3.0,,,,,,6.0,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,80.2,,,,,северо-западный,,,,3,,,,,,,,,,,,20,756,,,-3.9,,,,,,0.0,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,,,,,,,81.9,,,-5.1,,северо-западный,,,,3,,,менее 0.1,,,,,,0.1,,,20,757,,,-5.1,,,,,,0.0,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,66.1,,,,,северо-западный,,,,4,,,,,,,,,,,,20,759,,,-1.4,,,,,,0.0,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,27.0,,,,,северный,,,,4,,,,,,,,,,,,20,759,,,1.7,,,,,,6.0,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,10.0,,,,,,,,,44.7,,,,,северо-западный,,,,6,,,,,,,,,,,,20,760,,,1.2,,,,,,6.0,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,10.0,,,,,,,,,38.3,,,,,северо-западный,,,2.6,5,,,0,,,,,,,,,20,761,,,0.8,,,,,,2.0,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,,,,,,,,54.5,,,,,северо-западный,,,,2,,,,,,,,,,,,20,761,,,-2.7,,,,,,0.0,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,45.1,,,,,северо-западный,,,,2,,,,,,,,,,,,20,762,,,-3.4,,,,,,0.0,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,82.8,,,,,,,,,0,,,,,,,,,,,,20,763,,,-8.0,,,,,,0.0,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,,,,,,,77.2,,,-8.6,,юго-западный,,,,2,,,0,,,,,,0,,,20,763,,,-7.4,,,,,,7.0,,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,54.3,,,,,юго-западный,,,,2,,,,,,,,,,,,20,763,,,-1.8,,,,,,9.0,,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,26.4,,,,,юго-западный,,,,4,,,,,,,,,,,,20,761,,,2.7,,,,,,10.0,,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,33.6,,,,,юго-западный,,,,4,,,,,,,True,,,,,20,758,,,3.0,,,,,,9.0,,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,,,,,,,,44.2,,,,,юго-западный,,,5.4,2,,,менее 0.1,,,,,,,,,20,755,,,4.0,,,,,,7.0,,
