timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь со снегом,Ливневый дождь,Снежная крупа (возможно с дождем) умеренная или сильная,Количество облаков уменьшилось,Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),Снежная крупа (возможно с дождем) слабая,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,6.0,,,,,,,,,,,78.4,,,-0.8,южный,,,,2,,,,0,13.0,,менее 0.1,,,,,20.0,741,,,-0.5,,,,2.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,7.0,,,,,,,,,,,66.2,,,,южный,,,,3,,,,,,,,,,,,20.0,742,,,3.5,,,,6.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,9.0,,,,,,,,,,,50.8,,,,южный,,,,3,,,,,,,,,,,,20.0,742,,,7.1,,,,5.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,9.0,,,,,,,,,,,53.7,,,,южный,,,,4,,,,,,,,,,,,20.0,743,,,6.2,,,,9.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,9.0,,,,,,,,,,,52.4,,,,южный,,,7.3,3,,,,0,,,,,,,,20.0,743,,,5.9,,,,9.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,8.0,,,,,,,,,,,50.4,,,,южный,,,,3,,,,,,,,,,,,20.0,743,,,5.5,,,,10.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,8.0,,,,,,,,,,,51.4,,,,южный,,,,3,,,,,,,,,,,,20.0,743,,,5.1,,,,9.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,8.0,,,,,,,,,,,51.6,,,,южный,,,,3,,,,,,,,,,,,20.0,742,,,4.6,,,,9.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,7.0,,,,,,,,,,,53.0,,,3.7,южный,,,,3,,,,0,10.0,,0,,,,,20.0,742,,,3.8,,,,7.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,7.0,,,,,,,,,,,39.2,,,,южный,,,,4,,,,,,,,,,,,20.0,741,,,7.5,,,,10.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,8.0,,,,,,,,,,,37.2,,,,юго-западный,,,,3,,,,,,,,,,,,20.0,741,,,9.5,,,,10.0,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,10.0,,,,,,,,,,,33.5,,,,юго-западный,,,,4,,,,,,,,,,,,20.0,742,,,10.4,,,,10.0,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,11.0,,,,,,,,,,,39.6,,,,западный,,,10.5,3,,,,менее 0.1,,,,,,,,20.0,743,,,7.8,,,True,10.0,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,6.0,,,,,,,,,,,60.4,,,,юго-западный,,,,1,,,,,,,,,,,,20.0,744,,,2.8,,,True,10.0,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,4.0,,,,,,,,,,,60.7,,,,северо-западный,,,,1,,,,,,,,,,,,20.0,745,,,2.0,,,,0.0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,5.0,,,,,,,,,,,72.2,,,,западный,,,,2,,,,,,,,,,,,20.0,745,,,0.0,,,,0.0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,5.0,,,,,,,,,,,81.2,,,-1.5,западный,,,,2,,,,0,4.0,,менее 0.1,,,,,20.0,746,,,-1.2,,,,9.0,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,6.0,,,,,,,,,,,66.6,,,,северо-западный,,,,2,,,,,,,,,,,,20.0,747,,,0.7,,,,7.0,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,9.0,,,,,,,,,,,33.7,,,,северо-западный,,,,2,,,,,,,,,,,,20.0,747,,,4.2,,,,6.0,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,9.0,,,,,,,,,,,33.0,,,,западный,,,,3,,,,,,,,,,,,20.0,747,,,4.7,,,True,7.0,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,9.0,,,,,,,,,,,48.0,,,,,,,4.9,0,,,,менее 0.1,,,,,,,,20.0,747,,,2.5,,,True,6.0,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,1.0,,,,,,,,,,,79.8,,,,,,,,0,,,,,,,,,,,,20.0,747,,,-2.5,,,True,0.0,
