timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Дождь со снегом слабый,В окрестности станции местами туман,"Гроза, но без осадков","Относительная влажность, %",Поземные туманы сплошным слоем (высота меньше 2 м от поверхности земли),"Минимальная температура, °C",Град,Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Туман ослабел (небо видно),"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно),Ливневой снег слабый
1585875600,"Пятница, 3 апреля
01:00 (UTC)",,,,,,,,,,,86.6,,,,южный,,,4,,,,,,,,,,,,740.0,2.5,,,,,,,
1585879200,"Пятница, 3 апреля
02:00 (UTC)",,,,,,,,,,,86.6,,,,южный,,,5,,,,,,,,,,,,740.0,2.6,,,,,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,86.0,,2.0,,южный,,,5,,,0,,1.0,,менее 0.1,,,,30.0,740.0,2.8,,,,,10.0,,
1585886400,"Пятница, 3 апреля
04:00 (UTC)",,,,,,,,,,,83.6,,,,южный,,,5,,,,,,,,,,,,740.0,3.1,,,,,,,
1585890000,"Пятница, 3 апреля
05:00 (UTC)",,,,,,,,,,,80.1,,,,южный,,,6,,,,,,,,,,,,740.0,3.6,,,,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,10.0,,,,,,,,,74.2,,,,южный,,,5,,,,,,,,,,,30.0,740.0,4.6,,,,,10.0,,
1585897200,"Пятница, 3 апреля
07:00 (UTC)",,12.0,,,,,,,,,64.8,,,,южный,,,6,,,,,,,,,,,,740.0,5.7,,,,,,,
1585900800,"Пятница, 3 апреля
08:00 (UTC)",,12.0,,,,,,,,,55.4,,,,южный,,,6,,,,,,,,,,,,741.0,6.7,,,,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,14.0,,,,,,,,,43.7,,,,южный,,,8,,,,,,,,,,,30.0,740.0,8.0,,,,,10.0,,
1585908000,"Пятница, 3 апреля
10:00 (UTC)",,,,,,,,,,,46.8,,,,южный,,,8,,,,,,,,,,,,740.0,8.3,,,,,,,
1585911600,"Пятница, 3 апреля
11:00 (UTC)",,,,,,,,,,,45.2,,,,южный,,,8,,,,,,,,,,,,740.0,8.6,,,,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,18.0,,,,,,,,,45.4,,,,южный,,,8,,,,,,,,,,,30.0,740.0,8.1,,,,,10.0,,
1585918800,"Пятница, 3 апреля
13:00 (UTC)",,,,,,,,,,,43.7,,,,южный,,,8,,,,,,,,,,,,739.0,8.0,,,,,,,
1585922400,"Пятница, 3 апреля
14:00 (UTC)",,,,,,,,,,,42.7,,,,южный,,,8,,,,,,,,,,,,739.0,8.0,,,,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,16.0,,,,,,,,,42.4,,,,южный,,8.8,7,,,0,,,,,,,,30.0,739.0,7.9,,,,,10.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,13.0,,,,,,,,,45.0,,,,южный,,,6,,,,,,,,,,,50.0,740.0,6.8,,,,,10.0,,
1585940400,"Пятница, 3 апреля
19:00 (UTC)",,,,,,,,,,,45.9,,,,южный,,,6,,,,,,,,,,,,740.0,6.4,,,,,,,
1585944000,"Пятница, 3 апреля
20:00 (UTC)",,,,,,,,,,,46.4,,,,южный,,,8,,,,,,,,,,,,740.0,6.8,,,,,,,
