timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,"Минимальная температура, °C",Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),Осадки (достигают поверхности земли вдали от станции (&gt; 5 км)),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Туман без изменений (небо видно),Балл общей облачности,Ливневой снег слабый,Осадки (достигают поверхности земли)
1585875600,"Пятница, 3 апреля
01:00 (UTC)",,,,,,,,,,86.0,,,южный,,,,3,,,,,,,,,,,742,,2.1,,,,,,,,
1585879200,"Пятница, 3 апреля
02:00 (UTC)",,,,,,,,,,84.1,,,южный,,,,3,,,,,,,,,,,742,,2.3,,,,,,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,83.5,,1.6,южный,,,,4,,,менее 0.1,,0.3,,,,,10.0,742,,2.4,,,,,,10.0,,
1585886400,"Пятница, 3 апреля
04:00 (UTC)",,,,,,,,,,81.2,,,южный,,,,3,,,,,,,,,,,742,,2.6,,,,,,,,
1585890000,"Пятница, 3 апреля
05:00 (UTC)",,,,,,,,,,74.5,,,южный,,,,4,,,,,,,,,,,742,,3.6,,,,,,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,67.5,,,южный,,,,5,,,,,,,,,,10.0,742,,4.7,,,,,,10.0,,
1585897200,"Пятница, 3 апреля
07:00 (UTC)",,,,,,,,,,58.5,,,южный,,,,4,,,,,,,,,,,743,,5.8,,,,,,,,
1585900800,"Пятница, 3 апреля
08:00 (UTC)",,,,,,,,,,50.3,,,южный,,,,6,,,,,,,,,,,742,,6.7,,,,,,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,10.0,,,,,,,,52.4,,,южный,,,,5,,,,,,,,,,10.0,742,,7.2,,,,,,10.0,,
1585908000,"Пятница, 3 апреля
10:00 (UTC)",,15.0,,,,,,,,48.5,,,южный,,,,6,,,,,,,,,,,742,,7.9,,,,,,,,
1585911600,"Пятница, 3 апреля
11:00 (UTC)",,15.0,,,,,,,,38.9,,,южный,,,,7,,,,,,,,,,,742,,8.4,,,,,,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,15.0,,,,,,,,38.9,,,южный,,,,5,,,,,,,,,,10.0,742,,8.4,,,,,,10.0,,
1585918800,"Пятница, 3 апреля
13:00 (UTC)",,,,,,,,,,40.4,,,южный,,,,6,,,,,,,,,,,742,,8.5,,,,,,,,
1585922400,"Пятница, 3 апреля
14:00 (UTC)",,,,,,,,,,40.6,,,южный,,,,6,,,,,,,,,,,741,,8.2,,,,,,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,15.0,,,,,,,,39.1,,,южный,,,9.7,6,,,0,,,,,,,10.0,741,,8.2,,,,,,10.0,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,10.0,,,,,,,,43.8,,,южный,,,,4,,,,,,,,,,10.0,741,,6.2,,,,,,10.0,,
1585940400,"Пятница, 3 апреля
19:00 (UTC)",,,,,,,,,,42.8,,,южный,,,,4,,,,,,,,,,,741,,5.9,,,,,,,,
1585944000,"Пятница, 3 апреля
20:00 (UTC)",,,,,,,,,,42.0,,,южный,,,,3,,,,,,,,,,,741,,5.6,,,,,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,10.0,,,,,,,,43.5,,,южный,,,,3,,,,,,,,,,10.0,741,,5.2,,,,,,10.0,,
1585951200,"Пятница, 3 апреля
22:00 (UTC)",,,,,,,,,,49.5,,,западный,,,,2,,,,,,,,,,,742,,3.8,,,,,,,,
1585954800,"Пятница, 3 апреля
23:00 (UTC)",,,,,,,,,,56.0,,,юго-западный,,,,2,,,,,,,,,,,742,,2.7,,,,,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,60.0,,,южный,,,,2,,,,,,,,,,10.0,743,,2.8,,,,,,7.0,,
1585962000,"Суббота, 4 апреля
01:00 (UTC)",,,,,,,,,,65.5,,,юго-западный,,,,1,,,,,,,,,,,743,,2.5,,,,,,,,
1585965600,"Суббота, 4 апреля
02:00 (UTC)",,,,,,,,,,69.4,,,юго-западный,,,,2,,,,,,,,,,,743,,1.6,,,,,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,74.1,,0.7,юго-западный,,,,2,,,0,,0,,,,,10.0,744,,1.0,,,,,,7.0,,
1585972800,"Суббота, 4 апреля
04:00 (UTC)",,,,,,,,,,74.7,,,юго-западный,,,,2,,,,,,,,,,,744,,1.7,,,,,,,,
1585976400,"Суббота, 4 апреля
05:00 (UTC)",,,,,,,,,,63.6,,,западный,,,,4,,,,,,,,,,,745,,4.4,,,,,,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,54.1,,,западный,,,,4,,,,,,,,,,10.0,745,,6.2,,,,,,0.0,,
1585983600,"Суббота, 4 апреля
07:00 (UTC)",,,,,,,,,,42.6,,,западный,,,,5,,,,,,,,,,,745,,7.5,,,,,,,,
1585987200,"Суббота, 4 апреля
08:00 (UTC)",,,,,,,,,,32.5,,,западный,,,,6,,,,,,,,,,,746,,8.2,,,,,,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,11.0,,,,,,,,26.3,,,западный,,,,7,,,,,,,,,,10.0,746,,8.7,,,,,,4.0,,
1585994400,"Суббота, 4 апреля
10:00 (UTC)",,,,,,,,,,21.7,,,западный,,,,7,,,,,,,,,,,747,,9.1,,,,,,,,
1585998000,"Суббота, 4 апреля
11:00 (UTC)",,,,,,,,,,26.1,,,западный,,,,5,,,,,,,,,,,747,,8.7,,,,,,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,12.0,,,,,,,,24.5,,,западный,,,,6,,,,,,,,,,10.0,747,,9.4,,,,,,6.0,,
1586005200,"Суббота, 4 апреля
13:00 (UTC)",,,,,,,,,,28.4,,,западный,,,,6,,,,,,,,,,,748,,7.9,,,,,,,,
