timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),Дождь (незамерзающий) сильный непрерывный,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Дождь (незамерзающий) сильный с перерывами,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,В окрестности станции местами туман,Гроза сильная (возможен град),"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Снег,Изменение количества облаков неизвестно,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Морось с дождем слабая,Дождь (незамерзающий),"Осадки за 12 часов, мм",Ливневой дождь очень сильный,"Высота снежного покрова, см",Количество облаков увеличилось,Морось (незамерзающая) слабая с перерывами,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Гроза, дождь со снегом слабые","Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,"Температура воздуха, °C","Гроза, дождь слабый",Морось (незамерзающая) умеренная с перерывами,Снег слабый непрерывный,Количество облаков не изменилось,"Поземные туманы клочками, полосами(высота меньше 2 м от поверхности земли)",Балл общей облачности,Туман ослабел (небо не видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,71.6,,,2.4,юго-западный,,,,,3.0,,,0.3,,,,,0.3,,,,,10.0,735.0,,,,2.4,,,,,,10.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,57.0,,,2.0,южный,,,,,5.0,,,0,,,,,,,,,,10.0,735.0,,,,4.7,,,,,,9.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,13.0,,,,,,,,,,,,,41.6,,,,юго-западный,,,,,6.0,,,,,,,,,,,,,10.0,735.0,,,,7.4,,,,,,10.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,16.0,,,,,,,,,,,,,28.2,,,,юго-западный,,,,,7.0,,,,,,,,,,,,,10.0,734.0,,,,10.8,,,,,,7.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,15.0,,,,,,,,,,,,,25.2,,,,юго-западный,,,,,6.0,,,0,,,,,,,,,,10.0,733.0,,,,11.7,,,,,,9.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,,,,27.6,,,,юго-западный,,,,12.0,4.0,,,0,,,,,,,,,,10.0,734.0,,,,10.2,,,,,,9.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,,,,50.8,,,,западный,,,,,2.0,,,,,,,,,,,,,10.0,736.0,,,,7.2,,,,,,10.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,,,,60.1,,,,западный,,,,,3.0,,,,,,,,,,,,,10.0,737.0,,,,4.9,,,,,,0.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,,,,,,73.7,,,1.9,юго-западный,,,,,3.0,,,0,,,,,0,,,,,10.0,738.0,,,,1.9,,,,,,0.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,,,,61.8,,,1.7,западный,,,,,3.0,,,0,,,,,,,,,,10.0,740.0,,,,4.5,,,,,,2.0,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,11.0,,,,,,,,,,,,,39.0,,,,юго-западный,,,,,6.0,,,,,,,,,,,,,10.0,741.0,,,,7.9,,,,,,5.0,
