timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Снег,Гроза,Снег слабый с перерывами,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм",Туман начался (усилился). Небо видно,"Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Туман без изменений (небо видно),Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,6.0,,,,,,,,,,93.7,,,-0.2,южный,,,,,2,,,,менее 0.1,,,True,менее 0.1,,,10,746,,,,1.1,,,,,9,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,8.0,,,,,,,,,,66.7,,,,южный,,,,,4,,,,,,,,,,,20,747,,,,5.5,,,True,,7,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,12.0,,,,,,,,,,45.1,,,,юго-западный,,,,,5,,,,,,,,,,,50,747,,,,8.4,,,,,9,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,12.0,,,,,,,,,,39.4,,,,юго-западный,,,,,4,,,,,,,,,,,50,748,,,,9.2,,,,,9,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,8.0,,,,,,,,,,43.5,,,,южный,,,,9.7,3,,,,0,,,,,,,20,747,,,,8.5,,,,,9,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,7.0,,,,,,,,,,45.8,,,,южный,,,,,3,,,,,,,,,,,10,748,,,,7.3,,,,,9,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,6.0,,,,,,,,,,46.4,,,,южный,,,,,3,,,,,,,,,,,10,747,,,,6.7,,,,,9,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,7.0,,,,,,,,,,49.8,,,,южный,,,,,3,,,,,,,,,,,10,747,,,,4.9,,,,,9,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,6.0,,,,,,,,,,58.1,,,2.3,южный,,,,,3,,,,0,,,,0,,,20,746,,,,2.5,,,,,2,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,7.0,,,,,,,,,,38.7,,,,южный,,,,,3,,,,,,,,,,,20,746,,,,8.8,,,,,7,,
