timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Туман (видимость менее 1 км),Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь со снегом слабый,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Метель низовая (слабая или умеренная),"Минимальная температура, °C",Направление ветра,Снег,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),Ливневой снег умеренный или сильный,Ливневой дождь со снегом умеренный или сильный,"Осадки за 12 часов, мм","Высота снежного покрова, см",Количество облаков увеличилось,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,6,,,,,True,,,80.9,,,0.2,юго-западный,,,,4,,,,менее 0.1,,,0.3,,,,10.0,743,,,,0.7,,,,6.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,9,,,,,True,,,54.9,,,,юго-западный,,,,7,,,,,,,,,,,10.0,744,,,,6.2,,,,2.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,12,,,,,,,,40.7,,,,юго-западный,,,,6,,,,,,,,,,,10.0,744,,,,8.4,,,,7.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,11,,,,,,,,35.7,,,,южный,,,,6,,,,,,,,,,,10.0,744,,,,9.2,,,,10.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,9,,,,,,,,40.2,,,,южный,,,10.0,3,,,,0,,,,,,,10.0,743,,,,7.9,,,,7.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,5,,,,,,,,46.2,,,,южный,,,,3,,,,,,,,,,,10.0,744,,,,6.3,,,,7.0,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,7,,,,,,,,48.1,,,,южный,,,,4,,,,,,,,,,,10.0,744,,,,5.4,,,,7.0,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,7,,,,,,,,49.1,,,,южный,,,,5,,,,,,,,,,,10.0,743,,,,3.6,,,,6.0,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,8,,,,,,,,51.1,,,2.2,южный,,,,6,,,,0,,,0,,,,10.0,742,,,,2.7,,,,2.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,9,,,,,,,,34.6,,,,юго-западный,,,,5,,,,,,,,,,,10.0,743,,,,8.1,,,,0.0,
