timestamp,date,Дождь (незамерзающий),Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,"Осадки за 12 часов, мм",Ливневой дождь со снегом слабый,"Высота снежного покрова, см",Ливневый дождь со снегом,Ливневый дождь,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дождь (незамерзающий) слабый с перерывами,"Горизонтальная видимость, км",Дождь (незамерзающий) умеренный непрерывный,"Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Снег слабый непрерывный,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,Ливневой снег слабый,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,0,,,,,менее 0.1,,,10.0,,748,,,1.7,,74.7,,1.6,,юго-восточный,10.0,,,,1
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,5.8,,54.0,,,,южный,7.0,,,,1
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,8.4,,36.9,,,,юго-западный,6.0,,,,4
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,9.4,,37.7,,,,южный,7.0,,,,2
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,749,,,8.7,,34.2,,,,южный,0.0,,,10.4,1
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,5.8,,47.9,,,,юго-восточный,5.0,,,,1
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,3.4,,57.5,,,,юго-восточный,7.0,,,,1
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,3.3,,57.4,,,,юго-восточный,7.0,,,,2
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,748,,,2.1,,62.6,,2.0,,юго-восточный,0.0,,,,2
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,7.2,,46.2,,,,юго-восточный,0.0,,,,2
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,13.3,,32.1,,,,юго-восточный,0.0,,,,3
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,15.7,,16.7,,,,западный,6.0,,,,3
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,747,,,12.8,,25.3,,,,западный,7.0,,,16.0,1
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,10.0,,36.5,,,,северо-западный,9.0,,,,2
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,7.6,,48.4,,,,западный,9.0,,,,1
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,5.0,,58.3,,,,западный,10.0,,,,2
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,,менее 0.1,,,True,,менее 0.1,,,10.0,,751,,,3.7,,56.7,,3.1,,северо-западный,9.0,,,,3
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,752,,,5.2,,43.9,,,,северо-западный,5.0,,,,3
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,7.6,,21.9,,,,северо-западный,0.0,,,,2
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,751,,,8.0,,18.4,,,,западный,2.0,,,,4
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,751,,,6.0,,25.3,,,,западный,4.0,,,8.2,1
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,2.1,,41.9,,,,,0.0,,,,0
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,0.4,,55.4,,,,северо-западный,4.0,,,,1
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,750,,,0.7,,55.5,,,,северо-западный,2.0,,,,1
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,750,,,-1.2,,65.2,,-1.2,,западный,7.0,,,,2
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,0.4,,79.1,True,-1.2,,северо-западный,10.0,,,,2
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,0.2,,93.0,True,,,северо-западный,10.0,,,,4
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,,10.0,,,,,,,,,,10.0,,752,,,2.4,,60.8,,,True,северо-западный,9.0,,,,4
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,11.0,,1,,,,,,,,10.0,,754,,,-0.3,,66.4,,,True,северо-западный,10.0,,,2.4,3
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,12.0,,,,,,,,,,10.0,,754,,,-1.3,,77.6,,,True,северо-западный,10.0,,,,3
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,755,,,-1.9,,90.1,True,,,северный,10.0,,,,3
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,756,,,-1.6,,71.9,,,True,северный,9.0,,,,3
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,,0.7,,1.0,,,2,,,10.0,,759,,,-2.6,,61.9,,-2.6,,северо-западный,7.0,,,,2
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,760,,,0.3,,53.2,,-2.6,,северо-западный,0.0,,,,2
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,10.0,,,,,,,,,,10.0,,759,,,3.5,,32.6,,,,северо-западный,6.0,,,,4
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,11.0,,,,,,,,,,10.0,,757,,,4.1,,23.4,,,,северо-западный,7.0,,,,4
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,10.0,,0,,,,,,,,10.0,,757,,,3.7,,21.0,,,,северо-западный,0.0,,,4.8,3
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,756,,,1.6,,27.4,,,,западный,0.0,,,,2
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,755,,,-0.4,,39.5,,,,западный,9.0,,,,1
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,10.0,,754,,,0.1,,45.5,,,,западный,10.0,,,,1
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,,0,,,,,0,,,10.0,,752,,,0.7,,51.3,,-0.5,,западный,10.0,,,,1
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,,,,,,,,,,10.0,,751,,,2.2,,42.6,,-0.5,,южный,10.0,,,,1
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,,,,,,,10.0,,749,,,4.9,,37.8,,,,юго-восточный,10.0,,,,2
1586347200,"Среда, 8 апреля
12:00 (UTC)",,,,,,,,,,,,,10.0,,748,,,6.8,,36.9,,,,юго-восточный,9.0,,,,2
1586358000,"Среда, 8 апреля
15:00 (UTC)",,,,,0,,,,,,,,10.0,,747,,,6.8,,43.0,,,,юго-восточный,10.0,,,7.8,2
1586368800,"Среда, 8 апреля
18:00 (UTC)",,,,,,,,,,,,,10.0,,747,,,5.4,,55.1,,,,юго-восточный,10.0,,,,1
1586379600,"Среда, 8 апреля
21:00 (UTC)",,,,,,,,,,,,,10.0,,746,,,3.9,,61.1,,,,юго-восточный,1.0,,,,1
