timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),Дождь (незамерзающий) сильный непрерывный,"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневой дождь со снегом слабый,Ливневый дождь со снегом,Ливневый дождь,Количество облаков уменьшилось,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %",Морось (незамерзающая) слабая непрерывная,Град,"Минимальная температура, °C",Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм",Ливневой дождь очень сильный,"Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Ливневой дождь умеренный или сильный,"Температура воздуха, °C","Гроза, дождь слабый",Количество облаков не изменилось,Балл общей облачности,Ливневой снег слабый
1585875600,"Пятница, 3 апреля
01:00 (UTC)",,,,,,,,,,,74.1,,,,юго-западный,,,1,,,,,,,,739,,,4.1,,,,
1585879200,"Пятница, 3 апреля
02:00 (UTC)",,,,,,,,,,,70.9,,,,юго-западный,,,1,,,,,,,,739,,,4.2,,,,
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,,,,,,,,69.9,,,3.5,южный,,,1,,0.1,,0.2,,,10.0,740,,,4.1,,,10.0,
1585886400,"Пятница, 3 апреля
04:00 (UTC)",,,,,,,,,,,70.9,,,,южный,,,1,,,,,,,10.0,740,,,4.2,,,10.0,
1585890000,"Пятница, 3 апреля
05:00 (UTC)",,,,,,,,,,,69.0,,,,южный,,,1,,,,,,,10.0,740,,,4.6,,,10.0,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,,,,,,,,64.7,,,3.5,южный,,,2,,0,,,,,10.0,740,,,5.1,,,10.0,
1585897200,"Пятница, 3 апреля
07:00 (UTC)",,,,,,,,,,,59.9,,,,южный,,,2,,,,,,,10.0,739,,,6.1,,,10.0,
1585900800,"Пятница, 3 апреля
08:00 (UTC)",,,,,,,,,,,52.4,,,,южный,,,2,,,,,,,10.0,739,,,7.4,,,10.0,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,,,,,,,,,,44.8,,,,юго-западный,,,2,,,,,,,10.0,739,,,8.3,,,10.0,
1585908000,"Пятница, 3 апреля
10:00 (UTC)",,,,,,,,,,,40.1,,,,юго-западный,,,2,,,,,,,10.0,739,,,8.6,,,10.0,
1585911600,"Пятница, 3 апреля
11:00 (UTC)",,,,,,,,,,,38.8,,,,юго-западный,,,1,,,,,,,10.0,738,,,9.1,,,10.0,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,,10.0,,,,,,,,33.8,,,,южный,,,3,,,,,,,10.0,738,,,9.9,,,7.0,
1585918800,"Пятница, 3 апреля
13:00 (UTC)",,,,,,,,,,,32.6,,,,южный,,,2,,,,,,,10.0,738,,,10.2,,,7.0,
1585922400,"Пятница, 3 апреля
14:00 (UTC)",,,,,,,,,,,31.9,,,,южный,,,2,,,,,,,10.0,738,,,10.3,,,7.0,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,,10.0,,,,,,,,32.4,,,,южный,,,1,,0,,,,,10.0,737,,,10.2,,,10.0,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,,,,,,,,34.3,,,,южный,,10.5,1,,0,,,,,,738,,,9.8,,,7.0,
1585940400,"Пятница, 3 апреля
19:00 (UTC)",,,,,,,,,,,43.0,,,,западный,,,2,,,,,,,,739,,,9.0,,,,
1585944000,"Пятница, 3 апреля
20:00 (UTC)",,,,,,,,,,,59.3,,,,западный,,,2,,,,,,,,740,,,7.2,,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,63.5,,,,западный,,,1,,,,,,,,740,,,6.0,,,10.0,
1585951200,"Пятница, 3 апреля
22:00 (UTC)",,,,,,,,,,,68.6,,,,юго-западный,,,1,,,,,,,,740,,,5.0,,,,
1585954800,"Пятница, 3 апреля
23:00 (UTC)",,,,,,,,,,,68.5,,,,западный,,,1,,,,,,,,741,,,4.8,,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,69.5,,,,западный,,,1,,,,,,,,741,,,4.8,,,10.0,
1585962000,"Суббота, 4 апреля
01:00 (UTC)",,,,,,,,,,,68.4,,,,западный,,,1,,,,,,,,741,,,4.3,,,,
1585965600,"Суббота, 4 апреля
02:00 (UTC)",,,,,,,,,,,68.3,,,,западный,,,2,,,,,,,,742,,,3.8,,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,,,,,,,,73.3,,,2.8,западный,,,1,,0,,0,,,10.0,742,,,2.8,,,4.0,
1585972800,"Суббота, 4 апреля
04:00 (UTC)",,,,,,,,,,,74.4,,,,западный,,,1,,,,,,,10.0,743,,,2.6,,,0.0,
1585976400,"Суббота, 4 апреля
05:00 (UTC)",,,,,,,,,,,62.6,,,,западный,,,1,,,,,,,10.0,744,,,4.3,,,5.0,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,,,,,,,,44.3,,,2.3,западный,,,1,,0,,,,,10.0,744,,,5.6,,,6.0,
