timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Туман (видимость менее 1 км),"Осадки за 12 часов, мм",Ливневый дождь со снегом,Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.","Гроза, дождь умеренный или сильный",Туман начался (усилился). Небо не видно,Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с"
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,,0,,,,0,,,,,10,738.0,,,,,0.7,,71.3,,0.4,,южный,4.0,,,2
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,,0,,,,,,,,,10,738.0,,,,,4.1,,54.7,,0.4,,южный,10.0,,,4
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,11.0,,,,,,,,,,,10,738.0,,,,,8.6,,32.7,,,,южный,9.0,,,6
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,14.0,,,,,,,,,,,10,736.0,,,,,11.7,,21.5,,,,южный,4.0,,,6
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,14.0,,0,,,,,,,,,10,735.0,,,,,12.0,,24.5,,,,южный,2.0,,,4
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,,,0,,,,,,,,,10,736.0,,,,,10.1,,25.5,,,,южный,7.0,,12.5,4
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,,10,737.0,,,,,7.3,,38.2,,,,южный,2.0,,,2
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,,10,738.0,,,,,4.6,,45.4,,,,южный,9.0,,,1
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,,0,,,,0,,,,,10,740.0,,,,,2.8,,65.6,,,,юго-западный,2.0,,2.8,2
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,,0,,,,,,,,,10,741.0,,,,,6.2,,54.5,,1.6,,юго-западный,4.0,,,4
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,10.0,,,,,,,,,,,10,742.0,,,,,8.2,,37.9,,,,западный,7.0,,,4
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,13.0,,,,,,,,,,,10,744.0,,,,,8.3,,28.3,,,True,западный,7.0,,,5
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,14.0,,менее 0.1,,,,,,,,,10,745.0,,,,,6.3,,54.9,,,True,западный,4.0,,,2
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,11.0,,0.5,,,,,,,,,10,747.0,,,,,0.8,,94.4,,,True,юго-западный,2.0,,10.6,2
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,,10,748.0,,,,,-1.2,,93.6,,,,юго-западный,2.0,,,2
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,,10,748.0,,,,,-2.2,,88.8,,,,западный,2.0,,,2
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,,0.5,,,,0.5,,,,,10,749.0,,,,,-3.2,,90.0,,-3.2,,юго-западный,2.0,,,2
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,,0,,,,,,,,,10,749.0,,,,,1.9,,78.2,,-3.5,,западный,9.0,,,3
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,10.0,,,,,,,,,,,10,749.0,,,,,4.9,,60.9,,,True,западный,7.0,,,5
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,19.0,,,True,,,,,,,,10,749.0,,,,,0.8,,80.9,,,,северо-западный,6.0,,,2
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,15.0,,0.5,,,,,,,,,10,750.0,,,,,4.1,,24.5,,,True,северо-западный,7.0,,,5
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,12.0,,0.5,,,,,,,,,10,751.0,,,,,0.6,,48.6,,,True,западный,0.0,,5.6,2
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,,10,752.0,,,,,-1.2,,52.8,,,,западный,0.0,,,2
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,,10,,,,,,-2.0,,60.6,,,,западный,0.0,,,2
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,,0,,,,0.5,,,,,10,754.0,,,,,-3.6,,69.3,,-3.6,,северо-западный,0.0,,,2
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,,0,,,,,,,,,10,754.0,,,,,1.9,,43.2,,-3.7,,северо-западный,2.0,,,4
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,13.0,,,,,,,,,,,10,755.0,,,,,3.6,,27.4,,,,северо-западный,7.0,,,6
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,13.0,,,,,,,,,,,10,755.0,,,,,5.0,,23.2,,,,северо-западный,9.0,,,5
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,12.0,,0,,,,,,,,,10,755.0,,,,,4.8,,25.4,,,,северо-западный,10.0,,,3
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,,0,,,,,,,,,10,755.0,,,,,3.0,,41.2,,,,северо-восточный,10.0,,5.5,1
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,,10,756.0,,,,,1.2,,48.4,,,,северо-восточный,10.0,,,1
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,,10,757.0,,,,,-1.2,,54.1,,,,северный,7.0,,,1
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,,0,,,,0,,,,,10,758.0,,,,,-4.4,,76.5,,-4.4,,восточный,0.0,,,1
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,,0,,,,,,,,,10,759.0,,,,,2.4,,44.4,,-4.4,,южный,0.0,,,2
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,,10,758.0,,,,,6.8,,34.2,,,,западный,1.0,,,3
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,,10,756.0,,,,,8.3,,39.4,,,,западный,9.0,,,2
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,,0,,,,,,,,,10,754.0,,,,,10.9,,38.5,,,,западный,6.0,,,3
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,,0,,,,,,,,,10,752.0,,,,,8.5,,49.7,,,,южный,0.0,,10.9,2
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,,10,751.0,,,,,6.1,,52.8,,,,юго-западный,0.0,,,2
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,,10,748.0,,,,,5.6,,54.7,,,,южный,0.0,,,2
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,,0,,,,0,,,,,10,746.0,,,,,3.8,,65.3,,3.8,,южный,0.0,,,2
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,,0,,,,,,,,,10,744.0,,,,,7.3,,45.8,,3.3,,юго-западный,7.0,,,3
1586336400,"Среда, 8 апреля
09:00 (UTC)",,,,,,,True,,,,,,10,744.0,,,,,8.0,,59.1,,,,западный,6.0,,,3
