timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с",Дождь (незамерзающий) слабый непрерывный,Ливневый дождь со снегом,Ливневый дождь,Дождь (незамерзающий) слабый с перерывами,Дождь (незамерзающий) умеренный с перерывами,Дождь (незамерзающий) умеренный непрерывный,"Гроза, но без осадков","Относительная влажность, %","Минимальная температура, °C",Поземок (слабый или умеренный),Направление ветра,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Дождь (незамерзающий),"Осадки за 12 часов, мм","Высота снежного покрова, см","Осадки за 24 часа, мм",Ливневой дождь слабый,Дымка (видимость больше 1 км),Туман без изменений (небо не видно),"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Туман начался (усилился). Небо не видно,Снег умеренный непрерывный,"Температура воздуха, °C","Гроза, дождь слабый",Снег сильный непрерывный,Снег слабый непрерывный,Количество облаков не изменилось,Балл общей облачности,Снег умеренный с перерывами,Ливневой снег слабый,Туман (с отложением изморози). Небо не видно
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,7.0,,,,,,,,66.5,0.0,,юго-западный,,,4.0,,0,,0,,,,10,741,,,0.1,,,,,6.0,,,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,9.0,,,,,,,,41.5,,,западный,,,6.0,,,,,,,,20,742,,,7.2,,,,,0.0,,,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,10.0,,,,,,,,32.9,,,западный,,,6.0,,,,,,,,20,742,,,10.2,,,,,2.0,,,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,10.0,,,,,,,,34.5,,,юго-западный,,,5.0,,,,,,,,20,742,,,9.5,,,,,10.0,,,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,11.0,,,,,,,,33.9,,,юго-западный,,11.1,7.0,,0,,,,,,10,741,,,8.6,,,,,10.0,,,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,8.0,,,,,,,,39.9,,,южный,,,6.0,,,,,,,,10,741,,,6.0,,,,,10.0,,,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,9.0,,,,,,,,49.3,,,юго-западный,,,7.0,,,,,,,,10,742,,,3.0,,,,,4.0,,,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,9.0,,,,,,,,50.5,,,юго-западный,,,7.0,,,,,,,,10,741,,,2.1,,,,,4.0,,,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,9.0,,,,,,,,53.5,0.6,,южный,,,2.0,,0,,0,,,,10,741,,,1.2,,,,,6.0,,,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,9.0,,,,,,,,35.3,,,юго-западный,,,6.0,,,,,,,,10,742,,,8.8,,,,,5.0,,,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,14.0,,,,,,,,19.6,,,западный,,,9.0,,,,,,,,20,741,,,15.3,,,,,2.0,,,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,15.0,,,,,,,,20.9,,,западный,,,10.0,,,,,,,,10,741,,,14.3,,,,,9.0,,,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,13.0,,,,,,,,34.9,,,северо-западный,,16.3,5.0,,0,,,,,,10,742,,,10.8,,,,,10.0,,,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,7.0,,,,,,,,42.8,,,западный,,,3.0,,,,,,,,10,744,,,6.2,,,,,9.0,,,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,7.0,,,,,,,,56.4,,,северо-западный,,,2.0,,,,,,,,10,745,,,4.2,,,,,2.0,,,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,6.0,,,,,,,,67.4,,,северный,,,4.0,,,,,,,,10,745,,,1.8,,,,,4.0,,,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,6.0,,,,,,,,74.5,0.2,,северный,,,2.0,,0,,0,,,,10,746,,,0.3,,,,,7.0,,,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,6.0,,,,,,,,53.3,-0.6,,северный,,,3.0,,,,,,,,10,747,,,4.9,,,,,1.0,,,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,9.0,,,,,,,,40.8,,,северный,,,6.0,,,,,,,,20,747,,,5.7,,,,,10.0,,,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,11.0,,,,,,,,42.8,,,северо-восточный,,,4.0,,,,,,,,20,746,,,6.0,,,,True,10.0,,,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,7.0,,,,,,,,41.1,,,северо-восточный,,8.2,2.0,,менее 0.1,,,,,,10,745,,,4.7,,,,,2.0,,,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,3.0,,,,,,,,55.6,,,юго-западный,,,2.0,,,,,,,,10,745,,,-0.2,,,,,2.0,,,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,8.0,,,,,,,,78.5,,,северный,,,6.0,,,,,,,,10,745,,,0.4,,,,,6.0,,,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,13.0,,,,,,,,95.7,,,северный,,,7.0,,,,,,,,4,745,,,-2.0,,,True,,10.0,,,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,13.0,,,,,,,,86.7,-2.7,True,северный,,,7.0,,2,1.0,2,,,,10,746,,,-2.7,,,,,10.0,,,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,11.0,,,,,,,,74.2,-2.8,True,северный,,,7.0,,,,,,,,10,747,,,-1.4,,,,,6.0,,,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,14.0,,,,,,,,59.9,,,северный,,,9.0,,,,,,,,10,748,,,0.7,,,,True,10.0,,,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,14.0,,,,,,,,42.5,,,северный,,,9.0,,,,,,,,10,749,,,1.7,,,,True,10.0,,,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,16.0,,,,,,,,44.1,,,северный,,3.1,11.0,,0,,,,,,10,750,,,0.4,,,,,7.0,,,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,12.0,,,,,,,,52.4,,,северный,,,7.0,,,,,,,,10,751,,,-1.3,,,,,4.0,,,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,11.0,,,,,,,,53.8,,,северный,,,7.0,,,,,,,,10,752,,,-2.2,,,,,2.0,,,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,11.0,,,,,,,,59.3,,,северный,,,7.0,,,,,,,,10,753,,,-3.2,,,,,0.0,,,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,11.0,,,,,,,,62.6,-3.7,,северный,,,7.0,,0,,0,,,,10,754,,,-3.5,,,,,5.0,,,
