timestamp,date,Гроза слабая или умеренная (возможен дождь или снег),"Порывы, м/с","Осадки за 12 часов, мм",Ливневый дождь со снегом,Количество облаков увеличилось,Ливневый дождь,"Осадки за 24 часа, мм",Количество облаков уменьшилось,Дымка (видимость больше 1 км),Ливневой дождь слабый,Мгла,"Горизонтальная видимость, км","Атмосферное давление на уровне станции, мм рт.ст.",Ливневой дождь умеренный или сильный,"Гроза, но без осадков","Температура воздуха, °C","Гроза, дождь слабый","Относительная влажность, %",Град,"Минимальная температура, °C",Количество облаков не изменилось,Направление ветра,Балл общей облачности,Гроза,"Максимальная температура, °C","Средняя скорость ветра, м/с",Туман без изменений (небо не видно)
1585882800,"Пятница, 3 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,740,,,1.5,,60.1,,1.3,,южный,10.0,,,2,
1585893600,"Пятница, 3 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,740,,,4.2,,47.4,,1.3,,юго-западный,9.0,,,1,
1585904400,"Пятница, 3 апреля
09:00 (UTC)",,13.0,,,,,,,,,,10.0,739,,,11.2,,25.4,,,,юго-западный,4.0,,,5,
1585915200,"Пятница, 3 апреля
12:00 (UTC)",,13.0,,,,,,,,,,10.0,738,,,13.4,,20.7,,,,юго-западный,1.0,,,5,
1585926000,"Пятница, 3 апреля
15:00 (UTC)",,13.0,0,,,,,,,,,10.0,737,,,13.2,,17.7,,,,юго-западный,0.0,,,3,
1585936800,"Пятница, 3 апреля
18:00 (UTC)",,10.0,0,,,,,,,,,10.0,738,,,9.6,,22.7,,,,южный,0.0,,13.9,2,
1585947600,"Пятница, 3 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,739,,,7.3,,28.7,,,,южный,0.0,,,2,
1585958400,"Суббота, 4 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,740,,,5.0,,40.6,,,,западный,9.0,,,1,
1585969200,"Суббота, 4 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,742,,,4.2,,51.9,,4.0,,западный,10.0,,,1,
1585980000,"Суббота, 4 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,743,,,7.5,,44.5,,3.9,,западный,1.0,,,3,
1585990800,"Суббота, 4 апреля
09:00 (UTC)",,10.0,,,,,,,,,,10.0,744,,,9.0,,33.3,,,,западный,7.0,,,5,
1586001600,"Суббота, 4 апреля
12:00 (UTC)",,12.0,,,,,,,,,,10.0,745,,,10.4,,24.2,,,,западный,7.0,,,4,
1586012400,"Суббота, 4 апреля
15:00 (UTC)",,12.0,0,,,,,,,,,10.0,747,,,7.8,,34.0,,,,северо-западный,6.0,,,3,
1586023200,"Суббота, 4 апреля
18:00 (UTC)",,10.0,0,,,,,,,,,10.0,749,,,1.1,,65.2,,,,северо-западный,2.0,,11.0,1,
1586034000,"Суббота, 4 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,750,,,-0.9,,76.0,,,,,0.0,,,0,
1586044800,"Воскресенье, 5 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,751,,,-2.8,,83.5,,,,,0.0,,,0,
1586055600,"Воскресенье, 5 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,751,,,-4.2,,84.6,,-4.3,,юго-западный,2.0,,,1,
1586066400,"Воскресенье, 5 апреля
06:00 (UTC)",,,менее 0.1,True,,,,,,,,10.0,752,,,1.3,,76.9,,-4.3,,западный,7.0,,,2,
1586077200,"Воскресенье, 5 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,751,,,6.9,,44.0,,,,северо-западный,7.0,,,3,
1586088000,"Воскресенье, 5 апреля
12:00 (UTC)",,13.0,,,,,,,,,,10.0,751,,,7.9,,28.4,,,True,северо-западный,7.0,,,5,
1586098800,"Воскресенье, 5 апреля
15:00 (UTC)",,13.0,менее 0.1,,,,,,,,,10.0,752,,,5.2,,32.9,,,,северный,7.0,,,3,
1586109600,"Воскресенье, 5 апреля
18:00 (UTC)",,,менее 0.1,,,,,,,,,10.0,754,,,-0.6,,58.2,,,,северо-западный,0.0,,8.5,1,
1586120400,"Воскресенье, 5 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,754,,,-1.7,,68.1,,,,северо-западный,7.0,,,1,
1586131200,"Понедельник, 6 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,755,,,-3.1,,60.3,,,,северо-западный,0.0,,,1,
1586142000,"Понедельник, 6 апреля
03:00 (UTC)",,,0,,,,менее 0.1,,,,,10.0,756,,,-5.1,,70.1,,-5.2,,северо-западный,0.0,,,1,
1586152800,"Понедельник, 6 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,757,,,3.1,,40.6,,-5.3,,северный,9.0,,,2,
1586163600,"Понедельник, 6 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,757,,,6.4,,25.0,,,,северо-западный,9.0,,,2,
1586174400,"Понедельник, 6 апреля
12:00 (UTC)",,10.0,,,,,,,,,,10.0,757,,,9.0,,18.2,,,,северо-западный,2.0,,,2,
1586185200,"Понедельник, 6 апреля
15:00 (UTC)",,,0,,,,,,,,,10.0,756,,,7.0,,26.0,,,,северо-западный,10.0,,,2,
1586196000,"Понедельник, 6 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,756,,,5.7,,44.3,,,,северо-западный,10.0,,9.3,1,
1586206800,"Понедельник, 6 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,757,,,1.3,,60.0,,,,,7.0,,,0,
1586217600,"Вторник, 7 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,758,,,-0.9,,71.5,,,,,0.0,,,0,
1586228400,"Вторник, 7 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,759,,,-2.4,,81.7,,-2.4,,северо-западный,4.0,,,1,
1586239200,"Вторник, 7 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,760,,,5.3,,53.0,,-2.9,,,4.0,,,0,
1586250000,"Вторник, 7 апреля
09:00 (UTC)",,,,,,,,,,,,10.0,759,,,9.5,,32.9,,,,северо-западный,2.0,,,2,
1586260800,"Вторник, 7 апреля
12:00 (UTC)",,,,,,,,,,,,10.0,758,,,12.2,,34.8,,,,северо-западный,4.0,,,1,
1586271600,"Вторник, 7 апреля
15:00 (UTC)",,,0,,,,,,,,,10.0,756,,,12.4,,35.9,,,,западный,5.0,,,1,
1586282400,"Вторник, 7 апреля
18:00 (UTC)",,,0,,,,,,,,,10.0,755,,,9.4,,46.5,,,,южный,0.0,,13.6,2,
1586293200,"Вторник, 7 апреля
21:00 (UTC)",,,,,,,,,,,,10.0,754,,,7.2,,51.2,,,,юго-западный,0.0,,,2,
1586304000,"Среда, 8 апреля
00:00 (UTC)",,,,,,,,,,,,10.0,752,,,6.7,,52.2,,,,юго-западный,0.0,,,3,
1586314800,"Среда, 8 апреля
03:00 (UTC)",,,0,,,,0,,,,,10.0,749,,,5.8,,52.0,,4.8,,юго-западный,0.0,,,3,
1586325600,"Среда, 8 апреля
06:00 (UTC)",,,0,,,,,,,,,10.0,747,,,9.8,,35.6,,4.8,,западный,2.0,,,4,
1586336400,"Среда, 8 апреля
09:00 (UTC)",,10.0,,,,,,,,,,10.0,745,,,14.6,,31.5,,,,северо-западный,2.0,,,4,
1586347200,"Среда, 8 апреля
12:00 (UTC)",,14.0,,,,,,,,,,10.0,746,,,15.2,,32.9,,,,северо-западный,7.0,,,3,
